business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Roshan Rcm Shop And Centre,Shops,Dairy store,Dairy store,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 88302 06413,N/A,5.0,,"Q NO. 1B, 108, Subhash nagar, Bermo, Jharkhand 825102",Subhash nagar,23.783444,85.9822946,ChIJO8J9MusV9DkRXB-9Kvqzzmw,https://www.google.com/maps/place/?q=place_id:ChIJO8J9MusV9DkRXB-9Kvqzzmw,part_387,2026-09-20 20:19:52,4275
Superstar Roshan,Shops,Home goods store,Home goods store,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",N/A,N/A,3.0,,"QW7Q+MG2, Jaridih Bazar, Jharkhand 829114",829104,23.7641281,85.93875899999999,ChIJI9chztAU9DkR-tkRGLpzh6k,https://www.google.com/maps/place/?q=place_id:ChIJI9chztAU9DkR-tkRGLpzh6k,part_387,2026-09-20 20:19:52,4276
Gyan Ganga Store,Shops,Book store,Book store,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",N/A,N/A,4.3,,"PXMM+6CG, Angwali-Phusro Rd, Phusro, Angwali, Jharkhand 829104",829104,23.7330573,85.9835927,ChIJDyloosYV9DkR4LFkjLnGS4o,https://www.google.com/maps/place/?q=place_id:ChIJDyloosYV9DkR4LFkjLnGS4o,part_387,2026-09-20 20:19:52,4277
Arun store,Shops,Store,Store,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",N/A,N/A,,,"QX4M+H3W, Rehwaghat Dhori Basti Rd, Bermo, Jharkhand 829104",829104,23.7564983,85.98271869999999,ChIJcakVTwAV9DkRSWMghziHMks,https://www.google.com/maps/place/?q=place_id:ChIJcakVTwAV9DkRSWMghziHMks,part_387,2026-09-20 20:19:54,4278
Raj Store,Shops,General store,General store,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",N/A,N/A,,,"Anugrah nagar, Bermo, Jharkhand 829104",Anugrah nagar,23.7788816,85.9645518,ChIJlU74VgAV9DkRTs9uyXEfwhA,https://www.google.com/maps/place/?q=place_id:ChIJlU74VgAV9DkRTs9uyXEfwhA,part_387,2026-09-20 20:19:54,4279
New Bishwanath enterprises,Shops,Laminating equipment supplier,"Laminating equipment supplier, Office equipment supplier, Printer ink refill store, Printer repair service",829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 93041 28686,N/A,4.5,33.0,"Telidih more, Bye Pass Rd, Chas, Jharkhand 827013","Prabhat Colony, Bansidih Colony",23.6319704,86.1684514,ChIJVVVVhfgj9DkRdAW8BsNrn-k,https://www.google.com/maps/place/?q=place_id:ChIJVVVVhfgj9DkRdAW8BsNrn-k,part_387,2026-09-20 20:19:54,4280
HELMET WORLD,Shops,Helmet Shop,Helmet Shop,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 62005 18127,http://helmetworldbhk24.com/,5.0,,"Patel nagar, Bhurkunda, Jharkhand 829106",829105,23.6491923,85.3664759,ChIJRWsTFrbt9DkRM8wvta037YY,https://www.google.com/maps/place/?q=place_id:ChIJRWsTFrbt9DkRM8wvta037YY,part_387,2026-09-20 20:20:32,10515
AB Shringar Store,Shops,Cosmetics store,Cosmetics store,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 95087 32288,N/A,4.0,1.0,"Matkama Marg, chowk, Bhurkunda, Jharkhand 829105",chowk,23.6396943,85.3629429,ChIJDfldd6bt9DkR08QpfKjDaXE,https://www.google.com/maps/place/?q=place_id:ChIJDfldd6bt9DkR08QpfKjDaXE,part_387,2026-09-20 20:20:32,10516
Sumit general store,Shops,General store,General store,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",N/A,N/A,5.0,1.0,"J9CF+365, Chikor, Jharkhand 829105",829105,23.620141999999998,85.3731111,ChIJA_cqwMvt9DkR1OeQOGqS-So,https://www.google.com/maps/place/?q=place_id:ChIJA_cqwMvt9DkR1OeQOGqS-So,part_387,2026-09-20 20:20:32,10517
Mamta Store,Shops,General store,General store,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",N/A,N/A,3.3,3.0,"J9JF+44X, Chikor, Jharkhand 829105",829105,23.63037,85.3728639,ChIJs9JndkLt9DkRXPn52EQ4z7c,https://www.google.com/maps/place/?q=place_id:ChIJs9JndkLt9DkRXPn52EQ4z7c,part_387,2026-09-20 20:20:32,10518
