business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
MEDILIFE SURGICAL,Surgical Equipment Supplier,Surgical supply store,Surgical supply store,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 99315 78042,N/A,4.9,,"Pahadi Mandir Lane, Jhárkhand, Ratu Rd, in front of Durga Mandir & Sai Mandir, near HDFC BANK, Ranchi, Jharkhand 834001",Kumhartoli,23.3792366,85.3123976,ChIJlT4Wi-Xg9DkRvzYNpOulrGQ,https://www.google.com/maps/place/?q=place_id:ChIJlT4Wi-Xg9DkRvzYNpOulrGQ,part_387,2026-09-20 20:19:26,1389
Surgineed Agency,Surgical Equipment Supplier,Surgical Products Wholesaler,Surgical Products Wholesaler,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",N/A,N/A,,,"M599+8RJ, Unnamed Road, Sector 5, Bokaro Steel City, Jharkhand 827006",Sector 5,23.6683301,86.16950299999999,ChIJp4qSYk8j9DkRpEz9kwoQ8L0,https://www.google.com/maps/place/?q=place_id:ChIJp4qSYk8j9DkRpEz9kwoQ8L0,part_387,2026-09-20 20:19:26,1390
Alisha Surgical Agency,Surgical Equipment Supplier,Surgical Products Wholesaler,Surgical Products Wholesaler,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 91991 35432,N/A,5.0,4.0,"Shop No- 5, Mahavir Mention, near Sanvika Hospital, Kunwar Singh Colony, Chas, Bokaro Steel City, Jharkhand 827013",Kunwar Singh Colony,23.637503199999998,86.1601249,ChIJp7bfJKUj9DkRicp4klKMb2w,https://www.google.com/maps/place/?q=place_id:ChIJp7bfJKUj9DkRicp4klKMb2w,part_387,2026-09-20 20:19:26,1391
Kailash Surgicals,Surgical Equipment Supplier,Surgical supply store,Surgical supply store,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 98352 68911,N/A,4.5,,"Near, Cart Sarai Rd, Upper Bazar, Ranchi, Jharkhand 834001",Upper Bazar,23.3713657,85.3201904,ChIJSdbcxwTh9DkRxySrlmJDHHg,https://www.google.com/maps/place/?q=place_id:ChIJSdbcxwTh9DkRxySrlmJDHHg,part_387,2026-09-20 20:19:27,1392
SUDHIR SURGICAL,Surgical Equipment Supplier,Surgical Products Wholesaler,Surgical Products Wholesaler,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 94311 73745,N/A,5.0,,"Hazaribagh Rd, near Bata, Tharpakna, Ranchi, Jharkhand 834001",Tharpakna,23.371592399999997,85.3301773,ChIJwfdjIWLh9DkRys3rlJHr5PY,https://www.google.com/maps/place/?q=place_id:ChIJwfdjIWLh9DkRys3rlJHr5PY,part_387,2026-09-20 20:19:27,1393
Carekraft,Surgical Equipment Supplier,Medical equipment supplier,"Medical equipment supplier, Battery Store, Disability equipment supplier, Hospital equipment and supplies, Medical Equipment Manufacturer, Medical supply store, Oxygen equipment supplier, Pharmacy, Physiotherapy equipment supplier, Surgical Products Wholesaler",829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 88848 54026,http://www.carekraft.co.in/,4.8,,"1st Floor, J K HEIGHTS, Shop No, 1/5, Diagonal Rd, near Mayur Hotel, Bistupur, Jamshedpur, Jharkhand 831001","South Park, Bistupur",22.790508,86.1833425,ChIJSy4TXvvj9TkRe6wX8IK2GHE,https://www.google.com/maps/place/?q=place_id:ChIJSy4TXvvj9TkRe6wX8IK2GHE,part_387,2026-09-20 20:19:27,1394
EL-MED Imaging,Surgical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 97080 38152,N/A,4.4,,"MIG-B/77, Housing Colony, Sardar Patel Nagar, Dhanbad, Jharkhand 826007","Housing Colony, Sardar Patel Nagar",23.804784299999998,86.43792479999999,ChIJxxCTSqW99jkR-IRWqPQGJsY,https://www.google.com/maps/place/?q=place_id:ChIJxxCTSqW99jkR-IRWqPQGJsY,part_387,2026-09-20 20:19:27,1395
Surgi-Med Sales,Surgical Equipment Supplier,Surgical supply store,"Surgical supply store, Medical supply store",829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 94319 18797,N/A,,,"QCJ9+MW7, Chandmari Road, Joraphatak Rd, Dhansar, Jharkhand 826007",Dhansar,23.7816576,86.4198047,ChIJxQaqOi2j9jkRU14ZGP40zVU,https://www.google.com/maps/place/?q=place_id:ChIJxQaqOi2j9jkRU14ZGP40zVU,part_387,2026-09-20 20:19:27,1396
Kamal Pharma Surgicals,Surgical Equipment Supplier,Surgical supply store,"Surgical supply store, Local medical services, Medical Center, Medical supply store, Surgical Products Wholesaler, Pharmacy",829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",+91 62030 51748,N/A,4.3,,"2nd Floor, Suraj Tower, Pennar Rd, SNP Area, Sakchi, Jamshedpur, Jharkhand 831001","SNP Area, Sakchi",22.8058361,86.20490029999999,ChIJq1zLgwPj9TkRktuFVll0fvc,https://www.google.com/maps/place/?q=place_id:ChIJq1zLgwPj9TkRktuFVll0fvc,part_387,2026-09-20 20:19:27,1397
SURGICAL MART - Hospital Bed Supplier in Ranchi | Surgical Equipment Dealers in Ranchi,Surgical Equipment Supplier,Surgical supply store,Surgical supply store,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 92046 66262,N/A,4.0,,"1st FLOOR, DASRATH COMPLEX, Booty More Rd, near MEDICA HOSPITAL, BARIYATU, Ranchi, Jharkhand 834012","Vijay Nagar, BARIYATU",23.397238599999998,85.37891479999999,ChIJwWKZk5zj9DkRazUnsHt4DFY,https://www.google.com/maps/place/?q=place_id:ChIJwWKZk5zj9DkRazUnsHt4DFY,part_387,2026-09-20 20:20:04,6212
