business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Sajawat Furnishing,Trousseau Home Decor,Home goods store,Home goods store,829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO",N/A,N/A,,,"18, Street 1B, Bari Co-operative Colony, Sector 4, Bokaro Steel City, Tentulia, Jharkhand 827010","Bari Co-operative Colony, Sector 4",23.6388702,86.1213458,ChIJ2dbkNmwj9DkRNPpwvvv0GUM,https://www.google.com/maps/place/?q=place_id:ChIJ2dbkNmwj9DkRNPpwvvv0GUM,part_387,2026-09-20 20:19:39,2835
Satish Decorator,Trousseau Home Decor,Home goods store,Home goods store,829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO",+91 89358 95304,N/A,3.7,,"Balsagra, Balsogra, Jharkhand 825330",829105,23.7640517,85.4360317,ChIJQbCCmnaS9DkR85uH8uZ56Sc,https://www.google.com/maps/place/?q=place_id:ChIJQbCCmnaS9DkR85uH8uZ56Sc,part_387,2026-09-20 20:20:18,8261
Saubhagya Sajja,Trousseau Home Decor,Wedding service,"Wedding service, Cake shop, Corporate gift supplier, Gift basket store, Gift shop, Packaging company, Party store, Wedding store",829106,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhurkunda Bazar SO, Deoria Bargaon BO, Jawaharnagar BO",+91 97986 72771,https://instagram.com/saubhagya_sajja,5.0,13.0,"Buxidih Rd, Buxidih, Giridih, Jharkhand 815301",Buxidih,24.1867642,86.3030371,ChIJN0HmlFRV8TkRyoysqt5dXuQ,https://www.google.com/maps/place/?q=place_id:ChIJN0HmlFRV8TkRyoysqt5dXuQ,part_387,2026-09-20 20:20:54,11447
Arihant Home Decor,Trousseau Home Decor,Plywood supplier,Plywood supplier,829106,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhurkunda Bazar SO, Deoria Bargaon BO, Jawaharnagar BO",+91 94311 01690,https://www.greenply.com/store/greenply-plywood-arihant-home-decore-best-plywood-shop-and-dealer-in-gharikana-chowk-ranchi_77,4.0,,"Chauhan Arcade, Lalji Hirji Rd, near Sarjana Chowk, Upper Bazar, Ranchi, Jharkhand 834001",Upper Bazar,23.3685659,85.321996,ChIJIz7zrwXh9DkRqPexNZ2PkEo,https://www.google.com/maps/place/?q=place_id:ChIJIz7zrwXh9DkRqPexNZ2PkEo,part_387,2026-09-20 20:20:55,11448
Marit Decor,Trousseau Home Decor,Gift shop,Gift shop,829107,Jharkhand Circle,Ranchi Region,Giridih Division,"Bokaro Thermal SO, Guniato BO, Kanjkiro BO",N/A,https://www.maritdecor.com/,4.7,,"83a, Girija Devi Marg, Block A, Kamla Nagar, Delhi, 110007","Block A, Kamla Nagar",28.681913899999998,77.2001834,ChIJj5o51Yj9DDkRug2yJ7tbhZ4,https://www.google.com/maps/place/?q=place_id:ChIJj5o51Yj9DDkRug2yJ7tbhZ4,part_387,2026-09-20 20:21:30,12820
The Decor Arts,Trousseau Home Decor,Wedding planner,"Wedding planner, Gift basket store",829107,Jharkhand Circle,Ranchi Region,Giridih Division,"Bokaro Thermal SO, Guniato BO, Kanjkiro BO",+91 97116 62526,https://thedecorarts.in/,4.9,,"4, 19, Racquet Ct Rd, Civil Lines, Delhi, 110054",Civil Lines,28.68538,77.22067779999999,ChIJixraNbz9DDkR6cNgOcDJJpI,https://www.google.com/maps/place/?q=place_id:ChIJixraNbz9DDkR6cNgOcDJJpI,part_387,2026-09-20 20:21:30,12821
Vihu trousseau packing,Trousseau Home Decor,Gift shop,Gift shop,829107,Jharkhand Circle,Ranchi Region,Giridih Division,"Bokaro Thermal SO, Guniato BO, Kanjkiro BO",+91 63940 00188,N/A,5.0,,"Cloud 9, H-2403, Sector-1, Vaishali, Ghaziabad, Uttar Pradesh 201010","Sector-1, Vaishali",28.6374271,77.333862,ChIJVaHHUwn7DDkRTTNEBdPQDH8,https://www.google.com/maps/place/?q=place_id:ChIJVaHHUwn7DDkRTTNEBdPQDH8,part_387,2026-09-20 20:21:30,12822
Sanjog Handloom,Trousseau Home Decor,Mattress store,"Mattress store, Bed shop, Cotton Supplier, Wallpaper store",829107,Jharkhand Circle,Ranchi Region,Giridih Division,"Bokaro Thermal SO, Guniato BO, Kanjkiro BO",+91 94311 64512,N/A,3.5,,"City Centre, Ja 6, near aastha care, Sector 4, Bokaro Steel City, Jharkhand 827004",Sector 4,23.667157099999997,86.14904489999999,ChIJeeQplrQj9DkRKjbm8eBZo_k,https://www.google.com/maps/place/?q=place_id:ChIJeeQplrQj9DkRKjbm8eBZo_k,part_387,2026-09-20 20:21:31,12823
Keshri Fabric,Trousseau Home Decor,Home improvement store,Home improvement store,829107,Jharkhand Circle,Ranchi Region,Giridih Division,"Bokaro Thermal SO, Guniato BO, Kanjkiro BO",+91 73783 98439,https://keshrifabric.com/,5.0,7.0,"Tata motor, Sector 4, Bokaro Steel City, Jharkhand 827004",Sector 4,23.673801299999997,86.1488615,ChIJhTR6TjUj9DkRADeme-m8zRw,https://www.google.com/maps/place/?q=place_id:ChIJhTR6TjUj9DkRADeme-m8zRw,part_387,2026-09-20 20:21:32,12824
Clover Enterprises - Home Furnishing Outlet in Bokaro,Trousseau Home Decor,Bedding store,"Bedding store, Corporate gift supplier, Window treatment store",829107,Jharkhand Circle,Ranchi Region,Giridih Division,"Bokaro Thermal SO, Guniato BO, Kanjkiro BO",+91 92290 43106,https://www.theclover.in/,,,"Ashiyana Garden, Plot No. 555, Phase 4, Chira Chas, Bokaro Steel City, Bhalsundha, Jharkhand 827013","Phase 4, Chira Chas",23.6520586,86.1797173,ChIJwy5CN-oh9DkR8U0bbLCYcq8,https://www.google.com/maps/place/?q=place_id:ChIJwy5CN-oh9DkR8U0bbLCYcq8,part_387,2026-09-20 20:21:32,12825
