business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Wisdom Dental Care - Dr.Pooja Sharma,Dental Clinic,Dental clinic,Dental clinic,829117,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bharechnagar BO, Digwar BO, Kander BO",+91 91555 08847,N/A,4.9,,"1st Floor, above Ramprasad Chandrabhan, Chatti bazar, Marwari Dharamshala, Ramgarh Cantonment, Jharkhand 829122","Chatti bazar, Marwari Dharamshala",23.6299201,85.51866609999999,ChIJJ8opnjvz9DkRQwUE37Yicq4,https://www.google.com/maps/place/?q=place_id:ChIJJ8opnjvz9DkRQwUE37Yicq4,part_387,2026-09-20 20:27:18
The Best Dental care Dr Anupama Khatri,Dental Clinic,Dental clinic,Dental clinic,829117,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bharechnagar BO, Digwar BO, Kander BO",+91 88639 53226,N/A,5.0,,"bajar Tand, Gola Rd, bajar Tand, Ramgarh Cantonment, Jharkhand 829122",bajar Tand,23.6266769,85.5259581,ChIJW1W0dwD19DkR5B03HSvFLIM,https://www.google.com/maps/place/?q=place_id:ChIJW1W0dwD19DkR5B03HSvFLIM,part_387,2026-09-20 20:27:18
Maa Parvati Dental Clinic,Dental Clinic,Dental clinic,Dental clinic,829117,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bharechnagar BO, Digwar BO, Kander BO",+91 99341 43891,N/A,5.0,,"Shop No.21, Veer Kuwar Singh Chowk, near Ram Mandir, Naisarai, Ramgarh Cantonment, Jharkhand 829122",Naisarai,23.6465049,85.5120701,ChIJHTMS0jjz9DkRhPRznyxNWVQ,https://www.google.com/maps/place/?q=place_id:ChIJHTMS0jjz9DkRhPRznyxNWVQ,part_387,2026-09-20 20:27:18
Rupali Dental Clinic,Dental Clinic,Dental clinic,Dental clinic,829117,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bharechnagar BO, Digwar BO, Kander BO",N/A,N/A,5.0,,"JGF8+7QV, Sumitra market, opposite football ground, Ramgarh Cantonment, Jharkhand 829122",Bijulia,23.6232334,85.51692,ChIJw4Gnof3z9DkR5yMpxcJ6WKo,https://www.google.com/maps/place/?q=place_id:ChIJw4Gnof3z9DkR5yMpxcJ6WKo,part_387,2026-09-20 20:27:18
Kalyani Dental Care (dr.shailendra Kumar),Dental Clinic,Dental clinic,Dental clinic,829117,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bharechnagar BO, Digwar BO, Kander BO",N/A,N/A,5.0,,"JGH7+HHW, Ramgarh Cantonment, Jharkhand 829122",829117,23.628976299999998,85.5139435,ChIJ3bIuWs7z9DkRGi4PEmnLxPM,https://www.google.com/maps/place/?q=place_id:ChIJ3bIuWs7z9DkRGi4PEmnLxPM,part_387,2026-09-20 20:27:18
Smile care Dental clinic orthodontic and implant center Dr. Alok ratan choudhary (MDS),Dental Clinic,Dentist,Dentist,829117,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bharechnagar BO, Digwar BO, Kander BO",N/A,N/A,5.0,,"1st Floor, Smile care, Singh market, Bijulia, Ramgarh Cantonment, Jharkhand 829122",Bijulia,23.6199641,85.5190641,ChIJVbllNADz9DkRH4lyhyOkzYc,https://www.google.com/maps/place/?q=place_id:ChIJVbllNADz9DkRH4lyhyOkzYc,part_387,2026-09-20 20:27:18
Smile Care Dr. Alok Ratan Choudhary,Dental Clinic,Hospital,Hospital,829117,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bharechnagar BO, Digwar BO, Kander BO",+91 82716 82994,N/A,4.8,,"bijulliya main road, Bijulia, Ramgarh Cantonment, Jharkhand 829122",Bijulia,23.620189999999997,85.51904139999999,ChIJk0EiFvbz9DkRLaqRDqcHG5Y,https://www.google.com/maps/place/?q=place_id:ChIJk0EiFvbz9DkRLaqRDqcHG5Y,part_387,2026-09-20 20:27:18
Shining Star Dental Care,Dental Clinic,Hospital,Hospital,829117,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bharechnagar BO, Digwar BO, Kander BO",N/A,N/A,5.0,,"JGF9+PHJ, Nehru Rd, Goriyaribag, Ramgarh Cantonment, Jharkhand 829122",Goriyaribag,23.6243293,85.5188852,ChIJFck3UQXz9DkRQXWT66efoF4,https://www.google.com/maps/place/?q=place_id:ChIJFck3UQXz9DkRQXWT66efoF4,part_387,2026-09-20 20:27:18
Krishna Dental Care,Dental Clinic,Dental clinic,Dental clinic,829117,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bharechnagar BO, Digwar BO, Kander BO",+91 94709 39583,N/A,4.9,,"Shiv Mandir, Main Road, near Bijullia, Bijulia, Ramgarh Cantonment, Jharkhand 829122",Bijulia,23.618758099999997,85.5199346,ChIJyyJxVy3z9DkRIp76x3zSQFE,https://www.google.com/maps/place/?q=place_id:ChIJyyJxVy3z9DkRIp76x3zSQFE,part_387,2026-09-20 20:27:19
Verma Dental Hospital & Implant Centre,Dental Clinic,Dental clinic,"Dental clinic, Cosmetic dentist, Dental implants periodontist, Dental implants provider, Dentist, Denture care center, Emergency care service, Oral surgeon, Orthodontist, Teeth whitening service",829117,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bharechnagar BO, Digwar BO, Kander BO",+91 84340 78149,N/A,4.2,,"near Milonee Club, Tagore Path, behind Park, Bijulia, Ramgarh Cantonment, Jharkhand 829122",Bijulia,23.6216272,85.52057459999999,ChIJ9fdLq47z9DkR6UPBKFIa9Oc,https://www.google.com/maps/place/?q=place_id:ChIJ9fdLq47z9DkR6UPBKFIa9Oc,part_387,2026-09-20 20:27:19
Uma Dental Care & Implant Center,Dental Clinic,Dental clinic,Dental clinic,829117,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bharechnagar BO, Digwar BO, Kander BO",N/A,N/A,5.0,,"MGJ5+35R, Sandi, Sanri alias Tilaiya, Jharkhand 829117",829117,23.680232699999998,85.50788659999999,ChIJE5veKwDz9DkRQO-5SNX0wsg,https://www.google.com/maps/place/?q=place_id:ChIJE5veKwDz9DkRQO-5SNX0wsg,part_387,2026-09-20 20:27:20
