business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bengal Motor Training School,Driving School,Drivers license training school,Drivers license training school,829129,Jharkhand Circle,Ranchi Region,Giridih Division,"Tenughat Dam SO, Religarha SO",N/A,N/A,4.8,137.0,"MWRF+G62, Bartaria Village, Burnpur, Asansol, West Bengal 713326","Bartaria Village, Burnpur",23.6912715,86.9230137,ChIJ0wAUfEUf9zkRjH-N8_RhBcY,https://www.google.com/maps/place/?q=place_id:ChIJ0wAUfEUf9zkRjH-N8_RhBcY,part_387,2026-09-20 20:33:17
National Standard Driving School,Driving School,Driving school,Driving school,829129,Jharkhand Circle,Ranchi Region,Giridih Division,"Tenughat Dam SO, Religarha SO",+91 82929 34274,N/A,4.9,,"BEFORE SWARNREKHA BRIDGE, Hatia, Ranchi, Jharkhand 834003","Choybasatoli, Hatia",23.2845065,85.3092798,ChIJ2Zdf7REf9TkRCUwrPDDMv3Y,https://www.google.com/maps/place/?q=place_id:ChIJ2Zdf7REf9TkRCUwrPDDMv3Y,part_387,2026-09-20 20:33:18
National A Plus Driving School,Driving School,Driving school,Driving school,829129,Jharkhand Circle,Ranchi Region,Giridih Division,"Tenughat Dam SO, Religarha SO",+91 77598 65857,N/A,4.9,,"Besides Central Academy School, Bariatu Rd, opposite old Army School, Ranchi, Jharkhand 834009",Morabadi,23.3885471,85.3368727,ChIJ64CNkEDh9DkRZqSmvmJfOdg,https://www.google.com/maps/place/?q=place_id:ChIJ64CNkEDh9DkRZqSmvmJfOdg,part_387,2026-09-20 20:33:18
Hindustan Motor Car Driving School Dhanbad,Driving School,Driving school,"Driving school, Drivers license training school, Engineering school, Learner driver training area, Motorcycle driving school",829129,Jharkhand Circle,Ranchi Region,Giridih Division,"Tenughat Dam SO, Religarha SO",+91 93347 78807,N/A,5.0,,"bus stand, Manohar Nagar... Near Dada Dadi park Housing Colony Behind Police line which go to Housing colony and also Way of Bartand, Special concern visit on Mob no, Dhanbad, Jharkhand 826007",Sardar Patel Nagar,23.8055357,86.43944069999999,ChIJj2gEESu99jkRb95mpDa7v-Q,https://www.google.com/maps/place/?q=place_id:ChIJj2gEESu99jkRb95mpDa7v-Q,part_387,2026-09-20 20:33:18
Professional Car Driving School,Driving School,Driving school,Driving school,829129,Jharkhand Circle,Ranchi Region,Giridih Division,"Tenughat Dam SO, Religarha SO",+91 91100 84515,N/A,4.5,,"374 b,block, near western music classes, Sonari, Jamshedpur, Jharkhand 831011","Kagal Nagar, Sonari",22.8223414,86.1766991,ChIJ0XcgHPnl9TkR9mf-AZSM8_U,https://www.google.com/maps/place/?q=place_id:ChIJ0XcgHPnl9TkR9mf-AZSM8_U,part_387,2026-09-20 20:33:18
A to Z Motor Training,Driving School,Driving school,Driving school,829129,Jharkhand Circle,Ranchi Region,Giridih Division,"Tenughat Dam SO, Religarha SO",+91 95079 17460,N/A,5.0,,"Gandhi Maidan Path, Rahmat Ganj, Masaurhi, Bihar 804452",Rahmat Ganj,25.355015899999998,85.0336394,ChIJ5_Y5PnGx8jkR_PSpPVhL2XI,https://www.google.com/maps/place/?q=place_id:ChIJ5_Y5PnGx8jkR_PSpPVhL2XI,part_387,2026-09-20 20:33:19
Daas Group Motor Driving Training School,Driving School,Driving school,Driving school,829129,Jharkhand Circle,Ranchi Region,Giridih Division,"Tenughat Dam SO, Religarha SO",+91 99185 90674,N/A,4.8,,"HDFC BANK KE BAGAL MEIN, pani tanki, NAWALPUR, KE PASS, Shivpur, Varanasi, Uttar Pradesh 221002","Near Natiniya Mai, Sector -B, Vishwanath Puri Colony, Shivpur",25.3709213,82.9721936,ChIJ2YhMAEUsjjkRDIX0uMuLwa4,https://www.google.com/maps/place/?q=place_id:ChIJ2YhMAEUsjjkRDIX0uMuLwa4,part_387,2026-09-20 20:33:19
New Chandel Driving center,Driving School,Driving school,Driving school,829129,Jharkhand Circle,Ranchi Region,Giridih Division,"Tenughat Dam SO, Religarha SO",+91 90583 88818,N/A,4.9,,"V3RH+PQQ, Centre Point, Gulzar Nagar, Civil Lines, Aligarh, Uttar Pradesh 202001","Centre Point, Gulzar Nagar, Civil Lines",27.8918438,78.0794859,ChIJcXyJWMKldDkR7FC_UvGGiis,https://www.google.com/maps/place/?q=place_id:ChIJcXyJWMKldDkR7FC_UvGGiis,part_387,2026-09-20 20:33:19
BMR Driving Training Research Institute,Driving School,Driving school,Driving school,829129,Jharkhand Circle,Ranchi Region,Giridih Division,"Tenughat Dam SO, Religarha SO",+91 70078 18830,N/A,5.0,,"B-33/44 A, Sunderpur, Batuapura, near Cancer Hospital, Varanasi, Uttar Pradesh 221005","Sundarpur, Nagwa",25.281067099999998,82.98603,ChIJJ3RrymkzjjkRasrrXcUa8ug,https://www.google.com/maps/place/?q=place_id:ChIJJ3RrymkzjjkRasrrXcUa8ug,part_387,2026-09-20 20:33:19
Mriganko Motor Training School,Driving School,Training center,Training center,829129,Jharkhand Circle,Ranchi Region,Giridih Division,"Tenughat Dam SO, Religarha SO",+91 76880 73287,N/A,4.8,,"I, 113, P.o, Baishnabghata Patuli Twp, Pancha Sayar, Kolkata, West Bengal 700094","P.o, Baishnabghata Patuli Township, Pancha Sayar",22.472141099999998,88.3876652,ChIJc2sXHIFxAjoRQaaOUldmcXw,https://www.google.com/maps/place/?q=place_id:ChIJc2sXHIFxAjoRQaaOUldmcXw,part_387,2026-09-20 20:33:19
