business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
YOGENDRA ROYAL STORE,Departmental Store,Supermarket,Supermarket,829130,Jharkhand Circle,Ranchi Region,Hazaribagh Division,Prc SO,N/A,N/A,5.0,1.0,"JH6C+G66, Chhatarmaru, Jharkhand 829130",829130,23.611293699999997,85.5705031,ChIJw-ZYx7f19DkR0Py5d_pJRhM,https://www.google.com/maps/place/?q=place_id:ChIJw-ZYx7f19DkR0Py5d_pJRhM,part_387,2026-09-20 20:33:39
BABA GENERAL STORE,Departmental Store,Indian grocery store,Indian grocery store,829130,Jharkhand Circle,Ranchi Region,Hazaribagh Division,Prc SO,+91 93047 21229,N/A,3.0,1.0,"Gola road, near hp petrol pump, Barlong, Huhua, Jharkhand 825101",829130,23.608610799999997,85.5646137,ChIJTx1nb5v19DkRLFf2AIHhIZ0,https://www.google.com/maps/place/?q=place_id:ChIJTx1nb5v19DkRLFf2AIHhIZ0,part_387,2026-09-20 20:33:39
Wali Ahmad,Departmental Store,Grocery store,Grocery store,829130,Jharkhand Circle,Ranchi Region,Hazaribagh Division,Prc SO,+91 93368 68072,N/A,,,"Chhattar Mandu, Jharkhand 825101",829130,23.6036695,85.5887676,ChIJVU65Ern39DkRgSMJ-o0zeOE,https://www.google.com/maps/place/?q=place_id:ChIJVU65Ern39DkRgSMJ-o0zeOE,part_387,2026-09-20 20:33:39
Anand Departmental Store,Departmental Store,Grocery store,"Grocery store, Sweet shop",829130,Jharkhand Circle,Ranchi Region,Hazaribagh Division,Prc SO,+91 172 463 4286,N/A,4.5,106.0,"Booth No. 15,16,17, Sector 51A, Sector 51, Chandigarh, 160043","Sector 51A, Sector 51",30.709872999999998,76.745113,ChIJBZRIHS7sDzkRQMHopBdVS14,https://www.google.com/maps/place/?q=place_id:ChIJBZRIHS7sDzkRQMHopBdVS14,part_387,2026-09-20 20:33:40
New Sham Provision Store,Departmental Store,American grocery store,"American grocery store, Dry Fruit Store",829130,Jharkhand Circle,Ranchi Region,Hazaribagh Division,Prc SO,+91 172 270 3275,N/A,4.6,246.0,"S.C.F. 11-12, 17G, Sector 22-C, Chandigarh, 160022","17G, Sector 22C, Sector 22-C",30.7307222,76.77306639999999,ChIJVVVVVaTtDzkR0SZwGy20wF4,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVaTtDzkR0SZwGy20wF4,part_387,2026-09-20 20:33:40
Ganpati Trading Company kharar,Departmental Store,Indian grocery store,Indian grocery store,829130,Jharkhand Circle,Ranchi Region,Hazaribagh Division,Prc SO,+91 98155 95032,N/A,4.3,135.0,"PJWX+WHG, Jhungian Rd, Janta Nagar, Kharar, Sahibzada Ajit Singh Nagar, Punjab 140301",Janta Nagar,30.7473158,76.6489563,ChIJR80KQvzvDzkRRaquK7AZafA,https://www.google.com/maps/place/?q=place_id:ChIJR80KQvzvDzkRRaquK7AZafA,part_387,2026-09-20 20:33:40
G.P. Super Market,Departmental Store,Supermarket,"Supermarket, Appliance store, Countertop store, Discount supermarket, Fresh food market, Frozen food store, Gift shop, Kitchen supply store, Market, Traditional market, Wholesale market",829130,Jharkhand Circle,Ranchi Region,Hazaribagh Division,Prc SO,+91 172 465 4446,N/A,4.1,1163.0,"SCO 7, near CBI, Sector 10, Panchkula, Haryana 134113","Sector 10, Budanpur",30.6917723,76.8512937,ChIJmfuRtmeTDzkRtVlG9tRNh04,https://www.google.com/maps/place/?q=place_id:ChIJmfuRtmeTDzkRtVlG9tRNh04,part_387,2026-09-20 20:33:40
Devish Departmental Store,Departmental Store,Grocery store,Grocery store,829130,Jharkhand Circle,Ranchi Region,Hazaribagh Division,Prc SO,+91 94785 93080,N/A,4.0,15.0,"Booth No. 15, Sector 42 C, 42C, Sector 42, Chandigarh, 160036","42C, Sector 42",30.723215999999997,76.7448758,ChIJlVN2WdHtDzkR0vzkjsgRZcA,https://www.google.com/maps/place/?q=place_id:ChIJlVN2WdHtDzkR0vzkjsgRZcA,part_387,2026-09-20 20:33:40
Dev Drishti Super Market,Departmental Store,General store,General store,829130,Jharkhand Circle,Ranchi Region,Hazaribagh Division,Prc SO,+91 91257 22065,N/A,4.7,23.0,"Andul Rd, near Oxford High School, Mourigram, Howrah, West Bengal 711109",Mourigram,22.5666741,88.2763167,ChIJ6e-aAQR5AjoRetMV9i8iK7U,https://www.google.com/maps/place/?q=place_id:ChIJ6e-aAQR5AjoRetMV9i8iK7U,part_387,2026-09-20 20:33:40
HM Morning Stores Pvt Ltd,Departmental Store,Department store,"Department store, Convenience store, Grocery store",829130,Jharkhand Circle,Ranchi Region,Hazaribagh Division,Prc SO,+91 11 2923 5133,N/A,3.8,74.0,"M-41A Greater Kailash, Part One, New Delhi, Delhi 110048","Greater Kailash-1, M Block, Greater Kailash I, Greater Kailash",28.550038999999998,77.23612,ChIJt6m08jPiDDkRQbu_y3wOlag,https://www.google.com/maps/place/?q=place_id:ChIJt6m08jPiDDkRQbu_y3wOlag,part_387,2026-09-20 20:33:40
