business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Aradhya cement,Building Material Supplier,Building materials store,Building materials store,829202,Jharkhand Circle,Ranchi Region,Palamau Division,"Balumath SO, Dahunawada BO, Balubhang BO",N/A,N/A,4.5,11.0,"VP5X+PG7, Jhabar, Jharkhand 829202",829202,23.8595741,84.7488577,ChIJX_A90dRFizkRLxJWjhAH7lM,https://www.google.com/maps/place/?q=place_id:ChIJX_A90dRFizkRLxJWjhAH7lM,part_387,2026-09-20 20:40:22
Deonandan Hardware,Building Material Supplier,Building materials store,Building materials store,829202,Jharkhand Circle,Ranchi Region,Palamau Division,"Balumath SO, Dahunawada BO, Balubhang BO",+91 99554 50031,N/A,4.0,22.0,"VQQX+4QP, Bariatu, Gari, Jharkhand 829202",829202,23.8878438,84.79946389999999,ChIJ04vIzDhQizkRpO68GG4Kkbw,https://www.google.com/maps/place/?q=place_id:ChIJ04vIzDhQizkRpO68GG4Kkbw,part_387,2026-09-20 20:40:22
SHREE RAM CEMENT,Building Material Supplier,Hardware store,Hardware store,829202,Jharkhand Circle,Ranchi Region,Palamau Division,"Balumath SO, Dahunawada BO, Balubhang BO",N/A,N/A,,,"Ganeshpur, Jharkhand 829202",829202,23.804912599999998,84.9027005,ChIJsewzFkRNizkRSUjPNmM6VVQ,https://www.google.com/maps/place/?q=place_id:ChIJsewzFkRNizkRSUjPNmM6VVQ,part_387,2026-09-20 20:40:22
Sahu cement nagar,Building Material Supplier,Hardware store,"Hardware store, Construction Material Wholesaler",829202,Jharkhand Circle,Ranchi Region,Palamau Division,"Balumath SO, Dahunawada BO, Balubhang BO",+91 91022 23459,N/A,,,"Chandwa, Nagar, latehar, Jharkhand 829203",Chandwa,23.7346628,84.7687124,ChIJhUo8FBNHizkRbjNoMfu9RJk,https://www.google.com/maps/place/?q=place_id:ChIJhUo8FBNHizkRbjNoMfu9RJk,part_387,2026-09-20 20:40:22
"Jindal Panther Cement - Mowar Traders | PCC, Composite & Tuffy Cement Supplier",Building Material Supplier,Building materials supplier,"Building materials supplier, Aggregate supplier, Cement Supplier, Cement Manufacturer",829202,Jharkhand Circle,Ranchi Region,Palamau Division,"Balumath SO, Dahunawada BO, Balubhang BO",+91 62075 63467,https://jindalpanthercement.com/,,,"Khata No- 73, Nea Meddile School, Plot No- 818/820, Lowagada, Ichak, Darha, Jharkhand 829202",Lowagada,23.91122,84.731556,ChIJvzCq0jRbizkRBCDcY0OHdEs,https://www.google.com/maps/place/?q=place_id:ChIJvzCq0jRbizkRBCDcY0OHdEs,part_387,2026-09-20 20:40:22
Anup Enterprises,Building Material Supplier,General store,"General store, Hardware store",829202,Jharkhand Circle,Ranchi Region,Palamau Division,"Balumath SO, Dahunawada BO, Balubhang BO",+91 85214 25782,N/A,5.0,2.0,"Main Chokw, near Panchayat Bhawan, Balu Bhang, Jharkhand 829202",Balu Bhang,23.985170099999998,84.7535904,ChIJkaqnPbFZizkRLC2wpKaHprs,https://www.google.com/maps/place/?q=place_id:ChIJkaqnPbFZizkRLC2wpKaHprs,part_387,2026-09-20 20:40:22
Arvind Enterprises,Building Material Supplier,Paint store,Paint store,829202,Jharkhand Circle,Ranchi Region,Palamau Division,"Balumath SO, Dahunawada BO, Balubhang BO",+91 95721 44321,N/A,5.0,2.0,"Medininagar - Balumath Rd, near Mahavir Mandir, Basukinath, Balumath, Jharkhand 829202",Basukinath,23.830134599999997,84.7862755,ChIJXY0rb9dPizkRwu6QUvDe-3Q,https://www.google.com/maps/place/?q=place_id:ChIJXY0rb9dPizkRwu6QUvDe-3Q,part_387,2026-09-20 20:40:22
Hind Electricals - Cona distributor,Building Material Supplier,Electrical supply store,"Electrical supply store, Electronics store",829202,Jharkhand Circle,Ranchi Region,Palamau Division,"Balumath SO, Dahunawada BO, Balubhang BO",+91 70043 09881,N/A,4.7,,"Sadar hospital, Chandandih, Latehar, Jharkhand 829206",Chandandih,23.7432145,84.5081355,ChIJE4KpKdBtizkRDK4-nbQc3sI,https://www.google.com/maps/place/?q=place_id:ChIJE4KpKdBtizkRDK4-nbQc3sI,part_387,2026-09-20 20:40:22
National sanitary,Building Material Supplier,Home builder,Home builder,829202,Jharkhand Circle,Ranchi Region,Palamau Division,"Balumath SO, Dahunawada BO, Balubhang BO",+91 95081 68566,N/A,5.0,,"Latehar, Jharkhand 829206",829202,23.751521099999998,84.4932908,ChIJjWd1fmxtizkRTb5mZLrwdCQ,https://www.google.com/maps/place/?q=place_id:ChIJjWd1fmxtizkRTb5mZLrwdCQ,part_387,2026-09-20 20:40:22
Ranjana Hardwear,Building Material Supplier,Hardware store,"Hardware store, Home goods store",829202,Jharkhand Circle,Ranchi Region,Palamau Division,"Balumath SO, Dahunawada BO, Balubhang BO",+91 74630 61779,N/A,4.0,3.0,"Ranjana Hardwear, Barhamoria Chowk, Ranchi, Humbu, Jharkhand 829202",829202,23.8729282,84.71808949999999,ChIJ_ag8svlbizkRGwUIWQVvIVk,https://www.google.com/maps/place/?q=place_id:ChIJ_ag8svlbizkRGwUIWQVvIVk,part_387,2026-09-20 20:40:23
Supriya Steel House,Building Material Supplier,Cement Supplier,"Cement Supplier, Construction Material Wholesaler, Iron ware dealer",829202,Jharkhand Circle,Ranchi Region,Palamau Division,"Balumath SO, Dahunawada BO, Balubhang BO",N/A,N/A,4.7,,"Ambaa kothi, Manas Path, Sasang, Latehar, Jharkhand 829206",Sasang,23.743014199999998,84.5003863,ChIJZT3XCT5sizkROffFAIwrI60,https://www.google.com/maps/place/?q=place_id:ChIJZT3XCT5sizkROffFAIwrI60,part_387,2026-09-20 20:40:23
Bangur Cement - Shree Ram Enterprises,Building Material Supplier,Cement Supplier,"Cement Supplier, Concrete contractor, Concrete product supplier, Construction Material Wholesaler",829202,Jharkhand Circle,Ranchi Region,Palamau Division,"Balumath SO, Dahunawada BO, Balubhang BO",+91 8071 683 512,https://dealers.bangurcement.com/bangur-cement-shree-ram-enterprises-cement-manufacturer-latehar-bokaro-474208/Home?utm_source=locator&utm_medium=googleplaces,3.0,,"Ground Floor, Dhobi Mohalla, near Shiv Mandir, Karkat, Bokaro, Latehar, Jharkhand 829206",Karkat,23.750000999999997,84.500001,ChIJi0I18y5tizkRCyjeKkraPdU,https://www.google.com/maps/place/?q=place_id:ChIJi0I18y5tizkRCyjeKkraPdU,part_387,2026-09-20 20:40:23
JK Lakshmi Cement Ltd. - Jai Maa Bhawani Traders,Building Material Supplier,Cement Supplier,"Cement Supplier, Building materials store, Cement Manufacturer, Construction equipment supplier, Construction Material Wholesaler",829202,Jharkhand Circle,Ranchi Region,Palamau Division,"Balumath SO, Dahunawada BO, Balubhang BO",+91 79037 43611,https://www.jklakshmicement.com/dealer-locator/,,,"00, Railway Station Rd, Latehar, Jharkhand 829207",829202,23.7417895,84.48517199999999,ChIJI_01upttizkRo2N4aiGGKqc,https://www.google.com/maps/place/?q=place_id:ChIJI_01upttizkRo2N4aiGGKqc,part_387,2026-09-20 20:40:23
Bangur Cement - Pratik Cement,Building Material Supplier,Cement Supplier,"Cement Supplier, Concrete contractor, Concrete product supplier, Construction Material Wholesaler",829202,Jharkhand Circle,Ranchi Region,Palamau Division,"Balumath SO, Dahunawada BO, Balubhang BO",+91 8071 683 429,https://dealers.bangurcement.com/bangur-cement-pratik-cement-cement-manufacturer-balumath-latehar-474200/Home?utm_source=locator&utm_medium=googleplaces,,,"Ground Floor, Morpa More, Basukinath, Balumath, Jharkhand 829202",Basukinath,23.830001,84.79000099999999,ChIJQU0sSH1PizkRIYtpWPDOqkk,https://www.google.com/maps/place/?q=place_id:ChIJQU0sSH1PizkRIYtpWPDOqkk,part_387,2026-09-20 20:40:23
🙏Rahul cement🙏,Building Material Supplier,Cement Supplier,Cement Supplier,829202,Jharkhand Circle,Ranchi Region,Palamau Division,"Balumath SO, Dahunawada BO, Balubhang BO",+91 93046 95155,N/A,4.8,,"GRR9+PJV block more, Near, Kuru, Jharkhand 835213",829202,23.5384428,84.8138206,ChIJ4wlyfzUxizkRxadEjrALCfY,https://www.google.com/maps/place/?q=place_id:ChIJ4wlyfzUxizkRxadEjrALCfY,part_387,2026-09-20 20:40:23
