business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Best Dermatologist in Ranchi - Prakash Skin & Hair Clinic | Skin | Hair Doctor in Ranchi,Skin Clinic and Dermatologist,Skin care clinic,Skin care clinic,829205,Jharkhand Circle,Ranchi Region,Palamau Division,"Khalari SO, Chama BO, Diwan Nagar BO",+91 62033 76486,https://prakashskinclinic.com/,4.9,42.0,"Harmu Rd, above SBI ATM, near Argora Chowk, Harmu Housing Colony, Delatoli, Ranchi, Jharkhand 834002","Harmu Housing Colony, Delatoli",23.351283499999997,85.29862709999999,ChIJMbG3EqLh9DkR9M23Wia8Lww,https://www.google.com/maps/place/?q=place_id:ChIJMbG3EqLh9DkR9M23Wia8Lww,part_387,2026-09-20 20:41:56
Dr. S S Chaudhary,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Cosmetic surgeon, Doctor, Dermatologist",829205,Jharkhand Circle,Ranchi Region,Palamau Division,"Khalari SO, Chama BO, Diwan Nagar BO",+91 94311 86554,N/A,4.3,24.0,"L. S. Skin & Dental, New Budhha Pharma, Booty Rd, near Gumla Petrol Pump, Vijay Nagar, Chowk, Ranchi, Jharkhand 834012","Vijay Nagar, Chowk",23.397735599999997,85.3866891,ChIJ23cI-SHj9DkRNbYFyQP6LBE,https://www.google.com/maps/place/?q=place_id:ChIJ23cI-SHj9DkRNbYFyQP6LBE,part_387,2026-09-20 20:41:56
Balajee Medical Hall - Neurologist/ Dermatologist/ Skin care clinic/Medical Shop/Best in Ranchi,Skin Clinic and Dermatologist,Dermatologist,"Dermatologist, Doctor, Drug store, Health consultant, Neurophysiologist, Pharmacy",829205,Jharkhand Circle,Ranchi Region,Palamau Division,"Khalari SO, Chama BO, Diwan Nagar BO",+91 70042 94283,https://balajimedicall.netlify.app/,4.8,64.0,"Shop No. 02, Modi Heights, Ratu Rd, Kumhartoli, Ranchi, Jharkhand 834001",Kumhartoli,23.3787445,85.3133775,ChIJzzQi4uHg9DkR66MpamcJfnM,https://www.google.com/maps/place/?q=place_id:ChIJzzQi4uHg9DkR66MpamcJfnM,part_387,2026-09-20 20:41:56
Shubh Skin Care And Research Centre,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,829205,Jharkhand Circle,Ranchi Region,Palamau Division,"Khalari SO, Chama BO, Diwan Nagar BO",+91 92045 11970,N/A,4.9,123.0,"Shubh Complex, near Sunday Market Road, Ratu, Ranchi, Jharkhand 835222",Ratu,23.4199532,85.2210142,ChIJw8SzTnvd9DkRKYwxlERsgVs,https://www.google.com/maps/place/?q=place_id:ChIJw8SzTnvd9DkRKYwxlERsgVs,part_387,2026-09-20 20:41:56
SkinLab Studio by Dr. Jamuna Pai - Ranchi,Skin Clinic and Dermatologist,Skin care clinic,Skin care clinic,829205,Jharkhand Circle,Ranchi Region,Palamau Division,"Khalari SO, Chama BO, Diwan Nagar BO",+91 99875 87147,https://ranchi.skinlab.in/,4.5,182.0,"2nd Floor, Urmila Gopal Bhawan, H-117, Harmu Housing Colony, Harmu, Ranchi, Jharkhand 834002","Harmu Housing Colony, Harmu",23.358483399999997,85.3087066,ChIJG4C9O9Lh9DkR4va_zHwpSIk,https://www.google.com/maps/place/?q=place_id:ChIJG4C9O9Lh9DkR4va_zHwpSIk,part_387,2026-09-20 20:41:56
Dr. M. S. ALI - Dermatologist,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,829205,Jharkhand Circle,Ranchi Region,Palamau Division,"Khalari SO, Chama BO, Diwan Nagar BO",+91 86030 20202,N/A,4.8,24.0,"Ali kothi, Purulia Rd, opp. Canaya Banquet Hall, KGN Colony, Kantatoli, Samlong, Ranchi, Jharkhand 834001","KGN Colony, Kantatoli, Samlong",23.360986399999998,85.3527175,ChIJKWq9PBvh9DkRnimQKu3ugkg,https://www.google.com/maps/place/?q=place_id:ChIJKWq9PBvh9DkRnimQKu3ugkg,part_387,2026-09-20 20:41:56
Dr. Minali Midha,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Cosmetic surgeon, Laser hair removal service, Dermatologist",829205,Jharkhand Circle,Ranchi Region,Palamau Division,"Khalari SO, Chama BO, Diwan Nagar BO",+91 92342 66335,https://twachaskinclinicranchi.com/,4.2,83.0,"GEL Church Complex, above TBZ jewellers, AC Market, Kanka, Ranchi, Jharkhand 834001","AC Market, Kanka",23.3586295,85.325839,ChIJI_GN1r_h9DkR80EcQZzpiDM,https://www.google.com/maps/place/?q=place_id:ChIJI_GN1r_h9DkR80EcQZzpiDM,part_387,2026-09-20 20:41:56
Dr Shiwani Gupta Best Hydrafacial/Acne Scar/Skin Care Clinic in Ranchi,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Cosmetic surgeon, Facial spa, Hair transplantation clinic, Hospital, Laser hair removal service, Permanent make-up clinic, Plastic surgeon, Plastic surgery clinic",829205,Jharkhand Circle,Ranchi Region,Palamau Division,"Khalari SO, Chama BO, Diwan Nagar BO",+91 97083 46672,https://nilamcosmetic.com/dr-shivani/,4.9,66.0,"3rd Floor, Nilam Plastic Cosmetic Hair center, SPM Tower, above Silver Studio, opposite Hotel Landmark, P&T Colony, Lalpur, Ranchi, Jharkhand 834001","P&T Colony, Lalpur",23.373068,85.3374955,ChIJj2pv0MLj9DkR6Cc7fEXzPA8,https://www.google.com/maps/place/?q=place_id:ChIJj2pv0MLj9DkR6Cc7fEXzPA8,part_387,2026-09-20 20:41:57
Dr. Purva,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,829205,Jharkhand Circle,Ranchi Region,Palamau Division,"Khalari SO, Chama BO, Diwan Nagar BO",+91 651 710 0880,https://www.orchidmedcentre.com/doctors/doctors_detail/dr-purva,4.2,48.0,"Ground Floor, Orchid medical Centre, Hazaribagh Rd, Lalpur, Ranchi, Jharkhand 834001",Lalpur,23.3712856,85.3335262,ChIJ8etHte3h9DkR4kzMqY2Tk_g,https://www.google.com/maps/place/?q=place_id:ChIJ8etHte3h9DkR4kzMqY2Tk_g,part_387,2026-09-20 20:41:57
Dr. Amit Kumar- Dermatologist in Ranchi,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Allergist, Dermatologist, Venereologist",829205,Jharkhand Circle,Ranchi Region,Palamau Division,"Khalari SO, Chama BO, Diwan Nagar BO",N/A,https://remedoapp.com/rweb/doctors/dr-amit-kumar-2-5078?utm_source=gmb&utm_medium=web&utm_campaign=tu,4.8,27.0,"Amit Kumar Clinic Sumitra Sadan, Hinoo Main Rd, beside Uco Bank, Hinoo, Ranchi, Jharkhand 834002","Kilburn Colony, Shivpuri Colony, Hinoo",23.3302297,85.3159357,ChIJO2W3YBbh9DkR_hLeGu-chtw,https://www.google.com/maps/place/?q=place_id:ChIJO2W3YBbh9DkR_hLeGu-chtw,part_387,2026-09-20 20:41:57
