business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Putri tola malhan,Civil Contractor and Builder,Home builder,Home builder,829208,Jharkhand Circle,Ranchi Region,Palamau Division,"Mc Cluskiganj SO, Nawadih BO, Nindra BO",N/A,N/A,4.0,3.0,"MV64+52, Malhan, Jharkhand 829208",829208,23.6604074,84.85513809999999,ChIJJ9NxbgA3izkRUgi7I5zi1uE,https://www.google.com/maps/place/?q=place_id:ChIJJ9NxbgA3izkRUgi7I5zi1uE,part_387,2026-09-20 20:43:47
Mccluskieganj Chandan Kumar home,Civil Contractor and Builder,Housing society,Housing society,829208,Jharkhand Circle,Ranchi Region,Palamau Division,"Mc Cluskiganj SO, Nawadih BO, Nindra BO",N/A,N/A,5.0,1.0,"MW2V+GVM, Mccluskieganj, Lapra, Jharkhand 829208",829208,23.6524345,84.9444771,ChIJoYaZdBzL9DkRGyvBshL9pco,https://www.google.com/maps/place/?q=place_id:ChIJoYaZdBzL9DkRGyvBshL9pco,part_387,2026-09-20 20:43:47
"R.K.bhagya, jharkhand",Civil Contractor and Builder,Housing society,Housing society,829208,Jharkhand Circle,Ranchi Region,Palamau Division,"Mc Cluskiganj SO, Nawadih BO, Nindra BO",N/A,N/A,5.0,2.0,"PWCM+CW2, Bhagea, Jharkhand 829202",829208,23.7210119,84.9347794,ChIJzV5uXABLizkRU92YODKGyOw,https://www.google.com/maps/place/?q=place_id:ChIJzV5uXABLizkRU92YODKGyOw,part_387,2026-09-20 20:43:47
TAJ FAY,Civil Contractor and Builder,Carpenter,Carpenter,829208,Jharkhand Circle,Ranchi Region,Palamau Division,"Mc Cluskiganj SO, Nawadih BO, Nindra BO",N/A,N/A,,,"Khalari, Mccluskieganj, Jharkhand 829208",829208,23.649854599999998,84.9439326,ChIJR2PC1CbL9DkRJJrqzvNlUq8,https://www.google.com/maps/place/?q=place_id:ChIJR2PC1CbL9DkRJJrqzvNlUq8,part_387,2026-09-20 20:43:47
Ranjeet Bhayia Home,Civil Contractor and Builder,Home builder,Home builder,829208,Jharkhand Circle,Ranchi Region,Palamau Division,"Mc Cluskiganj SO, Nawadih BO, Nindra BO",N/A,N/A,5.0,1.0,"JXX4+JW, Khalari, Mahuliya, Jharkhand 829205",829208,23.6483733,84.9568767,ChIJ8xDwQgDL9DkR_FtNHq4-6Uk,https://www.google.com/maps/place/?q=place_id:ChIJ8xDwQgDL9DkR_FtNHq4-6Uk,part_387,2026-09-20 20:43:47
Anmol ganjhu,Civil Contractor and Builder,Home builder,Home builder,829208,Jharkhand Circle,Ranchi Region,Palamau Division,"Mc Cluskiganj SO, Nawadih BO, Nindra BO",N/A,N/A,,,"JWMX+X96, Konka, Jharkhand 829208",829208,23.634903599999998,84.9483946,ChIJSQ-_SgDL9DkR9aB-FGL9LDI,https://www.google.com/maps/place/?q=place_id:ChIJSQ-_SgDL9DkR9aB-FGL9LDI,part_387,2026-09-20 20:43:47
Deepmita house,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,829208,Jharkhand Circle,Ranchi Region,Palamau Division,"Mc Cluskiganj SO, Nawadih BO, Nindra BO",N/A,N/A,,,"MX35+8VW, Bilariyaganj Road, Mahuliya Ktauwa, Khalari, Jharkhand 829205",829208,23.65336,84.9596961,ChIJw58o4IjL9DkR8fsrutl27aE,https://www.google.com/maps/place/?q=place_id:ChIJw58o4IjL9DkR8fsrutl27aE,part_387,2026-09-20 20:43:47
Rohit Munda (house),Civil Contractor and Builder,Home builder,Home builder,829208,Jharkhand Circle,Ranchi Region,Palamau Division,"Mc Cluskiganj SO, Nawadih BO, Nindra BO",N/A,N/A,,,"JWH8+W3H, Nindra, Belgara, Jharkhand 829208",829208,23.6298146,84.91522909999999,ChIJLRtcGwA1izkR0KT_Yj3Ep2E,https://www.google.com/maps/place/?q=place_id:ChIJLRtcGwA1izkR0KT_Yj3Ep2E,part_387,2026-09-20 20:43:47
Khalari Public,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,829208,Jharkhand Circle,Ranchi Region,Palamau Division,"Mc Cluskiganj SO, Nawadih BO, Nindra BO",+91 77819 53062,N/A,,,"Konka, Jharkhand 829208",829208,23.652105799999998,84.9497746,ChIJI_FFugPL9DkRIeWYPOvLZyE,https://www.google.com/maps/place/?q=place_id:ChIJI_FFugPL9DkRIeWYPOvLZyE,part_387,2026-09-20 20:43:47
Bhuvi homes,Civil Contractor and Builder,Architectural designer,Architectural designer,829208,Jharkhand Circle,Ranchi Region,Palamau Division,"Mc Cluskiganj SO, Nawadih BO, Nindra BO",+91 89866 99600,https://bhuvihomes.in/,4.7,73.0,"Pillar no 59, western tower, 3rd floor, Ratu Rd, Jawahar Nagar, Ranchi, Jharkhand 834001",Jawahar Nagar,23.3813465,85.3013781,ChIJAW-Q18Xh9DkRyBuaeUxVJ7o,https://www.google.com/maps/place/?q=place_id:ChIJAW-Q18Xh9DkRyBuaeUxVJ7o,part_387,2026-09-20 20:43:47
