business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jamshedpur Hardware & Sanitary Mart,Hardware Store,Hardware store,"Hardware store, Bathroom supply store, Tile store",831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 70338 14111,https://jamshedpurhardware.in/,4.5,,"milkhiram market, New, opposite Gurudwara Complex, Sakchi, Jamshedpur, Jharkhand 831001","Hirasingh Bagan, Sakchi",22.8015364,86.2070772,ChIJNcgXXaPk9TkRtXEoF6By7Og,https://www.google.com/maps/place/?q=place_id:ChIJNcgXXaPk9TkRtXEoF6By7Og,part_387,2026-09-20 20:46:05
"Jamshedpur Hardware, Jamshedpur",Hardware Store,Hardware store,"Hardware store, Store",831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 79 4933 1706,https://stores.kohler.co.in/kohler-exclusive-showroom-jamshedpur-hardware-jamshedpur-sakchi-jamshedpur-12801/overview/?brandId=b6ac8a14-78f9-4dc6-92e8-629136549e5a,3.7,,"Ground Floor, Milkhiram Market, Hirasingh Bagan, Sakchi, Jamshedpur, Jharkhand 831001","Hirasingh Bagan, Sakchi",22.8016115,86.2069571,ChIJJ9d4TwXj9TkRITbjo-BUIik,https://www.google.com/maps/place/?q=place_id:ChIJJ9d4TwXj9TkRITbjo-BUIik,part_387,2026-09-20 20:46:05
Sunil Hardware,Hardware Store,Hardware store,"Hardware store, Furniture accessories, Plywood supplier",831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 98351 74332,N/A,4.9,,"Sunil Hardware, H No, 776, Balichela Rd, near Bela Hotel, Sonari, Jamshedpur, Jharkhand 831011","Christanpara, Sonari",22.8217109,86.1772953,ChIJVYZ3nIfj9TkRIS7GnuTXKUU,https://www.google.com/maps/place/?q=place_id:ChIJVYZ3nIfj9TkRIS7GnuTXKUU,part_387,2026-09-20 20:46:05
Hardware Palace,Hardware Store,Hardware store,"Hardware store, Acrylic Dealer, Aluminium Supplier, Fastener supplier, Flooring store, Furniture accessories, Gypsum Product Supplier, Ladder supplier, Pipes Wholesaler, Screw supplier",831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 88093 09059,https://hardware-palace.grexa.site/,4.6,,"Lease Area, 504, Kashidih, Hirasingh Bagan, Sakchi, Jamshedpur, Jharkhand 831001","Hirasingh Bagan, Sakchi",22.8026339,86.2069628,ChIJtzrmQAXj9TkRzVSma5AXYoE,https://www.google.com/maps/place/?q=place_id:ChIJtzrmQAXj9TkRzVSma5AXYoE,part_387,2026-09-20 20:46:05
Charanraj Hardware,Hardware Store,Hardware store,Hardware store,831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 74848 56226,N/A,3.0,,"Sanchi, Jubilee Rd, Jubilee Park, Sakchi, Jamshedpur, Jharkhand 831001","Jubilee Park, Sakchi",22.810750799999997,86.1944145,ChIJfaKsbr7j9TkRvz2mcD8_IaY,https://www.google.com/maps/place/?q=place_id:ChIJfaKsbr7j9TkRvz2mcD8_IaY,part_387,2026-09-20 20:46:05
Jhalda Hardware & Tools Suppliers,Hardware Store,Hardware store,"Hardware store, Tool store",831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 94313 00698,N/A,4.2,,"12, Trunk Line, Sakchi, Jamshedpur, Jharkhand 831001",Sakchi,22.8036787,86.2055934,ChIJ5Yu-hw_j9TkRL2CDnxbyP8I,https://www.google.com/maps/place/?q=place_id:ChIJ5Yu-hw_j9TkRL2CDnxbyP8I,part_387,2026-09-20 20:46:05
Hardware Collection,Hardware Store,Hardware store,"Hardware store, Bathroom supply store, Countertop store, Door supplier, Home improvement store",831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 98351 90738,http://hardwarecollection.co/,4.4,,"Sakchi Market, 1/18, Kasidih, near Baradwari Durga Puja Maidan, Sakchi, Jamshedpur, Jharkhand 831001","Hirasingh Bagan, Sakchi",22.802840099999997,86.2110702,ChIJB35wXgPj9TkRxv6KkDzhjo8,https://www.google.com/maps/place/?q=place_id:ChIJB35wXgPj9TkRxv6KkDzhjo8,part_387,2026-09-20 20:46:05
Jharkhand Trading CO,Hardware Store,Hardware store,Hardware store,831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 94317 53530,N/A,4.8,,"Central Jama Masjid Complex, N - 4, Ambagan, Sakchi, Jamshedpur, Jharkhand 831001","Ambagan, Sakchi",22.8029844,86.2015696,ChIJY4qvc9nj9TkRhZgdEs42nA0,https://www.google.com/maps/place/?q=place_id:ChIJY4qvc9nj9TkRhZgdEs42nA0,part_387,2026-09-20 20:46:05
Pawan Hardware Store,Hardware Store,Hardware store,Hardware store,831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 657 223 0885,N/A,4.2,,"R633+XM5, Straight Mile Rd, SNP Area, Sakchi, Jamshedpur, Jharkhand 831001","SNP Area, Sakchi",22.8048991,86.2042432,ChIJZXqkcA_j9TkRw6ytFyaS95M,https://www.google.com/maps/place/?q=place_id:ChIJZXqkcA_j9TkRw6ytFyaS95M,part_387,2026-09-20 20:46:05
Harish Hardware Stores,Hardware Store,Hardware store,"Hardware store, Bathroom supply store, Pipe supplier, Water Pump Supplier",831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 83402 46362,N/A,4.2,,"Uday Aakash Tower, Dimna Rd, near Blue Bells School, Teachers colony, Subhash Colony, Mango, Jamshedpur, Jharkhand 831012","Teachers colony, Subhash Colony, Mango",22.8221621,86.2182789,ChIJ6fceBFPi9TkRW7T_0hbgpXM,https://www.google.com/maps/place/?q=place_id:ChIJ6fceBFPi9TkRW7T_0hbgpXM,part_387,2026-09-20 20:46:05
