business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shambhu*Nirmala Confectionery,Paan and FMCG Stall,Paan shop,Paan shop,831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",N/A,N/A,4.3,,"Q5XC+WM2, Green Enclave, Dhatkidih, Jamshedpur, Jharkhand 831005","Green Enclave, Dhatkidih",22.7997719,86.17163409999999,ChIJTzHOvGTj9TkR4xtU48dUnyE,https://www.google.com/maps/place/?q=place_id:ChIJTzHOvGTj9TkR4xtU48dUnyE,part_387,2026-09-20 20:45:52
Banarasi Paan Cafe,Paan and FMCG Stall,Paan shop,Paan shop,831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",N/A,N/A,4.6,,"Chowdhary Rd, beside Tulsi bhawan, Contractors Area, Bistupur, Jamshedpur, Jharkhand 831001","Contractors Area, Bistupur",22.7980999,86.1811956,ChIJr0orJyvj9TkRe5vA157nnTA,https://www.google.com/maps/place/?q=place_id:ChIJr0orJyvj9TkRe5vA157nnTA,part_387,2026-09-20 20:45:52
Hari pan shop and puja bhandar,Paan and FMCG Stall,Store,Store,831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",N/A,N/A,4.4,,"R462+JRF, Gamharia, Jamshedpur, Jharkhand 832108",Gamharia,22.8115748,86.1020533,ChIJbUcXkILl9TkR3g4SDTQLbRE,https://www.google.com/maps/place/?q=place_id:ChIJbUcXkILl9TkR3g4SDTQLbRE,part_387,2026-09-20 20:45:52
Banshi paan dukan,Paan and FMCG Stall,Paan shop,Paan shop,831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 82106 55025,N/A,5.0,,"R556+W93, Uliyan, Jamshedpur, Jharkhand 831005",Uliyan,22.8097739,86.1609294,ChIJ-ewJGNjl9TkRsoO_J0XSZ5A,https://www.google.com/maps/place/?q=place_id:ChIJ-ewJGNjl9TkRsoO_J0XSZ5A,part_387,2026-09-20 20:45:52
Ravi Bettel Shop,Paan and FMCG Stall,Ice cream shop,"Ice cream shop, Cell phone store, General store, Tobacco shop",831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 89877 70045,N/A,4.2,,"Q5VF+V64, New Rani Kudar, Kadma, Jamshedpur, Jharkhand 831005","New Rani Kudar, Kadma",22.7946299,86.173084,ChIJBcEp1p3k9TkRl3v-8LBVq-k,https://www.google.com/maps/place/?q=place_id:ChIJBcEp1p3k9TkRl3v-8LBVq-k,part_387,2026-09-20 20:45:52
Paan shop,Paan and FMCG Stall,General store,General store,831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",N/A,N/A,5.0,,"R6F2+9MX, Old Purulia Rd, Zakir Nagar, Mango, Jamshedpur, Jharkhand 831012","Zakir Nagar, Mango",22.8234757,86.2017216,ChIJU6sLFXzj9TkRr9Evkf4GkZk,https://www.google.com/maps/place/?q=place_id:ChIJU6sLFXzj9TkRr9Evkf4GkZk,part_387,2026-09-20 20:45:52
Annapurna Khan pan kendra,Paan and FMCG Stall,Restaurant,Restaurant,831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 93345 54117,N/A,4.8,,"Vijaya Gardens Road, Vijaya Gardens, Baridih, Jamshedpur, Jharkhand 831017","Vijaya Gardens, Baridih",22.800779799999997,86.259322,ChIJmZSe-t4J9jkRf-tXrNERibc,https://www.google.com/maps/place/?q=place_id:ChIJmZSe-t4J9jkRf-tXrNERibc,part_387,2026-09-20 20:45:52
TIKKU PAN SHOP,Paan and FMCG Stall,Tobacco shop,Tobacco shop,831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 96086 03377,N/A,4.8,6.0,"GST Bhavan, Near, opposite Dasaprakash, Jamshedpur, Jharkhand 831001","South Park, Bistupur",22.7922419,86.1766304,ChIJiY8dk0jj9TkR7Quk1CzcxSM,https://www.google.com/maps/place/?q=place_id:ChIJiY8dk0jj9TkR7Quk1CzcxSM,part_387,2026-09-20 20:45:52
Rashtriya Pan Darbar (RPD),Paan and FMCG Stall,Paan shop,"Paan shop, Catering food and drink supplier, Caterer, Dessert shop, Food products supplier, Restaurant, Restaurant supply store",831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 88403 52168,http://linktr.ee/rashtriyapandarbar_2022,4.9,209.0,"Karan plaza, sector-I, near ashiyana chauraha, kanpur, road, LDA Colony, Lucknow, Uttar Pradesh 226012","Sector I, LDA Colony",26.7951452,80.91302859999999,ChIJYQjxX1r9mzkRENboQ_d384c,https://www.google.com/maps/place/?q=place_id:ChIJYQjxX1r9mzkRENboQ_d384c,part_387,2026-09-20 20:45:52
Paan shop,Paan and FMCG Stall,Restaurant,Restaurant,831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",N/A,N/A,,,"Q5XJ+8G8, Inner Cir Rd, Contractors Area, Bistupur, Jamshedpur, Jharkhand 831001","Contractors Area, Bistupur",22.7982786,86.18132489999999,ChIJnaeAJIfj9TkRPbdov8UFabQ,https://www.google.com/maps/place/?q=place_id:ChIJnaeAJIfj9TkRPbdov8UFabQ,part_387,2026-09-20 20:45:52
