business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
NETSTALK,Tax and GST Consultant,Tax consultant,Tax consultant,831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 99343 28080,N/A,4.9,,"2ND FLOOR, Gajraj Mansion, Diagonal Rd, South Park, Bistupur, Jamshedpur, Jharkhand 831001","South Park, Bistupur",22.791507,86.1837965,ChIJY9bmbqHj9TkROVbSWcE19WQ,https://www.google.com/maps/place/?q=place_id:ChIJY9bmbqHj9TkROVbSWcE19WQ,part_387,2026-09-20 20:46:19
Arora Consultancy Service,Tax and GST Consultant,Tax consultant,Tax consultant,831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 80925 53765,https://aroraconsultancyservice.blogspot.com/,4.8,,"Ground Floor H. No 20 Road No 1 Sakchi New, Kasidih, Jamshedpur, Jharkhand 831001","Hirasingh Bagan, Kasidih",22.803923299999997,86.21149179999999,ChIJN5dlcAPj9TkR7JaqfTqDlls,https://www.google.com/maps/place/?q=place_id:ChIJN5dlcAPj9TkR7JaqfTqDlls,part_387,2026-09-20 20:46:19
Single Window Consultancy Services Pvt Ltd,Tax and GST Consultant,Tax consultant,Tax consultant,831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 92634 01551,N/A,5.0,,"Ground Floor, Siver Cage Mall, Main Rd,Bistupur, near Indian Overseas Bank, Bistupur, Jamshedpur, Jharkhand 831001","South Park, Bistupur",22.7917791,86.18442979999999,ChIJvYW7ZAHj9TkRPYevxy7HcoY,https://www.google.com/maps/place/?q=place_id:ChIJvYW7ZAHj9TkRPYevxy7HcoY,part_387,2026-09-20 20:46:19
ANSH & ASSOCIATES,Tax and GST Consultant,Tax attorney,Tax attorney,831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 62017 12521,https://anshassociates.in/,5.0,,"Shop No U-7, 1st Floor, Akash Ganga Apartment, Front of Hanuman Mandir, Purulia Rd, Ramkrishna Colony, Mango, Jamshedpur, Jharkhand 831012","Ramkrishna Colony, Mango",22.8230194,86.2123695,ChIJiQh9X3Hj9TkRHNi_YAdCyrU,https://www.google.com/maps/place/?q=place_id:ChIJiQh9X3Hj9TkRHNi_YAdCyrU,part_387,2026-09-20 20:46:19
Quicktab Ld Esolutions Private Limited,Tax and GST Consultant,Tax consultant,"Tax consultant, Business management consultant, Computer support and services, Income tax help association, Tax preparation, Tax preparation service, Website designer",831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 79030 01302,https://legalsewa.co.in/,3.7,,"Holding No-342, Line, 12, New Kalimati Rd, opposite Sakchi Gurudwara, Jamshedpur, Jharkhand 831001","Hirasingh Bagan, Kasidih",22.8011941,86.2081271,ChIJZYCijFvh1GQRVXFQyokCLW8,https://www.google.com/maps/place/?q=place_id:ChIJZYCijFvh1GQRVXFQyokCLW8,part_387,2026-09-20 20:46:19
TAX CORP,Tax and GST Consultant,Chartered accountant,"Chartered accountant, Loan agency, Tax preparation service",831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 92795 98114,https://www.instagram.com/tax_corp?igsh=aDdtOXllOTl1enBx,5.0,,"3RD. FLOOR, SUIT, B. S. TRADE CENTRE, 03, R Rd, near RAM MANDIR, South Park, Bistupur, Jamshedpur, Jharkhand 831001","South Park, Bistupur",22.789109399999997,86.1828773,ChIJNxWwqIfj9TkR9afg3dvZZ4k,https://www.google.com/maps/place/?q=place_id:ChIJNxWwqIfj9TkR9afg3dvZZ4k,part_387,2026-09-20 20:46:19
Gst & Accounting Solutions / Pandit & Associates ( Law Firm),Tax and GST Consultant,Law firm,Law firm,831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 89875 70570,https://ikalash.com/,5.0,,"1-8, Q.n. 34, Rd Number 12, Adityapur 2, Bikrampur, Adityapur, Jamshedpur, Jharkhand 831013","Adityapur 2, Bikrampur, Adityapur",22.774445,86.1620016,ChIJE0DB8LDk9TkRLzWXvQejs_8,https://www.google.com/maps/place/?q=place_id:ChIJE0DB8LDk9TkRLzWXvQejs_8,part_387,2026-09-20 20:46:19
SDJ Professional Services,Tax and GST Consultant,Consultant,Consultant,831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",N/A,N/A,5.0,,"2ND FLOOR, Ramrup Tulsi Bhawan, Diagonal Rd, South Park, Bistupur, Jamshedpur, Jharkhand 831001","South Park, Bistupur",22.7911188,86.1837977,ChIJ1RgSPmHj9TkR-kjyF32qPwE,https://www.google.com/maps/place/?q=place_id:ChIJ1RgSPmHj9TkR-kjyF32qPwE,part_387,2026-09-20 20:46:19
B.K. Saraiwala And Co.,Tax and GST Consultant,Chartered accountant,Chartered accountant,831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 98351 20628,N/A,4.2,,"IInd Floor, Bumbra Enclave, Q Rd, South Park, Bistupur, Jamshedpur, Jharkhand 831001","South Park, Bistupur",22.789665799999998,86.1826909,ChIJwyKOd2fj9TkRrmmUpS3zshM,https://www.google.com/maps/place/?q=place_id:ChIJwyKOd2fj9TkRrmmUpS3zshM,part_387,2026-09-20 20:46:19
R K VERMAN & ASSOCIATES,Tax and GST Consultant,Lawyer,Lawyer,831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO",+91 93342 89994,N/A,4.9,,"Ram Lila Maidan, 2/2, 2ND FLOOR, SWASTIK MOHINI TOWER, 921 + 922, Sakchi, Jamshedpur, Jharkhand 831001","Rajendra Nagar, Sakchi",22.8061452,86.20779,ChIJ_Y4D7ATj9TkR7ZhCWpGgwnc,https://www.google.com/maps/place/?q=place_id:ChIJ_Y4D7ATj9TkR7ZhCWpGgwnc,part_387,2026-09-20 20:46:19
