business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sundar Nagar Hostel,Hostels,Student housing center,Student housing center,831002,Jharkhand Circle,Ranchi Region,Singhbhum Division,"BKutung BO, Bagbera BO, Bara Deoli BO",N/A,N/A,3.7,73.0,"P6M2+M67, Jadugar Main Road, East Singhbhur, Sunder Nagar, Jamshedpur, Jharkhand 832107","East Singhbhur, Sunder Nagar",22.7341519,86.2005554,ChIJ8xwPIOz89TkRQ3rtRQU7lT8,https://www.google.com/maps/place/?q=place_id:ChIJ8xwPIOz89TkRQ3rtRQU7lT8,part_387,2026-09-20 20:46:51
S K Hostel & PG,Hostels,Boys' hostel,"Boys' hostel, Boarding house, Extended stay hotel, Guest house, Backpacker Hostel, Home Stay, Serviced accommodation, Service Apartment, Student housing center, Youth Hostel",831002,Jharkhand Circle,Ranchi Region,Singhbhum Division,"BKutung BO, Bagbera BO, Bara Deoli BO",+91 99737 65133,N/A,4.5,132.0,"Ashok Path, 4, Puchi Gorakh Path, Bhatia Basti, Kadma, Jamshedpur, Jharkhand 831005","Bhatia Basti, Kadma",22.8094625,86.1528251,ChIJl6O5BPXk9TkRuoJ6Ia83k38,https://www.google.com/maps/place/?q=place_id:ChIJl6O5BPXk9TkRuoJ6Ia83k38,part_387,2026-09-20 20:46:51
Nkk,Hostels,Backpacker Hostel,Backpacker Hostel,831002,Jharkhand Circle,Ranchi Region,Singhbhum Division,"BKutung BO, Bagbera BO, Bara Deoli BO",N/A,N/A,,,"Q5C5+Q7G, 432, Ashram Colony, Banta Nagar, Adityapur, Jamshedpur, Jharkhand 831013","Ashram Colony, Banta Nagar, Adityapur",22.7713,86.15809999999999,ChIJ5wwaPQDl9TkRVn5zCIxm4xY,https://www.google.com/maps/place/?q=place_id:ChIJ5wwaPQDl9TkRVn5zCIxm4xY,part_387,2026-09-20 20:46:51
New hostel,Hostels,Education center,Education center,831002,Jharkhand Circle,Ranchi Region,Singhbhum Division,"BKutung BO, Bagbera BO, Bara Deoli BO",N/A,N/A,5.0,2.0,"Q4FW+4FR, Dhowadungri, Adityapur, Jamshedpur, Jharkhand 831014","Dhowadungri, Adityapur",22.7733798,86.1450997,ChIJobZZAQDl9TkRJzBEy2gGCgo,https://www.google.com/maps/place/?q=place_id:ChIJobZZAQDl9TkRJzBEy2gGCgo,part_387,2026-09-20 20:46:51
NSTI Jamsedpur Boys Hostel,Hostels,Boys' hostel,Boys' hostel,831002,Jharkhand Circle,Ranchi Region,Singhbhum Division,"BKutung BO, Bagbera BO, Bara Deoli BO",N/A,https://nstijamshedpur.dgt.gov.in/#lang=hi,5.0,4.0,"Q5V2+28C, LIC Colony, Adityapur, Jamshedpur, Jharkhand 832109","LIC Colony, Adityapur",22.7925547,86.15077219999999,ChIJu4EDfQDl9TkR7_8Z-PfjNyI,https://www.google.com/maps/place/?q=place_id:ChIJu4EDfQDl9TkR7_8Z-PfjNyI,part_387,2026-09-20 20:46:51
Sukanya Girl's Hostel,Hostels,Girls' hostel,Girls' hostel,831002,Jharkhand Circle,Ranchi Region,Singhbhum Division,"BKutung BO, Bagbera BO, Bara Deoli BO",+91 86034 84305,N/A,3.6,31.0,"P6Q4+9GH, Halubani, Namotola, Sunder Nagar, Jamshedpur, Bayangbil, Jharkhand 832107","Halubani, Namotola, Sunder Nagar",22.7384475,86.2063726,ChIJsb_WMeb89TkR1MYrFEydaD8,https://www.google.com/maps/place/?q=place_id:ChIJsb_WMeb89TkR1MYrFEydaD8,part_387,2026-09-20 20:46:51
Jamshedpur Lodge,Hostels,Lodge,Lodge,831002,Jharkhand Circle,Ranchi Region,Singhbhum Division,"BKutung BO, Bagbera BO, Bara Deoli BO",+91 92790 18818,N/A,2.9,109.0,"Q59W+XP2, Station Road, Tatanagar, near IndianOil, Jamshedpur, Jharkhand 831002","Kumar Chowk, Jugsalai",22.769877899999997,86.196754,ChIJlZNRlTXj9TkREnY8vwFEhTg,https://www.google.com/maps/place/?q=place_id:ChIJlZNRlTXj9TkREnY8vwFEhTg,part_387,2026-09-20 20:46:52
Rahul Lodge,Hostels,Lodge,Lodge,831002,Jharkhand Circle,Ranchi Region,Singhbhum Division,"BKutung BO, Bagbera BO, Bara Deoli BO",+91 657 229 3328,N/A,3.4,162.0,"Q5GP+73V, Chowk Bazar, Jugsalai, Jamshedpur, Jharkhand 831006","Chowk Bazar, Jugsalai",22.775743,86.185164,ChIJ71LVHlDj9TkRYQeOjxrt5dQ,https://www.google.com/maps/place/?q=place_id:ChIJ71LVHlDj9TkRYQeOjxrt5dQ,part_387,2026-09-20 20:46:52
Neelam Niwas,Hostels,Boys' hostel,Boys' hostel,831002,Jharkhand Circle,Ranchi Region,Singhbhum Division,"BKutung BO, Bagbera BO, Bara Deoli BO",+91 70040 58528,N/A,4.2,38.0,"LIG-79, SECTOR-7, NEW HOUSING COLONY, Dindli Basti, Adityapur, Jamshedpur, Jharkhand 831013","SECTOR-7, NEW HOUSING COLONY, Dindli Basti, Adityapur",22.7900815,86.1693574,ChIJG36ZTVbl9TkRUc_gs5_zm0E,https://www.google.com/maps/place/?q=place_id:ChIJG36ZTVbl9TkRUc_gs5_zm0E,part_387,2026-09-20 20:46:52
Bhursa,Hostels,Backpacker Hostel,Backpacker Hostel,831002,Jharkhand Circle,Ranchi Region,Singhbhum Division,"BKutung BO, Bagbera BO, Bara Deoli BO",N/A,N/A,,,"Q55J+X28, Tata, men road, Rola, chaibasa, Jharkhand 831002","Rola, Jugsalai",22.7599047,86.1800832,ChIJb6coZgD99TkRIwVLfIoDrzY,https://www.google.com/maps/place/?q=place_id:ChIJb6coZgD99TkRIwVLfIoDrzY,part_387,2026-09-20 20:46:52
Swarnrekha Lodge,Hostels,Lodge,Lodge,831002,Jharkhand Circle,Ranchi Region,Singhbhum Division,"BKutung BO, Bagbera BO, Bara Deoli BO",+91 94701 92236,N/A,3.8,31.0,"Raji Bhawan, Post Office, Station Rd, Tatanagar, Jugsalai, Jamshedpur, Jharkhand 831002","Tatanagar, Jugsalai",22.7710722,86.19507,ChIJezS-A0rj9TkR3whMQA15rlU,https://www.google.com/maps/place/?q=place_id:ChIJezS-A0rj9TkR3whMQA15rlU,part_387,2026-09-20 20:46:52
Meta Block A,Hostels,Backpacker Hostel,Backpacker Hostel,831002,Jharkhand Circle,Ranchi Region,Singhbhum Division,"BKutung BO, Bagbera BO, Bara Deoli BO",N/A,N/A,,,"Q4CV+VRJ, Dhowadungri, Adityapur, Jamshedpur, Jharkhand 831014","Dhowadungri, Adityapur",22.7722038,86.144527,ChIJb1GKLgDl9TkR5HhOVwRvWI8,https://www.google.com/maps/place/?q=place_id:ChIJb1GKLgDl9TkR5HhOVwRvWI8,part_387,2026-09-20 20:46:52
