business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Jamshedpur tour and travels,Bus Booking Agency,Travel agency,Travel agency,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 97090 78444,N/A,4.6,,"qr no-19, no-2, Bajrangi, bagan road, near hanuman mandir, Bajrangi Bagan, Lakshimi Nagar, Burma Mines, Jamshedpur, Jharkhand 831007","Bajrangi Bagan, Lakshimi Nagar, Burma Mines",22.7684213,86.21916929999999,ChIJVzMLLIfj9TkRseFDxdX8Y_A,https://www.google.com/maps/place/?q=place_id:ChIJVzMLLIfj9TkRseFDxdX8Y_A,part_388,2026-09-20 20:19:29,2593
MUNNA JI TOUR & TRAVELS,Bus Booking Agency,Travel agency,Travel agency,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 62017 37324,N/A,4.9,,"ZONE NO, BHUBNESWARI MANDIR, Rd Number 1B, near BHUVNESHWARI MANDIR, Birsanagar, Jamshedpur, Jharkhand 831004","Sadhudera, Birsanagar",22.7802678,86.2621522,ChIJT8CILy0J9jkRoh6SKITa6MY,https://www.google.com/maps/place/?q=place_id:ChIJT8CILy0J9jkRoh6SKITa6MY,part_388,2026-09-20 20:19:29,2594
Yash Travels,Bus Booking Agency,Travel agency,"Travel agency, Car leasing service, Car rental agency, Taxi service, Tour agency",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 93047 49724,https://yash-travels.grexa.site/,5.0,,"Vidyapati Nagar, Baridih, Jamshedpur, Jharkhand 831017","Vidyapati Nagar, Baridih",22.7969877,86.2393312,ChIJc8P81rDj9TkROIW6MicZBH8,https://www.google.com/maps/place/?q=place_id:ChIJc8P81rDj9TkROIW6MicZBH8,part_388,2026-09-20 20:19:29,2595
Ticket zone,Bus Booking Agency,Railway Ticket Agent,"Railway Ticket Agent, Airline ticket agency",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",N/A,N/A,4.6,,"Sunday Market, Main Rd, Zone Number 4, Birsanagar, Jamshedpur, Jharkhand 831019","Zone Number 4, Birsanagar",22.7849865,86.2509,ChIJpcv5TV0J9jkRlUch4egL8Bk,https://www.google.com/maps/place/?q=place_id:ChIJpcv5TV0J9jkRlUch4egL8Bk,part_388,2026-09-20 20:19:29,2596
Baba Shankar Agency,Bus Booking Agency,Bus ticket agency,"Bus ticket agency, Bus charter, Car rental agency, Extended stay hotel",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 657 222 0308,N/A,3.5,,"Building no 2, Building No Bus Stand 2, Purulia Rd, Mango, Jamshedpur, Jharkhand 831009","Gandhi Ghat, Mango",22.815237,86.21256629999999,ChIJMwJ-Oqrj9TkREO4E_ujxcmA,https://www.google.com/maps/place/?q=place_id:ChIJMwJ-Oqrj9TkREO4E_ujxcmA,part_388,2026-09-20 20:19:29,2597
Shahid Bus Travel,Bus Booking Agency,Travel agency,"Travel agency, Bus company, Bus depot, Bus ticket agency, Bus tour agency, Transportation service",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",N/A,N/A,5.0,,"Bus Stand, Mango, Jamshedpur, Deoghar, Jharkhand 831012",Mango,22.8294867,86.2584905,ChIJEXcFc84J9jkRPnpEAkTh1kc,https://www.google.com/maps/place/?q=place_id:ChIJEXcFc84J9jkRPnpEAkTh1kc,part_388,2026-09-20 20:19:29,2598
My Travel Guru,Bus Booking Agency,Travel agency,"Travel agency, Airline ticket agency, Auto insurance agency, Money transfer service, Railway Ticket Agent",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 98355 59222,N/A,4.3,,"Holding No 62, Golmuri Market, near Dominos, opposite of Kumar Tent House, Kadma Market, Golmuri, Jamshedpur, Jharkhand 831003","Kadma Market, Golmuri",22.7930831,86.22169079999999,ChIJQ1VVFeLi9TkRn4aXp8t7doc,https://www.google.com/maps/place/?q=place_id:ChIJQ1VVFeLi9TkRn4aXp8t7doc,part_388,2026-09-20 20:19:29,2599
DRIVE ON DEMAND TRAVELS,Bus Booking Agency,Travel agency,Travel agency,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 75199 33393,http://driveondemandtravelandtourism.online/,4.3,,"33/3, Sant Kutiya Colony, New Baridih, Tin Plate Basti, Jamshedpur, Jharkhand 831017","Sant Kutiya Colony, New Baridih, Tin Plate Basti",22.7931749,86.2391627,ChIJLy-djNLj9TkR50Hq3vVDGYk,https://www.google.com/maps/place/?q=place_id:ChIJLy-djNLj9TkR50Hq3vVDGYk,part_388,2026-09-20 20:19:29,2600
MAA DURGA TOURS AND TRAVELS,Bus Booking Agency,Tour agency,Tour agency,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 95460 62338,https://maa-durga-tours-bagbera-colony.grexa.site/,4.9,,"Gurdwara Rd, Jemco Azad Basti, Jemco Basti, Burma Mines, Jamshedpur, Bagbera colony, Jharkhand 831004","Jemco Azad Basti, Jemco Basti, Burma Mines",22.7677375,86.22173339999999,ChIJO1j1Hzz99TkRo8giakmk0Kk,https://www.google.com/maps/place/?q=place_id:ChIJO1j1Hzz99TkRo8giakmk0Kk,part_388,2026-09-20 20:19:29,2601
Maa durga tours and travels,Bus Booking Agency,Travel agency,Travel agency,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 95085 97300,N/A,5.0,,"Shesh Nagar, hno 165, chhota, Govindpur, Jamshedpur, Jharkhand 831015","chhota, Govindpur",22.756451,86.2596403,ChIJVxoLY9QH9jkRNbkPWR7FW2E,https://www.google.com/maps/place/?q=place_id:ChIJVxoLY9QH9jkRNbkPWR7FW2E,part_388,2026-09-20 20:19:29,2602
Coast to Coast Journeys,Bus Booking Agency,Travel agency,Travel agency,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 99345 47108,https://www.coasttocoastjourneys.com/,5.0,,"b 114, H N Rd, Radhika Nagar, Kharangajhar, Telco Colony, Jamshedpur, Jharkhand 831004","Radhika Nagar, Kharangajhar, Telco Colony",22.7716037,86.2618303,ChIJ9X5Y_YQJ9jkRfziggXddz2Q,https://www.google.com/maps/place/?q=place_id:ChIJ9X5Y_YQJ9jkRfziggXddz2Q,part_388,2026-09-20 20:19:29,2603
Eastern Travels Pvt Ltd,Bus Booking Agency,Travel agency,Travel agency,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 657 224 9160,http://www.easterntravels.co.in/,4.2,,"2nd Floor, Narbheram Chambers, Main Road, Bistupur, Jamshedpur, Jharkhand 831001",Bistupur,22.796169799999998,86.1839032,ChIJDRIBwWXj9TkRdKbSOrS6_6k,https://www.google.com/maps/place/?q=place_id:ChIJDRIBwWXj9TkRdKbSOrS6_6k,part_388,2026-09-20 20:19:29,2604
Skynet Travels & Tours Golmuri Branch Office,Bus Booking Agency,Travel agency,"Travel agency, Airline ticket agency, Money transfer service, Railway Ticket Agent, Visa Agent",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 72818 00700,http://skynettravels.in/,5.0,,"Shop No. 91, 92, Golmuri market, Lohar Line Rd, near HDFC Bank, Hindu Basti, Golmuri, Jamshedpur, Jharkhand 831003","Hindu Basti, Golmuri",22.794062,86.22136499999999,ChIJP7perQXj9TkRxbmFvf55NjQ,https://www.google.com/maps/place/?q=place_id:ChIJP7perQXj9TkRxbmFvf55NjQ,part_388,2026-09-20 20:19:29,2605
TIWARY TRAVELS & COMMUNICATIONS,Bus Booking Agency,Travel agency,Travel agency,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 91225 29805,N/A,,,"H NO 10, PURANA DARWAN LINE, Kalimati, Burma Mines, Jamshedpur, Jharkhand 831007","Kalimati, Burma Mines",22.7814732,86.21611419999999,ChIJZRWD5Ozj9TkRPMeJKra12TU,https://www.google.com/maps/place/?q=place_id:ChIJZRWD5Ozj9TkRPMeJKra12TU,part_388,2026-09-20 20:19:29,2606
Navneet Travels,Bus Booking Agency,Taxi service,Taxi service,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 70049 03114,N/A,5.0,,"Qr. no. 116, Line no 5, Manifit, Namda Basti, Jamshedpur, Jharkhand 831004","Manifit, Namda Basti",22.7726671,86.22320239999999,ChIJt5fVYTjj9TkRsX2UDs41Dpw,https://www.google.com/maps/place/?q=place_id:ChIJt5fVYTjj9TkRsX2UDs41Dpw,part_388,2026-09-20 20:19:29,2607
Citizen Tour & Travels,Bus Booking Agency,Bus tour agency,Bus tour agency,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 93346 13324,N/A,3.9,,"15, Straight Mile Rd, Opp Kishor Sangh, New Sitaram Dera, Bhalubasa, Jamshedpur, Jharkhand 831009","New Sitaram Dera, Bhalubasa",22.8040016,86.2180044,ChIJk0KuBv3i9TkR2qtgXmdd7k4,https://www.google.com/maps/place/?q=place_id:ChIJk0KuBv3i9TkR2qtgXmdd7k4,part_388,2026-09-20 20:19:29,2608
KING TOUR AND TRAVEL,Bus Booking Agency,Travel agency,Travel agency,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",N/A,N/A,5.0,3.0,"Moon city, durga mandir, Sankosai Rd Number 1, near shiv mandir, Shankoshai, Mango, Jamshedpur, Jharkhand 831001","Shankoshai, Mango",22.825262,86.2302429,ChIJwWezYoDj9TkRqk-oWF5jzXg,https://www.google.com/maps/place/?q=place_id:ChIJwWezYoDj9TkRqk-oWF5jzXg,part_388,2026-09-20 20:19:30,2609
Kings travels,Bus Booking Agency,Bus tour agency,Bus tour agency,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 99496 73399,https://kingstravelsvizag.com/,4.8,120.0,"Pandhi Metta Junction, 14 1 55/1, Nowroji Rd, Ram Nagar, Visakhapatnam, Andhra Pradesh 530002",Ram Nagar,17.7156217,83.3094807,ChIJAWtpIjxDOToRZaQmLYGaBCc,https://www.google.com/maps/place/?q=place_id:ChIJAWtpIjxDOToRZaQmLYGaBCc,part_388,2026-09-20 20:19:30,2610
Punjab Trailor Service (Transport),Bus Booking Agency,Transportation service,Transportation service,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 84060 77772,N/A,5.0,30.0,"Room no:17, Dimna Chowk, Transport Nagar, Mango, Jamshedpur, Jharkhand 831012","Transport Nagar, Mango",22.8349446,86.22907459999999,ChIJYeuGpVLj9TkRVP1tv7Xj5sk,https://www.google.com/maps/place/?q=place_id:ChIJYeuGpVLj9TkRVP1tv7Xj5sk,part_388,2026-09-20 20:19:30,2611
VIP Travels,Bus Booking Agency,Travel agency,"Travel agency, Car leasing service, Car rental agency",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 93348 12901,https://viptravelsindia.com/,4.5,,"126, Sanjay Rd, SNP Area, Ambagan, Sakchi, Jamshedpur, Jharkhand 831001","SNP Area, Ambagan, Sakchi",22.808316599999998,86.2027344,ChIJb4QbEAnj9TkRtT4GAAJ5Kio,https://www.google.com/maps/place/?q=place_id:ChIJb4QbEAnj9TkRtT4GAAJ5Kio,part_388,2026-09-20 20:19:30,2612
Rajdhani bus services,Bus Booking Agency,Bus tour agency,Bus tour agency,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 95700 07207,https://www.rajdhanibusservice.in/m/#/tabs/home,4.3,28.0,"F/2, Kadma Market, Kadma, Jamshedpur, Jharkhand 831005","Kadma Market, Kadma",22.8058864,86.16280379999999,ChIJ4wAnMSTl9TkRQYm7R2zhHl4,https://www.google.com/maps/place/?q=place_id:ChIJ4wAnMSTl9TkRQYm7R2zhHl4,part_388,2026-09-20 20:19:31,2613
Mango Bus Stand,Bus Booking Agency,Bus tour agency,Bus tour agency,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 22 3355 7000,N/A,3.7,22106.0,"Bus Stand, Jayaprakash Narayan Setu, Gandhi Ghat, Mango, Jamshedpur, Jharkhand 831009","Gandhi Ghat, Mango",22.8157024,86.21157989999999,ChIJz8ULV0bj9TkR9XY66314bJ0,https://www.google.com/maps/place/?q=place_id:ChIJz8ULV0bj9TkR9XY66314bJ0,part_388,2026-09-20 20:19:31,2614
Om Shanti Tour & Travels,Bus Booking Agency,Car leasing service,Car leasing service,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 94311 83838,N/A,3.6,15.0,"Shop No. 7, Om Shanti Tower, Market, near SBI Bank, Kagal Nagar, Sonari, Jamshedpur, Jharkhand 831011","Kagal Nagar, Sonari",22.821002099999998,86.1679975,ChIJnfJfTPTl9TkRmhkMVOBALrs,https://www.google.com/maps/place/?q=place_id:ChIJnfJfTPTl9TkRmhkMVOBALrs,part_388,2026-09-20 20:19:31,2615
Maa Parwati Tour & Travels,Bus Booking Agency,Bus tour agency,Bus tour agency,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 94727 90876,N/A,3.8,8.0,"R676+J3Q, near Palang Market, Gandhi Ghat, Jamshedpur, Jharkhand 831001",Gandhi Ghat,22.814093399999997,86.210246,ChIJARCtMGPj9TkRLUEcI0ws0X4,https://www.google.com/maps/place/?q=place_id:ChIJARCtMGPj9TkRLUEcI0ws0X4,part_388,2026-09-20 20:19:31,2616
Anshu Telecom,Bus Booking Agency,Railway Ticket Agent,"Railway Ticket Agent, Airline ticket agency, Auto insurance agency, Lamination service, Money transfer service, Photo agency, Photo lab, Photography studio, Print shop",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 94313 72690,N/A,5.0,1.0,"Shifted Area, Baridih Market, Jamshedpur, Jharkhand 831017",Tube Colony,22.7949076,86.2445647,ChIJpTt1PZfi9TkRvTGv9bAcDTc,https://www.google.com/maps/place/?q=place_id:ChIJpTt1PZfi9TkRvTGv9bAcDTc,part_388,2026-09-20 20:19:31,2617
Travel Line,Bus Booking Agency,Travel agency,"Travel agency, Airline ticket agency",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 62016 24342,http://www.travel-line.co.in/,4.4,9.0,"3rd Floor, Silvercage mall, HNO 10, Diagonal Rd, opposite Godrej Showroom, South Park, Bistupur, Jamshedpur, Jharkhand 831001","South Park, Bistupur",22.7916235,86.1845489,ChIJYee75xPj9TkRUpbIq9IN2y0,https://www.google.com/maps/place/?q=place_id:ChIJYee75xPj9TkRUpbIq9IN2y0,part_388,2026-09-20 20:19:31,2618
SRI KRISHNA RATH BOARDING POINT,Bus Booking Agency,Travel agency,Travel agency,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",N/A,http://www.srikrishnarath.in/,2.3,6.0,"Bus Stand, Gandhi Ghat, Mango, Jamshedpur, Jharkhand 831009","Gandhi Ghat, Mango",22.8157534,86.2115618,ChIJYULpOAbj9TkRCfY9ifUsI3o,https://www.google.com/maps/place/?q=place_id:ChIJYULpOAbj9TkRCfY9ifUsI3o,part_388,2026-09-20 20:19:31,2619
Rajdhani Bus Service,Bus Booking Agency,Travel agency,Travel agency,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 62890 25303,http://rajdhanibusservice.in/,3.7,3.0,"Bidya Bhushan Singh S/o, Arvind Path, near Kamla Appartment, Bhatia Basti, Kadma, Jamshedpur, Jharkhand 831005","Bhatia Basti, Kadma",22.809087599999998,86.1545488,ChIJnfYgKvXk9TkRW0OoVnNnRbY,https://www.google.com/maps/place/?q=place_id:ChIJnfYgKvXk9TkRW0OoVnNnRbY,part_388,2026-09-20 20:20:07,7732
NIKKU TOUR AND TRAVEL JAMSHEDPUR,Bus Booking Agency,Bus ticket agency,Bus ticket agency,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 85272 78827,N/A,4.9,8.0,"ROAD, near DAMRO SHOWROOM, S Type, Housing Colony, Adityapur, Jamshedpur, Jharkhand 832109","S Type, Housing Colony, Adityapur",22.7888766,86.1581233,ChIJQUULmX3l9TkRYotGPxWFnJ8,https://www.google.com/maps/place/?q=place_id:ChIJQUULmX3l9TkRYotGPxWFnJ8,part_388,2026-09-20 20:20:07,7733
Corporate Travels,Bus Booking Agency,Taxi service,Taxi service,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,N/A,N/A,3.0,2.0,"Line No. 102, near Bank of Baroda, B Block, Dhatkidih, Jamshedpur, Jharkhand 831001","B Block, Dhatkidih",22.8033125,86.1784052,ChIJpcW0ekTj9TkRTWF2MMu73OU,https://www.google.com/maps/place/?q=place_id:ChIJpcW0ekTj9TkRTWF2MMu73OU,part_388,2026-09-20 20:20:07,7734
SONKAR TOUR AND TRAVELS,Bus Booking Agency,Railway Ticket Agent,Railway Ticket Agent,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,N/A,N/A,5.0,3.0,"Uliyan Main Rd, near SBI atm, next to indu movie electronic, Kadma, Jamshedpur, Jharkhand 831005",Kadma,22.8125388,86.15847269999999,ChIJNc3TrRnl9TkRjeSF9FR63tE,https://www.google.com/maps/place/?q=place_id:ChIJNc3TrRnl9TkRjeSF9FR63tE,part_388,2026-09-20 20:20:07,7735
