business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
National Lights Company,Electrical Goods and Lighting Store,Lighting store,"Lighting store, Electrical supply store, Home improvement store, Lighting consultant, Lighting products wholesaler, Stage lighting equipment supplier",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 97983 63727,https://nationallightscompany.com/,4.8,228.0,"B3, 506, MULTI HOME SOLUTION, SHOP NO B1 B2, Kasidih Cir, Sakchi, Jharkhand 831001","Hirasingh Bagan, Sakchi",22.803259399999998,86.207,ChIJm6eWoHrj9TkRzA1CmxGXRnQ,https://www.google.com/maps/place/?q=place_id:ChIJm6eWoHrj9TkRzA1CmxGXRnQ,part_388,2026-09-20 20:19:31,2923
Suvokti Interiors Lights,Electrical Goods and Lighting Store,Lighting store,"Lighting store, Electronics store",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 90665 56409,N/A,5.0,111.0,"Q7V5+MWF, Main Rd, Murakati, Baridih, Jamshedpur, Jharkhand 831004","Murakati, Baridih",22.7942203,86.2596166,ChIJk8GdaQAJ9jkRNEdIp62hasw,https://www.google.com/maps/place/?q=place_id:ChIJk8GdaQAJ9jkRNEdIp62hasw,part_388,2026-09-20 20:19:31,2924
Ganpati LightKraft,Electrical Goods and Lighting Store,Lighting store,"Lighting store, Electrical products wholesaler, Electrical supply store, Wire and cable supplier",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 99342 88777,N/A,4.0,110.0,"Baradwari Durga Puja Maidan, 178/D, Line No 1 Kashidhi, opp. Kashidhi, Sakchi, Jamshedpur, Jharkhand 831001",Sakchi,22.802557399999998,86.2111383,ChIJTXnjUQbj9TkR4miupMaI5c8,https://www.google.com/maps/place/?q=place_id:ChIJTXnjUQbj9TkR4miupMaI5c8,part_388,2026-09-20 20:19:31,2925
Shyam Electrical,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 657 229 2910,N/A,4.5,64.0,"Hindustan Building, Satya Narayan Mandir Road, Chowk Bazar, Jugsalai, Jamshedpur, Jharkhand 831006","Chowk Bazar, Jugsalai",22.775858,86.185812,ChIJiZI4c7T89TkRc_CjolModtc,https://www.google.com/maps/place/?q=place_id:ChIJiZI4c7T89TkRc_CjolModtc,part_388,2026-09-20 20:19:31,2926
Smart Homes & Lights,Electrical Goods and Lighting Store,Lighting store,"Lighting store, Automation company, Electrical appliance wholesaler, Electrical equipment supplier, Electrical installation service, Electrical supply store, Electrical products wholesaler, Electrician, Lighting consultant, Home automation company",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 96311 86666,N/A,5.0,63.0,"191, Sankosai, Dimna Rd, Mango, Jamshedpur, Jharkhand 831012","Shankoshai, Mango",22.830513099999997,86.2262401,ChIJ-fF07BTj9TkRh73F8VK4Yl0,https://www.google.com/maps/place/?q=place_id:ChIJ-fF07BTj9TkRh73F8VK4Yl0,part_388,2026-09-20 20:19:31,2927
Pintu Electrical,Electrical Goods and Lighting Store,Lighting store,"Lighting store, Electrical supply store, Electrical repair shop",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 84091 23760,N/A,4.0,1.0,"Gandhi Maidan, Sopodera Rd, Salgajhari, Parsudih, Jamshedpur, Jharkhand 831002","Salgajhari, Parsudih",22.756423899999998,86.2196225,ChIJv9Ps5yj99TkREmavCNNCrvg,https://www.google.com/maps/place/?q=place_id:ChIJv9Ps5yj99TkREmavCNNCrvg,part_388,2026-09-20 20:19:31,2928
Electro Light,Electrical Goods and Lighting Store,Electrical products wholesaler,Electrical products wholesaler,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 91221 99999,N/A,4.0,28.0,"Shere-E-Punjab Chowk, Tata Kandra Rd, Adityapur Basti, Adityapur, Jamshedpur, Jharkhand 831013","Adityapur Basti, Adityapur",22.7864149,86.1615839,ChIJS37Hu73k9TkR3pvux-Phu3Q,https://www.google.com/maps/place/?q=place_id:ChIJS37Hu73k9TkR3pvux-Phu3Q,part_388,2026-09-20 20:19:31,2929
Sri Light House,Electrical Goods and Lighting Store,Lighting store,"Lighting store, Electronics store, Electrical supply store",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 93345 10009,N/A,4.6,5.0,"68, Golmuri Rd, Kadma Market, Market, Jamshedpur, Jharkhand 831003","Kadma Market, Market",22.793398,86.221637,ChIJQ_kRzqD08jkRBXm4hy2r3GI,https://www.google.com/maps/place/?q=place_id:ChIJQ_kRzqD08jkRBXm4hy2r3GI,part_388,2026-09-20 20:19:31,2930
Megha Electronics,Electrical Goods and Lighting Store,Electronics store,Electronics store,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 79704 74849,N/A,4.0,50.0,"line no 4, Mohammadan Ln, near holidei inn hotel, Sakchi, Jamshedpur, Jharkhand 831001",Sakchi,22.8049718,86.2073332,ChIJk97bowXj9TkRXnR-HbY4GtE,https://www.google.com/maps/place/?q=place_id:ChIJk97bowXj9TkRXnR-HbY4GtE,part_388,2026-09-20 20:19:31,2931
Keshav Electrical,Electrical Goods and Lighting Store,Electrical supply store,"Electrical supply store, Electronics store",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 92793 23225,N/A,5.0,4.0,"Arjun Tower, Purulia Rd, near Reliance Fresh, Ramkrishna Colony, Mango, Jamshedpur, Jharkhand 831012","Ramkrishna Colony, Mango",22.8225473,86.2126684,ChIJFUpWs63j9TkRwM6oRogQ_YU,https://www.google.com/maps/place/?q=place_id:ChIJFUpWs63j9TkRwM6oRogQ_YU,part_388,2026-09-20 20:19:31,2932
