business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Dalma View PG & Hostel,Hostels,Backpacker Hostel,"Backpacker Hostel, Student dormitory",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 91993 39957,N/A,4.3,51.0,"H.no:-23, R64W+262, B Rd, near bagun nagar, D Block, T.O.P, Bagun Nagar, Baridih, Jamshedpur, Jharkhand 831017","D Block, T.O.P, Bagun Nagar, Baridih",22.8050557,86.24557639999999,ChIJ8S8G0R7j9TkR-d3Id74VMjg,https://www.google.com/maps/place/?q=place_id:ChIJ8S8G0R7j9TkR-d3Id74VMjg,part_388,2026-09-20 20:19:38,4100
Amar Dayal PG for working boys and family,Hostels,Youth Hostel,Youth Hostel,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 99393 60693,https://sites.google.com/view/amardayalpg-gobindpur/home,4.9,10.0,"PLOT N0, 2, Rd Number 1, Bhola Bagan, Gobindpur Colony, Govindpur, Chhota Gobindpur, Jamshedpur, Jharkhand 831015","Bhola Bagan, Gobindpur Colony, Govindpur",22.7545009,86.2531504,ChIJB9GGXs799TkRa5O_3KDNk1U,https://www.google.com/maps/place/?q=place_id:ChIJB9GGXs799TkRa5O_3KDNk1U,part_388,2026-09-20 20:19:38,4101
PREM ELITE STAY,Hostels,Backpacker Hostel,Backpacker Hostel,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",N/A,N/A,5.0,3.0,"D, CR-6, HN-46/B, BLOCK, Bagun Nagar, Jamshedpur, Jharkhand 831017",Bagun Nagar,22.8033145,86.2489906,ChIJ54gAy3Lj9TkRsgldUuq6-z8,https://www.google.com/maps/place/?q=place_id:ChIJ54gAy3Lj9TkRsgldUuq6-z8,part_388,2026-09-20 20:19:38,4102
NUO boys pg,Hostels,Boys' hostel,"Boys' hostel, Backpacker Hostel",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 74630 84444,N/A,4.6,95.0,"qr 1, 2nd gate, near krishna mandir, Punjabi Refugee Colony, Golmuri, Jamshedpur, Jharkhand 831009","Punjabi Refugee Colony, Golmuri",22.7975224,86.2128529,ChIJAYcmOgPj9TkRzLivZ4ONobg,https://www.google.com/maps/place/?q=place_id:ChIJAYcmOgPj9TkRzLivZ4ONobg,part_388,2026-09-20 20:19:38,4103
Homely Heaven PG and Hotel,Hostels,Student dormitory,Student dormitory,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 88638 60909,N/A,4.8,22.0,"House no .8, Old post office road, Zone Number 4, Birsanagar, Jamshedpur, Jharkhand 831019","Zone Number 4, Birsanagar",22.7841655,86.2497265,ChIJL8FvqV3j9TkRBqVAxS1Q61s,https://www.google.com/maps/place/?q=place_id:ChIJL8FvqV3j9TkRBqVAxS1Q61s,part_388,2026-09-20 20:19:38,4104
Dimna Pg & Budget Stay | Mens PG & Dormitory,Hostels,Boys' hostel,"Boys' hostel, Guest house, Hotel, Lodge, Student dormitory, Student housing center",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 90312 82282,https://sites.google.com/view/dimnapgbudgetstay/home?authuser=2,4.8,119.0,"Shiv Mandir Line, Dimna Rd, Ulidih, Mango, Jamshedpur, Jharkhand 831012","Ulidih, Mango",22.8229898,86.2167432,ChIJzS3_6onj9TkRWbvYoohC3Y4,https://www.google.com/maps/place/?q=place_id:ChIJzS3_6onj9TkRWbvYoohC3Y4,part_388,2026-09-20 20:19:38,4105
The green garden house Rosi and restaurant,Hostels,Boys' hostel,"Boys' hostel, Student dormitory",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 82105 99145,N/A,4.8,48.0,"h.no.12, adarsh nagar, Baridih Basti, Jamshedpur, Jharkhand 831017",Baridih Basti,22.8056783,86.2473021,ChIJ39MBeADj9TkRr10yApKaqTs,https://www.google.com/maps/place/?q=place_id:ChIJ39MBeADj9TkRr10yApKaqTs,part_388,2026-09-20 20:19:38,4106
Sai Guest House Boys PG Jamshedpur Guest House,Hostels,Boys' hostel,"Boys' hostel, Guest house, Lodge",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 82100 82265,N/A,4.1,136.0,"H No - 20, New Kasidih East, 1, Road, in front of Community Center, Sakchi, Jamshedpur, Jharkhand 831001",Sakchi,22.8039071,86.2118495,ChIJE-b3TSbj9TkReb5LU4TKZ4U,https://www.google.com/maps/place/?q=place_id:ChIJE-b3TSbj9TkReb5LU4TKZ4U,part_388,2026-09-20 20:19:38,4107
Sundar Nagar Hostel,Hostels,Student housing center,Student housing center,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",N/A,N/A,3.7,73.0,"P6M2+M67, Jadugar Main Road, East Singhbhur, Sunder Nagar, Jamshedpur, Jharkhand 832107","East Singhbhur, Sunder Nagar",22.7341519,86.2005554,ChIJ8xwPIOz89TkRQ3rtRQU7lT8,https://www.google.com/maps/place/?q=place_id:ChIJ8xwPIOz89TkRQ3rtRQU7lT8,part_388,2026-09-20 20:19:38,4108
"Phase -4 Hostel, MTMC( Manipal)",Hostels,Backpacker Hostel,Backpacker Hostel,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",N/A,N/A,,,"Phase 4, Manipal Tata Medical College Hostel, Baridih Circle, beside Ganesh Puja Maidan, Tube Colony, Baridih, Jamshedpur, Jharkhand 831017","Tube Colony, Baridih",22.792584299999998,86.2443203,ChIJ7_X8EwDj9TkRj1M_rF8LZb4,https://www.google.com/maps/place/?q=place_id:ChIJ7_X8EwDj9TkRj1M_rF8LZb4,part_388,2026-09-20 20:19:38,4109
