business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Adhikar Microfinance Pvt. Ltd,Microfinance and NBFC,Corporate office,Corporate office,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 1800 345 7124,http://www.adhikarindia.in/,4.2,,"Plot no 77/180/970,Subudhipur Tamando, Kalinga Vihar LIG, Kalinganagar, Bhubaneswar, Odisha 751028","Kalinga Vihar LIG, Kalinganagar",20.2431303,85.75057679999999,ChIJo_okF2aoGToR6eqMs6p-QoU,https://www.google.com/maps/place/?q=place_id:ChIJo_okF2aoGToR6eqMs6p-QoU,part_388,2026-09-20 20:19:45,4998
Shriram Finance Limited,Microfinance and NBFC,Financial institution,"Financial institution, Bank, Car finance and loan company, Finance broker, Insurance broker, Insurance company, Investment service, Loan agency, Private Sector Bank",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 1800 410 7711,https://nearme.shriramfinance.in/jharkhand/chaibasa/chaibasa-branch,3.0,,"2nd Floor, Shree Balaji Apartment, Mahulsai Rd, near Hashtag Institute, Chaibasa, Jharkhand 833201",831004,22.5397818,85.803268,ChIJwcpwuycnHjoRUkCil0gMjTQ,https://www.google.com/maps/place/?q=place_id:ChIJwcpwuycnHjoRUkCil0gMjTQ,part_388,2026-09-20 20:19:45,4999
IIFL Gold Loan,Microfinance and NBFC,Loan agency,"Loan agency, Financial institution",831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 22 7107 2910,https://locate-us.iifl.com/apply-for-gold-loan/iifl-gold-loan-jamshedpur-sonari-kanchan-tower-gl-loan-agency-sonari-east-singhbhum-78492/Home?utm_source=locator&utm_medium=googleplaces,4.8,,"No B234, 1st Floor, D Block, Kanchan Tower, Main Road, opposite Banraj Akhara, Khutadih, Khuntadih, Sonari, Jamshedpur, Jharkhand 831011","Khutadih, Khuntadih, Sonari",22.817143299999998,86.1719528,ChIJ67n9qXnk9TkRqF23Oux9g2k,https://www.google.com/maps/place/?q=place_id:ChIJ67n9qXnk9TkRqF23Oux9g2k,part_388,2026-09-20 20:20:22,9015
Ujjivan Financial Services Ltd,Microfinance and NBFC,Loan agency,"Loan agency, Financial consultant",831007,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Burma Mines SO, N M L SO",+91 657 645 0101,N/A,4.5,,"First Floor, Usha Complex, Plot No. 565/566, Cinema Road, opp. Petrol Pump, Parsudih, Jamshedpur, Jharkhand 831002",Parsudih,22.754561,86.2119309,ChIJw6I9Xdf89TkRGD9EN4gWzl0,https://www.google.com/maps/place/?q=place_id:ChIJw6I9Xdf89TkRGD9EN4gWzl0,part_388,2026-09-20 20:21:38,14157
Muthoot FinCorp Gold Loan,Microfinance and NBFC,Loan agency,"Loan agency, Car finance and loan company, Currency exchange service, Finance broker, Financial institution, Insurance agency, Insurance company, Investment company, Investment service, Money transfer service",831007,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Burma Mines SO, N M L SO",+91 92890 51778,https://branches.muthootfincorp.com/muthoot-fincorp-gold-loan-thakurbari-road-loan-agency-thakurbari-road-jamshedpur-117849/Home,4.9,,"Ground Floor, No-5, Straight Mile Rd, near Wocky, SNP Area, Tocky, Sakchi, Jamshedpur, Jharkhand 831001","SNP Area, Tocky, Sakchi",22.804736,86.2037294,ChIJ18Encubj9TkRVSfduV3B8-4,https://www.google.com/maps/place/?q=place_id:ChIJ18Encubj9TkRVSfduV3B8-4,part_388,2026-09-20 20:21:38,14158
NABFINS Ltd._DL-Bagodar Branch,Microfinance and NBFC,Financial institution,Financial institution,831009,Jharkhand Circle,Ranchi Region,Singhbhum Division,Agrico SO,+91 79032 17430,http://www.nabfins.org/,5.0,2.0,"DL, Harihardham Road, near Yamaha Showroom, Bagodar, Jharkhand 825322",831009,24.0680838,85.8138163,ChIJaU6EMEx39DkRLZMFyyBFy3E,https://www.google.com/maps/place/?q=place_id:ChIJaU6EMEx39DkRLZMFyyBFy3E,part_388,2026-09-20 20:22:16,15754
The Singhbhum District Central Co-Operative Bank Ltd,Microfinance and NBFC,Bank,Bank,831009,Jharkhand Circle,Ranchi Region,Singhbhum Division,Agrico SO,+91 657 234 0187,N/A,3.0,,"Q6VF+5F8, Golmuri Rd, near Golmuri Circus Maidan, Golmuri, Jamshedpur, Jharkhand 831003",Golmuri,22.7929003,86.2237147,ChIJC1O3VObi9TkRK2IB7vqH_8A,https://www.google.com/maps/place/?q=place_id:ChIJC1O3VObi9TkRK2IB7vqH_8A,part_388,2026-09-20 20:22:16,15755
Jana Small Finance Bank Ltd.,Microfinance and NBFC,Bank,Bank,831011,Jharkhand Circle,Ranchi Region,Singhbhum Division,Sonari SO East Singhbhum,+91 1800 2080,https://www.janabank.com/?utm_source=locator&utm_medium=googleplaces,3.4,5.0,"Ground Floor, Swamy Building, Main Road, opposite Ram Minder, SNP Area, Bistupur, Jamshedpur, Jharkhand 831001","SNP Area, Bistupur",22.804564499999998,86.20287359999999,ChIJvVMzJc_j9TkR5sXvcKnUNYI,https://www.google.com/maps/place/?q=place_id:ChIJvVMzJc_j9TkR5sXvcKnUNYI,part_388,2026-09-20 20:22:53,16864
"IDFC FIRST Bank - Jamshedpur, Jamshedpur Main Branch",Microfinance and NBFC,Bank,"Bank, Financial institution, Loan agency, Private Sector Bank",831011,Jharkhand Circle,Ranchi Region,Singhbhum Division,Sonari SO East Singhbhum,+91 1800 10888,https://nearme.idfcfirst.bank.in/idfc-first-bank/bank-and-atm-in-east-singhbhum/bank-and-atm-in-Jamshedpur/idfc-first-bank-in-Jamshedpur-east-singhbhum--1gqKEu/home,4.1,,"No 18, Ground Floor, Padmalaya, nearby Ram Mandir, South Park, Bistupur, Jamshedpur, Jharkhand 831001","South Park, Bistupur",22.788245999999997,86.1848847,ChIJ2fpDtt7j9TkRd8ORJGNrnJ4,https://www.google.com/maps/place/?q=place_id:ChIJ2fpDtt7j9TkRd8ORJGNrnJ4,part_388,2026-09-20 20:22:53,16865
Shriram Finance Limited,Microfinance and NBFC,Financial institution,"Financial institution, Bank, Car finance and loan company, Finance broker, Insurance broker, Insurance company, Investment company, Investment service, Loan agency, Private Sector Bank",831012,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Bhilaipahari BO, Hirachuni BO, Kapali BO",+91 1800 410 7711,https://nearme.shriramfinance.in/jharkhand/jamshedpur/bistupur-branch,4.8,5.0,"Madhukunj Building, Q Rd, opposite Rajhans Hotel, South Park, Bistupur, Jamshedpur, Jharkhand 831001","South Park, Bistupur",22.7897131,86.1831874,ChIJlR_MsmDj9TkRuo0saNxyJow,https://www.google.com/maps/place/?q=place_id:ChIJlR_MsmDj9TkRuo0saNxyJow,part_388,2026-09-20 20:23:35,17824
Shriram Finance Limited,Microfinance and NBFC,Financial institution,"Financial institution, Bank, Car finance and loan company, Finance broker, Insurance broker, Insurance company, Investment service, Loan agency, Private Sector Bank",831013,Jharkhand Circle,Ranchi Region,Singhbhum Division,Adityapur SO,+91 1800 410 7711,https://nearme.shriramfinance.in/jharkhand/jamshedpur/jamshedpur-branch-4,4.0,4.0,"Dayal Trade Centre, opposite Axis Bank ATM, Dindly Basti, Adityapur, Jamshedpur, Jharkhand 831013","Dindly Basti, Adityapur",22.7868782,86.16291489999999,ChIJdQb04GXl9TkRXe7CCCgVzvM,https://www.google.com/maps/place/?q=place_id:ChIJdQb04GXl9TkRXe7CCCgVzvM,part_388,2026-09-20 20:24:14,18612
Jharkhand State Co-Operative Bank Ltd.,Microfinance and NBFC,Bank,Bank,831013,Jharkhand Circle,Ranchi Region,Singhbhum Division,Adityapur SO,+91 657 231 7083,N/A,3.7,14.0,"Main Road, near Voltas Building, South Park, Bistupur, Jamshedpur, Jharkhand 831001","South Park, Bistupur",22.787658,86.1838789,ChIJwVCva13j9TkR5ABJf7FW95g,https://www.google.com/maps/place/?q=place_id:ChIJwVCva13j9TkR5ABJf7FW95g,part_388,2026-09-20 20:24:14,18613
IDBI Bank,Microfinance and NBFC,Bank,Bank,831013,Jharkhand Circle,Ranchi Region,Singhbhum Division,Adityapur SO,+91 1800 200 1947,http://www.idbi.com/,3.7,21.0,"2nd Floor, Shantiniketan Building, Sakchi Boulevard Road, South Park, Bistupur, Jamshedpur, Jharkhand 831001","South Park, Bistupur",22.7869387,86.1838982,ChIJ1-YbLGfj9TkRqmLLLJwkoNs,https://www.google.com/maps/place/?q=place_id:ChIJ1-YbLGfj9TkRqmLLLJwkoNs,part_388,2026-09-20 20:24:14,18614
Kalpanapuri,Microfinance and NBFC,Apartment building,Apartment building,831013,Jharkhand Circle,Ranchi Region,Singhbhum Division,Adityapur SO,N/A,N/A,5.0,1.0,"Prashant Srivastava, Madhu Bidya Kunj Rd, Kalpanapuri, Adityapur, Jamshedpur, Jharkhand 832109","Kalpanapuri, Adityapur",22.7869997,86.1523326,ChIJZ3h8aADl9TkRLQV4LmJM-dM,https://www.google.com/maps/place/?q=place_id:ChIJZ3h8aADl9TkRLQV4LmJM-dM,part_388,2026-09-20 20:24:14,18615
