business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Vardaan Maternity & Nursing Homes,Nursing Home and Maternity Hospital,Nursing home,"Nursing home, Gynecologist",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 657 234 3350,N/A,4.7,432.0,"R742+4JW, Vijaya Gardens Road, near Mercy Hospital, Kendumundi, Baridih, Jamshedpur, Jharkhand 831017","Kendumundi, Baridih",22.797178499999998,86.2514243,ChIJv6uZTZri9TkR775VCxT5ees,https://www.google.com/maps/place/?q=place_id:ChIJv6uZTZri9TkR775VCxT5ees,part_388,2026-09-20 20:19:24,1722
Medinova Nursing Home - Best Child Care/Maternity Hospital in Jamshedpur,Nursing Home and Maternity Hospital,Hospital,Hospital,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 79798 94142,N/A,4.4,156.0,"262, M P TOWER, Behind, HIG, New, Housing Colony, Adityapur, Jamshedpur, Jharkhand 831013","Housing Colony, Adityapur",22.7885758,86.1700645,ChIJaRej7Jjk9TkRiiEjJkfhz5I,https://www.google.com/maps/place/?q=place_id:ChIJaRej7Jjk9TkRiiEjJkfhz5I,part_388,2026-09-20 20:19:24,1723
Sanjeevni Nursing Home,Nursing Home and Maternity Hospital,Hospital,Hospital,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 94311 66522,N/A,4.0,44.0,"WARD 17, New Housing Colony, H I G 204, Aditypur 1, Dindli Basti, Adityapur, Jamshedpur, Jharkhand 831013","Aditypur 1, Dindli Basti, Adityapur",22.7902782,86.167699,ChIJ19lk9pjk9TkRDc1Qwhh7_Xk,https://www.google.com/maps/place/?q=place_id:ChIJ19lk9pjk9TkRDc1Qwhh7_Xk,part_388,2026-09-20 20:19:24,1724
Dr. Abhishek Child Care and Maternity Hospital,Nursing Home and Maternity Hospital,Child health care center,"Child health care center, Day care center, Fertility physician, Hospital, Maternity Centre",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 95231 63132,https://drabhishekchildandmaternitycare.in/,4.4,1106.0,"Plot no-2960, Kashidih Rd, Bagan Area, Sakchi, Jamshedpur, Jharkhand 831001","Bagan Area, Sakchi",22.8043585,86.2134961,ChIJ6ZBXiALj9TkRsuIRqW75kYs,https://www.google.com/maps/place/?q=place_id:ChIJ6ZBXiALj9TkRsuIRqW75kYs,part_388,2026-09-20 20:19:24,1725
Uma Super Speciality Hospital - Top Multi-speciality and Maternity Hospital in Jamshedpur,Nursing Home and Maternity Hospital,Hospital,"Hospital, Ambulance service, Doctor, Emergency care service, Medical Center",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 86770 17777,http://www.umasuperspecialityhospitals.com/,4.3,342.0,"Shalimar Complex, Chepapul Corner, near Hindustan Petrol Pump, Mango, Jamshedpur, Jharkhand 831020","Iqra Colony, Mango",22.8432335,86.2022879,ChIJjeBL9xLj9TkRGT5P-Cl_le8,https://www.google.com/maps/place/?q=place_id:ChIJjeBL9xLj9TkRGT5P-Cl_le8,part_388,2026-09-20 20:19:24,1726
Shiva Nursing Home Adityapur,Nursing Home and Maternity Hospital,Nursing home,"Nursing home, Diagnostic center, Hospital",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 84097 11177,N/A,4.0,220.0,"1, River View Colony, near R Type, Aditypur Colony Site No 1, Adityapur, Jamshedpur, Jharkhand 831013","Aditypur Colony Site No 1, Adityapur",22.7863036,86.1716184,ChIJN1LLpqHk9TkRWFn4XoZkG8w,https://www.google.com/maps/place/?q=place_id:ChIJN1LLpqHk9TkRWFn4XoZkG8w,part_388,2026-09-20 20:19:24,1727
Life Line Nursing Home,Nursing Home and Maternity Hospital,Nursing home,"Nursing home, Maternity Centre, Hospital",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 98351 81003,N/A,3.2,155.0,"Purulia Rd, near MGM हॉस्पिटल, Rajendra Nagar, Sakchi, Jamshedpur, Jharkhand 831001","Rajendra Nagar, Sakchi",22.8092671,86.20909449999999,ChIJvzgREAHj9TkRmEWCQ90pzRc,https://www.google.com/maps/place/?q=place_id:ChIJvzgREAHj9TkRmEWCQ90pzRc,part_388,2026-09-20 20:19:24,1728
Sai Poly Clinic & Nursing Home,Nursing Home and Maternity Hospital,Nursing home,"Nursing home, Hospital, Pharmacy",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 82711 21693,N/A,3.8,8.0,"Main Rd, near Vijaya Garden, Ramni Nagar, Vijaya Gardens, Baridih, Jamshedpur, Jharkhand 831004","Ramni Nagar, Vijaya Gardens, Baridih",22.795578,86.255394,ChIJQZSmE57i9TkR5c_t9zpASro,https://www.google.com/maps/place/?q=place_id:ChIJQZSmE57i9TkR5c_t9zpASro,part_388,2026-09-20 20:19:24,1729
al hayat shifa nursing home,Nursing Home and Maternity Hospital,Hospital,Hospital,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 93043 66138,N/A,5.0,3.0,"T.O.P. Kapali, Dangardih, Kapali, Jamshedpur, Jharkhand 831012","T.O.P. Kapali, Dangardih, Kapali",22.8368605,86.1902874,ChIJDVy8LQ3j9TkRjZsEwyKpo8c,https://www.google.com/maps/place/?q=place_id:ChIJDVy8LQ3j9TkRjZsEwyKpo8c,part_388,2026-09-20 20:19:24,1730
Abhinav Surgical & Maternity centre,Nursing Home and Maternity Hospital,Hospital,Hospital,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 92797 91780,N/A,4.6,27.0,"Post Office Rd, Gaur Basti, Mango, Jamshedpur, Jharkhand 831012","Gaur Basti, Mango",22.8184364,86.2199804,ChIJQ0xMF1Ti9TkRS4EOvfdnIPs,https://www.google.com/maps/place/?q=place_id:ChIJQ0xMF1Ti9TkRS4EOvfdnIPs,part_388,2026-09-20 20:19:24,1731
Singh Nursing Home,Nursing Home and Maternity Hospital,Medical clinic,Medical clinic,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 94313 45794,N/A,4.2,19.0,"HFQF+243, Main Rd, Ghatshila, Jharkhand 832303",831004,22.5875016,86.47278519999999,ChIJr8J5zI4d9jkRSiW28RYWd90,https://www.google.com/maps/place/?q=place_id:ChIJr8J5zI4d9jkRSiW28RYWd90,part_388,2026-09-20 20:19:24,1732
