business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Aaradhya Great Security Service,Security Guard Agency,Security guard service,Security guard service,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 62070 90665,http://www.aaradhyagreatsecurityservice.com/,4.9,,"M.G.M, Infront of Bhojaniya Place, PS- M, Eating House, Dalma Base Colony, NH-33, PO, G.M, Jamshedpur, Jharkhand 831012","Ripit Colony, Mango",22.8420828,86.220721,ChIJ45lpOF_j9TkReVWgqFaeu7M,https://www.google.com/maps/place/?q=place_id:ChIJ45lpOF_j9TkReVWgqFaeu7M,part_388,2026-09-20 20:19:46,5559
Aditya Security Service,Security Guard Agency,Security guard service,Security guard service,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 72618 28653,http://adityasecurity.in/,4.7,,"3rd floor, PANDEY complex, NH 33, Dimna-Pardih Rd, near sun shine complex, Kumrum, Mango, Jamshedpur, Jharkhand 831005","Kumrum, Mango",22.8435493,86.2163526,ChIJ-7acIaLj9TkRlB-wT2xPwsw,https://www.google.com/maps/place/?q=place_id:ChIJ-7acIaLj9TkRlB-wT2xPwsw,part_388,2026-09-20 20:19:46,5560
Shandilya Security Dimna Jamshedpr - Branch Office,Security Guard Agency,Security guard service,"Security guard service, Security service",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 99730 57555,https://www.shandilyasecurity.com/,4.1,,"4Th Floor, chandra tower, D-5, Dimna Rd, near IDBI Bank, Vaatika Green City, Mango, Jamshedpur, Jharkhand 831012","Vaatika Green City, Mango",22.836283899999998,86.228259,ChIJqV8kTAbj9TkR8jou1jvcI00,https://www.google.com/maps/place/?q=place_id:ChIJqV8kTAbj9TkR8jou1jvcI00,part_388,2026-09-20 20:19:46,5561
BNS Security Force,Security Guard Agency,Security guard service,Security guard service,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 98357 38195,N/A,4.9,,"Sunshine Complex, A/41, NH-33, near Big Bazar, Dimna, Mango, Jamshedpur, Jharkhand 831020","Dimna, Mango",22.8434398,86.2175886,ChIJC9ULzxjj9TkRBghyucbQxT4,https://www.google.com/maps/place/?q=place_id:ChIJC9ULzxjj9TkRBghyucbQxT4,part_388,2026-09-20 20:19:46,5562
QGroup Jamshedpur Jharkhand,Security Guard Agency,Security guard service,Security guard service,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",N/A,http://qgroup.co.in/,5.0,,"R6PH+5CQ, Dimna Rd, opp. Aegis Call Center, Transport Nagar, Mango, Jamshedpur, Jharkhand 831012","Transport Nagar, Mango",22.8355148,86.2287463,ChIJO_pXRQDj9TkRP5Kv6QoOZiI,https://www.google.com/maps/place/?q=place_id:ChIJO_pXRQDj9TkRP5Kv6QoOZiI,part_388,2026-09-20 20:19:46,5563
Maximum security,Security Guard Agency,Corporate office,Corporate office,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 72092 50657,N/A,5.0,,"Maximum security, Sidhgora, Jamshedpur, Jharkhand 831009",Sidhgora,22.8034668,86.2323641,ChIJ____P_Li9TkRttVRNeSo07k,https://www.google.com/maps/place/?q=place_id:ChIJ____P_Li9TkRttVRNeSo07k,part_388,2026-09-20 20:19:46,5564
JOINT TASK INC,Security Guard Agency,Security guard service,Security guard service,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 94317 82118,http://www.jointtask.in/,3.3,,"2nd Floor, Hotel Debonair Complex, S 6, Kalimati Road, Sakchi, Jamshedpur, Jharkhand 831007",Sakchi,22.799708499999998,86.2105687,ChIJrQ06moTj9TkRBtp5vn5bDA0,https://www.google.com/maps/place/?q=place_id:ChIJrQ06moTj9TkRBtp5vn5bDA0,part_388,2026-09-20 20:19:46,5565
ABHINAV PROTECTIVE SERVICES,Security Guard Agency,Security guard service,Security guard service,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 94703 94747,N/A,5.0,,"House No. 122/2, Rd Number 10, near Malkhan Singh Maidan, Aditypur 1, Aditypur Colony Site No 1, Adityapur, Jamshedpur, Jharkhand 831013","Aditypur 1, Aditypur Colony Site No 1, Adityapur",22.7844134,86.1693628,ChIJ1w4zSHvl9TkRkSTYeGlqe1w,https://www.google.com/maps/place/?q=place_id:ChIJ1w4zSHvl9TkRkSTYeGlqe1w,part_388,2026-09-20 20:19:46,5566
Samartham Services Pvt. Ltd.,Security Guard Agency,Security guard service,Security guard service,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 99991 03092,https://www.samartham.co.in/,,,"4th Floor, Chandra Tower, D-5, Dimna Rd, Mango, Jamshedpur, Jharkhand 831012",Mango,22.8361368,86.22836219999999,ChIJgSllzavj9TkR7KxSsALYNvQ,https://www.google.com/maps/place/?q=place_id:ChIJgSllzavj9TkR7KxSsALYNvQ,part_388,2026-09-20 20:19:46,5567
IMS | Integrated Multipurpose Services Pvt. Ltd. |,Security Guard Agency,Security guard service,"Security guard service, Service establishment",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",N/A,https://imsjsr.com/,,,"IMS | Integrated Multipurpose Services Pvt. Ltd. |, 831004, India",831004,21.0680074,82.7525294,ChIJrWA6BBfHNYMRoj0zmrzsa3o,https://www.google.com/maps/place/?q=place_id:ChIJrWA6BBfHNYMRoj0zmrzsa3o,part_388,2026-09-20 20:19:46,5568
Alpha Security & Allied Services Pvt Ltd.,Security Guard Agency,Security guard service,"Security guard service, Service establishment",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 94300 90976,https://alphasecurity.in/,,,"Alpha Security & Allied Services Pvt Ltd., 831004, India",831004,23.0814366,85.7482052,ChIJrZZjQk0WHU4RHX0JxlTZlFE,https://www.google.com/maps/place/?q=place_id:ChIJrZZjQk0WHU4RHX0JxlTZlFE,part_388,2026-09-20 20:19:46,5569
Jallaad Securtiy Consulants,Security Guard Agency,Security service,Security service,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 86038 07610,N/A,,,"06, first floor, Sidhgora Market, C/o Housing Buddy, above LovKush Books, Jamshedpur, Jharkhand 831009",Sidhgora,22.800766499999998,86.2306871,ChIJFVIRCzPj9TkRpTZbqhS9ZAw,https://www.google.com/maps/place/?q=place_id:ChIJFVIRCzPj9TkRpTZbqhS9ZAw,part_388,2026-09-20 20:19:46,5570
Bajrang Industrial Securities,Security Guard Agency,Security guard service,"Security guard service, House cleaning service",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 92636 37307,http://biss.co.in/,3.1,,"House no.7, New Housing Colony, 6-LF, near Shiv-Kali Mandir, Aditypur 1, Dindli Basti, Adityapur, Jamshedpur, Jharkhand 831013","Aditypur 1, Dindli Basti, Adityapur",22.790992,86.1665979,ChIJO-f0D6Pk9TkRExO_elBAMhA,https://www.google.com/maps/place/?q=place_id:ChIJO-f0D6Pk9TkRExO_elBAMhA,part_388,2026-09-20 20:19:46,5571
Maa Ambey Security Services & Manpower Solution,Security Guard Agency,Security guard service,Security guard service,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 99340 25701,http://www.masssecurity.in/,4.8,,"1st Floor, Near, Hinoo Rd, above Gurunanak Tent, opp. Riverview Hotel, Kilburn Colony, Shivpuri Colony, Hinoo, Ranchi, Jharkhand 834002","Kilburn Colony, Shivpuri Colony, Hinoo",23.3330751,85.31804989999999,ChIJPzuFVJPh9DkR425juPR1PgI,https://www.google.com/maps/place/?q=place_id:ChIJPzuFVJPh9DkR425juPR1PgI,part_388,2026-09-20 20:19:46,5572
