business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
EONMED SMART CLINIC JAMSHEDPUR,Healthcare Clinic Chains,Medical Center,"Medical Center, Diagnostic center",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",N/A,https://www.eonmed.in/,5.0,,"NH-33, near bharat benz, CJ Darcl, Jamshedpur, Jagannathpur, Jharkhand 831012",CJ Darcl,22.8181591,86.29157889999999,ChIJS6fOcZ8J9jkR0dtSBipQB_c,https://www.google.com/maps/place/?q=place_id:ChIJS6fOcZ8J9jkR0dtSBipQB_c,part_388,2026-09-20 20:19:27
Apollo Dental Health Care Centre,Healthcare Clinic Chains,Dental clinic,"Dental clinic, Dentist",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 90062 22283,N/A,4.1,,"Pramoth Nagar, Koyla Taal, Road, Main Road, Parsudih, Jamshedpur, Jharkhand 831002",Parsudih,22.7531002,86.2084045,ChIJXdVKfNr89TkRv7JI9Fh1N-Q,https://www.google.com/maps/place/?q=place_id:ChIJXdVKfNr89TkRv7JI9Fh1N-Q,part_388,2026-09-20 20:19:27
Aarti care clinic,Healthcare Clinic Chains,Medical clinic,Medical clinic,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",N/A,N/A,,,"Golmuri Market, 62, Kadma Market, Golmuri Market, Golmuri, Jamshedpur, Jharkhand 831003","Kadma Market, Golmuri Market, Golmuri",22.7929989,86.221717,ChIJRTy7FgDj9TkRnvL5FmeQ6Bo,https://www.google.com/maps/place/?q=place_id:ChIJRTy7FgDj9TkRnvL5FmeQ6Bo,part_388,2026-09-20 20:19:27
The Medicare Clinic,Healthcare Clinic Chains,Medical clinic,Medical clinic,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 86032 31504,N/A,3.2,,"19, Ram Mandir Area, opp. Punjab National Bank, Jamshedpur, Jharkhand 831001","South Park, Bistupur",22.7882458,86.1852481,ChIJjUZ0TV3j9TkR6P1TnRwyUJE,https://www.google.com/maps/place/?q=place_id:ChIJjUZ0TV3j9TkR6P1TnRwyUJE,part_388,2026-09-20 20:19:27
Health Point Medicine Centre,Healthcare Clinic Chains,Nephrologist,"Nephrologist, Orthopedic clinic",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 94711 14777,N/A,3.0,32.0,"Shop No 1, Aviskar Tower, Inner Cir Rd, Ram Das Bhatta, Bistupur, Jamshedpur, Jharkhand 831001","Ram Das Bhatta, Bistupur",22.7988468,86.1774093,ChIJW9vh4GLj9TkRxGaVt9JkUME,https://www.google.com/maps/place/?q=place_id:ChIJW9vh4GLj9TkRxGaVt9JkUME,part_388,2026-09-20 20:19:28
chandra medicare,Healthcare Clinic Chains,Medical clinic,"Medical clinic, Pharmacy",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 657 222 0449,N/A,4.8,68.0,"60, New Bardwari, Sakchi, Jamshedpur, Jharkhand 831001","New Bardwari, Sakchi",22.808216299999998,86.2120578,ChIJFaRsR67j9TkRqvVziYLVawg,https://www.google.com/maps/place/?q=place_id:ChIJFaRsR67j9TkRqvVziYLVawg,part_388,2026-09-20 20:19:28
Jusco Public Health Care,Healthcare Clinic Chains,Public health department,Public health department,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",N/A,N/A,2.3,3.0,"Tube Colony, Baridih, Jamshedpur, Jharkhand 831017","Tube Colony, Baridih",22.7931484,86.2444266,ChIJxZg0qJfi9TkRh7y9Wn9BtOM,https://www.google.com/maps/place/?q=place_id:ChIJxZg0qJfi9TkRh7y9Wn9BtOM,part_388,2026-09-20 20:19:28
Binapani Diagnostic & Research Center,Healthcare Clinic Chains,Diagnostic center,Diagnostic center,831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 657 230 6508,N/A,2.8,20.0,"Shop Area, 14, Main Road, Kadma, Jamshedpur, Jharkhand 831005",Kadma,22.806356299999997,86.1615903,ChIJXTPNzI7k9TkRsDv2DluRTg4,https://www.google.com/maps/place/?q=place_id:ChIJXTPNzI7k9TkRsDv2DluRTg4,part_388,2026-09-20 20:19:28
OM PHYSIOTHERAPY,Healthcare Clinic Chains,Physiotherapist,"Physiotherapist, Physical rehabilitation center, Physiotherapy Center",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",+91 93864 58393,N/A,4.6,50.0,"Ground Floor , Jogi, Mishra Bhawan, near Goushala Chowk & G T Talkies, Kumar Chowk, Jugsalai, Jamshedpur, Jharkhand 831006","Kumar Chowk, Jugsalai",22.7728073,86.18859929999999,ChIJBU70aTPj9TkR3ySUpfQVGPg,https://www.google.com/maps/place/?q=place_id:ChIJBU70aTPj9TkR3ySUpfQVGPg,part_388,2026-09-20 20:19:28
Darbhanga medical store,Healthcare Clinic Chains,Pharmacy,"Pharmacy, Drug store",831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO",N/A,N/A,4.6,7.0,"Adityapur, . S-type chowk, near BDS mall, Adityapur, Jharkhand 831013","Dindly Basti, Adityapur",22.7883596,86.15941339999999,ChIJzUGDAr7k9TkRD2EazA6Wots,https://www.google.com/maps/place/?q=place_id:ChIJzUGDAr7k9TkRD2EazA6Wots,part_388,2026-09-20 20:19:28
