business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Patna Repair: Home Appliances Repair Services In Patna,AC Fridge and Washing Machine Repair,Repair service,"Repair service, Service establishment",831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 62074 22573,https://www.patnarepair.in/,5.0,,"Patna Repair: Home Appliances Repair Services In Patna, 831005, India",831005,25.6080374,85.14304299999999,ChIJeVKDTGJX7TkRf8q2jemUMqo,https://www.google.com/maps/place/?q=place_id:ChIJeVKDTGJX7TkRf8q2jemUMqo,part_388,2026-09-20 20:20:11
SERVICE CENTRE,AC Fridge and Washing Machine Repair,Hotel,Hotel,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,N/A,N/A,3.5,,"PVFJ+4HH, Gorkha Nagar, Jammu, Jammu and Kashmir 180006",Gorkha Nagar,32.7228028,74.8814962,ChIJ3xuSYACDHjkRNBg8XlN5AEM,https://www.google.com/maps/place/?q=place_id:ChIJ3xuSYACDHjkRNBg8XlN5AEM,part_388,2026-09-20 20:20:11
Arrowmind Service Center,AC Fridge and Washing Machine Repair,Appliance repair service,Appliance repair service,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,N/A,https://www.arrowmind.in/,,,"2, 1st cross, 1st main, Main Road, Umar Nagar, Nagavara, Bengaluru, Karnataka 560045","Umar Nagar, Govindapura, Nagavara",13.034571699999999,77.6222429,ChIJ_cOirAUXrjsRYNdP7kKVF4g,https://www.google.com/maps/place/?q=place_id:ChIJ_cOirAUXrjsRYNdP7kKVF4g,part_388,2026-09-20 20:20:12
Next Home Appliances Service and Second Sales,AC Fridge and Washing Machine Repair,Second hand store,Second hand store,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 95264 24643,https://jsdl.in/DT-55AYQMEUA26,4.8,24.0,"Attingal, Alamcode, Keralam 695102",831005,8.7367151,76.8255052,ChIJD4sjy63pBTsRX0GiKJovUms,https://www.google.com/maps/place/?q=place_id:ChIJD4sjy63pBTsRX0GiKJovUms,part_388,2026-09-20 20:20:12
PREETHI KITCHEN APPLIANCES PVT.LTD,AC Fridge and Washing Machine Repair,Appliance repair service,Appliance repair service,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 471 240 8461,http://www.preethi.in/,4.4,78.0,"Pazhayakadalane, Balaramapuram, Keralam 695501",Pazhayakadalane,8.4259189,77.04427,ChIJpyAnLcSvBTsRz7xZIUpSjew,https://www.google.com/maps/place/?q=place_id:ChIJpyAnLcSvBTsRz7xZIUpSjew,part_388,2026-09-20 20:20:12
Preethi Service Center,AC Fridge and Washing Machine Repair,Appliances customer service,Appliances customer service,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 471 234 1216,http://www.preethi.in/,4.8,275.0,"GS MANDIRAM, near NANDILETH G. MART, Akshaya Nagar, Neeramankara, Pappanamcode, Thiruvananthapuram, Keralam 695040","Akshaya Nagar, Neeramankara, Pappanamcode",8.4781237,76.9706771,ChIJBXg1SEK7BTsRdiNc9ZP3QwE,https://www.google.com/maps/place/?q=place_id:ChIJBXg1SEK7BTsRdiNc9ZP3QwE,part_388,2026-09-20 20:20:12
Cool king,AC Fridge and Washing Machine Repair,Air conditioning repair service,"Air conditioning repair service, Washer & dryer repair service",831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 91222 06999,N/A,5.0,2.0,"Shop no 25, 26, Bistupur Main Rd, near fish market, South Park, Bistupur, Jamshedpur, Jharkhand 831001","South Park, Bistupur",22.792519,86.184078,ChIJP3naX4nj9TkRDIcy6NVzhV0,https://www.google.com/maps/place/?q=place_id:ChIJP3naX4nj9TkRDIcy6NVzhV0,part_388,2026-09-20 20:20:13
Season Controller,AC Fridge and Washing Machine Repair,Air conditioning repair service,"Air conditioning repair service, Microwave oven repair service, Refrigerator repair service, Washer & dryer repair service",831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 92040 37160,N/A,5.0,47.0,"near carmel junior college, Adarsh Nagar, Sonari, Jamshedpur, Jharkhand 831011","Adarsh Nagar, Sonari",22.8240488,86.1711832,ChIJ8yxxWPrl9TkRbSv2pJ0oUug,https://www.google.com/maps/place/?q=place_id:ChIJ8yxxWPrl9TkRbSv2pJ0oUug,part_388,2026-09-20 20:20:13
Reliance resQ Service Center - Basanti Multisolutions,AC Fridge and Washing Machine Repair,Appliance repair service,"Appliance repair service, Electronics repair shop",831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 1800 889 1044,https://www.resqservices.in/,3.6,14.0,"Basanti Multisolutions, Matree Chaya, H No. 64, B Road, Air Base Colony Ulian, Kadma Town, Jamshedpur, Jharkhand 831005","Ramnagar, Uliyan",22.8141711,86.1599646,ChIJMTPyflPl9TkRw128ScqiynY,https://www.google.com/maps/place/?q=place_id:ChIJMTPyflPl9TkRw128ScqiynY,part_388,2026-09-20 20:20:13
National Electronics,AC Fridge and Washing Machine Repair,Electronics store,"Electronics store, Air conditioning repair service, Air conditioning store, Electronics hire shop, Kitchen supply store, Television repair service",831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 72800 12131,N/A,4.5,1570.0,"PLOT NO – 334, Tata Kandra Rd, opp. KANTA MAIDAN, LIC Colony, Adityapur, Jamshedpur, Jharkhand 832109","LIC Colony, Adityapur",22.7901414,86.1570024,ChIJiVUwDJXk9TkRRLjC6MlF19w,https://www.google.com/maps/place/?q=place_id:ChIJiVUwDJXk9TkRRLjC6MlF19w,part_388,2026-09-20 20:20:13
