business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dr. Abhilash Chatterjee Child Specialist,Pediatrician and Child Clinic,Pediatrician,Pediatrician,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,N/A,N/A,,,"Ram Das Bhatta Main Rd, Ram Das Bhatta, Bistupur, Jamshedpur, Jharkhand 831001","Ram Das Bhatta, Bistupur",22.7959803,86.1757956,ChIJ-Y6F8tPj9TkRctpR6mPyGDc,https://www.google.com/maps/place/?q=place_id:ChIJ-Y6F8tPj9TkRctpR6mPyGDc,part_388,2026-09-20 20:20:03
Sunshine Clinic,Pediatrician and Child Clinic,Pediatrician,Pediatrician,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 78418 30823,N/A,5.0,,"R59C+J76, Main Rd, B Block, New Line, Sonari, Jamshedpur, Jharkhand 831011","B Block, New Line, Sonari",22.8190265,86.1706494,ChIJTe9XUHnk9TkReMvedkkr6A8,https://www.google.com/maps/place/?q=place_id:ChIJTe9XUHnk9TkReMvedkkr6A8,part_388,2026-09-20 20:20:03
Dr Sudhir Mishra child specialist (Chawla diagnostic centre),Pediatrician and Child Clinic,Diagnostic center,Diagnostic center,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 72509 99558,N/A,5.0,,"Outer Cir Rd, near kantilal hospital, beside jiva clinic, South Park, Bistupur, Jamshedpur, Jharkhand 831001","South Park, Bistupur",22.7886281,86.176846,ChIJ_VypAa7j9TkRWot5KdyiWTk,https://www.google.com/maps/place/?q=place_id:ChIJ_VypAa7j9TkRWot5KdyiWTk,part_388,2026-09-20 20:20:03
Dr k.k. Choudhary,Pediatrician and Child Clinic,Doctor,Doctor,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,N/A,N/A,4.9,,"Holding No.53, Road No.3, 831011, near Petrol Pump, West Layout, Sonari, Jamshedpur, Jharkhand 831011","West Layout, Sonari",22.822303599999998,86.16632949999999,ChIJL4Y1ta7l9TkR5SfPZZGOLYw,https://www.google.com/maps/place/?q=place_id:ChIJL4Y1ta7l9TkR5SfPZZGOLYw,part_388,2026-09-20 20:20:03
"Department of Pediatrics,TMH",Pediatrician and Child Clinic,Private hospital,Private hospital,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,N/A,http://www.tatamainhospital.com/,4.1,,"R52J+V22, Dhatkidih, Jamshedpur, Jharkhand 831001",Dhatkidih,22.802127799999997,86.1800203,ChIJE-6r9eTj9TkRn45gf5B1-Ng,https://www.google.com/maps/place/?q=place_id:ChIJE-6r9eTj9TkRn45gf5B1-Ng,part_388,2026-09-20 20:20:03
Dr. Ashish Roy,Pediatrician and Child Clinic,Pediatrician,Pediatrician,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 92636 37483,N/A,5.0,,"Steel City Clinic & Research Centre, Bistupur, Jamshedpur, Jharkhand 831001",Bistupur,22.7958416,86.18446279999999,ChIJ_ctXrqHj9TkRe3KdL9jqtD8,https://www.google.com/maps/place/?q=place_id:ChIJ_ctXrqHj9TkRe3KdL9jqtD8,part_388,2026-09-20 20:20:03
Dr. Soni Kumari -Paediatrician,Pediatrician and Child Clinic,Pediatrician,Pediatrician,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,N/A,N/A,5.0,,"Steel City Clinic, Bistupur, Jamshedpur, Jharkhand 831001",Bistupur,22.795903499999998,86.1845249,ChIJndU4IpPj9TkRqqxxIpdOg6k,https://www.google.com/maps/place/?q=place_id:ChIJndU4IpPj9TkRqqxxIpdOg6k,part_388,2026-09-20 20:20:03
Chakradharpur Children Clinic,Pediatrician and Child Clinic,Hospital,Hospital,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,N/A,N/A,3.8,,"MJM7+563, Chakradharpur, Jharkhand 833102",831005,22.6828897,85.6130381,ChIJoaRhj22C9TkRaW5tm7e1YGs,https://www.google.com/maps/place/?q=place_id:ChIJoaRhj22C9TkRaW5tm7e1YGs,part_388,2026-09-20 20:20:03
Sanjeevani clinic,Pediatrician and Child Clinic,Hospital,Hospital,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,N/A,N/A,5.0,,"Sanjivini pharma, Uliyan, Jamshedpur, Jharkhand 831005",Uliyan,22.811095299999998,86.15797889999999,ChIJLXct3WHk9TkRRqCfny87s_0,https://www.google.com/maps/place/?q=place_id:ChIJLXct3WHk9TkRRqCfny87s_0,part_388,2026-09-20 20:20:03
Dr. A.A. Khan,Pediatrician and Child Clinic,Doctor,Doctor,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 94711 14777,N/A,3.7,,"R53H+F42, Near Beldih Lake Flats, Dhatkidih, Jamshedpur, Jharkhand 831001",Dhatkidih,22.8036422,86.1777686,ChIJ8_XMFXzj9TkRUEqKF9acqZw,https://www.google.com/maps/place/?q=place_id:ChIJ8_XMFXzj9TkRUEqKF9acqZw,part_388,2026-09-20 20:20:03
Dr Nisha choudhary,Pediatrician and Child Clinic,Private hospital,Private hospital,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,N/A,N/A,4.8,,"2nd floor, Steel city nursing home, Yash Kamal Complex, 201, Tata - Hata Main Rd, Bistupur, Jamshedpur, Jharkhand 831001",Bistupur,22.7958326,86.1844879,ChIJXSfmcLPj9TkR2-eisN_Jh3k,https://www.google.com/maps/place/?q=place_id:ChIJXSfmcLPj9TkR2-eisN_Jh3k,part_388,2026-09-20 20:20:04
"Dr. Manoj Kumar Singh, Hazaribag Children's Hospital",Pediatrician and Child Clinic,Hospital,Hospital,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,N/A,N/A,4.4,,"Tower road , near chhath talab, NawabGanj, Hazaribagh, Jharkhand 825301",NawabGanj,23.9984559,85.3577607,ChIJxfT0qgCd9DkRTWzEf7Zzedg,https://www.google.com/maps/place/?q=place_id:ChIJxfT0qgCd9DkRTWzEf7Zzedg,part_388,2026-09-20 20:20:04
Akshaya Children Clinic (Dr. Gaurav Kumar Gupta),Pediatrician and Child Clinic,Child health care center,Child health care center,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 96164 63156,N/A,4.9,,"colony Chauraha, Bhagwanpur Rd, near Durga medical and Gardenia public school, Vaishnav Nagar, Chhittupur, Bhagwanpur, Varanasi, Uttar Pradesh 221005","Vaishnav Nagar, Chhittupur, Bhagwanpur",25.266479699999998,83.00918419999999,ChIJtXoKXVQxjjkRDpBcGDFngj0,https://www.google.com/maps/place/?q=place_id:ChIJtXoKXVQxjjkRDpBcGDFngj0,part_388,2026-09-20 20:20:04
DR.SUMANTA DAS (সুমন্ত দাস),Pediatrician and Child Clinic,Pediatrician,Pediatrician,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 89002 96999,https://web.docterz.in/#/clinics/655/book_online_appointment,4.7,,"Supritha medical, Munsifdanga, Katin Para, Purulia, West Bengal 723101","Munsifdanga, Katin Para",23.3347205,86.3640095,ChIJCe5XmQd99jkR0E9MtgPHSoE,https://www.google.com/maps/place/?q=place_id:ChIJCe5XmQd99jkR0E9MtgPHSoE,part_388,2026-09-20 20:20:04
Dr KANNAN's Children's Clinic,Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Service establishment, Neonatal physician",831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,N/A,N/A,5.0,,"Dr KANNAN's Children's Clinic, 831005, India",831005,21.0680074,82.7525294,ChIJh5aCzdsr8zkROhcDTWIOb-c,https://www.google.com/maps/place/?q=place_id:ChIJh5aCzdsr8zkROhcDTWIOb-c,part_388,2026-09-20 20:20:04
Dr. RK Singh,Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Children's hospital, Day care center, Dermatologist, Diabetologist, Gastroenterologist, Neurologist, Pediatric cardiologist, Skin care clinic, Speech & Hearing Specialist",831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 98388 88873,https://docspoint.in/doctor-rk-singh,4.9,,"Bramha Kumari Ln, Jawahar Nagar Colony, Bhelupur, Varanasi, Uttar Pradesh 221005","Jawahar Nagar Colony, Bhelupur",25.2969613,82.99827119999999,ChIJb7hei_kxjjkRQ0ZOfQK3xNo,https://www.google.com/maps/place/?q=place_id:ChIJb7hei_kxjjkRQ0ZOfQK3xNo,part_388,2026-09-20 20:20:04
Dr Mandira Roy,Pediatrician and Child Clinic,Pediatrician,Pediatrician,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,N/A,N/A,4.9,,"3PGG+MX2, Circus Maidan, Mallarpur, West Bengal 731216",Bharkata,24.0766295,87.72740519999999,ChIJ1wOV6tT3-TkRHR4-2U6bzuM,https://www.google.com/maps/place/?q=place_id:ChIJ1wOV6tT3-TkRHR4-2U6bzuM,part_388,2026-09-20 20:20:04
Prasad Clinic DR NARESH PRASAD/ DR NITESH PRASAD/ DR JAYESH PRASADtop/oldest child hospital in dhanbad 24 hrs top/best paediatrician(child specialist ) opd/emergency service JHARIA (DHANBAD),Pediatrician and Child Clinic,Child health care center,"Child health care center, Children's hospital, Pediatrician",831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 87979 45227,N/A,4.2,86.0,"Jharia Main Rd, Lowar Rajbadi Mohalla, Jharia, Jharkhand 828111",Lowar Rajbadi Mohalla,23.745368,86.4111866,ChIJo60g1bei9jkRPPPTZERIgz4,https://www.google.com/maps/place/?q=place_id:ChIJo60g1bei9jkRPPPTZERIgz4,part_388,2026-09-20 20:20:05
Mahavir Children Clinic and Vaccination Center,Pediatrician and Child Clinic,Pediatric clinic,Pediatric clinic,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 99342 18314,N/A,5.0,3.0,"Shakti Nagar, Belatand, Velatanr, Jharkhand 826010",Shakti Nagar,23.8300575,86.45352319999999,ChIJG7hqRAO79jkRFO0x64qmKM8,https://www.google.com/maps/place/?q=place_id:ChIJG7hqRAO79jkRFO0x64qmKM8,part_388,2026-09-20 20:20:05
Dr. Prem Prakash,Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Doctor",831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 98916 84609,https://book-appointment.healthplix.com/dr-prem-prakash-child-specialist-baidyanathdham--deoghar,4.7,14.0,"castair's town, Jharkhand 814112","Castairs Town, Bompas Town",24.488322699999998,86.6911379,ChIJqz1hsboX8TkR5p5Im2Jthnw,https://www.google.com/maps/place/?q=place_id:ChIJqz1hsboX8TkR5p5Im2Jthnw,part_388,2026-09-20 20:20:05
