business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shringar,Watch Showroom and Repair,Watch repair service,"Watch repair service, Clock repair service",831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 93040 99474,N/A,5.0,16,"Fruit Market, 33 A-1, Bistupur Market, Bistupur, Jamshedpur, Jharkhand 831001","Bistupur Market, Bistupur",22.7940978,86.18456979999999,ChIJ4fxto33j9TkR2eQ6JkB6hZA,https://www.google.com/maps/place/?q=place_id:ChIJ4fxto33j9TkR2eQ6JkB6hZA,part_388,2026-09-20 20:20:01
Fastrack,Watch Showroom and Repair,Watch repair service,Watch repair service,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,N/A,N/A,3.9,8,"Q5WM+7MJ, Bistupur Main Rd, Bistupur, Jamshedpur, Jharkhand 831001",Bistupur,22.7957133,86.184145,ChIJq4-uREvj9TkRmfD010N7r9Q,https://www.google.com/maps/place/?q=place_id:ChIJq4-uREvj9TkRmfD010N7r9Q,part_388,2026-09-20 20:20:01
T&T WATCH STORE,Watch Showroom and Repair,Watch store,Watch store,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 77829 03747,N/A,4.9,13,"house no.14, New TC Colony, BH Area, Dhatkidih, Jamshedpur, Jharkhand 831001","New TC Colony, BH Area, Dhatkidih",22.805103199999998,86.17339609999999,ChIJI4uJR1zl9TkR0f3WP616epo,https://www.google.com/maps/place/?q=place_id:ChIJI4uJR1zl9TkR0f3WP616epo,part_388,2026-09-20 20:20:01
"Helios Watch Store - Bistupur, Jamshedpur",Watch Showroom and Repair,Watch store,"Watch store, Clock repair service, Clock and watch maker, Watch Manufacturer, Watch repair service",831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 80 6270 3294,https://www.helioswatchstore.com/,4.1,25,"Shop No 8, Natraj Mansion, opposite Axe Steel City, Bistupur, Jamshedpur, Jharkhand 831001",Bistupur,22.7958218,86.18384569999999,ChIJd90Yy2bj9TkRf94W-xNYdEk,https://www.google.com/maps/place/?q=place_id:ChIJd90Yy2bj9TkRf94W-xNYdEk,part_388,2026-09-20 20:20:01
Tommy Hilfiger,Watch Showroom and Repair,Clothing store,Clothing store,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 657 232 0881,N/A,4.3,525,"P&M Hi-Tech City Centre Mall, Millenium Park, Bistupur, Jamshedpur, Jharkhand 831001","Millenium Park, Bistupur",22.7848434,86.17987389999999,ChIJaW_FCgPj9TkRfchvn0Rnxy0,https://www.google.com/maps/place/?q=place_id:ChIJaW_FCgPj9TkRfchvn0Rnxy0,part_388,2026-09-20 20:20:01
SHANTILAL AMARSHI JEWELLERS,Watch Showroom and Repair,Watch store,Watch store,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 88090 05911,N/A,4.9,28,"h.no, 896, Dispensary Rd, opp. bank of india, Christanpara, Sonari, Jamshedpur, Jharkhand 831011","Christanpara, Sonari",22.8189362,86.1737885,ChIJiSAJSW_l9TkRjoiIzzggNd0,https://www.google.com/maps/place/?q=place_id:ChIJiSAJSW_l9TkRjoiIzzggNd0,part_388,2026-09-20 20:20:01
New Quartz Time,Watch Showroom and Repair,Watch store,Watch store,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 94717 28783,N/A,4.1,13,"Sunder Nagar, Jamshedpur, Jharkhand 832107",Sunder Nagar,22.736518,86.1994982,ChIJC_lk7ev89TkRn_7A8qWJN8w,https://www.google.com/maps/place/?q=place_id:ChIJC_lk7ev89TkRn_7A8qWJN8w,part_388,2026-09-20 20:20:02
SHAMSHER MAMA WATCH,Watch Showroom and Repair,Watch repair service,Watch repair service,831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 80923 21247,N/A,4.3,3,"Sector 4, Bokaro Steel City, Jharkhand 827004",Sector 4,23.668423699999998,86.14374579999999,ChIJVWRXVQAj9DkRWDdv2UjUmuM,https://www.google.com/maps/place/?q=place_id:ChIJVWRXVQAj9DkRWDdv2UjUmuM,part_388,2026-09-20 20:20:02
CHADHA TIME TRADERS,Watch Showroom and Repair,Watch store,"Watch store, Eye care center, Luggage store, Watch repair service",831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 72090 66769,N/A,4.8,698,"Manyavar Showroom And Hotel Sartaj, Main Rd, opp. India Hotel, beside Swayamvar Showroom, Maulana Azad Colony, Hindpiri, Ranchi, Jharkhand 834001","Maulana Azad Colony, Hindpiri",23.3606584,85.3259401,ChIJRwEpFmPh9DkRZ2JS37kl6YA,https://www.google.com/maps/place/?q=place_id:ChIJRwEpFmPh9DkRZ2JS37kl6YA,part_388,2026-09-20 20:20:02
Titan Eyeplus,Watch Showroom and Repair,Optician,"Optician, Contact lenses supplier, Eye care center, Optical Products Manufacturer, Optometrist, Sunglasses store",831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO,+91 1800 266 0123,https://www.titaneyeplus.com/,5.0,140,"3/2-2, Adityapur - Kandra Hwy, opposite Durian Furniture, Aditypur 1, Housing Colony, Adityapur, Jamshedpur, Jharkhand 831013","Aditypur 1, Housing Colony, Adityapur",22.7864886,86.16716199999999,ChIJn1Yz7J_l9TkRNBVcl_I4mlE,https://www.google.com/maps/place/?q=place_id:ChIJn1Yz7J_l9TkRNBVcl_I4mlE,part_388,2026-09-20 20:20:02
