business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Exide Care - Excel Batteries,Car and Bike Battery Dealer,Car battery store,"Car battery store, Battery Wholesaler, Battery Store",831014,Jharkhand Circle,Ranchi Region,Singhbhum Division,NIT SO,+91 22 4530 1926,https://stores.exidecare.com/exide-care-excel-batteries-battery-store-karbala-chowk-ranchi-189309/Home?utm_source=locator&utm_medium=googleplaces,4.6,58,"Ground Floor, Karbala Chowk, near Azad High School, Lower Bazaar, Ranchi, Jharkhand 834001",Lower Bazaar,23.3617934,85.3293655,ChIJJ_jWGwrh9DkRvZLns84zbuY,https://www.google.com/maps/place/?q=place_id:ChIJJ_jWGwrh9DkRvZLns84zbuY,part_388,2026-09-20 20:24:37
Prince battery,Car and Bike Battery Dealer,Battery Store,Battery Store,831014,Jharkhand Circle,Ranchi Region,Singhbhum Division,NIT SO,+91 93089 77188,N/A,4.9,62,"near nirmala college, New Parastoli, Shyamali Colony, Doranda, Ranchi, Jharkhand 834002","New Parastoli, Shyamali Colony, Doranda",23.3360411,85.3153687,ChIJMf8V-Ofh9DkRo27FQY14s9A,https://www.google.com/maps/place/?q=place_id:ChIJMf8V-Ofh9DkRo27FQY14s9A,part_388,2026-09-20 20:24:38
Sun Shine Batteries,Car and Bike Battery Dealer,Battery Wholesaler,"Battery Wholesaler, Battery Store, Car battery store",831014,Jharkhand Circle,Ranchi Region,Singhbhum Division,NIT SO,+91 73719 11532,N/A,4.3,119,"Mehta Complex, Piska More, Ratu Rd, Ranchi, Jharkhand 834005","CCL Colony, Pahartoli",23.381881,85.295785,ChIJrdG-YOrg9DkRGVPqaKVqHwc,https://www.google.com/maps/place/?q=place_id:ChIJrdG-YOrg9DkRGVPqaKVqHwc,part_388,2026-09-20 20:24:38
Power House,Car and Bike Battery Dealer,Battery Store,"Battery Store, Car battery store",831014,Jharkhand Circle,Ranchi Region,Singhbhum Division,NIT SO,+91 98955 11895,N/A,4.2,17,"Ground Floor, Radium Rd, near SBI ATM, Kutchery, Ahirtoli, Ranchi, Jharkhand 834001","Kutchery, Ahirtoli",23.3817921,85.3245017,ChIJySlphRfh9DkRZnASgtfmRNY,https://www.google.com/maps/place/?q=place_id:ChIJySlphRfh9DkRZnASgtfmRNY,part_388,2026-09-20 20:24:38
JHARKHAND BATTERY,Car and Bike Battery Dealer,Battery Wholesaler,Battery Wholesaler,831014,Jharkhand Circle,Ranchi Region,Singhbhum Division,NIT SO,+91 94311 73326,N/A,5.0,4,"Argora Chowk, opp. Road Number 5, Ashok Kunj, Harmu Housing Colony, Ashok Nagar, Ranchi, Jharkhand 834002","Ashok Kunj, Harmu Housing Colony, Ashok Nagar",23.3504412,85.3012871,ChIJ550ye-fh9DkRpb4m3k7xcZs,https://www.google.com/maps/place/?q=place_id:ChIJ550ye-fh9DkRpb4m3k7xcZs,part_388,2026-09-20 20:24:38
HIMANSHU BATTERY & Home Appliances,Car and Bike Battery Dealer,Battery Store,"Battery Store, Electronics store",831014,Jharkhand Circle,Ranchi Region,Singhbhum Division,NIT SO,+91 89693 59023,http://www.ebexmart.com/,4.3,27,"872C+43V bus stand, Dhurwa Dam Side Rd, JP Nagar, Dhurwa, Ranchi, Jharkhand 834004","JP Nagar, Dhurwa",23.3003873,85.2702583,ChIJpSsY2wIg9TkR-e2hEl5E9BE,https://www.google.com/maps/place/?q=place_id:ChIJpSsY2wIg9TkR-e2hEl5E9BE,part_388,2026-09-20 20:24:38
Indian Auto Battery,Car and Bike Battery Dealer,Battery Store,Battery Store,831014,Jharkhand Circle,Ranchi Region,Singhbhum Division,NIT SO,+91 79742 42449,N/A,4.5,11,"Main Road, in front of Titan world, Garhwa, Jharkhand 822114",831014,24.16557,83.8103355,ChIJo88Qu70PjDkRXVw-2a9LqpU,https://www.google.com/maps/place/?q=place_id:ChIJo88Qu70PjDkRXVw-2a9LqpU,part_388,2026-09-20 20:24:39
Exide Care - Anand Traders,Car and Bike Battery Dealer,Car battery store,"Car battery store, Battery Wholesaler, Battery Store",831014,Jharkhand Circle,Ranchi Region,Singhbhum Division,NIT SO,+91 80 6949 6714,https://stores.exidecare.com/exide-care-anand-traders-battery-store-ranka-more-garhwa-189308/Home?utm_source=locator&utm_medium=googleplaces,4.4,21,"Ground Floor, More, near Ambala Petrol Pump, Eriquee Mohalla, Nehru Nagar, Pipra Khurd, Ranka, Garhwa, Jharkhand 822114","Eriquee Mohalla, Nehru Nagar, Pipra Khurd",24.1595571,83.8081255,ChIJrfMxFjcPjDkRRG_-gNpUvh8,https://www.google.com/maps/place/?q=place_id:ChIJrfMxFjcPjDkRRG_-gNpUvh8,part_388,2026-09-20 20:24:39
Exide Care - Bishwanath Pd & Co,Car and Bike Battery Dealer,Car battery store,"Car battery store, Battery Wholesaler, Battery Store",831014,Jharkhand Circle,Ranchi Region,Singhbhum Division,NIT SO,+91 80 6976 1688,https://stores.exidecare.com/exide-care-bishwanath-pd-co-battery-store-station-road-deoghar-270684/Home?utm_source=locator&utm_medium=googleplaces,3.8,11,"Ground Floor, Station Rd, near Petrol Pump, Bompas Town, Deoghar, Jharkhand 814112",Bompas Town,24.4897298,86.69393889999999,ChIJ4xH3yikW8TkRAf1Jnh2MnuU,https://www.google.com/maps/place/?q=place_id:ChIJ4xH3yikW8TkRAf1Jnh2MnuU,part_388,2026-09-20 20:24:39
Exide battery (piyush enterprise),Car and Bike Battery Dealer,Battery Wholesaler,Battery Wholesaler,831014,Jharkhand Circle,Ranchi Region,Singhbhum Division,NIT SO,+91 93318 85015,https://exide-battery-piyush.grexa.site/,5.0,31,"41, Panchanantala Rd, Kadam Tala, Howrah, West Bengal 711101",Kadam Tala,22.5851434,88.3305784,ChIJLXacnsd3AjoRk_UtxDoWkqk,https://www.google.com/maps/place/?q=place_id:ChIJLXacnsd3AjoRk_UtxDoWkqk,part_388,2026-09-20 20:24:39
Manyog Auto Emporium And Service Centre,Car and Bike Battery Dealer,Auto parts store,Auto parts store,831014,Jharkhand Circle,Ranchi Region,Singhbhum Division,NIT SO,+91 79722 68795,N/A,5.0,26,"NH-23, Bandhgora site, Khedadih, Chas, Bokaro Steel City, Jharkhand 827013","Adarsh Co-Operative Colony, Adrash Colony",23.623914199999998,86.15248369999999,ChIJxQGFkZgj9DkRq4b_Lpg3WM0,https://www.google.com/maps/place/?q=place_id:ChIJxQGFkZgj9DkRq4b_Lpg3WM0,part_388,2026-09-20 20:24:39
