business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SHAILPUTRI IRON & STEELS PVT. LTD.,TMT Steel and Iron Wholesaler,Steel industry,Steel industry,831014,Jharkhand Circle,Ranchi Region,Singhbhum Division,NIT SO,+91 91283 77777,http://www.supernexttmt.com/,3.9,,"Koderma - Giridih - Tundi - Gobindpur Rd, Giridih, Ajidih, Jharkhand 815302",831014,24.1531006,86.34127199999999,ChIJqfrVW0pT8TkRRSC1_rCQb0Q,https://www.google.com/maps/place/?q=place_id:ChIJqfrVW0pT8TkRRSC1_rCQb0Q,part_388,2026-09-20 20:24:40
Shree Ji Steel Private Limited,TMT Steel and Iron Wholesaler,Supplier,"Supplier, Building materials supplier, Construction Material Wholesaler, Iron & Steel Store, Iron works, Steel distributor",831014,Jharkhand Circle,Ranchi Region,Singhbhum Division,NIT SO,+91 70444 59444,http://shreejisteelcorp.com/,4.7,,"EP & GP, J-1, Salt Lake Bypass, above idlyGo Xpress, EP Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091","EP Block, Sector V, Bidhannagar",22.5718052,88.43604719999999,ChIJBfn_BJR3AjoRt7hkPVRh1ec,https://www.google.com/maps/place/?q=place_id:ChIJBfn_BJR3AjoRt7hkPVRh1ec,part_388,2026-09-20 20:24:40
Chaudaharana Iron Traders Pvt. Ltd,TMT Steel and Iron Wholesaler,Building materials store,Building materials store,831014,Jharkhand Circle,Ranchi Region,Singhbhum Division,NIT SO,+91 91199 94211,N/A,4.8,,"12/16, Mayo Road, near Manmohan Park, Old Katra, Prayagraj, Uttar Pradesh 211002",Old Katra,25.461609499999998,81.8486978,ChIJaSX4T9zLmjkRgjpou8plmdg,https://www.google.com/maps/place/?q=place_id:ChIJaSX4T9zLmjkRgjpou8plmdg,part_388,2026-09-20 20:24:40
Mega TMT Steel and Industries Private Limited,TMT Steel and Iron Wholesaler,Steel construction company,Steel construction company,831014,Jharkhand Circle,Ranchi Region,Singhbhum Division,NIT SO,+91 97426 77777,N/A,4.6,,"Sy. No. 141-6, Gollapuram, Andhra Pradesh 515211",831014,13.728734699999999,77.5218127,ChIJU2Gbo1S9sTsRAZNxAcz8WDM,https://www.google.com/maps/place/?q=place_id:ChIJU2Gbo1S9sTsRAZNxAcz8WDM,part_388,2026-09-20 20:24:40
Mangal TMT,TMT Steel and Iron Wholesaler,Steel industry,"Steel industry, Iron & Steel Store",831014,Jharkhand Circle,Ranchi Region,Singhbhum Division,NIT SO,+91 91009 26993,https://www.mangaltmt.in/,4.2,,"R.G. Peta, L. Kota, Vizianagaram, Andhra Pradesh 535161",R.G. Peta,17.968641899999998,83.1533066,ChIJrdoXAtHYOzoR_vgkoLd5llI,https://www.google.com/maps/place/?q=place_id:ChIJrdoXAtHYOzoR_vgkoLd5llI,part_388,2026-09-20 20:24:40
BHASKAR STEEL CORPORATION,TMT Steel and Iron Wholesaler,Manufacturer,"Manufacturer, Supplier, Iron & Steel Store, Steel distributor",831014,Jharkhand Circle,Ranchi Region,Singhbhum Division,NIT SO,+91 90081 98477,https://www.bhaskarsteelcorporation.com/,4.9,,"Shop No 28, Iron Complexr, Bhavanipuram, Jojinagar, Vijayawada, Andhra Pradesh 520012","Bhavanipuram, Jojinagar",16.539774299999998,80.5948884,ChIJZ-Y9QLH6NToR3At4XJrABC0,https://www.google.com/maps/place/?q=place_id:ChIJZ-Y9QLH6NToR3At4XJrABC0,part_388,2026-09-20 20:24:40
Mohan Steel Corporation,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Construction Material Wholesaler, Steel distributor",831014,Jharkhand Circle,Ranchi Region,Singhbhum Division,NIT SO,+91 99458 26464,https://www.mohansteelcorporation.com/,4.3,,"59/1, 10th Cross Rd, 1st N Block, 2nd Stage, Rajajinagar, Bengaluru, Karnataka 560010","1st N Block, 2nd Stage, Rajajinagar",13.0042744,77.5533252,ChIJ_____4w9rjsRLbB0ry1zP9g,https://www.google.com/maps/place/?q=place_id:ChIJ_____4w9rjsRLbB0ry1zP9g,part_388,2026-09-20 20:24:40
SHREE JAYESH STEEL,TMT Steel and Iron Wholesaler,Steel distributor,Steel distributor,831014,Jharkhand Circle,Ranchi Region,Singhbhum Division,NIT SO,+91 88406 47458,N/A,5.0,,"C 27/85-86, Das Nagar Colony, Jagatganj, Chaukaghat, Varanasi, Uttar Pradesh 221002","Das Nagar Colony, Jagatganj, Chaukaghat",25.3275078,82.9993118,ChIJVVf8e4wvjjkRwc-TNxKfbYs,https://www.google.com/maps/place/?q=place_id:ChIJVVf8e4wvjjkRwc-TNxKfbYs,part_388,2026-09-20 20:24:40
Aditya Steel Corporation,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Iron works, Steel distributor",831014,Jharkhand Circle,Ranchi Region,Singhbhum Division,NIT SO,+91 98300 31743,N/A,4.9,,"N.N Bose Road, Industrial Area, Durgapur, West Bengal 713206",Industrial Area,23.506607199999998,87.3371919,ChIJR9i6K4Fx9zkRqACjSDkx58c,https://www.google.com/maps/place/?q=place_id:ChIJR9i6K4Fx9zkRqACjSDkx58c,part_388,2026-09-20 20:24:40
S.K. Steel Centre-Iron And Steel Merchants|General Order Suppliers,TMT Steel and Iron Wholesaler,Steel distributor,Steel distributor,831014,Jharkhand Circle,Ranchi Region,Singhbhum Division,NIT SO,+91 94340 13366,N/A,5.0,,"Kamalpur Plot, Benachity, Durgapur, West Bengal 713213","Kamalpur Plot, Benachity",23.5593453,87.2768068,ChIJxUB2341t9zkRfeQ12c9qsys,https://www.google.com/maps/place/?q=place_id:ChIJxUB2341t9zkRfeQ12c9qsys,part_388,2026-09-20 20:24:40
