business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sankar Foundation Eye Hospital,Eye Clinic and Eye Hospital,Eye care center,Eye care center,831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,+91 91210 05833,http://www.sankarfoundation.org/,4.9,18977.0,"Q69C+5M7, 19-50 Vepagunta, Sri, Sai Madhava Nagar - Prahaladapuram Rd, Sai Madhava Nagar, Naidu Thota, Vepagunta, Andhra Pradesh 530047","Sai Madhava Nagar, Naidu Thota",17.765835199999998,83.2203354,ChIJVb3_37FpOToRZfXaz79YMZ8,https://www.google.com/maps/place/?q=place_id:ChIJVb3_37FpOToRZfXaz79YMZ8,part_388,2026-09-20 20:28:25
Nivora Eye Institute (Navjyoti Eye Hospital) & Dehradun Wave Lasik Centre,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Lasik surgeon",831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,+91 84484 48860,https://www.nivoraeye.com/,4.9,1735.0,"Near LIC Building Nehru Colony, Haridwar Rd, Dehradun, Uttarakhand 248001","Nehru Colony, Drone Puri, Dharampur",30.298274099999997,78.0530868,ChIJD9xQZQgpCTkRierai4QK6Ms,https://www.google.com/maps/place/?q=place_id:ChIJD9xQZQgpCTkRierai4QK6Ms,part_388,2026-09-20 20:28:25
Dr Neetu Saharan Deshwar,Eye Clinic and Eye Hospital,Eye care center,Eye care center,831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,N/A,N/A,5.0,122.0,"Deshwar Hospital, Krishna Nagar, Bharatpur, Bharatpur Chak 2, Rajasthan 321001",Krishna Nagar,27.213737599999998,77.5089071,ChIJ20QyNdOjczkRC5BS3RVi0ZU,https://www.google.com/maps/place/?q=place_id:ChIJ20QyNdOjczkRC5BS3RVi0ZU,part_388,2026-09-20 20:28:25
Government Regional Eye Hospital,Eye Clinic and Eye Hospital,Government hospital,Government hospital,831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,N/A,N/A,3.7,107.0,"Waltair Cemetery, near Rama Talkies, Old TB Hospital Area, Seetamma Peta, Dwaraka Nagar, Visakhapatnam, Andhra Pradesh 530016","Old TB Hospital Area, Seetamma Peta, Dwaraka Nagar",17.7302623,83.311708,ChIJ03A4rjlDOToRkdHxzSApmoM,https://www.google.com/maps/place/?q=place_id:ChIJ03A4rjlDOToRkdHxzSApmoM,part_388,2026-09-20 20:28:25
Dr. Hindukush Ojha/ Netra Jeevan Eye Hospital,Eye Clinic and Eye Hospital,Hospital,Hospital,831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,N/A,N/A,4.6,112.0,"Mohkampur, Dehradun, Uttarakhand 248005",Mohkampur,30.280984,78.0713408,ChIJ9y-88sIpCTkRN_h4yz-jVnE,https://www.google.com/maps/place/?q=place_id:ChIJ9y-88sIpCTkRN_h4yz-jVnE,part_388,2026-09-20 20:28:25
THE EYE CLINIC,Eye Clinic and Eye Hospital,Eye care center,Eye care center,831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,+91 94111 63069,http://www.eyeclinicdehradun.com/,4.8,518.0,"3 A, Chakrata Rd, near Doon Paramedical College, Khurbura Mohalla, Dehradun, Uttarakhand 248001",Khurbura Mohalla,30.326979899999998,78.0312541,ChIJ7VPyAO4pCTkRO-xd6yqoO5A,https://www.google.com/maps/place/?q=place_id:ChIJ7VPyAO4pCTkRO-xd6yqoO5A,part_388,2026-09-20 20:28:25
Tej Eye Center Superspeciality Eye Hospital | Vijay Cross Road,Eye Clinic and Eye Hospital,Doctor,"Doctor, Eye care center",831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,+91 97277 51120,http://www.tejeyecenter.com/,4.9,1133.0,"Ground Floor, Peoples Plaza, opposite New Passport Office, near Vijay Cross Road, Navrangpura, Ahmedabad, Gujarat 380009",Navrangpura,23.0433058,72.5476565,ChIJ8-lzj5aEXjkRlU0EEb4f1lQ,https://www.google.com/maps/place/?q=place_id:ChIJ8-lzj5aEXjkRlU0EEb4f1lQ,part_388,2026-09-20 20:28:25
"Neo Vision Eye & Skin Speciality Hospital, Madhurawada, Vizag",Eye Clinic and Eye Hospital,Hospital,"Hospital, Dermatologist, Eye care center, Laser hair removal service, Ophthalmologist, Ophthalmology clinic, Pediatric ophthalmologist, Skin care clinic",831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,+91 90306 05737,https://neovisionandskin.com/,4.9,587.0,"Plot no.776, Main Rd, Midhilapuri Vuda Colony, Madhurawada, Madhuravada, Andhra Pradesh 530041","Midhilapuri Vuda Colony, Madhurawada",17.8015731,83.36819799999999,ChIJRYQ6cwBxOToR-Ywv2tmKG-4,https://www.google.com/maps/place/?q=place_id:ChIJRYQ6cwBxOToR-Ywv2tmKG-4,part_388,2026-09-20 20:28:25
Sanjivani Eye Hospital and Phaco Centre,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Doctor, Lasik surgeon, Ophthalmologist",831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,+91 98240 24764,https://sanjivanieyehospital.com/,4.8,789.0,"Rudra Complex, opposite Maniben Eye Hospital, near Shardaben General Hospital, Kadiawad, Saraspur, Ahmedabad, Gujarat 380018","Kadiawad, Saraspur",23.032894799999998,72.6104969,ChIJmUM37SiEXjkRg6G5MIeUjsk,https://www.google.com/maps/place/?q=place_id:ChIJmUM37SiEXjkRg6G5MIeUjsk,part_388,2026-09-20 20:28:25
M M Naithani Eye Centre,Eye Clinic and Eye Hospital,Eye care center,Eye care center,831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,+91 135 265 8433,https://cal.pinmycal.com/team/mm-naithani-eye-centre,4.8,86.0,"16B, New Rd, Opp. Union Bank, Race Course, Dehradun, Uttarakhand 248001",Race Course,30.3164533,78.04753819999999,ChIJm-cVwLopCTkR9Vt0wkKVbmY,https://www.google.com/maps/place/?q=place_id:ChIJm-cVwLopCTkR9Vt0wkKVbmY,part_388,2026-09-20 20:28:25
