business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Darvesh Marble Enterprises - ""THE TILE MALL""",Tile and Marble Showroom,Tile store,"Tile store, Home goods store",831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,N/A,N/A,4.4,,"Plot no. 20 , One Tree Hills, chaurha, near sadhu vaswani college, Bairagarh, Bhopal, Madhya Pradesh 462030","Mochipura, Bairagarh",23.2660098,77.3357923,ChIJK2O47J5nfDkRFizPmwa-ac4,https://www.google.com/maps/place/?q=place_id:ChIJK2O47J5nfDkRFizPmwa-ac4,part_388,2026-09-20 20:28:31
Sriyash Marble,Tile and Marble Showroom,Tile store,"Tile store, Marble supplier",831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,+91 82828 22461,N/A,4.9,,"2/6, Agrasain St, next to AGRASAIN BALIKA SIKSHA SADAN, Liluah, Howrah, West Bengal 711204",Liluah,22.619429,88.3463781,ChIJXZyZG2ed-DkRHvvZfuOwYLc,https://www.google.com/maps/place/?q=place_id:ChIJXZyZG2ed-DkRHvvZfuOwYLc,part_388,2026-09-20 20:28:31
H & R Johnson - Radha Marble & Granite Pvt Ltd,Tile and Marble Showroom,Tile store,"Tile store, Bathroom supply store",831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,+91 80 3722 1196,https://stores.hrjohnsonindia.com/h-r-johnson/tiles-shop-in-howrah/tiles-shop-in-ichapur/h-r-johnson-radha-marble-granite-pvt-ltd-in-ichapur-howrah--8LlXoh/home,3.9,,"Street No 13/2, Umesh Chandra Chatarjee Lane, Kona Expy, nearby Ladona Restorent, Belepole, Crossing, Ichapur, Howrah, West Bengal 711104","Belepole, Crossing, Ichapur",22.577153199999998,88.2999684,ChIJOzSRd0Z4AjoREWcA6M-xiEY,https://www.google.com/maps/place/?q=place_id:ChIJOzSRd0Z4AjoREWcA6M-xiEY,part_388,2026-09-20 20:28:31
H A MARBLES,Tile and Marble Showroom,Marble supplier,"Marble supplier, Granite supplier, Tile store",831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,+91 99385 92248,N/A,4.6,140.0,"Plot No.-274, NH 16, beside Aditya Hyundai, Tamando, Bhubaneswar, Badaraghunathpur, Odisha 751028",Tamando,20.231912599999998,85.7398728,ChIJb8TgbV-oGToRbY4TNeJUKrw,https://www.google.com/maps/place/?q=place_id:ChIJb8TgbV-oGToRbY4TNeJUKrw,part_388,2026-09-20 20:28:32
S.M. MARBLES | Tiles Shop In Varanasi | Best Tiles Showroom | Marbles Shop Near Me |,Tile and Marble Showroom,Tile store,"Tile store, Marble supplier",831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,+91 75188 04452,https://sm-marbles-tiles-shop.grexa.site/,4.6,25.0,"1059/ A, near IP Mughal, Pandit Deen Dayal Upadhyaya Nagar, Uttar Pradesh 232101",831021,25.2939813,83.0973636,ChIJEylH1yI7jjkRYerQdqF0gl4,https://www.google.com/maps/place/?q=place_id:ChIJEylH1yI7jjkRYerQdqF0gl4,part_388,2026-09-20 20:28:32
SRI MARBLE & TILES,Tile and Marble Showroom,Marble supplier,"Marble supplier, Tile store",831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,+91 90387 33167,N/A,5.0,11.0,"Tara Club, GT Rd, Howrah, West Bengal 711106",Salkia,22.6013117,88.3409326,ChIJvYdmrVF3AjoR8Fj2TRmd6Bc,https://www.google.com/maps/place/?q=place_id:ChIJvYdmrVF3AjoR8Fj2TRmd6Bc,part_388,2026-09-20 20:28:32
FAMOUS TILES MARBLES AND GRANITE,Tile and Marble Showroom,Tile store,"Tile store, Granite supplier, Marble supplier, Home goods store",831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,+91 99698 41429,N/A,5.0,2.0,"MDR 97E, Mahul Khas Or Mahul, Uttar Pradesh 223225",831021,26.140385799999997,82.8239834,ChIJJ2Dag1BTkDkR4kh8yclu6c4,https://www.google.com/maps/place/?q=place_id:ChIJJ2Dag1BTkDkR4kh8yclu6c4,part_388,2026-09-20 20:28:32
Vaish Marbles,Tile and Marble Showroom,Tile store,"Tile store, Bathroom supply store, Flooring store",831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,+91 99270 44861,http://vaishmarbles.co.in/,4.5,271.0,"S-18 Janakpuri Market, Bareilly, Uttar Pradesh 243122",Janakpuri,28.381407,79.423372,ChIJFaRKQx4HoDkR8VJYy-osJXA,https://www.google.com/maps/place/?q=place_id:ChIJFaRKQx4HoDkR8VJYy-osJXA,part_388,2026-09-20 20:28:32
Preetham Enterprises,Tile and Marble Showroom,Tile store,Tile store,831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,+91 96761 86677,http://www.tiledepot.in/,4.8,153.0,"7-8-31/4 , Opp Electrical Substation , IDA , Block B, adj. to DAMRO Showroom, Near Chettivanipalem, Old Gajuwaka, Gajuwaka, Andhra Pradesh 530012","Near Chettivanipalem, Old Gajuwaka, Gajuwaka",17.6932896,83.20509,ChIJ37-N0QFpOToRJHUWOMzZWxo,https://www.google.com/maps/place/?q=place_id:ChIJ37-N0QFpOToRJHUWOMzZWxo,part_388,2026-09-20 20:28:32
"Decobee Tiles and Sanitary, Hanspal",Tile and Marble Showroom,Tile store,"Tile store, Bathroom supply store, Building materials store",831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,+91 73777 00030,https://decobee.com/,4.9,1617.0,"NH-16, plot no 555, Rudrapur, Bhubaneswar, Odisha 752101",831021,20.3284161,85.88501699999999,ChIJD23UJlCnGToR8Pu8CYjsPJA,https://www.google.com/maps/place/?q=place_id:ChIJD23UJlCnGToR8Pu8CYjsPJA,part_388,2026-09-20 20:28:32
S K Tiles and Marbles,Tile and Marble Showroom,Tile store,"Tile store, Ceramics wholesaler",831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,+91 73557 36610,N/A,4.7,10.0,"Tarighat Rd, Dildar Nagar, Nirahukapura, Uttar Pradesh 232326",831021,25.4154713,83.6750529,ChIJ2_1Z9G79jTkRYBU7bSYEnzk,https://www.google.com/maps/place/?q=place_id:ChIJ2_1Z9G79jTkRYBU7bSYEnzk,part_388,2026-09-20 20:28:32
Wonder Tiles & Marble,Tile and Marble Showroom,Tile store,"Tile store, Home goods store",831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,+91 80902 03632,N/A,5.0,13.0,"MDR 65E, Naibasti, Amogpur, Uttar Pradesh 232101",Naibasti,25.2680983,83.1316013,ChIJwxnAyQc7jjkRTTGUV1GC2nU,https://www.google.com/maps/place/?q=place_id:ChIJwxnAyQc7jjkRTTGUV1GC2nU,part_388,2026-09-20 20:28:32
Vrindavan Granite & Tiles,Tile and Marble Showroom,Tile store,Tile store,831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,+91 94250 62647,N/A,3.9,131.0,"Talawli chanda, near panchwati a.b.road indore, Indore, Madhya Pradesh 453771",Talawali Chanda,22.7955193,75.908999,ChIJg2_FepkCYzkROxHTgrQgWYQ,https://www.google.com/maps/place/?q=place_id:ChIJg2_FepkCYzkROxHTgrQgWYQ,part_388,2026-09-20 20:28:32
"Kiran Enterprises Tiles, marbles and granite Shop",Tile and Marble Showroom,Tile store,"Tile store, Pipe supplier",831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,N/A,N/A,4.9,20.0,"Sindhora - Garthama Rd, Palahi Patti, Uttar Pradesh 221208",831021,25.4593135,82.9549976,ChIJNZGM80grjjkR1QPkQ9bHKSY,https://www.google.com/maps/place/?q=place_id:ChIJNZGM80grjjkR1QPkQ9bHKSY,part_388,2026-09-20 20:28:32
Sharma Marble & Tiles House,Tile and Marble Showroom,Tile store,Tile store,831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,+91 93015 49483,N/A,4.9,15.0,"A-Block, Double Rd, Bahodapur, Anand Nagar, Gwalior, Madhya Pradesh 474012","Bahodapur, Anand Nagar",26.2349616,78.1527563,ChIJY7g8R17GdjkRU3Av_3gLdlA,https://www.google.com/maps/place/?q=place_id:ChIJY7g8R17GdjkRU3Av_3gLdlA,part_388,2026-09-20 20:28:32
AGL CERA WORLD,Tile and Marble Showroom,Tile manufacturer,Tile manufacturer,831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A,+91 99252 51777,http://www.aglceraworld.com/,5.0,23.0,"07, Harsiddhi Estate Near Shreepad Residency, Gota, Ahmedabad, Gujarat 382481",Gota,23.0959561,72.54055129999999,ChIJ73cojJKDXjkReOYcdAL7mao,https://www.google.com/maps/place/?q=place_id:ChIJ73cojJKDXjkReOYcdAL7mao,part_388,2026-09-20 20:28:32
