business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sri Sairam foods - Frozen Foods and Canned Products (Indian & Imported),Frozen Food Distributor,Food products supplier,"Food products supplier, Frozen food store, Grocery store",832103,Jharkhand Circle,Ranchi Region,Singhbhum Division,Moubhandar SO,+91 90252 89239,N/A,4.3,,"Kelly's Road, SARVESH, opposite to Kelly's Telephone Exchange, Kilpauk, Chennai, Tamil Nadu 600010",Kilpauk,13.0841096,80.2461373,ChIJy8j5pthlUjoRfhRE9KnZMvg,https://www.google.com/maps/place/?q=place_id:ChIJy8j5pthlUjoRfhRE9KnZMvg,part_388,2026-09-20 20:30:10
Momorita - Frozen Momos Manufacturer,Frozen Food Distributor,Frozen food manufacturer,Frozen food manufacturer,832103,Jharkhand Circle,Ranchi Region,Singhbhum Division,Moubhandar SO,+91 88673 61454,http://momorita.com/,4.0,,"11#, Momorita, 2nd Cross Reva University Main Road, (Near Anjiniya Temple Kogilu Village, Yelahanka Hobli Jakkur Post, Jai Bhim Nagar, Cross, Mittaganahalli, Bengaluru, Karnataka 560064","Jai Bhim Nagar, Cross, Bellahalli",13.1092278,77.63786189999999,ChIJ0b_eescNrjsRbAIWucIGQxg,https://www.google.com/maps/place/?q=place_id:ChIJ0b_eescNrjsRbAIWucIGQxg,part_388,2026-09-20 20:30:10
Icy-Pik Frozen Foods,Frozen Food Distributor,Frozen food store,"Frozen food store, Takeout restaurant",832103,Jharkhand Circle,Ranchi Region,Singhbhum Division,Moubhandar SO,+91 79 2791 3039,N/A,4.4,,"University Area, Ahmedabad, Gujarat 380009",University Area,23.043399299999997,72.54770839999999,ChIJ____P_WEXjkRZar-UJ7FHPY,https://www.google.com/maps/place/?q=place_id:ChIJ____P_WEXjkRZar-UJ7FHPY,part_388,2026-09-20 20:30:10
Sardar Frozen Foods (Pooja Promoters),Frozen Food Distributor,Frozen food store,Frozen food store,832103,Jharkhand Circle,Ranchi Region,Singhbhum Division,Moubhandar SO,N/A,http://www.poojapromoters.com/,4.3,,"pillar no 1435, Surekha Chambers, opp. Vijay Textiles, Srinivasa Nagar, Ameerpet, Hyderabad, Telangana 500016","Srinivasa Nagar, Ameerpet",17.4352031,78.4512515,ChIJQYCh086QyzsRcxM26waL5A4,https://www.google.com/maps/place/?q=place_id:ChIJQYCh086QyzsRcxM26waL5A4,part_388,2026-09-20 20:30:10
Frozen food delight enterprises,Frozen Food Distributor,Frozen food store,"Frozen food store, Frozen food manufacturer",832103,Jharkhand Circle,Ranchi Region,Singhbhum Division,Moubhandar SO,+91 63019 73675,N/A,4.6,8.0,"1-7-206/1, Zamistanpur, Hyderabad, Telangana 500020",Zamistanpur,17.410439099999998,78.5002461,ChIJ5-27tayZyzsREQCn4M8NzIU,https://www.google.com/maps/place/?q=place_id:ChIJ5-27tayZyzsREQCn4M8NzIU,part_388,2026-09-20 20:30:10
Smarty Food Pvt. Ltd.,Frozen Food Distributor,Food manufacturer,Food manufacturer,832103,Jharkhand Circle,Ranchi Region,Singhbhum Division,Moubhandar SO,+91 85743 54193,N/A,5.0,43.0,"E-140, Karkhiyaon, Agro Park, UPSIDC, Uttar Pradesh 221206",Agro Park,25.5427702,82.7976956,ChIJV_0LoX0pkDkRBiVgB6oNBT0,https://www.google.com/maps/place/?q=place_id:ChIJV_0LoX0pkDkRBiVgB6oNBT0,part_388,2026-09-20 20:30:10
Fresh to Frozen Foods,Frozen Food Distributor,Wholesale Food Store,Wholesale Food Store,832103,Jharkhand Circle,Ranchi Region,Singhbhum Division,Moubhandar SO,+91 81888 86741,N/A,5.0,4.0,"Kisan Bazar, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010","Vibhuti Khand, Gomti Nagar",26.861042599999998,81.0108748,ChIJ40y1ReTjmzkRYb-FZGDMJUY,https://www.google.com/maps/place/?q=place_id:ChIJ40y1ReTjmzkRYb-FZGDMJUY,part_388,2026-09-20 20:30:10
Vellore Frozen Foods (VFF),Frozen Food Distributor,Frozen food store,Frozen food store,832103,Jharkhand Circle,Ranchi Region,Singhbhum Division,Moubhandar SO,+91 96553 14147,http://www.v3f.in/,4.6,192.0,"B 1204, Auxillium college, Plot no, 4th East Main Rd, Suthanthira Ponvizha Nagar, road, Katpadi, Vellore, Tamil Nadu 632006","Suthanthira Ponvizha Nagar, road, Katpadi",12.9586612,79.13963179999999,ChIJSeSUZX1HrTsRpQa1CFZjUlk,https://www.google.com/maps/place/?q=place_id:ChIJSeSUZX1HrTsRpQa1CFZjUlk,part_388,2026-09-20 20:30:10
Balaji Traders (Frozen foods),Frozen Food Distributor,Frozen food store,Frozen food store,832103,Jharkhand Circle,Ranchi Region,Singhbhum Division,Moubhandar SO,+91 95424 17677,N/A,5.0,,"Ground floor, 10-36-6/1, opp. GVMC OFFICE OUT GATE, near Aarif nursing Home, Ram Nagar, Visakhapatnam, Andhra Pradesh 530002",Ram Nagar,17.7225364,83.3100927,ChIJ4da7rlpDOToRC7ve_MAz_Bs,https://www.google.com/maps/place/?q=place_id:ChIJ4da7rlpDOToRC7ve_MAz_Bs,part_388,2026-09-20 20:30:11
Sai lakshmi enterprises,Frozen Food Distributor,Frozen food store,Frozen food store,832103,Jharkhand Circle,Ranchi Region,Singhbhum Division,Moubhandar SO,+91 90300 65377,N/A,4.2,,"11-21-16, Haji Basha Arcade, Kanithi Rd, Nawab Nagar, Gajuwaka, Andhra Pradesh 530026","Nawab Nagar, Gajuwaka",17.6834387,83.21018219999999,ChIJrbl7InRpOToReRiP6nZROOA,https://www.google.com/maps/place/?q=place_id:ChIJrbl7InRpOToReRiP6nZROOA,part_388,2026-09-20 20:30:11
