business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Durga Das Store,Shops,Store,Store,832104,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Meria BO, Khairbani BO, Kuilisuta BO",+91 95236 74900,N/A,5.0,1.0,"C9MV+QMF, Kharida, Jharkhand 832104",832104,22.434437499999998,86.39417189999999,ChIJOQfbWnj7HToR0t3xkqh0a6U,https://www.google.com/maps/place/?q=place_id:ChIJOQfbWnj7HToR0t3xkqh0a6U,part_388,2026-09-20 20:31:21
Bablu store,Shops,General store,General store,832104,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Meria BO, Khairbani BO, Kuilisuta BO",+91 81022 19017,N/A,,,"Phuljhari, Jharkhand 832104",832104,22.4020157,86.3309929,ChIJFwroMQD9HToRzVqDTtmGP7U,https://www.google.com/maps/place/?q=place_id:ChIJFwroMQD9HToRzVqDTtmGP7U,part_388,2026-09-20 20:31:21
Grocery,Shops,Indian grocery store,Indian grocery store,832104,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Meria BO, Khairbani BO, Kuilisuta BO",N/A,N/A,5.0,1.0,"Musabani, Hatibari, Jharkhand 832104",Musabani,22.4308974,86.4278879,ChIJ8bPT15zxHToRF5Ns9rO3_80,https://www.google.com/maps/place/?q=place_id:ChIJ8bPT15zxHToRF5Ns9rO3_80,part_388,2026-09-20 20:31:21
Sakambari store,Shops,General store,General store,832104,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Meria BO, Khairbani BO, Kuilisuta BO",N/A,N/A,,,"GFC4+FM7, Musabani, Jharkhand 832104",832104,22.52115,86.4566657,ChIJs75tmxL3HToRulMhJVRH2v4,https://www.google.com/maps/place/?q=place_id:ChIJs75tmxL3HToRulMhJVRH2v4,part_388,2026-09-20 20:31:21
Shop,Shops,Store,Store,832104,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Meria BO, Khairbani BO, Kuilisuta BO",N/A,N/A,,,"F87R+Q64, Bomro, Jharkhand 832104",832104,22.4643855,86.3405805,ChIJUWuUCQD7HToRq-s6nvURRRY,https://www.google.com/maps/place/?q=place_id:ChIJUWuUCQD7HToRq-s6nvURRRY,part_388,2026-09-20 20:31:21
PRITY GENERAL STORE,Shops,General store,General store,832104,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Meria BO, Khairbani BO, Kuilisuta BO",N/A,N/A,4.3,3.0,"C9RQ+5Q6, Kharida, Jharkhand 832104",832104,22.4404716,86.38944,ChIJtdmrawD7HToRTSmabLWclo0,https://www.google.com/maps/place/?q=place_id:ChIJtdmrawD7HToRTSmabLWclo0,part_388,2026-09-20 20:31:21
Gopal general store,Shops,Tobacco shop,Tobacco shop,832104,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Meria BO, Khairbani BO, Kuilisuta BO",N/A,N/A,4.5,2.0,"CCR7+Q8F, Bakulchanda road, Pandusai, Jharkhand 832104",832104,22.4428946,86.4137162,ChIJ792ncwD7HToRhax_sBdFLG0,https://www.google.com/maps/place/?q=place_id:ChIJ792ncwD7HToRhax_sBdFLG0,part_388,2026-09-20 20:31:21
Tapan patar,Shops,General store,General store,832104,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Meria BO, Khairbani BO, Kuilisuta BO",N/A,N/A,,,"C84Q+PW7, Dholabera, Jharkhand 832104",832104,22.406789,86.3398029,ChIJWRBPEAD7HToRPGmpk66p6NQ,https://www.google.com/maps/place/?q=place_id:ChIJWRBPEAD7HToRPGmpk66p6NQ,part_388,2026-09-20 20:31:21
Kedar Store,Shops,Clothing store,Clothing store,832104,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Meria BO, Khairbani BO, Kuilisuta BO",+91 99313 35193,N/A,5.0,,"9a, Musabani, Jharkhand 832104",832104,22.512791099999998,86.4575497,ChIJz-dn9h_3HToR21JwIIewKS8,https://www.google.com/maps/place/?q=place_id:ChIJz-dn9h_3HToR21JwIIewKS8,part_388,2026-09-20 20:31:22
RAJA DIGITAL,Shops,Electronics store,Electronics store,832104,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Meria BO, Khairbani BO, Kuilisuta BO",+91 99311 29620,N/A,4.8,,"Dmr116 Main Road, Dumriya, Jharkhand 832104",832104,22.4479549,86.4388898,ChIJC_wF7wPxHToRxqraDrVQL40,https://www.google.com/maps/place/?q=place_id:ChIJC_wF7wPxHToRxqraDrVQL40,part_388,2026-09-20 20:31:23
Bhabatosh Store,Shops,General store,General store,832104,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Meria BO, Khairbani BO, Kuilisuta BO",+91 74881 41060,N/A,5.0,,"Unnamed Road, Road, Dumriya, Paruliya, Jharkhand 832104",832104,22.469111899999998,86.436286,ChIJP7RiB6bxHToRqchNPKL3hx4,https://www.google.com/maps/place/?q=place_id:ChIJP7RiB6bxHToRqchNPKL3hx4,part_388,2026-09-20 20:31:23
Binod Book Binding and Rubber Stamp House,Shops,Rubber stamp store,Rubber stamp store,832104,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Meria BO, Khairbani BO, Kuilisuta BO",+91 79039 64574,N/A,5.0,2.0,"Mosaboni No 3, Musabani, Jharkhand 832104",832104,22.5113169,86.4573061,ChIJ8yGxHJb3HToRv6r7Y0xzg0s,https://www.google.com/maps/place/?q=place_id:ChIJ8yGxHJb3HToRv6r7Y0xzg0s,part_388,2026-09-20 20:31:23
