business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Jiva Ayurveda Clinic, AP Colony, Gaya",Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,832403,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Choura BO, Dulmi BO, Ichadih BO",+91 84487 80572,https://clinics.jiva.com/jiva-ayurveda-clinic-ap-colony-gaya-ayurvedic-clinic-ap-colony-gaya-328957/Home?utm_source=locator&utm_medium=googleplaces,4.8,,"Plot No 383, near Asha Shingh More, A P Colony, Gaya, Bihar 823001",A P Colony,24.7879163,84.98476529999999,ChIJk4XIS7Er8zkRYqEWzhRbgtY,https://www.google.com/maps/place/?q=place_id:ChIJk4XIS7Er8zkRYqEWzhRbgtY,part_388,2026-09-20 20:41:11
Mundada Ayurved Hospital,Ayurvedic Pharmacy and Clinic,Alternative medicine practitioner,Alternative medicine practitioner,832403,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Choura BO, Dulmi BO, Ichadih BO",+91 94221 71607,http://www.askayurveda.in/,4.9,,"Gowardhan Ghat Bridge Rd, opposite to Dr. Kardile Hospital, Borban Factory Area, Vazirabad, Nanded, Maharashtra 431601","Borban Factory Area, Vazirabad",19.151654399999998,77.3095606,ChIJYaRwKEDW0TsRV0bLA6Lvgtk,https://www.google.com/maps/place/?q=place_id:ChIJYaRwKEDW0TsRV0bLA6Lvgtk,part_388,2026-09-20 20:41:11
PAPPU Medicals,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,832403,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Choura BO, Dulmi BO, Ichadih BO",+91 91234 80670,N/A,,,"Simramore Chowk Main Road Sarath Deoghar, Simramore Near Hanuman Mandir, Jharkhand 815353",832403,24.2361136,86.7600209,ChIJTR_-8uAv8TkRUh-aPhKerVc,https://www.google.com/maps/place/?q=place_id:ChIJTR_-8uAv8TkRUh-aPhKerVc,part_388,2026-09-20 20:41:11
Gupta Ayurvedic Dava Kendra,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,832403,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Choura BO, Dulmi BO, Ichadih BO",+91 97956 56493,N/A,,,"Kaithi, Uttar Pradesh 221116",832403,25.5014143,83.16097889999999,ChIJbYfIvbAnjjkRYKPjiHSIfqc,https://www.google.com/maps/place/?q=place_id:ChIJbYfIvbAnjjkRYKPjiHSIfqc,part_388,2026-09-20 20:41:12
A.K Ayurvedic dawakhana,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,832403,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Choura BO, Dulmi BO, Ichadih BO",+91 93044 75725,N/A,,,"7FMV+H7G, NH 39, Shri Banshidhar Nagar, Jharkhand 822121",832403,24.283974699999998,83.49324949999999,ChIJCfyGFgCljjkR_2osLhwVx5I,https://www.google.com/maps/place/?q=place_id:ChIJCfyGFgCljjkR_2osLhwVx5I,part_388,2026-09-20 20:41:12
Shri Ayurveda Dispensary,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,832403,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Choura BO, Dulmi BO, Ichadih BO",+91 95320 63357,N/A,,,"Sector Number 2, Narayan Das Ka Pura, Prayagraj, Jhusi, Uttar Pradesh 211019","Sector Number 2, Narayan Das Ka Pura",25.4231592,81.9163404,ChIJMZHVDSRLhTkRlzFDDyizxY0,https://www.google.com/maps/place/?q=place_id:ChIJMZHVDSRLhTkRlzFDDyizxY0,part_388,2026-09-20 20:41:13
Maa Tarini Ayurvedic Clinic,Ayurvedic Pharmacy and Clinic,Skin care clinic,Skin care clinic,832403,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Choura BO, Dulmi BO, Ichadih BO",+91 77355 24188,http://maatariniclinic.com/,3.9,,"Near, Kali Mandir Rd, Badheimunda, Jharsuguda, Odisha 768202",Badheimunda,21.867375,84.02774649999999,ChIJAQAAABDhIDoRS32IHECrbuo,https://www.google.com/maps/place/?q=place_id:ChIJAQAAABDhIDoRS32IHECrbuo,part_388,2026-09-20 20:41:13
Ayurvardhini Panchkarma and Rejuvenation Center-,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,832403,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Choura BO, Dulmi BO, Ichadih BO",+91 94063 37555,N/A,5.0,,"Crystal Green Colony, C 6, behind Apex Bank, Industrial Area, Raigarh, Chhattisgarh 496001",Industrial Area,21.8817862,83.38233,ChIJwayynEglJzoRIDUgxyiJtPY,https://www.google.com/maps/place/?q=place_id:ChIJwayynEglJzoRIDUgxyiJtPY,part_388,2026-09-20 20:41:13
Mrutyunjay ayurveda,Ayurvedic Pharmacy and Clinic,Herbal medicine store,Herbal medicine store,832403,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Choura BO, Dulmi BO, Ichadih BO",+91 94394 30181,N/A,5.0,3.0,"Bhagawati complex, near uco bank, beheramal, Jharsuguda, Odisha 768203",beheramal,21.873780099999998,84.0235325,ChIJE2NMwn_lIDoRex0s16qZ5Tw,https://www.google.com/maps/place/?q=place_id:ChIJE2NMwn_lIDoRex0s16qZ5Tw,part_388,2026-09-20 20:41:13
ramu ayurvedic store,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,832403,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Choura BO, Dulmi BO, Ichadih BO",N/A,N/A,5.0,8.0,"Marwari Para, Jharsuguda, Odisha 768201",Marwari Para,21.856037399999998,84.0137152,ChIJTXlPKabmIDoRiZp2YxrHMq4,https://www.google.com/maps/place/?q=place_id:ChIJTXlPKabmIDoRiZp2YxrHMq4,part_388,2026-09-20 20:41:13
