business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Om Plywood Emporium,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,833102,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chakradharpur SO, Hurangda BO, Baipee BO",+91 70047 27925,N/A,5.0,,"K D N SINGH GALI, Bye Pass Rd, Chas, Bokaro Steel City, Jharkhand 827013",Chas,23.634805999999998,86.16424479999999,ChIJmXs9Ntsj9DkRbubCBvXbyrw,https://www.google.com/maps/place/?q=place_id:ChIJmXs9Ntsj9DkRbubCBvXbyrw,part_388,2026-09-20 20:43:06
Kamini Plywood And Hardware,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,833102,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chakradharpur SO, Hurangda BO, Baipee BO",+91 77979 53049,N/A,5.0,,"Lalpur, West Bengal 723130",833102,23.3058817,86.62981909999999,ChIJu5wKTUFf9jkR5gtqvOAtfwM,https://www.google.com/maps/place/?q=place_id:ChIJu5wKTUFf9jkR5gtqvOAtfwM,part_388,2026-09-20 20:43:06
Jyoti Timber,Plywood and Timber Merchant,Lumber store,"Lumber store, Wood supplier",833102,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chakradharpur SO, Hurangda BO, Baipee BO",N/A,N/A,4.7,,"RamoShree, Circular Road, More, near Jyoti Timber, Bhurbhura, Deoghar, Jharkhand 814112",Panda Nagari,24.5050994,86.7101224,ChIJySGgP88X8TkR9Xn6aDJ2eI8,https://www.google.com/maps/place/?q=place_id:ChIJySGgP88X8TkR9Xn6aDJ2eI8,part_388,2026-09-20 20:43:06
OM SAI PLYWOOD,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,833102,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chakradharpur SO, Hurangda BO, Baipee BO",+91 87099 33759,N/A,4.9,,"NH 22, Chatra, Jharkhand 825401",833102,24.2075474,84.86730299999999,ChIJZdkxUjatjDkRtC72D2DJTcU,https://www.google.com/maps/place/?q=place_id:ChIJZdkxUjatjDkRtC72D2DJTcU,part_388,2026-09-20 20:43:06
Ashok Timber Supply,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Door supplier, Hardware store, Lumber store",833102,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chakradharpur SO, Hurangda BO, Baipee BO",+91 70041 64697,N/A,4.1,,"Bihar Colony, Shivpuri Colony, Chas, Bokaro Steel City, Jharkhand 827013","Bihar Colony, Shivpuri Colony",23.632736899999998,86.1806548,ChIJ_-_HrlAh9DkRQn4lxt30kKw,https://www.google.com/maps/place/?q=place_id:ChIJ_-_HrlAh9DkRQn4lxt30kKw,part_388,2026-09-20 20:43:06
M/S MINAKSHI PLYWOOD & HARDWARE,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,833102,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chakradharpur SO, Hurangda BO, Baipee BO",+91 85071 80444,N/A,4.1,,"Sitaram Dalmia Rd, nr. Patel saw mill, Madhupur, Jharkhand 815353",833102,24.260638999999998,86.65674949999999,ChIJl3O3_zs38TkRPVJH1pPbmsI,https://www.google.com/maps/place/?q=place_id:ChIJl3O3_zs38TkRPVJH1pPbmsI,part_388,2026-09-20 20:43:06
Shree Guru Timber And Ply House,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Furniture Manufacturer, Hardware store, Interior Decorator, Interior designer, Wood and laminate flooring supplier",833102,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chakradharpur SO, Hurangda BO, Baipee BO",+91 90469 19141,https://m.facebook.com/binit.agarwal.79,4.9,,"Barabetia, Kharagpur, Kharagpur Railway Settlement, West Bengal 721301",Barabetia,22.3257323,87.3416556,ChIJpz7WB8hFHToRXSkgTlyyMkM,https://www.google.com/maps/place/?q=place_id:ChIJpz7WB8hFHToRXSkgTlyyMkM,part_388,2026-09-20 20:43:06
S.S.M.S TIMBER ENTERPRISE,Plywood and Timber Merchant,Lumber store,"Lumber store, Construction equipment supplier, Construction Material Wholesaler, Service establishment, Wood supplier",833102,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chakradharpur SO, Hurangda BO, Baipee BO",N/A,N/A,5.0,2.0,"S.S.M.S TIMBER ENTERPRISE, 833102, India",833102,21.0680074,82.7525294,ChIJz0jzJBn79zkR6wzUqkyx-f8,https://www.google.com/maps/place/?q=place_id:ChIJz0jzJBn79zkR6wzUqkyx-f8,part_388,2026-09-20 20:43:07
Dutt Timber Trading Co.,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Furniture Manufacturer",833102,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chakradharpur SO, Hurangda BO, Baipee BO",+91 93322 58927,N/A,4.1,13.0,"Station Road, Asansol, Neamatpur, West Bengal 713359",833102,23.7187856,86.8804206,ChIJRXOTmOIf9zkRdq-3WEMlJHU,https://www.google.com/maps/place/?q=place_id:ChIJRXOTmOIf9zkRdq-3WEMlJHU,part_388,2026-09-20 20:43:07
S.N.B PLYWOOD AND HARDWARE,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,833102,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chakradharpur SO, Hurangda BO, Baipee BO",+91 82509 29199,N/A,5.0,5.0,"Suisa, BHAGMUDHI, West Bengal 723212",833102,23.1892116,85.90506119999999,ChIJowFbWDG39TkRIcHGAjlRXaE,https://www.google.com/maps/place/?q=place_id:ChIJowFbWDG39TkRIcHGAjlRXaE,part_388,2026-09-20 20:43:07
