business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MAHTO E - HOMEO CLINIC (DR. A. K. MAHTO),Homeopathic Clinic,Homeopath,Homeopath,833103,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Goilkera SO, Bari BO, Kairam BO",N/A,N/A,,,"95CW+RPF, Kolebira - Hat Gamharia Rd, Manoharpur, Jharkhand 833104",833103,22.372051,85.19680939999999,ChIJ16TpQi3nHzoR_Mu6GlSwEgk,https://www.google.com/maps/place/?q=place_id:ChIJ16TpQi3nHzoR_Mu6GlSwEgk,part_388,2026-09-20 20:43:36
"Manoharpura,sadar hospital",Homeopathic Clinic,Homeopath,Homeopath,833103,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Goilkera SO, Bari BO, Kairam BO",N/A,N/A,,,"95FR+RQV, Manoharpur, Jharkhand 833104",833103,22.3746591,85.19200119999999,ChIJzVvaFADnHzoRSMwYmFfz82w,https://www.google.com/maps/place/?q=place_id:ChIJzVvaFADnHzoRSMwYmFfz82w,part_388,2026-09-20 20:43:36
S. E. HOMEO CLINIC(Dr. G. Mahto),Homeopathic Clinic,Homeopath,Homeopath,833103,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Goilkera SO, Bari BO, Kairam BO",N/A,N/A,5.0,2.0,"95HP+RVW, Undhan, Jharkhand 833104",833103,22.3796026,85.1872368,ChIJN7SWGOHlHzoRvy1RkFP1k-Q,https://www.google.com/maps/place/?q=place_id:ChIJN7SWGOHlHzoRvy1RkFP1k-Q,part_388,2026-09-20 20:43:36
দ্যা হ্যাপি লাইফ হোমিও ক্লিনিক / THE HAPPY LIFE HOMOEO CLINIC,Homeopathic Clinic,Homeopath,Homeopath,833103,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Goilkera SO, Bari BO, Kairam BO",+91 86429 32268,N/A,5.0,36.0,"Shershahi Rd, Dakshin Lakshmipur, West Bengal 732201",833103,24.8497752,88.04142159999999,ChIJyWEsE9hX-jkRahQBxTCj6X8,https://www.google.com/maps/place/?q=place_id:ChIJyWEsE9hX-jkRahQBxTCj6X8,part_388,2026-09-20 20:43:36
Homeopathic Clinic,Homeopathic Clinic,Homeopath,Homeopath,833103,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Goilkera SO, Bari BO, Kairam BO",+91 96094 77333,N/A,5.0,4.0,"55CR+H57, Unnamed Road, Khekul, West Bengal 742187",833103,24.1714168,88.1904345,ChIJ0diCrhnV-zkR5AV0dBCfhAs,https://www.google.com/maps/place/?q=place_id:ChIJ0diCrhnV-zkR5AV0dBCfhAs,part_388,2026-09-20 20:43:36
Homeofast Homeopathy Clinic,Homeopathic Clinic,Homeopath,Homeopath,833103,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Goilkera SO, Bari BO, Kairam BO",+91 99310 71022,N/A,5.0,2.0,"Sisai Rd, Naditoli, Gumla, Jharkhand 835207",833103,23.0424693,84.550124,ChIJ1TPf85zpijkRGORPw8VXGfE,https://www.google.com/maps/place/?q=place_id:ChIJ1TPf85zpijkRGORPw8VXGfE,part_388,2026-09-20 20:43:37
HOMEOPATH DR. M.K Dan,Homeopathic Clinic,Homeopath,Homeopath,833103,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Goilkera SO, Bari BO, Kairam BO",+91 92798 96236,N/A,5.0,23.0,"QPM4+J4X, Bhaljoria Road, Nirsa, Jharkhand 828205",833103,23.784112699999998,86.7053449,ChIJ8Q-CMwfD9jkRnwpWOwUf-Cs,https://www.google.com/maps/place/?q=place_id:ChIJ8Q-CMwfD9jkRnwpWOwUf-Cs,part_388,2026-09-20 20:43:37
Amirul Homoeopath Clinic,Homeopathic Clinic,Homeopath,Homeopath,833103,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Goilkera SO, Bari BO, Kairam BO",+91 99559 02395,N/A,,,"Nayayanpur, near by Middle School, Agloi, Jharkhand 816101",833103,24.789403699999998,87.7743284,ChIJ2U8YGABl-jkRmrb3C_PeGqk,https://www.google.com/maps/place/?q=place_id:ChIJ2U8YGABl-jkRmrb3C_PeGqk,part_388,2026-09-20 20:43:37
"Sai Homoeo Centre,Dr.D.K. Thakur & Dr Jyoti Thakur",Homeopathic Clinic,Homeopath,Homeopath,833103,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Goilkera SO, Bari BO, Kairam BO",+91 84347 04922,N/A,5.0,9.0,"Lions club West chhoti, Aliganj, Pakur, Jharkhand 816107",Aliganj,24.6342124,87.8317821,ChIJSVBcwrNp-jkRO_DvIXvpZQ4,https://www.google.com/maps/place/?q=place_id:ChIJSVBcwrNp-jkRO_DvIXvpZQ4,part_388,2026-09-20 20:43:37
HOMEOPATHIC CHIKITSALAY,Homeopathic Clinic,Homeopath,Homeopath,833103,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Goilkera SO, Bari BO, Kairam BO",+91 97320 38954,N/A,5.0,,"Begun Kodar, West Bengal 723202",833103,23.351792099999997,86.0582151,ChIJKc2HxI0z9DkR03mhLn17Nu0,https://www.google.com/maps/place/?q=place_id:ChIJKc2HxI0z9DkR03mhLn17Nu0,part_388,2026-09-20 20:43:37
