business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Focus- Laying Foundation for IITJEE,NEET and JEE Coaching Center,Coaching Center,Coaching Center,833103,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Goilkera SO, Bari BO, Kairam BO",+91 98523 60114,https://sites.google.com/site/focuslayingfoundationforiitjee/,4.4,246.0,"2nd floor, Bhagwat Complex, Besides Subhash Chandra Bose Statue,, Near BJP Office, J.C.Mallick Road, Hirapur, National Highway - 32, Dhanbad, Jharkhand 826007","Baba Colony, Hirapur, CMPF Colony",23.8029227,86.4448644,ChIJCc232JC89jkRb0--tOfFCpQ,https://www.google.com/maps/place/?q=place_id:ChIJCc232JC89jkRb0--tOfFCpQ,part_388,2026-09-20 20:43:51
Sunshine classes,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Educational consultant, Private Tutor",833103,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Goilkera SO, Bari BO, Kairam BO",N/A,https://wa.link/dn9dl4,4.8,44.0,"V298+F5R, Chowki Para Rd, Cox Colony, Jharsuguda, Odisha 768203",Cox Colony,21.8686532,84.01558969999999,ChIJzTQs1yTnIDoRpfRGgvQDLG8,https://www.google.com/maps/place/?q=place_id:ChIJzTQs1yTnIDoRpfRGgvQDLG8,part_388,2026-09-20 20:43:51
"Physics Wallah Coaching Center Helpline Bhabua | IIT JEE, NEET Classes",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center, Educational consultant, Educational institution, Learning center, Private Tutor, Studying center, Training center, Tutoring service",833103,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Goilkera SO, Bari BO, Kairam BO",+91 74288 90305,https://www.pw.live/scholarship/nsat/vidyapeeth?utm_source=GMB&utm_medium=organic&utm_campaign=NSAT_24,5.0,1.0,"Chakbandi Rd, Bhabua, Bihar 821101",833103,25.045652999999998,83.608795,ChIJUeFwKbjZjTkRx9V2r61kwLc,https://www.google.com/maps/place/?q=place_id:ChIJUeFwKbjZjTkRx9V2r61kwLc,part_388,2026-09-20 20:43:51
IIT JEE Neet & Foundation Course in Bardhaman( Birhata) By Hari sir,NEET and JEE Coaching Center,Coaching Center,Coaching Center,833103,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Goilkera SO, Bari BO, Kairam BO",+91 90641 94423,https://www.neetjeefoundation.com/,5.0,,"Perbirhata, Bardhaman, West Bengal 713103",Perbirhata,23.2323168,87.8634605,ChIJW6AifbNJ-DkRENipbLFEiPA,https://www.google.com/maps/place/?q=place_id:ChIJW6AifbNJ-DkRENipbLFEiPA,part_388,2026-09-20 20:43:52
NEETJEE DURGAPUR,NEET and JEE Coaching Center,Education center,Education center,833103,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Goilkera SO, Bari BO, Kairam BO",+91 6295 930 915,https://neetjee.business.site/,4.9,,"7/22, near Sepco Water Tank, Sepco Twp, Durgapur, West Bengal 713205",Sepco Township,23.5503663,87.3158158,ChIJ85f-cwRv9zkRSRGxc9ySMiI,https://www.google.com/maps/place/?q=place_id:ChIJ85f-cwRv9zkRSRGxc9ySMiI,part_388,2026-09-20 20:43:52
Physics Wallah,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center, Educational consultant, Learning center, Private Tutor, Studying center, Tutoring service",833103,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Goilkera SO, Bari BO, Kairam BO",+91 74288 90305,https://www.pw.live/scholarship/nsat/vidyapeeth?utm_source=GMB&utm_medium=organic&utm_campaign=NSAT_24,,,"near Jai Prakash Park, Dipti Toli, Simdega, Jharkhand 835223",Dipti Toli,22.614940999999998,84.496242,ChIJXaTjgB2dijkRRMprJs6VGyk,https://www.google.com/maps/place/?q=place_id:ChIJXaTjgB2dijkRRMprJs6VGyk,part_388,2026-09-20 20:43:52
"NAVJOT ACADEMY IIT JEE, NEET, FOUNDATION",NEET and JEE Coaching Center,Education center,Education center,833103,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Goilkera SO, Bari BO, Kairam BO",+91 96610 07334,N/A,4.9,,"opposite New Kunda, Karnibad, Thana, Deoghar, Jharkhand 814143",Karnibad,24.4806234,86.7036133,ChIJM8LAQGo98TkR-j3mHcvrb7s,https://www.google.com/maps/place/?q=place_id:ChIJM8LAQGo98TkR-j3mHcvrb7s,part_388,2026-09-20 20:43:52
Deep Knowledge Academy,NEET and JEE Coaching Center,Coaching Center,Coaching Center,833103,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Goilkera SO, Bari BO, Kairam BO",N/A,https://youtube.com/@deepknowledgeofficial5134?si=04Q3dXgbgflqehoG,4.9,,"Mode, Nawada, Garhwa, Jharkhand 822114",Nawada,24.1577222,83.7825721,ChIJrQUpzIUPjDkRxxr9ztyzoaI,https://www.google.com/maps/place/?q=place_id:ChIJrQUpzIUPjDkRxxr9ztyzoaI,part_388,2026-09-20 20:43:52
Best NEET and JEE( Main) and WBJEE Preparation Class | IG Career Institute,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center",833103,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Goilkera SO, Bari BO, Kairam BO",+91 87778 21769,https://igcareer.in/,5.0,,"61/A, Chakraborty Para, Rahara, Khardaha, West Bengal 700118","Sarada Pally, Rahara",22.727577999999998,88.3880459,ChIJhRfQb_6b-DkRyZjXf9ghfGY,https://www.google.com/maps/place/?q=place_id:ChIJhRfQb_6b-DkRyZjXf9ghfGY,part_388,2026-09-20 20:43:52
NEET-JEE Adda,NEET and JEE Coaching Center,Coaching Center,Coaching Center,833103,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Goilkera SO, Bari BO, Kairam BO",+91 80029 72001,N/A,4.8,,"College more, opposite Boy's High School, Nabinagar, Bihar 824301",833103,24.608700499999998,84.12037579999999,ChIJIWT_4gxQjDkRuBmoTiYQ3-M,https://www.google.com/maps/place/?q=place_id:ChIJIWT_4gxQjDkRuBmoTiYQ3-M,part_388,2026-09-20 20:43:52
