business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Anganbadi 2 , Bistumpur",Play School and Daycare,Nursery school,Nursery school,833202,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Tata College Chaibasa SO, Asura BO, Singhpokharia BO",N/A,N/A,5.0,,"CQXM+H76, NH 20, Bisrampur, Bidri, Bistampur, Jharkhand 833202",Bisrampur,22.448912699999997,85.783143,ChIJ1fuKzmclHjoRwjcdDNnuBnU,https://www.google.com/maps/place/?q=place_id:ChIJ1fuKzmclHjoRwjcdDNnuBnU,part_388,2026-09-20 20:46:51
"Anganbari , Gajubasa , Kelnde",Play School and Daycare,Nursery school,Nursery school,833202,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Tata College Chaibasa SO, Asura BO, Singhpokharia BO",N/A,N/A,2.8,,"FQ9W+W36, NH 20, Kelende, Jharkhand 833202",833202,22.4697982,85.7951324,ChIJ0ZGceBUlHjoRdgwAmwzDYIs,https://www.google.com/maps/place/?q=place_id:ChIJ0ZGceBUlHjoRdgwAmwzDYIs,part_388,2026-09-20 20:46:51
"Anganbari , Charabasa",Play School and Daycare,Nursery school,Nursery school,833202,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Tata College Chaibasa SO, Asura BO, Singhpokharia BO",N/A,N/A,4.0,,"CQJX+823, Unnamed Road, Chara Basa, Jharkhand 833215",833202,22.4307597,85.7975359,ChIJqf79BYMlHjoRAoyYKOxD1Wg,https://www.google.com/maps/place/?q=place_id:ChIJqf79BYMlHjoRAoyYKOxD1Wg,part_388,2026-09-20 20:46:51
"Anganbadi 1 , Basahatu",Play School and Daycare,Nursery school,Nursery school,833202,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Tata College Chaibasa SO, Asura BO, Singhpokharia BO",N/A,N/A,,,"CQCC+Q28, NH 20, Jorapokhar, Basahatu, Jharkhand 833215",833202,22.4219215,85.7700761,ChIJk16PSDYlHjoRrcfmu8aUhEo,https://www.google.com/maps/place/?q=place_id:ChIJk16PSDYlHjoRrcfmu8aUhEo,part_388,2026-09-20 20:46:51
Anganwari barkundia,Play School and Daycare,Preschool,Preschool,833202,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Tata College Chaibasa SO, Asura BO, Singhpokharia BO",N/A,N/A,,,"FVVC+Q43, Barkundia, Jharkhand 833204",833202,22.4955364,85.8705973,ChIJFwivOAAhHjoRVs5eQPThI9w,https://www.google.com/maps/place/?q=place_id:ChIJFwivOAAhHjoRVs5eQPThI9w,part_388,2026-09-20 20:46:51
"Anganbari , Kelnde",Play School and Daycare,Nursery school,Nursery school,833202,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Tata College Chaibasa SO, Asura BO, Singhpokharia BO",N/A,N/A,1.0,,"FRM2+FPC, Unnamed Road, Tutugutu, Jharkhand 833202",833202,22.4836813,85.8017804,ChIJG7ChrGInHjoRd7tkMQA2tz4,https://www.google.com/maps/place/?q=place_id:ChIJG7ChrGInHjoRd7tkMQA2tz4,part_388,2026-09-20 20:46:51
"Anganwadi 1 , Bistumpur",Play School and Daycare,Nursery school,Nursery school,833202,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Tata College Chaibasa SO, Asura BO, Singhpokharia BO",N/A,N/A,,,"CQWP+PVR, Unnamed Road, Bistampur, Jharkhand 833202",Bistampur,22.446870999999998,85.78714029999999,ChIJe8inDJ8lHjoRnbz8YjhaVwU,https://www.google.com/maps/place/?q=place_id:ChIJe8inDJ8lHjoRnbz8YjhaVwU,part_388,2026-09-20 20:46:51
"Anganbari , Tunglui",Play School and Daycare,Nursery school,Nursery school,833202,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Tata College Chaibasa SO, Asura BO, Singhpokharia BO",N/A,N/A,,,"FQPX+87C, NH 20, Tutugutu, Jharkhand 833202",833202,22.485815,85.7981392,ChIJQ2mnXicnHjoRhV_KI5kCRdk,https://www.google.com/maps/place/?q=place_id:ChIJQ2mnXicnHjoRhV_KI5kCRdk,part_388,2026-09-20 20:46:51
"Model anganvadi centre kelende ,tunglui jhinkpani",Play School and Daycare,Preschool,Preschool,833202,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Tata College Chaibasa SO, Asura BO, Singhpokharia BO",N/A,N/A,,,"FQPX+2P3, NH 20, Tutugutu, Jharkhand 833202",833202,22.485010799999998,85.7993123,ChIJW9Zu7qknHjoRjlYFK6fMORU,https://www.google.com/maps/place/?q=place_id:ChIJW9Zu7qknHjoRjlYFK6fMORU,part_388,2026-09-20 20:46:51
"Anganbadi , Latarsai",Play School and Daycare,Nursery school,Nursery school,833202,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Tata College Chaibasa SO, Asura BO, Singhpokharia BO",N/A,N/A,5.0,,"9QRJ+49C, Gura - Meromhoto Road., Nawaganw, Jharkhand 833215",833202,22.3903023,85.78090309999999,ChIJ2fFplM0lHjoRLCHZWpXyyKA,https://www.google.com/maps/place/?q=place_id:ChIJ2fFplM0lHjoRLCHZWpXyyKA,part_388,2026-09-20 20:46:51
