business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
RIGHT HEALTHCARE MEDICAL & CLINIC,Clinics,Medical Center,Medical Center,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 89553 68704,N/A,5.0,1.0,"Patahatu Rd, CHOWK, Chaibasa, Lupunggutu, Jharkhand 833204",CHOWK,22.5477498,85.78821909999999,ChIJD6uYlz0nHjoRpH0xAB1cYhU,https://www.google.com/maps/place/?q=place_id:ChIJD6uYlz0nHjoRpH0xAB1cYhU,part_389,2026-09-20 20:19:29,1399
Manipal HealthMap (X-Ray-Ultrasound Centre),Clinics,Diagnostic center,Diagnostic center,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,5.0,199.0,"Sadar Hospital Chaibasa, Chaibasa, Jharkhand 833201",833215,22.5505717,85.8055353,ChIJxYKJeLMnHjoRXu3sdmVdp-c,https://www.google.com/maps/place/?q=place_id:ChIJxYKJeLMnHjoRXu3sdmVdp-c,part_389,2026-09-20 20:19:29,1400
A,Clinics,Medical clinic,Medical clinic,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,3.5,2.0,"Mahulsai Rd, beside Bank of Baroda, Chaibasa, Gitilpi, Jharkhand 833201",833215,22.534806,85.8027279,ChIJQSmsQ0onHjoRDaijI_m1hQ0,https://www.google.com/maps/place/?q=place_id:ChIJQSmsQ0onHjoRDaijI_m1hQ0,part_389,2026-09-20 20:19:29,1401
Diabetes & Obesity Clinic,Clinics,Nutritionist,Nutritionist,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 99399 01320,https://dietitianrupalisingh.com/,,,"Sahay Colony, Chaibasa, Jharkhand 833201",833215,22.5474364,85.8025373,ChIJe1fYgJQnHjoRNaKfTTsCR6g,https://www.google.com/maps/place/?q=place_id:ChIJe1fYgJQnHjoRNaKfTTsCR6g,part_389,2026-09-20 20:19:29,1402
Dev Physiotherapy Clinic,Clinics,Physiotherapy Center,Physiotherapy Center,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 99903 13013,https://devphysiotherapy.co.in/,5.0,11.0,"Amala Tola Road, Sadar Bazaar, Chaibasa, Jharkhand 833201",Sadar Bazaar,22.549520899999997,85.8066408,ChIJW81c4rEnHjoR_oTs-uPW7DE,https://www.google.com/maps/place/?q=place_id:ChIJW81c4rEnHjoR_oTs-uPW7DE,part_389,2026-09-20 20:19:29,1403
New Life Diagnostic Centre And Polyclinic,Clinics,Hospital,Hospital,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 92412 93342,https://www.newlifediagnosticchaibasa.in/,5.0,10.0,"2nd floor, LD House, Amlatola Rd, near Axis Bank, Chaibasa, Jharkhand 833201",833215,22.5501103,85.8088466,ChIJPf6zIZwnHjoRXkxZQOzs29g,https://www.google.com/maps/place/?q=place_id:ChIJPf6zIZwnHjoRXkxZQOzs29g,part_389,2026-09-20 20:19:29,1404
SHIVKAMAL CLINIC,Clinics,Medical clinic,Medical clinic,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 77396 76672,N/A,,,"Patahatu Rd, Chaibasa, Lupunggutu, Jharkhand 833204",833215,22.5479265,85.79038779999999,ChIJ_2Ap-dknHjoRDboL00uCMEI,https://www.google.com/maps/place/?q=place_id:ChIJ_2Ap-dknHjoRDboL00uCMEI,part_389,2026-09-20 20:19:29,1405
MAA GAYATRI IMAGING CENTER,Clinics,Medical diagnostic imaging center,Medical diagnostic imaging center,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 80926 60321,N/A,4.5,12.0,"Near, Railways Over-bridge, Mahulsai, Chaibasa, Gitilpi, Jharkhand 833201",Mahulsai,22.528633499999998,85.8060187,ChIJj8c8nI4nHjoRvqA15f4ti0E,https://www.google.com/maps/place/?q=place_id:ChIJj8c8nI4nHjoRvqA15f4ti0E,part_389,2026-09-20 20:19:29,1406
Madesiya Treaders,Clinics,Free clinic,Free clinic,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 94311 10954,N/A,5.0,1.0,"GRR6+J73, Tungri, Chaibasa, Jharkhand 833201",Tungri,22.541513,85.8106808,ChIJ0z1YLAsnHjoR_IupGOZK3UE,https://www.google.com/maps/place/?q=place_id:ChIJ0z1YLAsnHjoR_IupGOZK3UE,part_389,2026-09-20 20:19:29,1407
Echs Polyclinic Chaibasa,Clinics,Medical clinic,Medical clinic,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 657 223 0521,http://echs.gov.in/,4.8,13.0,"HR65+GRW, Chaibasa, Jharkhand 833204",833215,22.5613562,85.8095769,ChIJ91vyGX8nHjoRLfNt10XOYMI,https://www.google.com/maps/place/?q=place_id:ChIJ91vyGX8nHjoRLfNt10XOYMI,part_389,2026-09-20 20:19:29,1408
