business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Ghosh Homeo Clinic,Homeopathic Clinic,Medical clinic,Medical clinic,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,5.0,,"Near New life hospital, Station Rd, near railway, Chaibasa, Jharkhand 833204",833215,22.5587822,85.8130685,ChIJa263zRcnHjoRRT5LW7rPCKM,https://www.google.com/maps/place/?q=place_id:ChIJa263zRcnHjoRRT5LW7rPCKM,part_389,2026-09-20 20:19:28,1494
Hashmi Homeo Clinic,Homeopathic Clinic,Doctor,Doctor,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,5.0,,"Bari Bazar Brg, CKP Road, Chaibasa, Jharkhand 833201",CKP Road,22.5568651,85.8006691,ChIJBwL-J5QnHjoR-_-loD5HwRc,https://www.google.com/maps/place/?q=place_id:ChIJBwL-J5QnHjoR-_-loD5HwRc,part_389,2026-09-20 20:19:28,1495
Dr Sunita Singh,Homeopathic Clinic,Homeopath,Homeopath,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 70043 37255,N/A,4.0,,"Amla Tola, Tank Road, Jublee, Chaibasa, Jharkhand 833201",Jublee,22.5490352,85.8091077,ChIJB5bvkJEnHjoRzhgtJ42v204,https://www.google.com/maps/place/?q=place_id:ChIJB5bvkJEnHjoRzhgtJ42v204,part_389,2026-09-20 20:19:28,1496
Manohar Homoeo Hall,Homeopathic Clinic,Doctor,Doctor,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 92345 33646,https://manoharhomeohall.blogspot.com/,5.0,,"GRW3+6GM, Nimdhi Rd, Bara, Nimdih Rd, Bada Nimdih, Chaibasa, Jharkhand 833201",Bada Nimdih,22.5455926,85.8037307,ChIJsflsBTgnHjoRxXu87eOCLEM,https://www.google.com/maps/place/?q=place_id:ChIJsflsBTgnHjoRxXu87eOCLEM,part_389,2026-09-20 20:19:28,1497
Dey Homeopathy dawa dukan,Homeopathic Clinic,Medical Center,Medical Center,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,,,"GRX5+XHR, Amlatola Rd, Chaibasa, Jharkhand 833201",833215,22.5499966,85.80888929999999,ChIJP-DSo4QnHjoRkQsIZS848tY,https://www.google.com/maps/place/?q=place_id:ChIJP-DSo4QnHjoRkQsIZS848tY,part_389,2026-09-20 20:19:28,1498
Kiran homeo hall,Homeopathic Clinic,Pharmacy,Pharmacy,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 99343 73955,N/A,4.7,,"Mahjeed gali, Bari Bazar Brg, Sentola, Chaibasa, Jharkhand 833201",Sentola,22.5563456,85.8013209,ChIJpQ_jML8nHjoRL-yeCrFvyHI,https://www.google.com/maps/place/?q=place_id:ChIJpQ_jML8nHjoRL-yeCrFvyHI,part_389,2026-09-20 20:19:28,1499
SHIV HOMOEOPATHY,Homeopathic Clinic,Homeopathic pharmacy,Homeopathic pharmacy,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 92347 27000,N/A,4.8,,"NH 20, Chakradharpur, Jharkhand 833102",833215,22.670420399999998,85.6227644,ChIJG_dyCDuC9TkRvycJ3MfIECo,https://www.google.com/maps/place/?q=place_id:ChIJG_dyCDuC9TkRvycJ3MfIECo,part_389,2026-09-20 20:19:28,1500
Dr. Manoranjan Singha (Singha Homoeo Clinic),Homeopathic Clinic,Hospital,Hospital,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 77658 53722,N/A,4.7,,"PQVM+P8C, Kumardubi, Chirkunda, Jharkhand 828202",833215,23.7443127,86.7832537,ChIJpwPCDJ3d9jkRjKoSE5wKb6w,https://www.google.com/maps/place/?q=place_id:ChIJpwPCDJ3d9jkRjKoSE5wKb6w,part_389,2026-09-20 20:19:28,1501
Singha Homeo Clinic,Homeopathic Clinic,Doctor,Doctor,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 77658 53722,N/A,4.5,,"Old, hatiya Road, Chirkunda, Jharkhand 828202",833215,23.7443249,86.78296449999999,ChIJeZwIc53d9jkR93o8eKVHOto,https://www.google.com/maps/place/?q=place_id:ChIJeZwIc53d9jkR93o8eKVHOto,part_389,2026-09-20 20:19:28,1502
Laxmi Homeopathic Clinic,Homeopathic Clinic,Homeopathic pharmacy,"Homeopathic pharmacy, Alternative Medicine Clinic",833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 657 238 3333,N/A,4.8,,"Shop No. 14, Ground Floor, Ashiana Trade Centre, Nishant Vihar, LIC Colony, Adityapur, Jamshedpur, Jharkhand 832109","Nishant Vihar, LIC Colony, Adityapur",22.791259399999998,86.1542922,ChIJF9h4DQjl9TkRxwcJIkZzp5I,https://www.google.com/maps/place/?q=place_id:ChIJF9h4DQjl9TkRxwcJIkZzp5I,part_389,2026-09-20 20:19:28,1503
