business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Bhamra Electronics,Watch Showroom and Repair,Watch store,"Watch store, Sewing machine repair service, Sewing machine store",833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 90313 96642,N/A,5.0,4.0,"opp. sadar thana, Sadar Bazaar, Chaibasa, Jharkhand 833201",Sadar Bazaar,22.5494897,85.8059626,ChIJLe0V150nHjoRbDVDT1jyzR8,https://www.google.com/maps/place/?q=place_id:ChIJLe0V150nHjoRbDVDT1jyzR8,part_389,2026-09-20 20:19:27,1251
New Mobile Junction,Watch Showroom and Repair,Cell phone store,"Cell phone store, Cell phone accessory store, Electronics store, Mobile phone repair shop",833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 91622 16123,N/A,4.4,127.0,"Shop no. C4, kalundiya market, Tambo Rd, chowk, Chaibasa, Jharkhand 833201",chowk,22.5335121,85.8196743,ChIJYVSHsREnHjoRYjv8lZcLjOk,https://www.google.com/maps/place/?q=place_id:ChIJYVSHsREnHjoRYjv8lZcLjOk,part_389,2026-09-20 20:19:27,1252
JEWEL TIME HOUSE,Watch Showroom and Repair,Watch repair service,"Watch repair service, Battery Store, Perfume store, Watch store",833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,4.5,56.0,"Shop No. 1,Yashkamal Complex, Main Road, 831001, Bistupur, Jamshedpur, Jharkhand 831001",Bistupur,22.795903,86.1843122,ChIJ0y-Q72Xj9TkReMRy8n49Xpk,https://www.google.com/maps/place/?q=place_id:ChIJ0y-Q72Xj9TkReMRy8n49Xpk,part_389,2026-09-20 20:19:27,1253
"Titan World - Sakchi, Jamshedpur",Watch Showroom and Repair,Watch store,"Watch store, Clock and watch maker, Watch Manufacturer, Watch repair service",833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 80 6291 4009,https://www.titan.co.in/stores?storeId=WKJJE,4.5,636.0,"Shop No 13, New Kalimati Rd, opposite Eye Hospital, Sakchi, Jamshedpur, Jharkhand 831001",Sakchi,22.803727499999997,86.2036115,ChIJl6yP0Rrj9TkRo38lkECTGu8,https://www.google.com/maps/place/?q=place_id:ChIJl6yP0Rrj9TkRo38lkECTGu8,part_389,2026-09-20 20:19:27,1254
Time Traders,Watch Showroom and Repair,Watch store,Watch store,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,,,"Ward No. 05, Chakradharpur, Jharkhand 833102",Ward No. 05,22.6756875,85.6183125,ChIJZ9wxGAuD9TkRubBx-vLLHdk,https://www.google.com/maps/place/?q=place_id:ChIJZ9wxGAuD9TkRubBx-vLLHdk,part_389,2026-09-20 20:19:27,1255
Jay Watch Co.,Watch Showroom and Repair,Watch store,"Watch store, Clock and watch maker, Watch repair service",833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 98010 87670,http://www.jaywatch.in/,4.4,446.0,"96 & 97, Bata Chowk, Sakchi Bazar, near Sreeleathers, Sakchi, Jamshedpur, Jharkhand 831001","SNP Area, Sakchi",22.804401499999997,86.20371279999999,ChIJOza0Bw_j9TkRMhGZtdwtus0,https://www.google.com/maps/place/?q=place_id:ChIJOza0Bw_j9TkRMhGZtdwtus0,part_389,2026-09-20 20:19:27,1256
Jayant Watch Co,Watch Showroom and Repair,Watch store,"Watch store, Clock and watch maker, Repair service",833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 657 242 6882,N/A,3.9,159.0,"Building, SNP Area, Sakchi, Jamshedpur, Jharkhand 831001","SNP Area, Sakchi",22.8044358,86.2036389,ChIJAQAAQMsk7jkRp1aPoo83t6k,https://www.google.com/maps/place/?q=place_id:ChIJAQAAQMsk7jkRp1aPoo83t6k,part_389,2026-09-20 20:19:27,1257
Jharkhand watch,Watch Showroom and Repair,Watch store,Watch store,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 62022 99293,https://sites.google.com/view/jharkhandwatch/home_1?authuser=0,4.7,37.0,"Block road, in front of petrol pump, Manjhiaon, Jharkhand 822134",833215,24.324887399999998,83.8176472,ChIJM7VLsn0XjDkRdGGehQUfam4,https://www.google.com/maps/place/?q=place_id:ChIJM7VLsn0XjDkRdGGehQUfam4,part_389,2026-09-20 20:19:27,1258
Chetna Watch,Watch Showroom and Repair,Watch store,Watch store,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 93048 04095,https://g.page/chetna-watch/review?rc,3.6,126.0,"Shop no 24, Fruit Market, Line no A-1, Bistupur Market, Bistupur, Jamshedpur, Jharkhand 831001","Bistupur Market, Bistupur",22.7939869,86.1844687,ChIJXwlhGmbj9TkRh3WpKB1zutc,https://www.google.com/maps/place/?q=place_id:ChIJXwlhGmbj9TkRh3WpKB1zutc,part_389,2026-09-20 20:19:27,1259
Udaya Watch Spares and Service (Arun Kumar P),Watch Showroom and Repair,Watch store,Watch store,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 87621 69668,N/A,4.9,141.0,"Nayaka Vidhyarthi Nilaya,Shop#3, Chetana Hotel Rd, Prince Jayachamaraja Wodeyar, Davangere, Karnataka 577002",Prince Jayachamaraja Wodeyar,14.461435499999999,75.9195507,ChIJc2CnDMUlujsRn5kH--TFrN0,https://www.google.com/maps/place/?q=place_id:ChIJc2CnDMUlujsRn5kH--TFrN0,part_389,2026-09-20 20:19:28,1260
