business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hotel Shifa Manor,Hotel,Restaurant,Restaurant,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 92349 82196,N/A,3.6,617.0,"Amala Tola Road, NEAR MUNICIPAL OFFICE, Chaibasa, Jharkhand 833201",NEAR MUNICIPAL OFFICE,22.5505084,85.80904199999999,ChIJ9-UEkp0nHjoRnqiklAmRyUs,https://www.google.com/maps/place/?q=place_id:ChIJ9-UEkp0nHjoRnqiklAmRyUs,part_389,2026-09-20 20:19:46
Hotel K2,Hotel,Hotel,Hotel,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 124 620 1617,https://www.oyorooms.com/186430/,4.4,190.0,"Etwari Bazar - Station Link Road, Chakradharpur, Jharkhand 833102",833215,22.670846299999997,85.6302864,ChIJRQ3cnReD9TkR9H-4VuCjJ1A,https://www.google.com/maps/place/?q=place_id:ChIJRQ3cnReD9TkR9H-4VuCjJ1A,part_389,2026-09-20 20:19:46
Hotel LUXURY INN,Hotel,Hotel,"Hotel, Lodge",833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 97397 97909,N/A,3.8,483.0,"MJC9+FRG, Bharat Bhawan Rd, Ward No. 12, Chakradharpur, Jharkhand 833102",Ward No. 12,22.671702,85.6185819,ChIJQ8bYXPOD9TkRfhMxveTY4v0,https://www.google.com/maps/place/?q=place_id:ChIJQ8bYXPOD9TkRfhMxveTY4v0,part_389,2026-09-20 20:19:46
HOTEL HARI INTERNATIONAL,Hotel,Hotel,"Hotel, Banquet hall, Restaurant, Vegetarian restaurant",833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 6587 359 991,https://www.hhickp.com/,4.5,166.0,"Railway Side, Main Road, near Over Bridge, Chakradharpur, Jharkhand 833102",833215,22.6711059,85.6218056,ChIJLzC-QgCD9TkR5PtOe5zDnCc,https://www.google.com/maps/place/?q=place_id:ChIJLzC-QgCD9TkR5PtOe5zDnCc,part_389,2026-09-20 20:19:46
Hotel O by OYO Harihar Premium,Hotel,Hotel,Hotel,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 124 620 1617,https://www.oyorooms.com/169604/,3.8,74.0,"Near Birsa Chowk, Seraikela - 833219, Jamshedpur, Jharkhand 833220",833215,22.7040798,85.9243925,ChIJLd7bZYPv9TkRTmACUOvYslo,https://www.google.com/maps/place/?q=place_id:ChIJLd7bZYPv9TkRTmACUOvYslo,part_389,2026-09-20 20:19:46
CKP DARBAR,Hotel,Restaurant,"Restaurant, Banquet hall, Hotel",833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 95230 02487,N/A,4.0,712.0,"MJH9+388, Chakradharpur, Jharkhand 833102",833215,22.6773191,85.6172435,ChIJ4bjCis-D9TkRqtx0EWT4czQ,https://www.google.com/maps/place/?q=place_id:ChIJ4bjCis-D9TkRqtx0EWT4czQ,part_389,2026-09-20 20:19:46
Hotel The Empire Inn,Hotel,Hotel,Hotel,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 62003 36653,N/A,3.6,78.0,"Empire Tower, Mahulsai Rd, Chaibasa, Jharkhand 833201",833215,22.538961,85.8034229,ChIJd3ub8qknHjoR-MfNpJrbG_A,https://www.google.com/maps/place/?q=place_id:ChIJd3ub8qknHjoR-MfNpJrbG_A,part_389,2026-09-20 20:19:46
Hotel Raj,Hotel,Hotel,Hotel,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 87890 71252,N/A,3.5,65.0,"GRV5+W5G, Tungri, Chaibasa, Jharkhand 833201",Tungri,22.5448082,85.8079551,ChIJuV93gXUnHjoRrMmVqS9m00s,https://www.google.com/maps/place/?q=place_id:ChIJuV93gXUnHjoRrMmVqS9m00s,part_389,2026-09-20 20:19:46
Hotel Sifa Manor 2,Hotel,Hotel,Hotel,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,3.5,21.0,"GRP6+RQ6, New Colony Tungri Rd, Tungri, Chaibasa, Jharkhand 833201",Tungri,22.537016299999998,85.8119481,ChIJT_ReegAnHjoR1f6TZOKAaMM,https://www.google.com/maps/place/?q=place_id:ChIJT_ReegAnHjoR1f6TZOKAaMM,part_389,2026-09-20 20:19:46
Hotel KNR Residency room,Hotel,Hotel,Hotel,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,http://www.knrresidency.com/,4.6,5.0,"GRX3+FVM, Madhu Bazar Basti, Chaibasa, Jharkhand 833201",Madhu Bazar Basti,22.5484178,85.8046134,ChIJuzC-JgAnHjoR1ls_fwmG01c,https://www.google.com/maps/place/?q=place_id:ChIJuzC-JgAnHjoR1ls_fwmG01c,part_389,2026-09-20 20:19:46
Hotel Akash,Hotel,Hotel,Hotel,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 92632 79745,N/A,3.1,506.0,"near Bus Stand, Sadar Bazaar, Chaibasa, Jharkhand 833201",Sadar Bazaar,22.5505963,85.8072052,ChIJkVMSeZ0nHjoRUxTTzApOct4,https://www.google.com/maps/place/?q=place_id:ChIJkVMSeZ0nHjoRUxTTzApOct4,part_389,2026-09-20 20:19:46
