business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sunrise Hospital Advance Multi-speciality Care center,Multispeciality Hospital,Hospital,Hospital,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 82525 99673,N/A,4.6,,"over Bridge, Tata Rd, near to Chaibasa, near to Hanuman Mandir, Gari Khana Basti, Chaibasa, Jharkhand 833204",Gari Khana Basti,22.554823799999998,85.81058,ChIJ3WyTr3cnHjoRQc6FZGpbfuc,https://www.google.com/maps/place/?q=place_id:ChIJ3WyTr3cnHjoRQc6FZGpbfuc,part_389,2026-09-20 20:19:28
Mundhra Hospital,Multispeciality Hospital,Hospital,"Hospital, Diagnostic center",833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 6582 258 710,N/A,3.1,,"HQ2X+3R6, Mundhra Hospital, European quarters, chaibasa, Singhbhum west, Jharkhand, Chaibasa, Jharkhand 833201",833215,22.5499829,85.80004249999999,ChIJh5CFVJonHjoRFvt7Y130EjI,https://www.google.com/maps/place/?q=place_id:ChIJh5CFVJonHjoRFvt7Y130EjI,part_389,2026-09-20 20:19:28
"Community Health Center Chaibasa, Sadar (Sadar Hospital Campus)",Multispeciality Hospital,Government hospital,Government hospital,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,3.0,,"HR24+52C, Chaibasa, Jharkhand 833201",833215,22.550366999999998,85.80489329999999,ChIJS0Gvq50nHjoR9TqlWcnL07Y,https://www.google.com/maps/place/?q=place_id:ChIJS0Gvq50nHjoR9TqlWcnL07Y,part_389,2026-09-20 20:19:28
M B MEMORIAL HOSPITAL,Multispeciality Hospital,Hospital,Hospital,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 6582 255 234,N/A,3.6,,"GRP9+VH7 Tamba, Dumbisai, Jharkhand 833201",833215,22.537174099999998,85.81890779999999,ChIJI8HRQqInHjoReMGBhwyObco,https://www.google.com/maps/place/?q=place_id:ChIJI8HRQqInHjoReMGBhwyObco,part_389,2026-09-20 20:19:28
Life hospital,Multispeciality Hospital,Local medical services,Local medical services,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,2.8,,"Jeevan mohalla, Life nursing home, Railway station, Chaibasa, Jharkhand 833204",833215,22.5593039,85.8107326,ChIJyzPjz9onHjoRsRSfJz-skag,https://www.google.com/maps/place/?q=place_id:ChIJyzPjz9onHjoRsRSfJz-skag,part_389,2026-09-20 20:19:28
Dr. V.K.Mundra,Multispeciality Hospital,Hospital,Hospital,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,3.1,,"HR22+34H, Chaibasa, Jharkhand 833201",833215,22.5501868,85.8003519,ChIJ_2kx8IcnHjoRg01ARXCwAa4,https://www.google.com/maps/place/?q=place_id:ChIJ_2kx8IcnHjoRg01ARXCwAa4,part_389,2026-09-20 20:19:28
MURLI MEDICAL,Multispeciality Hospital,Medical Center,Medical Center,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,5.0,,"GRW3+X2F, Tambo Chowk, Chaibasa, Jharkhand 833201",833215,22.5474364,85.8025373,ChIJg3EycAAnHjoRjxjIn7lbCkA,https://www.google.com/maps/place/?q=place_id:ChIJg3EycAAnHjoRjxjIn7lbCkA,part_389,2026-09-20 20:19:28
St. Angela Hospital,Multispeciality Hospital,Hospital,Hospital,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",N/A,N/A,4.1,,"1, Chandmari Rd, South Eastern Railway Colony, Chakradharpur, Jharkhand 833102",South Eastern Railway Colony,22.6807099,85.62565099999999,ChIJnaRBikCC9TkRnIyR0kGR66o,https://www.google.com/maps/place/?q=place_id:ChIJnaRBikCC9TkRnIyR0kGR66o,part_389,2026-09-20 20:19:28
Tata Main Hospital Noamundi,Multispeciality Hospital,Hospital,Hospital,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 92626 99409,N/A,3.2,,"5F5X+RWX, Kolebira - Hat Gamharia Rd, Noamundi, Jharkhand 833218",833215,22.1598632,85.49941249999999,ChIJW8zoER23HzoR6CgMLIlay3k,https://www.google.com/maps/place/?q=place_id:ChIJW8zoER23HzoR6CgMLIlay3k,part_389,2026-09-20 20:19:28
Om Nursing Home,Multispeciality Hospital,Hospital,Hospital,833215,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jhinkpani SO, Barajhinkpani BO, Dalki BO",+91 651 224 3233,N/A,4.1,,"HQ8R+FM5, NH 20, Narsanda, Jharkhand 833204",833215,22.5661484,85.7917251,ChIJT3BT1l2J9TkR7TU12ueyAY0,https://www.google.com/maps/place/?q=place_id:ChIJT3BT1l2J9TkR7TU12ueyAY0,part_389,2026-09-20 20:19:28
