business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Bella 'n' Bello, Adityapur",Unisex Salon,Beauty Parlour,"Beauty Parlour, Barber shop, Eyelash salon, Make-up artist, Skin care clinic, Hairdresser",833220,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Sini SO, Burudih BO, Dugni BO",+91 93047 02172,https://bellanbello.com/,4.9,426,"Adharsila tower, Road No. 4, Adityapur 2, Gwalapara, Adityapur, Jamshedpur, Jharkhand 831013","Adityapur 2, Gwalapara, Adityapur",22.779341,86.16207399999999,ChIJRUrkCbrl9TkRTxxIg845qlI,https://www.google.com/maps/place/?q=place_id:ChIJRUrkCbrl9TkRTxxIg845qlI,part_389,2026-09-20 20:23:31
The Best cutz Family salon,Unisex Salon,Hairdresser,Hairdresser,833220,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Sini SO, Burudih BO, Dugni BO",+91 87098 62234,N/A,4.6,28,"Tata Kandra Rd, Shridungri, Gamharia, Jamshedpur, Jharkhand 832109","Shridungri, Gamharia",22.7987198,86.13169119999999,ChIJi1_Ds_Tl9TkRfx2vcui9CHg,https://www.google.com/maps/place/?q=place_id:ChIJi1_Ds_Tl9TkRfx2vcui9CHg,part_389,2026-09-20 20:23:31
Sunshine Unisex Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,833220,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Sini SO, Burudih BO, Dugni BO",+91 62057 04016,N/A,5.0,6,"Mangalam City Near Sudha Dairy Tata Kandra Main Road Adityapur, Gamharia, Jamshedpur, Jharkhand 832108","Dhirajganj, Gamharia",22.8095386,86.1194282,ChIJF-uBKovl9TkRHbuopccDKME,https://www.google.com/maps/place/?q=place_id:ChIJF-uBKovl9TkRHbuopccDKME,part_389,2026-09-20 20:23:31
FACE 2 FACE FAMILY SALON,Unisex Salon,Beauty Parlour,"Beauty Parlour, Hair salon, Skin care clinic",833220,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Sini SO, Burudih BO, Dugni BO",+91 62016 80495,N/A,4.8,87,"main road, near utkal mahindra motors, kedugachh more, Adityapur, kandra, Jamshedpur, Jharkhand 832109","kedugachh more, Adityapur",22.801738399999998,86.12752929999999,ChIJ92a-bHXl9TkR8ywEPjoi7bg,https://www.google.com/maps/place/?q=place_id:ChIJ92a-bHXl9TkR8ywEPjoi7bg,part_389,2026-09-20 20:23:31
ROYAL LOOK PROFESSIONAL UNISEX SALON,Unisex Salon,Beauty Parlour,Beauty Parlour,833220,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Sini SO, Burudih BO, Dugni BO",+91 88770 21164,N/A,4.3,44,"petrol pump, 68, Road No. 3, Kagal Nagar, Sonari, Jamshedpur, Jharkhand 831011","Kagal Nagar, Sonari",22.8218843,86.16622389999999,ChIJE4iww0vl9TkR7ihS2gImm78,https://www.google.com/maps/place/?q=place_id:ChIJE4iww0vl9TkR7ihS2gImm78,part_389,2026-09-20 20:23:31
The King Salon and Hair Patch,Unisex Salon,Hair salon,Hair salon,833220,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Sini SO, Burudih BO, Dugni BO",+91 79030 76030,https://the-king-salon.grexa.site/,4.8,132,"Tata Kandra Rd, near Utkal Automobile, Shridungri, Adityapur, Jamshedpur, Jharkhand 832109","Shridungri, Adityapur",22.800033,86.12966999999999,ChIJ43fz2Rzl9TkRRuxLcPpEiuk,https://www.google.com/maps/place/?q=place_id:ChIJ43fz2Rzl9TkRRuxLcPpEiuk,part_389,2026-09-20 20:23:31
Radiant Roots - Unisex Salon Jamshedpur,Unisex Salon,Beauty Parlour,Beauty Parlour,833220,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Sini SO, Burudih BO, Dugni BO",N/A,N/A,5.0,7,"H.no 4291, infront of Tata Worker's Union High School, Bhatia Basti, Kadma, Jamshedpur, Jharkhand 831005","Bhatia Basti, Kadma",22.806952199999998,86.15702449999999,ChIJld_8rQLl9TkRg92krTL83O0,https://www.google.com/maps/place/?q=place_id:ChIJld_8rQLl9TkRg92krTL83O0,part_389,2026-09-20 20:23:32
Lakme,Unisex Salon,Beauty Parlour,Beauty Parlour,833220,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Sini SO, Burudih BO, Dugni BO",+91 98351 96091,N/A,4.7,678,"Shop No. 317, 1st Floor, City Centre, Luby Circular Rd, Jay Prakash Nagar, Jharudih, Dhanbad, Jharkhand 826001","Jay Prakash Nagar, Jharudih",23.8055484,86.4307791,ChIJqSBze7y89jkRXdxvsXhfxV0,https://www.google.com/maps/place/?q=place_id:ChIJqSBze7y89jkRXdxvsXhfxV0,part_389,2026-09-20 20:23:33
BBrown Family Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,833220,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Sini SO, Burudih BO, Dugni BO",+91 90609 14493,N/A,4.7,189,"Jain Petrol pump Landmark, Kutchery Chowk, opp. Hotel Mayuri Residency, Suresh Colony, Hazaribagh, Jharkhand 825301",Suresh Colony,23.9964929,85.36541179999999,ChIJl0w1IVSf9DkR__ak4G3GY-w,https://www.google.com/maps/place/?q=place_id:ChIJl0w1IVSf9DkR__ak4G3GY-w,part_389,2026-09-20 20:23:33
THE HR36 LUXURY SALON,Unisex Salon,Beauty Parlour,Beauty Parlour,833220,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Sini SO, Burudih BO, Dugni BO",+91 98179 13636,N/A,4.9,184,"mtrs from, Bhagat Singh chowk, 100, Rewari - Sohna Rd, near SBI BANK, Dharuhera, Haryana 123106",833220,28.2072087,76.79452479999999,ChIJ21Jv3YRJDTkRP9pK8wVOjS4,https://www.google.com/maps/place/?q=place_id:ChIJ21Jv3YRJDTkRP9pK8wVOjS4,part_389,2026-09-20 20:23:33
