business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Grih Lakshmi Tiffin Services,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,833222,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kiriburu Base Camp SO,+91 94500 84668,N/A,4.9,,"Tadia), BHU, Tikri Rd, Narottampur Kala, Dafi, Uttar Pradesh 221011",833222,25.2410329,82.9776657,ChIJ72PF1B0zjjkRzmuMF9IFUOs,https://www.google.com/maps/place/?q=place_id:ChIJ72PF1B0zjjkRzmuMF9IFUOs,part_389,2026-09-20 20:24:49
Chembur Tiffin Services,Tiffin Center and Mess,Tiffin Service Provider,"Tiffin Service Provider, Catering food and drink supplier, Caterer, Children's party service, Food manufacturer, Food products supplier, Food seasoning manufacturer, Meal delivery, Restaurant supply store, Tiffin center",833222,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kiriburu Base Camp SO,+91 79000 91269,https://chembur-tiffin-services.grexa.site/,4.5,,"Siddharth Colony, Postal Colony, Chembur, Mumbai, Maharashtra 400071","Siddharth Colony, Postal Colony, Chembur",19.0584523,72.8922863,ChIJsW6jdpLJ5zsRWYdfb0_WkYc,https://www.google.com/maps/place/?q=place_id:ChIJsW6jdpLJ5zsRWYdfb0_WkYc,part_389,2026-09-20 20:24:49
Maa Kitchen Tiffin Service,Tiffin Center and Mess,Tiffin Service Provider,"Tiffin Service Provider, Catering food and drink supplier, Meal delivery",833222,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kiriburu Base Camp SO,+91 96967 62403,https://www.instagram.com/kichenmaa/profilecard/?igsh=MXZlaDdxMXV0a2s1eQ==,4.9,,"Landmark, Ushakiran Sadan, near Lotoveer mandir, Ashokpuram Colony, Sear Govardhan Dafi, Varanasi, Uttar Pradesh 221011",Ashokpuram Colony,25.253843399999997,83.0098819,ChIJKUYUuEwxjjkR-lAmQdMACok,https://www.google.com/maps/place/?q=place_id:ChIJKUYUuEwxjjkR-lAmQdMACok,part_389,2026-09-20 20:24:49
Tattvam foods,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,833222,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kiriburu Base Camp SO,+91 99200 84940,http://www.tattvamfood.com/,4.9,,"Swami Vivekanand Rd, Rani Sati Nagar, Sunder Nagar, Malad West, Mumbai, Maharashtra 400064","Rani Sati Nagar, Sunder Nagar, Malad West",19.1762998,72.8444731,ChIJyT0q97S35zsRNAG9B6BJzyc,https://www.google.com/maps/place/?q=place_id:ChIJyT0q97S35zsRNAG9B6BJzyc,part_389,2026-09-20 20:24:49
Ghar ki rasoi,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,833222,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kiriburu Base Camp SO,+91 98201 09325,N/A,4.7,,"SATYAM TOWER, 90 Feet Rd, Kandivali, Thakur Complex, Kandivali East, Mumbai, Maharashtra 400101","Kandivali, Thakur Complex, Kandivali East",19.2147051,72.8667026,ChIJdXTWpdO35zsRs0vhpYLgdNM,https://www.google.com/maps/place/?q=place_id:ChIJdXTWpdO35zsRs0vhpYLgdNM,part_389,2026-09-20 20:24:49
Mauli Tiffin Service - Best Home Made Food In Powai,Tiffin Center and Mess,Tiffin Service Provider,"Tiffin Service Provider, Food court",833222,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kiriburu Base Camp SO,+91 81692 33945,N/A,4.9,,"05, Saki Vihar Rd, opp. L and T Flyover, Krishna Nagar, Powai, Mumbai, Maharashtra 400072","Krishna Nagar, Powai",19.125319599999997,72.893096,ChIJw-X_GeXJ5zsRMNrCXq_aexM,https://www.google.com/maps/place/?q=place_id:ChIJw-X_GeXJ5zsRMNrCXq_aexM,part_389,2026-09-20 20:24:49
Jagannath's Kitchen,Tiffin Center and Mess,Tiffin Service Provider,"Tiffin Service Provider, Catering food and drink supplier",833222,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kiriburu Base Camp SO,+91 99873 94444,https://www.jagannathskitchen.in/,3.7,,"Building Number - 11/13, 1st Floor, Ropa Ln, Chandan Wadi, Chira Bazaar, Marine Lines, Mumbai, Maharashtra 400002","Chandan Wadi, Chira Bazaar, Marine Lines",18.9465263,72.82558279999999,ChIJ86nFe9nR5zsRbgdoOwCeLv4,https://www.google.com/maps/place/?q=place_id:ChIJ86nFe9nR5zsRbgdoOwCeLv4,part_389,2026-09-20 20:24:49
Samartha Tiffin Service,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,833222,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kiriburu Base Camp SO,+91 86920 12888,N/A,4.8,,"Plot no G, Venue - Soham Society, 84, Block G, Sector 12, Kharghar, Panvel, Maharashtra 410210","Block G, Sector 12, Kharghar",19.0424447,73.0694986,ChIJh3aZ4uPB5zsRKoKjVaPUdkM,https://www.google.com/maps/place/?q=place_id:ChIJh3aZ4uPB5zsRKoKjVaPUdkM,part_389,2026-09-20 20:24:49
Maa Laxmi Tiffin Service,Tiffin Center and Mess,Restaurant,Restaurant,833222,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kiriburu Base Camp SO,+91 79056 44491,N/A,4.8,,"Ravindrapuri Rd, near Smile Dental Clinic, Anandbagh, Bhelupur, Varanasi, Uttar Pradesh 221005","Anandbagh, Bhelupur",25.2861697,83.00172859999999,ChIJOeFPKXwxjjkRLCMgl4_WjXY,https://www.google.com/maps/place/?q=place_id:ChIJOeFPKXwxjjkRLCMgl4_WjXY,part_389,2026-09-20 20:24:49
Ovi Anjali Tiffin Services,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,833222,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kiriburu Base Camp SO,+91 99870 79898,N/A,4.8,,"building no, om sai ganesh sra chs, 919, 2/b, Kamraj Nagar, Ghatkopar East, Mumbai, Maharashtra 400077","Kamraj Nagar, Ghatkopar East",19.0733295,72.9127027,ChIJz2npiCTH5zsRq6-QbPLUMV8,https://www.google.com/maps/place/?q=place_id:ChIJz2npiCTH5zsRq6-QbPLUMV8,part_389,2026-09-20 20:24:49
