business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Qtr No-91/7,Businesses,Housing complex,Housing complex,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,N/A,N/A,,,"476R+4VJ, A Type Rd, Meghahatuburu, Kiriburu, Jharkhand 833223",833223,22.1103254,85.29214929999999,ChIJn1lzHwC_HzoRa7F9Lfk9D6o,https://www.google.com/maps/place/?q=place_id:ChIJn1lzHwC_HzoRa7F9Lfk9D6o,part_389,2026-09-20 20:26:17
New colony 107 /5 SUJIT KUMAR DAS,Businesses,Housing complex,Housing complex,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,N/A,N/A,5.0,1.0,"47WV+Q54, Meghahatuburu, Jharkhand 833223",833223,22.146887,85.2929384,ChIJ0xbMawC_HzoRO2iC8kB_3Dc,https://www.google.com/maps/place/?q=place_id:ChIJ0xbMawC_HzoRO2iC8kB_3Dc,part_389,2026-09-20 20:26:17
Railway Hatting,Businesses,Housing society,Housing society,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,N/A,N/A,5.0,1.0,"478V+CP2, Railway Hatting, Meghahatuburu, Kiriburu, Jharkhand 833223",833223,22.1160137,85.29425839999999,ChIJezFGWB6_HzoR4pzELlKNtVo,https://www.google.com/maps/place/?q=place_id:ChIJezFGWB6_HzoR4pzELlKNtVo,part_389,2026-09-20 20:26:17
Type 2,Businesses,Housing society,Housing society,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,N/A,N/A,,,"472P+W2P, New Camp Rd, type 2, Meghahatuburu, Kiriburu, Jharkhand 833223",type 2,22.1023353,85.2850905,ChIJ_avbGra_HzoRlb-Z64SQrMk,https://www.google.com/maps/place/?q=place_id:ChIJ_avbGra_HzoRlb-Z64SQrMk,part_389,2026-09-20 20:26:17
Saiful's Home,Businesses,Housing complex,Housing complex,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,N/A,N/A,5.0,1.0,"472P+H6V, Kiriburu, Jharkhand 833223",833223,22.1014871,85.2855409,ChIJH1CTKgC_HzoRSNjSP0OgdQg,https://www.google.com/maps/place/?q=place_id:ChIJH1CTKgC_HzoRSNjSP0OgdQg,part_389,2026-09-20 20:26:17
Sunil gagrai house,Businesses,Apartment building,Apartment building,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,N/A,N/A,,,"Qtr no A-89/3, Meghahatuburu, Kiriburu, Jharkhand 833223",Meghahatuburu,22.110796399999998,85.2931071,ChIJFVENSwC_HzoR7Jrj5W3weSc,https://www.google.com/maps/place/?q=place_id:ChIJFVENSwC_HzoR7Jrj5W3weSc,part_389,2026-09-20 20:26:17
Sukkau,Businesses,Housing complex,Housing complex,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,N/A,N/A,,,"475R+749, Kiriburu, Jharkhand 833223",833223,22.1081582,85.29035239999999,ChIJjXN6dAC_HzoRUfXx_ln4FB4,https://www.google.com/maps/place/?q=place_id:ChIJjXN6dAC_HzoRUfXx_ln4FB4,part_389,2026-09-20 20:26:17
Vinod Bhagat,Businesses,Housing society,Housing society,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,N/A,N/A,,,"475R+749 Park Colony, Kiriburu, Jharkhand 833223",833223,22.107865999999998,85.2900296,ChIJz0aVBwC_HzoR6Cd2HJSp4yo,https://www.google.com/maps/place/?q=place_id:ChIJz0aVBwC_HzoR6Cd2HJSp4yo,part_389,2026-09-20 20:26:17
Arya Iron & Steel Company Ltd,Businesses,Steel industry,Steel industry,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,N/A,N/A,4.5,,"Kalinga Nagar, Barbil, Odisha 758036",Kalinga Nagar,22.0979369,85.3494607,ChIJo6wum7a-HzoR48_P_Qv66Xw,https://www.google.com/maps/place/?q=place_id:ChIJo6wum7a-HzoR48_P_Qv66Xw,part_389,2026-09-20 20:26:18
Arya Group,Businesses,Manufacturer,"Manufacturer, Steel industry",833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 95830 00343,N/A,4.1,,"107/1 & 108/1, Matkambeda, Industrial Estate, Barbil, Odisha 758036","Matkambeda, Industrial Estate",22.083160499999998,85.3476925,ChIJGwgd066-HzoRDG_p4Jiy3Wk,https://www.google.com/maps/place/?q=place_id:ChIJGwgd066-HzoRDG_p4Jiy3Wk,part_389,2026-09-20 20:26:18
Ib Valley Metal Forming Private Limited,Businesses,Manufacturer,"Manufacturer, Engineering consultant, Hydraulic equipment supplier, Machine construction, Sheet metal contractor",833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 94370 58149,N/A,4.5,,"P O BELPAHAR (RS Belpahar DIST, Odisha 768217",833223,21.8242592,83.8501531,ChIJd5VcXLLeIDoRVJ3wbRlnyLE,https://www.google.com/maps/place/?q=place_id:ChIJd5VcXLLeIDoRVJ3wbRlnyLE,part_389,2026-09-20 20:26:18
