business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kalaradhana Music And Dance Academy,Music and Dance Academy,Dance school,Dance school,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 89856 45346,N/A,4.7,3.0,"27-3-63/1Official, Colony, Sri Nagar Main Rd, Gajuwaka, Andhra Pradesh 530026","Official Colony, Sri Nagar, Gajuwaka",17.6791423,83.19141139999999,ChIJY6FrDQhpOToRqpLV-rdMoIw,https://www.google.com/maps/place/?q=place_id:ChIJY6FrDQhpOToRqpLV-rdMoIw,part_389,2026-09-20 20:26:02
Ekak School of Music Art Dance,Music and Dance Academy,Dance school,"Dance school, Art school, Music school, Drawing lessons, Guitar instructor, Hip Hop Dance Class, Music instructor, Painting Class, Piano instructor, Vocal Instructor",833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 94397 94240,https://ekakschoolofmusicartdance.com/,4.9,343.0,"Krishna Garden, Complex, Khandagiri - Chandaka Rd, Phase 2, Jagamara, Bhubaneswar, Odisha 751020","Phase 2, Jagamara",20.2596983,85.79905699999999,ChIJ1xNnTJinGToREaKyp7ngCqg,https://www.google.com/maps/place/?q=place_id:ChIJ1xNnTJinGToREaKyp7ngCqg,part_389,2026-09-20 20:26:03
Garia Sangeet Mahal,Music and Dance Academy,Dance school,"Dance school, Music school",833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 94775 14479,https://gariasangeetmahal.com/,3.1,,"55, Boral Main Rd, Sharat Pally, Ramkrishna Nagar, Garia Gardens, Garia, Rajpur Sonarpur, Kolkata, West Bengal 700084","Sharat Pally, Ramkrishna Nagar, Garia Gardens, Garia",22.4597712,88.37925109999999,ChIJNxbqqaNxAjoR-SNm4orTWvY,https://www.google.com/maps/place/?q=place_id:ChIJNxbqqaNxAjoR-SNm4orTWvY,part_389,2026-09-20 20:26:04
Music Point Jsr,Music and Dance Academy,Musical instrument store,Musical instrument store,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 82104 78149,https://www.musicpointjsr.com/,4.5,639.0,"117-A, New Bardwari, Sakchi, Jamshedpur, Jharkhand 831001","New Bardwari, Sakchi",22.804950599999998,86.21216679999999,ChIJj6pUiNjj9TkRlDqw6jlevAM,https://www.google.com/maps/place/?q=place_id:ChIJj6pUiNjj9TkRlDqw6jlevAM,part_389,2026-09-20 20:26:05
MUSIC GALAXY JSR,Music and Dance Academy,Musical instrument store,Musical instrument store,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 79090 32619,N/A,4.9,209.0,"Q6MX+MQM, Road No. 2, Birsanagar, Jamshedpur, Jharkhand 831019",Birsanagar,22.7846638,86.24958579999999,ChIJJ80MZ23j9TkRtRx3HbsOA00,https://www.google.com/maps/place/?q=place_id:ChIJJ80MZ23j9TkRtRx3HbsOA00,part_389,2026-09-20 20:26:05
MUSIC GALAXY JSR UNIT 2,Music and Dance Academy,Musical instrument store,Musical instrument store,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 79090 32619,N/A,4.8,22.0,"near NEW BRIDGE, Zone No -3, TRF Colony, Birsanagar, Jamshedpur, Jharkhand 831004","Zone No -3, TRF Colony, Birsanagar",22.7931328,86.24793149999999,ChIJJ2Y-_Mbj9TkRzHYWaSuLSXE,https://www.google.com/maps/place/?q=place_id:ChIJJ2Y-_Mbj9TkRzHYWaSuLSXE,part_389,2026-09-20 20:26:05
Surobitan Music Point,Music and Dance Academy,Musical instrument store,Musical instrument store,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 89455 01655,N/A,4.9,33.0,"Adra Station Rd, Adra, West Bengal 723121",833223,23.496157,86.6779138,ChIJEXagZYPx9jkRQSdngJeyroQ,https://www.google.com/maps/place/?q=place_id:ChIJEXagZYPx9jkRQSdngJeyroQ,part_389,2026-09-20 20:26:05
New Chandan Musicals,Music and Dance Academy,Musical instrument store,"Musical instrument store, Guitar store, Music store, Musical instrument manufacturer, Musical instrument repair shop, Violin shop",833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 81023 89944,N/A,4.9,231.0,"Ek kouri, opposite Axis Bank, Tara Babu Lane, Tharpakhna, Ranchi, Jharkhand 834001","Tharpakhna, New Barhi Toli",23.3706569,85.3271762,ChIJ1-WRsA_h9DkRlXtbnhQslno,https://www.google.com/maps/place/?q=place_id:ChIJ1-WRsA_h9DkRlXtbnhQslno,part_389,2026-09-20 20:26:05
Hansda Music Inc.,Music and Dance Academy,Music store,"Music store, Service establishment",833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 95705 75913,https://hansdamusic.blogspot.com/,4.7,3.0,"Hansda Music Inc., 833223, India",833223,23.8448058,86.469686,ChIJr15fnie99jkR8afPpN9KPpk,https://www.google.com/maps/place/?q=place_id:ChIJr15fnie99jkR8afPpN9KPpk,part_389,2026-09-20 20:26:05
Music Cottage,Music and Dance Academy,Musical instrument store,Musical instrument store,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 93342 33069,N/A,4.4,206.0,"Plot No: B1, Laxmi Market, Sector 4, Bokaro Steel City, Jharkhand 827004",Sector 4,23.6718965,86.1488552,ChIJceDOaEwi9DkRt9cby9Y57zc,https://www.google.com/maps/place/?q=place_id:ChIJceDOaEwi9DkRt9cby9Y57zc,part_389,2026-09-20 20:26:05
New Das Musical stores,Music and Dance Academy,Musical instrument store,"Musical instrument store, Rubber stamp store",833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 78701 67516,https://www.newdasmusicalstores.in/,4.1,375.0,"Main Rd, opposite sankat mochan mandir, New Daily Market, Pathalkudwa, Nayatoli, Ranchi, Jharkhand 834001","New Daily Market, Pathalkudwa, Nayatoli",23.366966299999998,85.3248807,ChIJJdGhSA_h9DkRauQGOmNxoXQ,https://www.google.com/maps/place/?q=place_id:ChIJJdGhSA_h9DkRauQGOmNxoXQ,part_389,2026-09-20 20:26:05
Plus Music & cafe,Music and Dance Academy,Music school,"Music school, Coffee shop, Live music venue, Musical instrument store, Musical instrument repair shop, Restaurant",833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 89679 16118,https://www.instagram.com/plusm_usic0/profilecard/?igsh=MXZveW1jMWx4eHFxaw==,4.5,128.0,"N Lake Rd, Purulia, West Bengal 723101",833223,23.3422965,86.3558946,ChIJaWS1FwCH9jkRN2R-a2b9N5A,https://www.google.com/maps/place/?q=place_id:ChIJaWS1FwCH9jkRN2R-a2b9N5A,part_389,2026-09-20 20:26:05
dj sarzen factory,Music and Dance Academy,DJ supply store,DJ supply store,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 99051 54745,N/A,4.4,348.0,"Chasbhitha, Bogula, Jharkhand 828134",Chasbhitha,23.617615,86.36871339999999,ChIJ9xv46eub9jkRrWWVuRgwhPE,https://www.google.com/maps/place/?q=place_id:ChIJ9xv46eub9jkRrWWVuRgwhPE,part_389,2026-09-20 20:26:05
Nag Musical Store,Music and Dance Academy,Music store,Music store,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,N/A,N/A,3.8,57.0,"Main Rd, Manipur, Purulia, West Bengal 723101",833223,23.330291499999998,86.3694369,ChIJ11Mf7xJ99jkR1WNTKhurmKo,https://www.google.com/maps/place/?q=place_id:ChIJ11Mf7xJ99jkR1WNTKhurmKo,part_389,2026-09-20 20:26:05
Sa Re Ga Ma Musical,Music and Dance Academy,Music store,Music store,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 79084 30059,N/A,4.7,16.0,"Mahajanpatt, near Khokon Electronics, Mahajan Patti, Rampurhat, West Bengal 731224",Mahajan Patti,24.1723882,87.7886249,ChIJj7d_kmUf-jkR4gi4Ya_anj4,https://www.google.com/maps/place/?q=place_id:ChIJj7d_kmUf-jkR4gi4Ya_anj4,part_389,2026-09-20 20:26:05
The Musical Emporium,Music and Dance Academy,Music store,Music store,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 94307 22144,N/A,4.1,61.0,"Q5VP+43W, Opposite Sagar Sweet, Bistupur Market, Bistupur, Jamshedpur, Jharkhand 831001","Bistupur Market, Bistupur",22.7928566,86.18518949999999,ChIJF6VOJmbj9TkRlq9_ZS-9v5Q,https://www.google.com/maps/place/?q=place_id:ChIJF6VOJmbj9TkRlq9_ZS-9v5Q,part_389,2026-09-20 20:26:05
