business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Subrata Photography,Photographers,Wedding photographer,"Wedding photographer, Advertising Photographer, Photo agency, Photographer, Photography service, Photography studio",833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 89188 62258,https://subrata-photography.grexa.site/,4.9,56.0,"Contai-Mandarmani, Tajpur, Digha, Ramnagar I, Hamirpur, West Bengal 721446","Tajpur, Digha",21.7236048,87.5331795,ChIJt5ICRNrTHDoRCjMQKUWzedM,https://www.google.com/maps/place/?q=place_id:ChIJt5ICRNrTHDoRCjMQKUWzedM,part_389,2026-09-20 20:25:58
"Maa Communication, Xerox,Photo Computer",Photographers,Photography studio,Photography studio,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,N/A,N/A,5.0,2.0,"Bolani Town, Limitur, Odisha 758037",Bolani Town,22.114571299999998,85.3377441,ChIJ69rR2DC_HzoRh5VUro0ghHQ,https://www.google.com/maps/place/?q=place_id:ChIJ69rR2DC_HzoRh5VUro0ghHQ,part_389,2026-09-20 20:25:58
Subh Celebration Photography (Dhanbad),Photographers,Photography service,Photography service,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 77177 94618,http://linktr.ee/SubhCelebration,4.3,156.0,"Dumra, Jharkhand 828306",833223,23.8007264,86.21592009999999,ChIJ1doLVn0e9DkRG9d8fh56OfI,https://www.google.com/maps/place/?q=place_id:ChIJ1doLVn0e9DkRG9d8fh56OfI,part_389,2026-09-20 20:25:58
BLUE SKY STUDIO,Photographers,Photography studio,Photography studio,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 96356 94533,http://www.blueskystudio.in/,4.7,105.0,"Nivedita Place West, Michael Sarani, Bhiringi, Benachity, Durgapur, West Bengal 713213","Nivedita Place West, Michael Sarani, Bhiringi, Benachity",23.5616837,87.2673949,ChIJ2arTKwxt9zkRgAuV9zhYHRc,https://www.google.com/maps/place/?q=place_id:ChIJ2arTKwxt9zkRgAuV9zhYHRc,part_389,2026-09-20 20:25:58
Aashirwad Studio,Photographers,Photography studio,Photography studio,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 98355 55574,N/A,5.0,34.0,"St Xavier Colony, Ghous Nagar Colony, Chas, Bokaro Steel City, Jharkhand 827013","St Xavier Colony, Ghous Nagar Colony",23.6443564,86.1658568,ChIJhd1EXt0j9DkROMK_4CTYMHQ,https://www.google.com/maps/place/?q=place_id:ChIJhd1EXt0j9DkROMK_4CTYMHQ,part_389,2026-09-20 20:26:00
Aarambh Pictures,Photographers,Photography service,"Photography service, Event planner, Film and photograph library, Video editing service",833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 87090 04064,http://www.aarambhpicture.com/,4.8,48.0,"GA-23, City Center, Sector 4, Bokaro Steel City, Jharkhand 827004","City Center, Sector 4",23.6655232,86.1461619,ChIJ5fULYa4j9DkRd08sWTmVrXk,https://www.google.com/maps/place/?q=place_id:ChIJ5fULYa4j9DkRd08sWTmVrXk,part_389,2026-09-20 20:26:00
Shubham Photo Framing,Photographers,Home goods store,Home goods store,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,N/A,N/A,5.0,,"HFMJ+252, Ghatshila, Jharkhand 832303",833223,22.5825216,86.48039659999999,ChIJ1Z5KY38d9jkR7XiX-LqeFrw,https://www.google.com/maps/place/?q=place_id:ChIJ1Z5KY38d9jkR7XiX-LqeFrw,part_389,2026-09-20 20:26:01
PRASANG STUDIO,Photographers,Photography studio,"Photography studio, Photo shop, Photographer, Wedding photographer, Wedding service",833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 99097 52999,https://www.instagram.com/prasangstudio/,4.9,,"Shopping Centre, Gurudutt Complex, F11,Jay, Modhera Circle, Ahmedabad, Gujarat 384002",Shraddhadip Society,23.5944707,72.3803702,ChIJ7xCBbNVDXDkRK0IfAPyTc0w,https://www.google.com/maps/place/?q=place_id:ChIJ7xCBbNVDXDkRK0IfAPyTc0w,part_389,2026-09-20 20:26:01
AA PHOTO & FILMS,Photographers,Photographer,Photographer,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,+91 78600 14229,N/A,4.6,,"Dullahpur, Birno, Malethi, Uttar Pradesh 233300",833223,25.7676129,83.48756039999999,ChIJZTs5evbxkTkRveOTxj0r-hY,https://www.google.com/maps/place/?q=place_id:ChIJZTs5evbxkTkRveOTxj0r-hY,part_389,2026-09-20 20:26:01
Sagar digital studio and printing press,Photographers,Photo shop,Photo shop,833223,Jharkhand Circle,Ranchi Region,Singhbhum Division,Meghahatuburu SO,N/A,https://youtube.com/shorts/UaXer87Njzo?feature=share,4.8,,"Bihariganj dagra, usharha, Bihariganj, Aunrihar, Uttar Pradesh 233223",Gopalapur,25.545424099999998,83.1602101,ChIJA26QZCPZkTkRGIMRi9szFKc,https://www.google.com/maps/place/?q=place_id:ChIJA26QZCPZkTkRGIMRi9szFKc,part_389,2026-09-20 20:26:01
