business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SRI SUCCESS MANTRA coaching & EXITO SMART LIBRARY,Competitive Exam Coaching (UPSC/Banking),Coaching Center,Coaching Center,834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 72097 19701,N/A,4.9,,"25/a, East Jail Road, opposite Nucleus Mall, Lalpur, Ranchi, Jharkhand 834001",Lalpur,23.375405999999998,85.3315853,ChIJmaByDnHh9DkRwV_3aMSvuGg,https://www.google.com/maps/place/?q=place_id:ChIJmaByDnHh9DkRwV_3aMSvuGg,part_389,2026-09-20 20:26:51
Drishti Institute Ranchi,Competitive Exam Coaching (UPSC/Banking),Coaching Center,Coaching Center,834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 87501 87501,N/A,4.9,,"birsa , Chowk, opp. Hotel Landmark, near Lalpur, Burdwan Compound, P&T Colony, Lalpur, Ranchi, Jharkhand 834001","Burdwan Compound, P&T Colony, Lalpur",23.3732272,85.3377386,ChIJheQ8_Wrh9DkR70oNwXCWAho,https://www.google.com/maps/place/?q=place_id:ChIJheQ8_Wrh9DkR70oNwXCWAho,part_389,2026-09-20 20:26:51
Mahendra's,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Banking entrance coaching centre, Educational institution, Educational testing service, Training center",834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 92048 55313,https://branch.mahendras.org/ranchi-37904/home?utm_source=GBP,4.2,,"Sri Ram Neotia Arcade First Floor, H B Road, Chowk, Lalpur, Ranchi, Jharkhand 834001",Lalpur,23.3721467,85.3374182,ChIJoRcogHyb9DkRgn8w7py3IWg,https://www.google.com/maps/place/?q=place_id:ChIJoRcogHyb9DkRgn8w7py3IWg,part_389,2026-09-20 20:26:51
Study Planet,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Association / Organization, Banking entrance coaching centre, Education center, Educational institution",834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 96934 66662,https://www.studyplanet.net/,4.3,,"Purulia Rd, above SBI ATM, near Aditya Vision, New Barhi Toli, Ranchi, Jharkhand 834001",New Barhi Toli,23.3681536,85.3359916,ChIJ7ZOT02zh9DkR3HmyWpfFMlA,https://www.google.com/maps/place/?q=place_id:ChIJ7ZOT02zh9DkR3HmyWpfFMlA,part_389,2026-09-20 20:26:51
BSC Academy,Competitive Exam Coaching (UPSC/Banking),Coaching Center,Coaching Center,834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 98351 60208,http://www.bscacademy.com/,4.4,,"2nd Floor, Hari Om Tower, Circular Rd, P&T Colony, Lalpur, Ranchi, Jharkhand 834001","P&T Colony, Lalpur",23.3756097,85.3335199,ChIJS3AUenLh9DkR2ci6N2zuXtA,https://www.google.com/maps/place/?q=place_id:ChIJS3AUenLh9DkR2ci6N2zuXtA,part_389,2026-09-20 20:26:51
Sure Success Centre | Government Job Preparation Institute,Competitive Exam Coaching (UPSC/Banking),Coaching Center,Coaching Center,834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 88778 82477,http://www.suresuccesscentre.org/,3.8,,"2nd Floor, Jagannath Tower, Circular Rd, P&T Colony, Lalpur, Ranchi, Jharkhand 834001","P&T Colony, Lalpur",23.3755568,85.3349945,ChIJ0Y8y2Gzh9DkRIWTaVYhMhYA,https://www.google.com/maps/place/?q=place_id:ChIJ0Y8y2Gzh9DkRIWTaVYhMhYA,part_389,2026-09-20 20:26:51
PW Govt Exam Wallah Ranchi,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Banking entrance coaching centre, Education center, Educational consultant, Educational institution, Learning center, Studying center, Test preparation center, Tutoring service",834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 74287 77682,https://www.pw.live/offline-centres/batches/govt-wallah/ranchi-jh/rachi-government_lalpur-851550,4.3,,"Chowk, Panchratan Paradise, H B Road, Lalpur, Ranchi, Jharkhand 834001",Lalpur,23.372118,85.33652599999999,ChIJCb4-Wxvh9DkRjHwIhNPnmHo,https://www.google.com/maps/place/?q=place_id:ChIJCb4-Wxvh9DkRjHwIhNPnmHo,part_389,2026-09-20 20:26:51
AzuCATion,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Educational consultant, Test preparation center, Training center",834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 99050 50159,https://azucation.org.in/,4.8,,"Union Club & Library, 3e Learning, AzuCATion, above Canara Bank, near Plaza Cinema, Ranchi, Jharkhand 834001",Lalpur,23.3714037,85.3319841,ChIJfdPntnLh9DkRkERGkAvKzdk,https://www.google.com/maps/place/?q=place_id:ChIJfdPntnLh9DkRkERGkAvKzdk,part_389,2026-09-20 20:26:52
AVIRAJ ACADEMY,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Charter school, Education center, Educational institution",834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 96612 47560,https://www.avirajias.in/,4.9,92.0,"3rd Floor, Le Desire Complex, 201, Circular Rd, opp. Hariom Tower Road, Upper Burdwan Compound, P&T Colony, Lalpur, Ranchi, Jharkhand 834001","Upper Burdwan Compound, P&T Colony, Lalpur",23.3762284,85.3334409,ChIJ9XhjeLzh9DkReMb8toVp-yk,https://www.google.com/maps/place/?q=place_id:ChIJ9XhjeLzh9DkReMb8toVp-yk,part_389,2026-09-20 20:26:53
Vision IAS Ranchi,Competitive Exam Coaching (UPSC/Banking),Education center,Education center,834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 90190 66066,https://www.visionias.in/ranchi,3.9,8.0,"5th, Hari Om Tower, 503, Le Desire Complex, Circular Rd, Lalpur, Ranchi, Jharkhand 834001","Upper Burdwan Compound, P&T Colony, Lalpur",23.3762236,85.3334629,ChIJ7YKn-ffh9DkRDS4O21m1eBc,https://www.google.com/maps/place/?q=place_id:ChIJ7YKn-ffh9DkRDS4O21m1eBc,part_389,2026-09-20 20:26:54
RAW DEFENCE Ranchi,Competitive Exam Coaching (UPSC/Banking),Educational institution,Educational institution,834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 88770 06641,N/A,4.8,342.0,"1ST FLOOR, Hari Om Tower, P&T Colony, Lalpur, Ranchi, Jharkhand 834001","P&T Colony, Lalpur",23.3756097,85.3335199,ChIJhcLRh_vh9DkRjpYxU2UXxvg,https://www.google.com/maps/place/?q=place_id:ChIJhcLRh_vh9DkRjpYxU2UXxvg,part_389,2026-09-20 20:26:54
Meridian Academy,Competitive Exam Coaching (UPSC/Banking),Education center,"Education center, Banking entrance coaching centre",834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 92799 25393,https://meridianacademy.in.net/,4.8,44.0,"7th Floor, Samudra Complex, Circular Rd, above Sri Alankar Jwellers, Lalpur, Ranchi, Jharkhand 834001",Lalpur,23.369612999999998,85.343764,ChIJ97JKM9fh9DkR4ojI4ucVVJI,https://www.google.com/maps/place/?q=place_id:ChIJ97JKM9fh9DkR4ojI4ucVVJI,part_389,2026-09-20 20:26:54
Ayaansh- The Civil Services,Competitive Exam Coaching (UPSC/Banking),Educational institution,Educational institution,834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 93157 69824,http://www.ayaanshthecivilservices.com/,4.9,124.0,"6th Floor, Hariom Tower, 603, lalpur road, near Ranchi, P&T Colony, Lalpur, Ranchi, Jharkhand 834001","P&T Colony, Lalpur",23.3748625,85.3331611,ChIJj32AQwnh9DkRAP6FSZMvsNk,https://www.google.com/maps/place/?q=place_id:ChIJj32AQwnh9DkRAP6FSZMvsNk,part_389,2026-09-20 20:26:54
Shivangan ki Pathshala,Competitive Exam Coaching (UPSC/Banking),Education center,Education center,834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 96931 34313,N/A,4.3,10.0,"Uma Arcade, Circular Rd, P&T Colony, Lalpur, Ranchi, Jharkhand 834001","P&T Colony, Lalpur",23.3767238,85.33253669999999,ChIJgyONQADh9DkRjPtclPphpxk,https://www.google.com/maps/place/?q=place_id:ChIJgyONQADh9DkRjPtclPphpxk,part_389,2026-09-20 20:26:54
