business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
English सीखो - Best Spoken English Class in Lalpur Ranchi,Spoken English Institute,Coaching Center,"Coaching Center, English language camp, English language school",834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 88771 55986,http://englishseekho.co.in/,4.8,619,"Opposite Nucleus Mall, East Jail Road, Lalpur, Ranchi, Jharkhand 834001",Lalpur,23.375490799999998,85.3315403,ChIJAfg6Fufh9DkRGrw5yAA6HUY,https://www.google.com/maps/place/?q=place_id:ChIJAfg6Fufh9DkRGrw5yAA6HUY,part_389,2026-09-20 20:26:51
SpeakFirst English Academy,Spoken English Institute,Education center,Education center,834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 87098 39073,N/A,4.9,275,"rani sati mandir road, Ratu Rd, opp. meenakshi cinema hall, beside magiceye studio, Ranchi, Jharkhand 834001",Kumhartoli,23.3792382,85.3115588,ChIJ4S-vXYTh9DkRBYC1sfcm3ME,https://www.google.com/maps/place/?q=place_id:ChIJ4S-vXYTh9DkRBYC1sfcm3ME,part_389,2026-09-20 20:26:51
Spoken English in Ranchi,Spoken English Institute,English language school,English language school,834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 74887 13635,https://spokenenglishinranchi.in/,5.0,47,"20, East Jail Road, opposite Kabari Market, Tharpakhna, New Barhi Toli, Ranchi, Jharkhand 834001","Tharpakhna, New Barhi Toli",23.3701181,85.3312499,ChIJoWBhchbh9DkReuOKUdZeU3Y,https://www.google.com/maps/place/?q=place_id:ChIJoWBhchbh9DkReuOKUdZeU3Y,part_389,2026-09-20 20:26:51
English Guru,Spoken English Institute,Education center,"Education center, Banking entrance coaching centre, Coaching Center, English language camp",834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 98355 08928,https://www.english-guru.in/,4.9,90,"Rajat Roy Campus, 23, East Jail Road, Tharparkhana, Lalpur, Ranchi, Jharkhand 834001","Tharparkhana, Lalpur",23.374064999999998,85.331665,ChIJlRyTXxLh9DkRA_THdTohHh8,https://www.google.com/maps/place/?q=place_id:ChIJlRyTXxLh9DkRA_THdTohHh8,part_389,2026-09-20 20:26:51
English Period,Spoken English Institute,Language school,Language school,834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 92345 83142,https://www.englishperiod.com/,5.0,91,"3rd Floor, Park Square, Hazaribagh Rd, near Plaza Cinema, Tharpakhna, Lalpur, Ranchi, Jharkhand 834001","Tharpakhna, Lalpur",23.3715512,85.3328008,ChIJZzYbwKHh9DkRDe9lwmPfouM,https://www.google.com/maps/place/?q=place_id:ChIJZzYbwKHh9DkRDe9lwmPfouM,part_389,2026-09-20 20:26:51
SHAPING NEXT PRIVATE LIMITED,Spoken English Institute,Education center,Education center,834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 63666 02639,N/A,4.9,42,"New Sai Vihar Colony, Kumhartoli, Ranchi, Jharkhand 834005","New Sai Vihar Colony, Kumhartoli",23.3702272,85.30024999999999,ChIJhVwGYDHf9DkRoTr-O3kxGcA,https://www.google.com/maps/place/?q=place_id:ChIJhVwGYDHf9DkRoTr-O3kxGcA,part_389,2026-09-20 20:26:51
Nirvanaa Academy- IELTS| Spoken English| Cabin crew and ground staff | Aviation,Spoken English Institute,Education center,"Education center, Career guidance service, Educational consultant, English language school",834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 97719 50333,N/A,5.0,169,"1st Floor, H Square Building, opp. Pranami Heights, Lalpur, Ranchi, Jharkhand 834001",Lalpur,23.3702269,85.3395105,ChIJF3o1Wtg_I6YR9IfKsNASysM,https://www.google.com/maps/place/?q=place_id:ChIJF3o1Wtg_I6YR9IfKsNASysM,part_389,2026-09-20 20:26:51
Vishwanath Study Circle,Spoken English Institute,Coaching Center,"Coaching Center, English language school",834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 62023 06143,http://www.vishwanathstudycircle.com/,4.9,255,"2nd Floor, Devrani complex Bank of Baroda buliding, Circular Rd, Burdwan Compound, P&T Colony, Lalpur, Ranchi, Jharkhand 834001","Burdwan Compound, P&T Colony, Lalpur",23.3735562,85.3373981,ChIJo_1g1OLh9DkRkxg2X2nooUY,https://www.google.com/maps/place/?q=place_id:ChIJo_1g1OLh9DkRkxg2X2nooUY,part_389,2026-09-20 20:26:51
THE RADIANT,Spoken English Institute,Education center,Education center,834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 83403 44501,N/A,4.6,5,"9887+QPX, Nizam Nagar, Hindpiri, Ranchi, Jharkhand 834001","Nizam Nagar, Hindpiri",23.3669993,85.3143729,ChIJ87G8G9Ph9DkR9FlUnBrJwpg,https://www.google.com/maps/place/?q=place_id:ChIJ87G8G9Ph9DkR9FlUnBrJwpg,part_389,2026-09-20 20:26:51
Shiksha The Language School,Spoken English Institute,Educational institution,Educational institution,834001,Jharkhand Circle,Ranchi Region,Ranchi Division,"Ranchi GPO, Church Road SO, Chutia SO",+91 76671 67532,https://shikshathelanguageschool.com/,4.9,46,"702, 7th Floor, Mall Decore, Chowk, Lalpur, Ranchi, Jharkhand 834001",Lalpur,23.3718437,85.33820469999999,ChIJuULJgyTh9DkRFgsmDH9fcXs,https://www.google.com/maps/place/?q=place_id:ChIJuULJgyTh9DkRFgsmDH9fcXs,part_389,2026-09-20 20:26:51
