business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ANJALI MARBLE & GRANITE,Granite Dealer,Granite supplier,Granite supplier,834003,Jharkhand Circle,Ranchi Region,Ranchi Division,"Hatia SO Ranchi, Hundru BO, Railway Colony Hatia SO",+91 72776 79924,N/A,3.6,,"NH 20, Murangtoli, Ranchi, Jharkhand 834003",Murangtoli,23.264614899999998,85.3210766,ChIJeWKfhvge9TkRXHTYbHp4O2s,https://www.google.com/maps/place/?q=place_id:ChIJeWKfhvge9TkRXHTYbHp4O2s,part_389,2026-09-20 20:28:18
STONE GALLERY,Granite Dealer,Tile store,"Tile store, Construction Material Wholesaler",834003,Jharkhand Circle,Ranchi Region,Ranchi Division,"Hatia SO Ranchi, Hundru BO, Railway Colony Hatia SO",+91 95700 79625,N/A,4.8,,"Nagari Road, Lal, Gutuwa, Ranchi, Jharkhand 835303",Lal,23.354243699999998,85.2363599,ChIJWXvGe6zf9DkRXxLgnJzr-WM,https://www.google.com/maps/place/?q=place_id:ChIJWXvGe6zf9DkRXxLgnJzr-WM,part_389,2026-09-20 20:28:18
Vishwakarma granites and tiles,Granite Dealer,Granite supplier,"Granite supplier, Wholesaler",834003,Jharkhand Circle,Ranchi Region,Ranchi Division,"Hatia SO Ranchi, Hundru BO, Railway Colony Hatia SO",+91 82928 77699,N/A,4.6,,"Nagari road, lal, Gutuwa, Ranchi, Jharkhand 835303",lal,23.356959099999997,85.24068059999999,ChIJ4enOEwDf9DkRuWS1RrejcCE,https://www.google.com/maps/place/?q=place_id:ChIJ4enOEwDf9DkRuWS1RrejcCE,part_389,2026-09-20 20:28:18
TILEFY,Granite Dealer,Tile store,Tile store,834003,Jharkhand Circle,Ranchi Region,Ranchi Division,"Hatia SO Ranchi, Hundru BO, Railway Colony Hatia SO",+91 92418 28977,N/A,5.0,,"ISM CHOWK, Pundag Rd, nr. MOTI FUEL CENTRE ARGHODA, Pundag, Ranchi, Jharkhand 834004",Pundag,23.3477589,85.2856307,ChIJbfDGs0fh9DkRRAUi4SMxiJA,https://www.google.com/maps/place/?q=place_id:ChIJbfDGs0fh9DkRRAUi4SMxiJA,part_389,2026-09-20 20:28:18
Sumitra enterprises (Tiles and marbles),Granite Dealer,Tile store,Tile store,834003,Jharkhand Circle,Ranchi Region,Ranchi Division,"Hatia SO Ranchi, Hundru BO, Railway Colony Hatia SO",+91 70048 37133,N/A,5.0,9.0,"Pragati Path, Dhumsatoli, Kathartoli, Ranchi, Jharkhand 834011","Dhumsatoli, Kathartoli",23.3559813,85.3415098,ChIJebYiYwnh9DkR1WV6EU637p4,https://www.google.com/maps/place/?q=place_id:ChIJebYiYwnh9DkR1WV6EU637p4,part_389,2026-09-20 20:28:19
Rangoli Marble & Granite,Granite Dealer,Tile store,Tile store,834003,Jharkhand Circle,Ranchi Region,Ranchi Division,"Hatia SO Ranchi, Hundru BO, Railway Colony Hatia SO",N/A,N/A,,,"8848+QG4, Satyari Toli Road No. 1, Maharatoli, Ranchi, Jharkhand 834003",Maharatoli,23.306894999999997,85.316329,ChIJxe2Ij1cf9TkRc2Nh-4-4Mcg,https://www.google.com/maps/place/?q=place_id:ChIJxe2Ij1cf9TkRc2Nh-4-4Mcg,part_389,2026-09-20 20:28:20
Amit Kumar Marble Contractor,Granite Dealer,Marble contractor,Marble contractor,834003,Jharkhand Circle,Ranchi Region,Ranchi Division,"Hatia SO Ranchi, Hundru BO, Railway Colony Hatia SO",+91 99317 23545,N/A,5.0,4.0,"Mahavir Nagar, Argora, Ranchi, Jharkhand 834002","Mahavir Nagar, Argora",23.3452453,85.2930877,ChIJYxqm5X3h9DkRPRKldFlB61A,https://www.google.com/maps/place/?q=place_id:ChIJYxqm5X3h9DkRPRKldFlB61A,part_389,2026-09-20 20:28:20
Makrana Marbles,Granite Dealer,Granite supplier,"Granite supplier, Marble contractor, Marble supplier, Natural Stone Wholesaler, Tile contractor, Tile manufacturer, Tile store",834003,Jharkhand Circle,Ranchi Region,Ranchi Division,"Hatia SO Ranchi, Hundru BO, Railway Colony Hatia SO",+91 94313 50947,https://www.orientbell.com/,4.7,,"Itki Bus Stand, Itki Rd, Bagra, Hehal, Ranchi, Jharkhand 834005","Major kothi, Bagra, Hehal",23.3744074,85.2645251,ChIJdfUY9iTe9DkRvKAJsU8cRRE,https://www.google.com/maps/place/?q=place_id:ChIJdfUY9iTe9DkRvKAJsU8cRRE,part_389,2026-09-20 20:28:20
Ankita Marbles And Home Solutions,Granite Dealer,Granite supplier,"Granite supplier, Bathroom supply store, Bedroom furniture store, Furniture store, Furniture wholesaler, Tile store, Marble supplier, Sofa store",834003,Jharkhand Circle,Ranchi Region,Ranchi Division,"Hatia SO Ranchi, Hundru BO, Railway Colony Hatia SO",+91 70048 10767,N/A,4.7,,"Daladali Road, Kathal More Rd, near Rinchi Hospital, Ranchi, Jharkhand 835303",834003,23.3644416,85.24552539999999,ChIJFS7T5_bf9DkRAqEqEeWZ55E,https://www.google.com/maps/place/?q=place_id:ChIJFS7T5_bf9DkRAqEqEeWZ55E,part_389,2026-09-20 20:28:20
Rajasthan Marble Suppliers,Granite Dealer,Tile store,Tile store,834003,Jharkhand Circle,Ranchi Region,Ranchi Division,"Hatia SO Ranchi, Hundru BO, Railway Colony Hatia SO",+91 94715 44802,https://rajasthan-marble.grexa.site/,3.3,,"Gumla Road, Kathal More Rd, Ranchi, Jharkhand 835303",834003,23.362612499999997,85.2494681,ChIJufTU8TTf9DkRagB-dfI0K0E,https://www.google.com/maps/place/?q=place_id:ChIJufTU8TTf9DkRagB-dfI0K0E,part_389,2026-09-20 20:28:20
