business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Khushi Tour & Travels,Tour and Travel Operator,Travel agency,Travel agency,834006,Jharkhand Circle,Ranchi Region,Ranchi Division,"Kanke SO, Boreya BO, Bukru BO",+91 96084 61455,N/A,5.0,30.0,"Brahmachari Nagar, Kanke, Ranchi, Jharkhand 834008","Brahmachari Nagar, Kanke",23.418423999999998,85.31196709999999,ChIJP4q6GrXn9DkRiI707mkG4vA,https://www.google.com/maps/place/?q=place_id:ChIJP4q6GrXn9DkRiI707mkG4vA,part_389,2026-09-20 20:30:50
Krishna Tour & Travel,Tour and Travel Operator,Travel agency,Travel agency,834006,Jharkhand Circle,Ranchi Region,Ranchi Division,"Kanke SO, Boreya BO, Bukru BO",+91 96311 06169,https://krishnatourandtravel.in/,4.7,90.0,"Hari Ram Apartment, Chandani Chowk, opp. Holiday Home, Jhirga Toli, Gandhi Nagar, Kanke, Ranchi, Jharkhand 834008","Jhirga Toli, Gandhi Nagar",23.410569,85.3154833,ChIJ4VHSx13n9DkRmGbnXOVgXfQ,https://www.google.com/maps/place/?q=place_id:ChIJ4VHSx13n9DkRmGbnXOVgXfQ,part_389,2026-09-20 20:30:50
M/S MINSA TOUR AND TRAVELS,Tour and Travel Operator,Travel agency,Travel agency,834006,Jharkhand Circle,Ranchi Region,Ranchi Division,"Kanke SO, Boreya BO, Bukru BO",+91 82101 89250,http://minsatravels.in/,4.7,27.0,"Millat Colony, Kanke, Ranchi, Jharkhand 834006",Millat Colony,23.4311856,85.3311042,ChIJvRAAzbTn9DkRWKUmZ94tw60,https://www.google.com/maps/place/?q=place_id:ChIJvRAAzbTn9DkRWKUmZ94tw60,part_389,2026-09-20 20:30:50
Sonu Tours & Travels,Tour and Travel Operator,Tour operator,Tour operator,834006,Jharkhand Circle,Ranchi Region,Ranchi Division,"Kanke SO, Boreya BO, Bukru BO",+91 79798 10278,N/A,5.0,9.0,"Kanke Rd, Sarvodaya Nagar, Gandhi Nagar, Ranchi, Jharkhand 834008","Sarvodaya Nagar, Gandhi Nagar",23.4071438,85.3117206,ChIJb35ysSnh9DkRPiDbzZeDnO0,https://www.google.com/maps/place/?q=place_id:ChIJb35ysSnh9DkRPiDbzZeDnO0,part_389,2026-09-20 20:30:50
Gada Tours And Travel,Tour and Travel Operator,Travel agency,Travel agency,834006,Jharkhand Circle,Ranchi Region,Ranchi Division,"Kanke SO, Boreya BO, Bukru BO",+91 74888 35560,https://www.gadatoursandtravel.com/,5.0,3.0,"ratan height, 11B, Tagore Hill Rd, Soren Kunj, Morabadi, Ranchi, Jharkhand 834008","Soren Kunj, Morabadi",23.3945677,85.33488849999999,ChIJuwP0b57h9DkRYpNNBPWZ__E,https://www.google.com/maps/place/?q=place_id:ChIJuwP0b57h9DkRYpNNBPWZ__E,part_389,2026-09-20 20:30:50
Sumitra tour and travels,Tour and Travel Operator,Travel agency,Travel agency,834006,Jharkhand Circle,Ranchi Region,Ranchi Division,"Kanke SO, Boreya BO, Bukru BO",+91 62024 77536,N/A,4.9,7.0,"Kanke, Boreya, Ranchi, Jharkhand 834006",Kanke,23.424238,85.3470868,ChIJNwWDLBDn9DkR5bAkpsRBuII,https://www.google.com/maps/place/?q=place_id:ChIJNwWDLBDn9DkR5bAkpsRBuII,part_389,2026-09-20 20:30:50
Maa tours and travels,Tour and Travel Operator,Travel agency,Travel agency,834006,Jharkhand Circle,Ranchi Region,Ranchi Division,"Kanke SO, Boreya BO, Bukru BO",N/A,N/A,,,"Gandhi Nagar Colony, Kanke, Gandhi Nagar, Ranchi, Jharkhand 834008","Gandhi Nagar Colony, Kanke, Gandhi Nagar",23.4052308,85.3158971,ChIJ0eL8yh7h9DkRKcFDEgTaXjU,https://www.google.com/maps/place/?q=place_id:ChIJ0eL8yh7h9DkRKcFDEgTaXjU,part_389,2026-09-20 20:30:50
Mahi Tour & Travel,Tour and Travel Operator,Taxi service,Taxi service,834006,Jharkhand Circle,Ranchi Region,Ranchi Division,"Kanke SO, Boreya BO, Bukru BO",+91 91027 09117,N/A,4.9,71.0,"Kanke road, Jamshed road, nearby Meera enclave, Jhirga Toli, Pandra, Ranchi, Jharkhand 834008","Jhirga Toli, Pandra",23.4109283,85.3084233,ChIJd7B6kDrn9DkRqpGLEZ4_47g,https://www.google.com/maps/place/?q=place_id:ChIJd7B6kDrn9DkRqpGLEZ4_47g,part_389,2026-09-20 20:30:50
Ankit Tour And Travels,Tour and Travel Operator,Car rental agency,Car rental agency,834006,Jharkhand Circle,Ranchi Region,Ranchi Division,"Kanke SO, Boreya BO, Bukru BO",+91 90653 43220,N/A,5.0,25.0,"Lalu Khatal Rd, Bariatu, Ranchi, Jharkhand 834009",Bariatu,23.400692499999998,85.3583148,ChIJLefw44rj9DkRczbNkf8Oadw,https://www.google.com/maps/place/?q=place_id:ChIJLefw44rj9DkRczbNkf8Oadw,part_389,2026-09-20 20:30:50
EZTRIPS,Tour and Travel Operator,Travel agency,Travel agency,834006,Jharkhand Circle,Ranchi Region,Ranchi Division,"Kanke SO, Boreya BO, Bukru BO",+91 82523 23551,http://eztrips.in/,4.9,116.0,"Godavari sadan, 7, Kanke Rd, Saket Nagar, Jawahar Nagar, Hatma, Ranchi, Jharkhand 834008","Saket Nagar, Jawahar Nagar, Hatma",23.3942637,85.3132632,ChIJ487HmKjh9DkRJ_cTpQKEDsc,https://www.google.com/maps/place/?q=place_id:ChIJ487HmKjh9DkRJ_cTpQKEDsc,part_389,2026-09-20 20:30:50
