business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Pihu Lodge,Guesthouse,Serviced accommodation,"Serviced accommodation, Lodge",834012,Jharkhand Circle,Ranchi Region,Ranchi Division,"Buti Chowk S.O, Buti BO, Hotwar BO",+91 62093 95944,N/A,4.2,,"Bharti Complex, Booty More Rd, Krishna Pura, Ohdar Village, Ranchi, Jharkhand 834012","Krishna Pura, Ohdar Village",23.4017943,85.3908154,ChIJny-SgnXj9DkR-kHOQ06Q_qQ,https://www.google.com/maps/place/?q=place_id:ChIJny-SgnXj9DkR-kHOQ06Q_qQ,part_389,2026-09-20 20:35:55
Hara building lodge,Guesthouse,Lodge,Lodge,834012,Jharkhand Circle,Ranchi Region,Ranchi Division,"Buti Chowk S.O, Buti BO, Hotwar BO",N/A,N/A,4.2,,"CC75+9V9, Arya Colony, Getlatu, Ranchi, Jharkhand 835217",Arya Colony,23.413401399999998,85.4097243,ChIJZ8gwrZ3k9DkR7TP4jP_Wb0U,https://www.google.com/maps/place/?q=place_id:ChIJZ8gwrZ3k9DkR7TP4jP_Wb0U,part_389,2026-09-20 20:35:55
aashirwad lodge,Guesthouse,Student dormitory,"Student dormitory, Housing complex",834012,Jharkhand Circle,Ranchi Region,Ranchi Division,"Buti Chowk S.O, Buti BO, Hotwar BO",N/A,N/A,4.5,,"Shivaji Nagar, Bargain Village, Ranchi, Jharkhand 834012","Shivaji Nagar, Bargain Village",23.4048388,85.3776889,ChIJcaoXc4vj9DkRJ97r7iMjxZs,https://www.google.com/maps/place/?q=place_id:ChIJcaoXc4vj9DkRJ97r7iMjxZs,part_389,2026-09-20 20:35:55
Sankat Mochan Lodge,Guesthouse,Lodge,Lodge,834012,Jharkhand Circle,Ranchi Region,Ranchi Division,"Buti Chowk S.O, Buti BO, Hotwar BO",N/A,N/A,4.6,,"99WH+65X, Road, Muharram Toli, Jai Prakash Nagar, Ranchi, Jharkhand 834012","Muharram Toli, Jai Prakash Nagar",23.3956184,85.37799679999999,ChIJ68amLsrj9DkR4H7BISwMZ90,https://www.google.com/maps/place/?q=place_id:ChIJ68amLsrj9DkR4H7BISwMZ90,part_389,2026-09-20 20:35:55
Bajrang rent room,Guesthouse,Lodge,Lodge,834012,Jharkhand Circle,Ranchi Region,Ranchi Division,"Buti Chowk S.O, Buti BO, Hotwar BO",N/A,N/A,5.0,,"99XJ+638, Booty More Rd, Adarsh nagar, Vijay Nagar, Ohdar Village, Ranchi, Jharkhand 834009","Adarsh nagar, Vijay Nagar, Ohdar Village",23.3980405,85.38020879999999,ChIJY2wqKwDj9DkRsiet-xYH8Rg,https://www.google.com/maps/place/?q=place_id:ChIJY2wqKwDj9DkRsiet-xYH8Rg,part_389,2026-09-20 20:35:55
Akashdeep Hotel & Lodge,Guesthouse,Lodge,Lodge,834012,Jharkhand Circle,Ranchi Region,Ranchi Division,"Buti Chowk S.O, Buti BO, Hotwar BO",N/A,N/A,3.5,,"C928+G6G, Bargain Village, Ranchi, Jharkhand 834009",Bargain Village,23.4013129,85.3655733,ChIJh-ccnPDj9DkRbSuzHt7f1Sk,https://www.google.com/maps/place/?q=place_id:ChIJh-ccnPDj9DkRbSuzHt7f1Sk,part_389,2026-09-20 20:35:55
Pravin Lodge,Guesthouse,Lodging,Lodging,834012,Jharkhand Circle,Ranchi Region,Ranchi Division,"Buti Chowk S.O, Buti BO, Hotwar BO",N/A,N/A,5.0,,"Khijur Tola, Ranchi, Jharkhand 834012",Khijur Tola,23.407411,85.38143149999999,ChIJF3x7uQ_j9DkR8R22ptqZjko,https://www.google.com/maps/place/?q=place_id:ChIJF3x7uQ_j9DkR8R22ptqZjko,part_389,2026-09-20 20:35:55
Shanti Lodge,Guesthouse,Lodge,Lodge,834012,Jharkhand Circle,Ranchi Region,Ranchi Division,"Buti Chowk S.O, Buti BO, Hotwar BO",+91 76440 17456,N/A,3.1,,"Ground Floor, Shanti Food Plaza, opposite Medica Hospital, Jai Prakash Nagar, Ranchi, Jharkhand 834012",Jai Prakash Nagar,23.3963119,85.378186,ChIJU9Nkoz3j9DkRWl9TLYvddHU,https://www.google.com/maps/place/?q=place_id:ChIJU9Nkoz3j9DkRWl9TLYvddHU,part_389,2026-09-20 20:35:56
PHED LODGE,Guesthouse,Lodge,Lodge,834012,Jharkhand Circle,Ranchi Region,Ranchi Division,"Buti Chowk S.O, Buti BO, Hotwar BO",N/A,N/A,3.6,,"99XJ+J53, Vijay Nagar, Ohdar Village, Ranchi, Jharkhand 834012","Vijay Nagar, Ohdar Village",23.3990001,85.38043329999999,ChIJhXom543j9DkRblLBjNPdmQo,https://www.google.com/maps/place/?q=place_id:ChIJhXom543j9DkRblLBjNPdmQo,part_389,2026-09-20 20:35:56
Ivory House,Guesthouse,Housing complex,Housing complex,834012,Jharkhand Circle,Ranchi Region,Ranchi Division,"Buti Chowk S.O, Buti BO, Hotwar BO",+91 80049 28123,N/A,4.6,,"99WG+P2C, Pragati Marg, Deepatoli, Jai Prakash Nagar, Ranchi, Jharkhand 834012","Deepatoli, Jai Prakash Nagar",23.3968085,85.3750036,ChIJHcoLmQ_j9DkR1n7tfmVXRXY,https://www.google.com/maps/place/?q=place_id:ChIJHcoLmQ_j9DkR1n7tfmVXRXY,part_389,2026-09-20 20:35:56
