business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Double Down Brewpub And Cafe,Bar and Pub,Bar,"Bar, Cafe, Disco club, Lounge bar, Pub",834013,Jharkhand Circle,Ranchi Region,Ranchi Division,N/A,+91 62994 24170,N/A,4.7,4368,"11/1 SARAT BOSE ROAD, Ideal Plaza GR Floor, near Kotak bank and, opp. Axis Bank, Kolkata, West Bengal 700020","Sreepally, Bhowanipore",22.538999399999998,88.3542387,ChIJ-_MYHF93AjoRWweVcI97-_w,https://www.google.com/maps/place/?q=place_id:ChIJ-_MYHF93AjoRWweVcI97-_w,part_389,2026-09-20 20:36:20
SURAPANAM Bar and Kitchen,Bar and Pub,Pub,Pub,834013,Jharkhand Circle,Ranchi Region,Ranchi Division,N/A,N/A,N/A,4.1,1128,"9HP4+5H8, Laxmi Narayan Nagar Colony, Ramanthapur, Hyderabad, Telangana 500039","Laxmi Narayan Nagar Colony, Ramanthapur",17.3852363,78.5567891,ChIJq6R-SIyZyzsRWvPY0exwWPY,https://www.google.com/maps/place/?q=place_id:ChIJq6R-SIyZyzsRWvPY0exwWPY,part_389,2026-09-20 20:36:20
The GRID,Bar and Pub,Brewpub,"Brewpub, Brewery, Cafe",834013,Jharkhand Circle,Ranchi Region,Ranchi Division,N/A,+91 84440 00888,http://www.jointhegrid.in/,4.4,2222,"Haute Street Corporate Park, 86A, Topsia Rd, Seal Lane, Topsia, Kolkata, West Bengal 700046","Seal Lane, Topsia",22.5421095,88.3856807,ChIJcZ1B6ZV2AjoRYeyvwm0Fcqk,https://www.google.com/maps/place/?q=place_id:ChIJcZ1B6ZV2AjoRYeyvwm0Fcqk,part_389,2026-09-20 20:36:21
K LOCAL,Bar and Pub,Lounge bar,Lounge bar,834013,Jharkhand Circle,Ranchi Region,Ranchi Division,N/A,+91 62918 05167,N/A,4.2,1080,"City Centre, C-301, DC Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064","DC Block, Sector 1, Bidhannagar",22.588281499999997,88.4087054,ChIJfTQ-KVZ1AjoR-OounCKxf7s,https://www.google.com/maps/place/?q=place_id:ChIJfTQ-KVZ1AjoR-OounCKxf7s,part_389,2026-09-20 20:36:21
The Bar Project,Bar and Pub,Bar,Bar,834013,Jharkhand Circle,Ranchi Region,Ranchi Division,N/A,+91 83748 08374,https://www.facebook.com/thebarprojecthyd/?modal=admin_todo_tour,4.3,548,"Poolside, Country Club, Gate, next to Metro Pillar 1405, Uma Nagar, Begumpet, Hyderabad, Telangana 500016","Uma Nagar, Begumpet",17.4370732,78.4576408,ChIJ1zY_LDCRyzsRyI6X036eZQo,https://www.google.com/maps/place/?q=place_id:ChIJ1zY_LDCRyzsRyI6X036eZQo,part_389,2026-09-20 20:36:21
Urban Kitchen & Bar,Bar and Pub,Bar,Bar,834013,Jharkhand Circle,Ranchi Region,Ranchi Division,N/A,+91 70444 74510,N/A,4.0,282,"JCFV+C7Q, Biswa Bangla Sarani, near City Centre 2, Dash Drone, Rajarhat, Kolkata, West Bengal 700136","Dash Drone, Rajarhat",22.623592499999997,88.4432222,ChIJZ2tlZdKf-DkRmYqXAdUdlNU,https://www.google.com/maps/place/?q=place_id:ChIJZ2tlZdKf-DkRmYqXAdUdlNU,part_389,2026-09-20 20:36:21
RoadHouzz,Bar and Pub,Brewpub,"Brewpub, Restaurant",834013,Jharkhand Circle,Ranchi Region,Ranchi Division,N/A,+91 62916 73033,N/A,4.2,1841,"192A, Sarat Bose Rd, lake Terrace, Ballygunge, Kolkata, West Bengal 700029","lake Terrace, Ballygunge",22.5145017,88.3530469,ChIJ__dDYM1wAjoR806cmmEYILs,https://www.google.com/maps/place/?q=place_id:ChIJ__dDYM1wAjoR806cmmEYILs,part_389,2026-09-20 20:36:21
WILSON'S - The Pub,Bar and Pub,Pub,"Pub, Restaurant",834013,Jharkhand Circle,Ranchi Region,Ranchi Division,N/A,+91 33 4444 7777,http://www.thelalit.com/the-lalit-great-eastern-kolkata/dining-en.html#item1,4.3,302,"1,2, 3, Old Court House St, Chowringhee North, Bow Barracks, Kolkata, West Bengal 700001","Chowringhee North, Bow Barracks",22.568147999999997,88.34977699999999,ChIJAaM6k6Z3AjoR1TyxWDcJKr8,https://www.google.com/maps/place/?q=place_id:ChIJAaM6k6Z3AjoR1TyxWDcJKr8,part_389,2026-09-20 20:36:21
Beer Republic Kolkata,Bar and Pub,Bar,"Bar, Disco club, Brewery, Brewpub, Lounge bar, Pub, Restaurant",834013,Jharkhand Circle,Ranchi Region,Ranchi Division,N/A,+91 99039 96888,https://beerrepublic.in/,4.2,4536,"89C, Inox Building, Maulana Abdul Kalam Azad Sarani, Eastern Metropolitan Bypass, near Inox Swabhumi, Kadapara, Phoolbagan, Kankurgachi, Kolkata, West Bengal 700054","Kadapara, Phoolbagan, Kankurgachi",22.571030999999998,88.40118729999999,ChIJ2z8hWXl2AjoR5SgdyUGe5gk,https://www.google.com/maps/place/?q=place_id:ChIJ2z8hWXl2AjoR5SgdyUGe5gk,part_389,2026-09-20 20:36:21
Froth On Top,Bar and Pub,Pub,"Pub, Restaurant",834013,Jharkhand Circle,Ranchi Region,Ranchi Division,N/A,+91 99725 06855,N/A,4.3,5275,"SLK House, Arya Samaj Rd, Mallikatte, Balmatta, Mangaluru, Karnataka 575001","Mallikatte, Balmatta",12.87354,74.851636,ChIJjR4EMTZaozsRj6D8HiS7hTI,https://www.google.com/maps/place/?q=place_id:ChIJjR4EMTZaozsRj6D8HiS7hTI,part_389,2026-09-20 20:36:21
