business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bhavy Hostel & PG,PG,Boys' hostel,Boys' hostel,834013,Jharkhand Circle,Ranchi Region,Ranchi Division,N/A,+91 99290 41519,N/A,4.9,21,"NEAR, Subhash Nagar, Jodhpur, Rajasthan 342008",Subhash Nagar,26.252867799999997,72.9816982,ChIJFeUO9H2PQTkRzsHIwOcQtig,https://www.google.com/maps/place/?q=place_id:ChIJFeUO9H2PQTkRzsHIwOcQtig,part_389,2026-09-20 20:36:45
Royal PG House,PG,Boys' hostel,Boys' hostel,834013,Jharkhand Circle,Ranchi Region,Ranchi Division,N/A,+91 90279 73510,https://www.instagram.com/aly_afzal007?igsh=MWtxcHhncm12dHFveQ%3D%3D&utm_source=qr,4.6,50,"Street No 5, Rampur Chungi, Doon School Road, Rampur, Roorkee, Uttarakhand 247667",Rampur,29.8843985,77.8797134,ChIJn3kYHn20DjkRUl-3Iz0RT54,https://www.google.com/maps/place/?q=place_id:ChIJn3kYHn20DjkRUl-3Iz0RT54,part_389,2026-09-20 20:36:45
Shri Ram Boy's PG,PG,Boys' hostel,"Boys' hostel, Guest house, Home Stay, Student dormitory",834013,Jharkhand Circle,Ranchi Region,Ranchi Division,N/A,+91 77910 55816,N/A,4.8,441,"SHRI RAM BHAWAN, Chopasani Rd, 4th Pulia, Suthala, Jwala Vihar, Jodhpur, Rajasthan 342008","4th Pulia, Suthala, Jwala Vihar",26.271678599999998,72.9728216,ChIJE4rEhSKPQTkRWKdt357VhiU,https://www.google.com/maps/place/?q=place_id:ChIJE4rEhSKPQTkRWKdt357VhiU,part_389,2026-09-20 20:36:45
Thakur PG For Boys,PG,Student dormitory,"Student dormitory, Boys' hostel",834013,Jharkhand Circle,Ranchi Region,Ranchi Division,N/A,+91 94642 75161,N/A,4.5,156,"998, Street Number 7, Chander Nagar, Civil Lines, Ludhiana, Punjab 141001","Chander Nagar, Civil Lines",30.921443099999998,75.8286457,ChIJmQKF2MODGjkR4rYcDNCDZuM,https://www.google.com/maps/place/?q=place_id:ChIJmQKF2MODGjkR4rYcDNCDZuM,part_389,2026-09-20 20:36:45
Anjaneya Stays Girls PG,PG,Girls' hostel,"Girls' hostel, Student housing center, Working women's hostel",834013,Jharkhand Circle,Ranchi Region,Ranchi Division,N/A,+91 94141 00302,N/A,4.9,50,"Anjaneya Stays Girls PG 5, 1st Polo Rd, Paota, Jodhpur, Rajasthan 342006",Paota,26.2975083,73.0360268,ChIJm4gh9mONQTkRm2IlmActTyY,https://www.google.com/maps/place/?q=place_id:ChIJm4gh9mONQTkRm2IlmActTyY,part_389,2026-09-20 20:36:45
Kripal Homes PG,PG,Boys' hostel,"Boys' hostel, Home Stay, Serviced accommodation, Youth Hostel",834013,Jharkhand Circle,Ranchi Region,Ranchi Division,N/A,+91 92948 88777,https://kripalhomes.com/,3.9,951,"Optimize elegance, Sarkhej - Gandhinagar Hwy, near Ginger Hotel Road, Thaltej, Ahmedabad, Gujarat 380059",Thaltej,23.0435122,72.5118926,ChIJX8oMRS-DXjkRCJ6Jf0R2ojw,https://www.google.com/maps/place/?q=place_id:ChIJX8oMRS-DXjkRCJ6Jf0R2ojw,part_389,2026-09-20 20:36:45
The Royal Stay Luxurious PG,PG,Student dormitory,Student dormitory,834013,Jharkhand Circle,Ranchi Region,Ranchi Division,N/A,+91 75977 77644,https://instagram.com/theroyalstay?igshid=1o5cuci5ejqzk,4.4,280,"Celebrity Aura, SARDAR PATEL STADIUM, Income Tax, Navrangpura, Ahmedabad, Gujarat 380009","Income Tax, Navrangpura",23.0404791,72.5659199,ChIJ0Sl6irmFXjkRq_6jC1-4vSs,https://www.google.com/maps/place/?q=place_id:ChIJ0Sl6irmFXjkRq_6jC1-4vSs,part_389,2026-09-20 20:36:45
Elegance Home Stay And Service Apartment and Paying Guest (PG),PG,Student dormitory,Student dormitory,834013,Jharkhand Circle,Ranchi Region,Ranchi Division,N/A,+91 99299 58886,N/A,4.1,106,"27, 7th, Chopasani Rd, Pratap Nagar, Jodhpur, Rajasthan 342003",Pratap Nagar,26.282657699999998,73.0018137,ChIJ0XJN0VCNQTkRAZAMRV-GtSY,https://www.google.com/maps/place/?q=place_id:ChIJ0XJN0VCNQTkRAZAMRV-GtSY,part_389,2026-09-20 20:36:45
Harsiddhi PG,PG,Boys' hostel,"Boys' hostel, Group accommodation, Serviced accommodation, Student dormitory, Student housing center",834013,Jharkhand Circle,Ranchi Region,Ranchi Division,N/A,+91 97734 87587,https://harsiddhi-pg.grexa.site/,4.0,206,"Bopal - Shilaj Rd, Jaldhara1, Bopal, Ahmedabad, Gujarat 380058","Jaldhara1, Bopal",23.035827599999998,72.46192839999999,ChIJUT8qiIybXjkRo2dGyopt2XM,https://www.google.com/maps/place/?q=place_id:ChIJUT8qiIybXjkRo2dGyopt2XM,part_389,2026-09-20 20:36:45
Capital PG & Hostel,PG,Student dormitory,"Student dormitory, Boys' hostel, Serviced accommodation",834013,Jharkhand Circle,Ranchi Region,Ranchi Division,N/A,+91 91041 02277,https://capitalpg.in/,3.8,358,"3rd floor, Pramukh ayan, near Aashka Multispeciality Hospital, Sargasan, Gandhinagar, Gujarat 382419",Sargasan,23.186251799999997,72.6200471,ChIJSV2f10GbXjkRgkVeHx__5J8,https://www.google.com/maps/place/?q=place_id:ChIJSV2f10GbXjkRgkVeHx__5J8,part_389,2026-09-20 20:36:45
