business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"DAKSHITH NATURAL FOODS (DNF). OIL MILL, FLOUR MILL & SPICES. MPN",Flour Mill,Flour mill,Flour mill,834014,Jharkhand Circle,N/A,Ranchi Division,SEMBO S.O,+91 99510 65599,https://dnfstores.in/,4.5,,"12-2-422/4, Gudi Malkapur Rd, Sai Gardens, Priya Colony, Gudimalkapur, Hyderabad, Telangana 500006","Sai Gardens, Priya Colony, Gudimalkapur",17.385536,78.4397669,ChIJG_41oR6XyzsRuZ1nbojWpJY,https://www.google.com/maps/place/?q=place_id:ChIJG_41oR6XyzsRuZ1nbojWpJY,part_389,2026-09-20 20:37:04
Dhariwal Food,Flour Mill,Flour mill,Flour mill,834014,Jharkhand Circle,N/A,Ranchi Division,SEMBO S.O,+91 40 2717 2335,http://www.manikchandgroup.com/flourmill/index.html,4.2,,"CHQ2+5WR, 44-124, Near Nacharam Telephone Exchange Road no. 4, IE, Durga Nagar Rd, Durga Nagar, Nacharam, Hyderabad, Telangana 500076","Durga Nagar, Nacharam",17.439294399999998,78.5532549,ChIJG8ic4uSbyzsR6bDFtgmCtDw,https://www.google.com/maps/place/?q=place_id:ChIJG8ic4uSbyzsR6bDFtgmCtDw,part_389,2026-09-20 20:37:04
Laxmi Pindi Girni,Flour Mill,Flour mill,Flour mill,834014,Jharkhand Circle,N/A,Ranchi Division,SEMBO S.O,+91 80965 47530,N/A,3.0,,"CHJ2+43P, Koundinya Nagar, Ram Reddy Colony, Nacharam, Hyderabad, Secunderabad, Telangana 500076","Koundinya Nagar, Ram Reddy Colony, Nacharam",17.4303407,78.55018969999999,ChIJTStUv1iZyzsRdiwoi2FQ8hA,https://www.google.com/maps/place/?q=place_id:ChIJTStUv1iZyzsRdiwoi2FQ8hA,part_389,2026-09-20 20:37:04
Akshat Agro Milling Company Pvt. Ltd.,Flour Mill,Flour mill,Flour mill,834014,Jharkhand Circle,N/A,Ranchi Division,SEMBO S.O,+91 731 422 2911,http://akshatgroups.com/,3.7,,"Shagun Tower, 315-316, A.B. Road, PU 4, Near Vijay Nagar Square, Vijay Nager, Square, Ratna Lok Colony, Indore, Madhya Pradesh 452010","PU 4, Near Vijay Nagar Square, Vijay Nager, Square, Ratna Lok Colony",22.749212,75.895454,ChIJ5bl37FX9YjkRkbX4YphtG9g,https://www.google.com/maps/place/?q=place_id:ChIJ5bl37FX9YjkRkbX4YphtG9g,part_389,2026-09-20 20:37:04
Golden flour mill,Flour Mill,Flour mill,Flour mill,834014,Jharkhand Circle,N/A,Ranchi Division,SEMBO S.O,N/A,N/A,,,"768M+6Q8, Lodhma Rd, near Al kamal schools, Ranchi, Chete, Jharkhand 835303",834014,23.265546099999998,85.23444409999999,ChIJtYHd5Ukh9TkRyFcWSTol29A,https://www.google.com/maps/place/?q=place_id:ChIJtYHd5Ukh9TkRyFcWSTol29A,part_389,2026-09-20 20:37:04
S M Corporation,Flour Mill,Manufacturer,"Manufacturer, Flour mill",834014,Jharkhand Circle,N/A,Ranchi Division,SEMBO S.O,+91 79805 49707,N/A,4.9,13.0,"Strand Rd, Fairley Place, B.B.D. Bagh, Kolkata, West Bengal 700001","Fairley Place, B.B.D. Bagh",22.5772862,88.3474375,ChIJ9ytAKbp3AjoR7IUA0ZH2Cmc,https://www.google.com/maps/place/?q=place_id:ChIJ9ytAKbp3AjoR7IUA0ZH2Cmc,part_389,2026-09-20 20:37:04
Jawaharlal And Sons Mill,Flour Mill,Mill,Mill,834014,Jharkhand Circle,N/A,Ranchi Division,SEMBO S.O,+91 731 240 0121,N/A,,,"MVVJ+8M5, Chitawad Rd, Nemawer Road, Sajan Nagar, Indore, Madhya Pradesh 452001",Sajan Nagar,22.693257499999998,75.8817333,ChIJEZRiXG39YjkR43hT7s6B-xk,https://www.google.com/maps/place/?q=place_id:ChIJEZRiXG39YjkR43hT7s6B-xk,part_389,2026-09-20 20:37:05
Grainspan Nutrients Pvt. Ltd.,Flour Mill,Manufacturer,Manufacturer,834014,Jharkhand Circle,N/A,Ranchi Division,SEMBO S.O,N/A,http://www.grainspan.com/,4.4,13.0,"H59J+X56, Poly Park, Dhulagori, Jala Dhulagiri, West Bengal 711302","Poly Park, Dhulagori",22.569903699999998,88.1804028,ChIJs8mPWM5_AjoR6VtZ3QPad-A,https://www.google.com/maps/place/?q=place_id:ChIJs8mPWM5_AjoR6VtZ3QPad-A,part_389,2026-09-20 20:37:05
Pora Mill,Flour Mill,Mill,Mill,834014,Jharkhand Circle,N/A,Ranchi Division,SEMBO S.O,N/A,N/A,4.0,38.0,"South, Banipur, Sankrail, Howrah, West Bengal 711313","Banipur, Sankrail",22.553593,88.2294859,ChIJZ_skVtx-AjoRRH7K4WDyPPw,https://www.google.com/maps/place/?q=place_id:ChIJZ_skVtx-AjoRRH7K4WDyPPw,part_389,2026-09-20 20:37:05
flour Mill,Flour Mill,Florist,Florist,834014,Jharkhand Circle,N/A,Ranchi Division,SEMBO S.O,+91 96855 68617,N/A,,,"PRWR+GW6, Nanda Nagar, Karma Nagar, Indore, Madhya Pradesh 452015","Nanda Nagar, Karma Nagar",22.7462938,75.8422789,ChIJ3bPKD3gCYzkRAAAAsIpkVAs,https://www.google.com/maps/place/?q=place_id:ChIJ3bPKD3gCYzkRAAAAsIpkVAs,part_389,2026-09-20 20:37:05
