business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shobha Chappal Mart,Footwear and Shoe Store,Shoe store,Shoe store,834014,Jharkhand Circle,N/A,Ranchi Division,SEMBO S.O,+91 98920 72067,N/A,4.8,277.0,"Court naka, opp. Collector office, near Dighe House, Tembhi Naka, Thane West, Thane, Maharashtra 400601","Tembhi Naka, Kharkar Alley, Thane West",19.196433,72.9781636,ChIJ8Xru5iS55zsR6E-KnV2A-AA,https://www.google.com/maps/place/?q=place_id:ChIJ8Xru5iS55zsR6E-KnV2A-AA,part_389,2026-09-20 20:37:11
Manya Footwear,Footwear and Shoe Store,Shoe store,Shoe store,834014,Jharkhand Circle,N/A,Ranchi Division,SEMBO S.O,N/A,N/A,2.9,7.0,"44/2708-c, Desabhimani Rd, Karukappilly, Karukappilly Junction, Karukappilly, Kaloor, Kochi, Ernakulam, Keralam 682017","Karukappilly, Karukappilly Junction, Karukappilly, Kaloor",10.0066472,76.2946937,ChIJg6loVg0NCDsROiWfZ-5fquw,https://www.google.com/maps/place/?q=place_id:ChIJg6loVg0NCDsROiWfZ-5fquw,part_389,2026-09-20 20:37:11
Walk in style shose Shop,Footwear and Shoe Store,Shoe store,Shoe store,834014,Jharkhand Circle,N/A,Ranchi Division,SEMBO S.O,N/A,N/A,,,"Sithiyo, Ranchi, Jharkhand 834002",834014,23.2711875,85.24856249999999,ChIJ52u2PwAh9TkRk65PU4MNhjg,https://www.google.com/maps/place/?q=place_id:ChIJ52u2PwAh9TkRk65PU4MNhjg,part_389,2026-09-20 20:37:11
Mezole Shoes & Bags,Footwear and Shoe Store,Shoe store,Shoe store,834014,Jharkhand Circle,N/A,Ranchi Division,SEMBO S.O,+91 80756 06508,N/A,4.9,696.0,"SH 1, Muthoor, Thiruvalla, Keralam 689107",834014,9.4011155,76.5635865,ChIJU6o_d8ElBjsRK5mEenqEelE,https://www.google.com/maps/place/?q=place_id:ChIJU6o_d8ElBjsRK5mEenqEelE,part_389,2026-09-20 20:37:12
Trends Footwear,Footwear and Shoe Store,Shoe store,Shoe store,834014,Jharkhand Circle,N/A,Ranchi Division,SEMBO S.O,+91 95393 23069,https://stores.trends-footwear.com/trends-footwear-rrl-adoor-hf-jaz-building-shoe-shop-adoor-pathanamthitta-477365/Home?utm_source=locator&utm_medium=googleplaces,4.4,206.0,"Jaz Building, HF &, Kayamkulam - Pathanapuram Rd, opposite Maria Hospital, Adoor, Keralam 691523",834014,9.1525083,76.7414661,ChIJeQ6thoETBjsRwq3awjX2Yiw,https://www.google.com/maps/place/?q=place_id:ChIJeQ6thoETBjsRwq3awjX2Yiw,part_389,2026-09-20 20:37:12
Sylcon Shoes & Bags Pathanamthitta,Footwear and Shoe Store,Shoe store,Shoe store,834014,Jharkhand Circle,N/A,Ranchi Division,SEMBO S.O,+91 468 296 1551,https://www.sylcon.in/,4.6,999.0,"St. Stephen's Square, Makkamkunnu, Mannaramala, Pathanamthitta, Keralam 689645","Makkamkunnu, Mannaramala",9.2618302,76.7806256,ChIJVwKR4HIVBjsRRRXWcV_odYg,https://www.google.com/maps/place/?q=place_id:ChIJVwKR4HIVBjsRRRXWcV_odYg,part_389,2026-09-20 20:37:12
Beena Footware,Footwear and Shoe Store,Shoe store,Shoe store,834014,Jharkhand Circle,N/A,Ranchi Division,SEMBO S.O,+91 469 260 3677,N/A,3.5,125.0,"Thiruvalla, Keralam 689101",834014,9.3821162,76.5725361,ChIJqQuqOXMkBjsR9KjITGnLQ7w,https://www.google.com/maps/place/?q=place_id:ChIJqQuqOXMkBjsR9KjITGnLQ7w,part_389,2026-09-20 20:37:12
Sylcon Shoes & Bags Thiruvalla,Footwear and Shoe Store,Shoe store,Shoe store,834014,Jharkhand Circle,N/A,Ranchi Division,SEMBO S.O,+91 469 260 0345,http://www.sylcon.in/,4.2,2781.0,"TMJ Building, SH 1, Ramanchira, Thiruvalla, Keralam 689101",Ramanchira,9.3935718,76.5715939,ChIJtYQzqW0kBjsRWFIFu-SxEkY,https://www.google.com/maps/place/?q=place_id:ChIJtYQzqW0kBjsRWFIFu-SxEkY,part_389,2026-09-20 20:37:12
JAY BHARAT SHOE STORE,Footwear and Shoe Store,Shoe store,Shoe store,834014,Jharkhand Circle,N/A,Ranchi Division,SEMBO S.O,+91 98920 36876,N/A,4.1,799.0,"Shop No.13,305,Kirshna Niwas,Yusuf Meherali Road, Next To Tamba Kata Taxi Stand, Mumbai, Maharashtra 400003","Chippi Chawl, Kalbadevi",18.9522849,72.831953,ChIJRwAAwCTO5zsRhiBWS070AK4,https://www.google.com/maps/place/?q=place_id:ChIJRwAAwCTO5zsRhiBWS070AK4,part_389,2026-09-20 20:37:12
Trends Footwear,Footwear and Shoe Store,Shoe store,Shoe store,834014,Jharkhand Circle,N/A,Ranchi Division,SEMBO S.O,+91 91374 10840,https://stores.trends-footwear.com/trends-footwear-rrl-footprint-korum-mall-thane-shoe-shop-thane-west-thane-477533/Home?utm_source=locator&utm_medium=googleplaces,4.5,915.0,"LG 4/LG 5/LG 6,Ground Floor Korum Mall, OFF, Eastern Express Hwy, Thane West, Thane, Maharashtra 400606","Samata Nagar, Thane West",19.2023233,72.9656188,ChIJYW0RnBa55zsRH_a_9oX59Ro,https://www.google.com/maps/place/?q=place_id:ChIJYW0RnBa55zsRH_a_9oX59Ro,part_389,2026-09-20 20:37:13
