business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
AKASH HAIR CUTTING SALOON,Salon,Beauty Parlour,Beauty Parlour,835205,Jharkhand Circle,Ranchi Region,Ranchi Division,"Brambe SO, Banapiri BO, Baraudi BO",+91 92798 44612,N/A,5.0,7.0,"MURMA, ROAD, near TALAB, Sursa, Ranchi, Jharkhand 835205",835205,23.429324299999998,85.12566199999999,ChIJ3XOxkY7b9DkRhUoXYOh-GRw,https://www.google.com/maps/place/?q=place_id:ChIJ3XOxkY7b9DkRhUoXYOh-GRw,part_389,2026-09-20 20:44:05
Beauty Blush Salon,Salon,Beauty Parlour,Beauty Parlour,835205,Jharkhand Circle,Ranchi Region,Ranchi Division,"Brambe SO, Banapiri BO, Baraudi BO",+91 62008 34538,N/A,4.5,19.0,"Block Rd, opposite reliance smart point, Kathitand, Ratu, Ranchi, Jharkhand 835222","Kathitand, Ratu",23.4180141,85.2285641,ChIJGViB-crd9DkRJ-hzojikULs,https://www.google.com/maps/place/?q=place_id:ChIJGViB-crd9DkRJ-hzojikULs,part_389,2026-09-20 20:44:05
Diva Salon,Salon,Make-up artist,Make-up artist,835205,Jharkhand Circle,Ranchi Region,Ranchi Division,"Brambe SO, Banapiri BO, Baraudi BO",+91 88779 42682,N/A,4.8,78.0,"C67G+9PV, Kathitand chowk, near Saraswati shisu Vidya Mandir, Kathitand, Ratu, Ranchi, Jharkhand 835222","Kathitand, Ratu",23.4134375,85.2268125,ChIJw0jxkOXd9DkRRrqkastdfPs,https://www.google.com/maps/place/?q=place_id:ChIJw0jxkOXd9DkRRrqkastdfPs,part_389,2026-09-20 20:44:05
The Max Professional Salon,Salon,Beauty Parlour,Beauty Parlour,835205,Jharkhand Circle,Ranchi Region,Ranchi Division,"Brambe SO, Banapiri BO, Baraudi BO",+91 81092 71940,N/A,4.5,8.0,"C4MW+59W, Brambe, Jharkhand 835205",835205,23.4319477,85.1467679,ChIJT6_AKADb9DkR3gsYHVotJcM,https://www.google.com/maps/place/?q=place_id:ChIJT6_AKADb9DkR3gsYHVotJcM,part_389,2026-09-20 20:44:05
Big Boss Mens Salon,Salon,Hairdresser,Hairdresser,835205,Jharkhand Circle,Ranchi Region,Ranchi Division,"Brambe SO, Banapiri BO, Baraudi BO",+91 62027 41778,N/A,3.0,1.0,"Road, Paali, Brambe, Jharkhand 835205",835205,23.430741599999998,85.146705,ChIJoy7-I5Tb9DkREJUC77KdfbA,https://www.google.com/maps/place/?q=place_id:ChIJoy7-I5Tb9DkREJUC77KdfbA,part_389,2026-09-20 20:44:05
Hair Art Gents Parlour,Salon,Beauty Parlour,"Beauty Parlour, Hair salon",835205,Jharkhand Circle,Ranchi Region,Ranchi Division,"Brambe SO, Banapiri BO, Baraudi BO",+91 78703 83851,N/A,4.5,8.0,"G569+MX2, Near Bank Of India, Thakurgaon, Ranchi, Jharkhand 835205",835205,23.511629,85.1699019,ChIJIW63arjE9DkRkJyzg5Ptnyo,https://www.google.com/maps/place/?q=place_id:ChIJIW63arjE9DkRkJyzg5Ptnyo,part_389,2026-09-20 20:44:05
Ayan & Altamash Men's parlour,Salon,Beauty Parlour,Beauty Parlour,835205,Jharkhand Circle,Ranchi Region,Ranchi Division,"Brambe SO, Banapiri BO, Baraudi BO",N/A,N/A,,,"C4RM+7M2, Murma, Jharkhand 835205",835205,23.4406295,85.1341329,ChIJQThbMADb9DkRpCZ1OPtjbCg,https://www.google.com/maps/place/?q=place_id:ChIJQThbMADb9DkRpCZ1OPtjbCg,part_389,2026-09-20 20:44:05
AT BEAUTY EXPERT Salon at home,Salon,Beauty Parlour,"Beauty Parlour, Beautician, Home health care service",835205,Jharkhand Circle,Ranchi Region,Ranchi Division,"Brambe SO, Banapiri BO, Baraudi BO",+91 88507 90059,N/A,5.0,6.0,"Kathitand, Ratu, Ranchi, Jharkhand 835222","Kathitand, Ratu",23.4118241,85.2308367,ChIJPyg79tTd9DkRcCPHK3BMDeA,https://www.google.com/maps/place/?q=place_id:ChIJPyg79tTd9DkRcCPHK3BMDeA,part_389,2026-09-20 20:44:05
Neha’s Salon,Salon,Beauty Parlour,Beauty Parlour,835205,Jharkhand Circle,Ranchi Region,Ranchi Division,"Brambe SO, Banapiri BO, Baraudi BO",+91 62002 61491,http://www.nehasalon.online/,4.6,55.0,"Police Station Anita Mansion, Block Rd, opposite Ratu, Kathitand, Ratu, Ranchi, Jharkhand 835222","Kathitand, Ratu",23.4158729,85.22945709999999,ChIJ9xOpkr7d9DkRigQXYFcKWpk,https://www.google.com/maps/place/?q=place_id:ChIJ9xOpkr7d9DkRigQXYFcKWpk,part_389,2026-09-20 20:44:05
Maa Vaishnavi Ladies Beauty Parlour & Ladies Corner,Salon,Beauty Parlour,Beauty Parlour,835205,Jharkhand Circle,Ranchi Region,Ranchi Division,"Brambe SO, Banapiri BO, Baraudi BO",+91 95259 95882,N/A,5.0,8.0,"road Sawna chowk, Paali, Brambe, Jharkhand 835205",835205,23.431760399999998,85.1471514,ChIJATMFnA7b9DkR2lWsDWtbCUk,https://www.google.com/maps/place/?q=place_id:ChIJATMFnA7b9DkR2lWsDWtbCUk,part_389,2026-09-20 20:44:05
