business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Deepak General Store,General Store,General store,General store,835213,Jharkhand Circle,Ranchi Region,Ranchi Division,"Kuru SO, Chapijhario BO, Chandujima BO",N/A,N/A,4.5,,"GVRW+425, Kokar, Honhe, Jharkhand 835213",835213,23.540263,84.8951239,ChIJ3Te9fwAzizkRCkyWaSX-xxc,https://www.google.com/maps/place/?q=place_id:ChIJ3Te9fwAzizkRCkyWaSX-xxc,part_389,2026-09-20 20:49:27
Taslim Genral Stor,General Store,General store,General store,835213,Jharkhand Circle,Ranchi Region,Ranchi Division,"Kuru SO, Chapijhario BO, Chandujima BO",+91 96937 67201,N/A,,,"001 Kurse, Lohardaga - Chandwa Rd, Hesal, Lohardaga, Jharkhand 835213",835213,23.5302284,84.7075899,ChIJ6UzpWgA7izkRzOkko4ZSDYk,https://www.google.com/maps/place/?q=place_id:ChIJ6UzpWgA7izkRzOkko4ZSDYk,part_389,2026-09-20 20:49:27
MAIRUN GENERAL STORE,General Store,General store,General store,835213,Jharkhand Circle,Ranchi Region,Ranchi Division,"Kuru SO, Chapijhario BO, Chandujima BO",+91 95463 24053,N/A,,,"Chandwa Road Hesal, Lohardaga - Chandwa Rd, Chandwa, Ranchi, Jharkhand 835222",835213,23.5376777,84.7206174,ChIJB77sxAI7izkRQWt5k1t29Dk,https://www.google.com/maps/place/?q=place_id:ChIJB77sxAI7izkRQWt5k1t29Dk,part_389,2026-09-20 20:49:27
Sudhir General Store,General Store,General store,General store,835213,Jharkhand Circle,Ranchi Region,Ranchi Division,"Kuru SO, Chapijhario BO, Chandujima BO",N/A,N/A,4.4,,"834001, Jharkhand 835302",835213,23.436377,84.6808939,ChIJKfcGangjizkRTUHm1KHBQSo,https://www.google.com/maps/place/?q=place_id:ChIJKfcGangjizkRTUHm1KHBQSo,part_389,2026-09-20 20:49:27
Rajendra Prasad General Store,General Store,General store,General store,835213,Jharkhand Circle,Ranchi Region,Ranchi Division,"Kuru SO, Chapijhario BO, Chandujima BO",N/A,N/A,5.0,,"MJVW+JQP, An, Jharkhand 829203",835213,23.6941329,84.6469939,ChIJJaGlbwBBizkRldcyjA0lTj0,https://www.google.com/maps/place/?q=place_id:ChIJJaGlbwBBizkRldcyjA0lTj0,part_389,2026-09-20 20:49:28
Rohit General Store,General Store,General store,"General store, Hotel",835213,Jharkhand Circle,Ranchi Region,Ranchi Division,"Kuru SO, Chapijhario BO, Chandujima BO",+91 62008 78214,N/A,4.1,,"Bar Chowk, Patratu Bar Chowk, Patratu, Patrau, Jharkhand 835214",835213,23.5379485,84.9430079,ChIJV1OGYirN9DkRSLdoYf-ixUo,https://www.google.com/maps/place/?q=place_id:ChIJV1OGYirN9DkRSLdoYf-ixUo,part_389,2026-09-20 20:49:28
Anil Betal Shop,General Store,General store,General store,835213,Jharkhand Circle,Ranchi Region,Ranchi Division,"Kuru SO, Chapijhario BO, Chandujima BO",+91 97713 79328,N/A,4.0,,"NH 39, Chandwa, Jharkhand 829203",835213,23.669644899999998,84.73722169999999,ChIJTwjQSXk4izkR57KbaUJQ8JA,https://www.google.com/maps/place/?q=place_id:ChIJTwjQSXk4izkR57KbaUJQ8JA,part_389,2026-09-20 20:49:28
Pinku babu,General Store,General store,General store,835213,Jharkhand Circle,Ranchi Region,Ranchi Division,"Kuru SO, Chapijhario BO, Chandujima BO",N/A,N/A,4.2,,"Barkichanpi, Jharkhand 835213",835213,23.5694764,84.7300564,ChIJff5_pTo7izkRpHYYoRgAyqQ,https://www.google.com/maps/place/?q=place_id:ChIJff5_pTo7izkRpHYYoRgAyqQ,part_389,2026-09-20 20:49:29
General store,General Store,Convenience store,Convenience store,835213,Jharkhand Circle,Ranchi Region,Ranchi Division,"Kuru SO, Chapijhario BO, Chandujima BO",N/A,N/A,,,"Kuru bakri, Jatin kirana store, chapi rod, Manatu, Jharkhand 835213",835213,23.5602669,84.7915999,ChIJT-YvHDoxizkRi5igmqUK6JM,https://www.google.com/maps/place/?q=place_id:ChIJT-YvHDoxizkRi5igmqUK6JM,part_389,2026-09-20 20:49:29
ANKUS GENERAL STORE,General Store,General store,General store,835213,Jharkhand Circle,Ranchi Region,Ranchi Division,"Kuru SO, Chapijhario BO, Chandujima BO",+91 92042 39897,N/A,,,"Kuru Chatakpur Road, Jima, Jharkhand 835213",835213,23.538509599999998,84.77144899999999,ChIJu2qGPSU7izkRXp4YCoztntA,https://www.google.com/maps/place/?q=place_id:ChIJu2qGPSU7izkRXp4YCoztntA,part_389,2026-09-20 20:49:29
Fahad general store,General Store,General store,General store,835213,Jharkhand Circle,Ranchi Region,Ranchi Division,"Kuru SO, Chapijhario BO, Chandujima BO",N/A,N/A,4.0,,"HQPM+GH5, Pirdag, Jharkhand 829203",835213,23.586275099999998,84.7840368,ChIJoUzNFiA3izkRObCqCMpnksg,https://www.google.com/maps/place/?q=place_id:ChIJoUzNFiA3izkRObCqCMpnksg,part_389,2026-09-20 20:49:29
