business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Hero Cycles Authorised Dealer - Shashi Cycle Store,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle repair shop, Bicycle wholesaler, Electric bicycle store",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 80 4599 9494,https://store.herocycles.com/hero-cycles-authorised-dealer-shashi-cycle-store-bicycle-shop-nicha-bazar-simdega-531404/Home?utm_source=locator&utm_medium=googleplaces,5.0,,"Shashi Cycle Store, Main Rd, nearby Bozar Petrol Pump, Niche Bazar, Nicha Bazar, Officers Colony, Simdega, Jharkhand 835223","Niche Bazar, Nicha Bazar, Officers Colony",22.6071036,84.5015064,ChIJP_hHpyadijkRsDRUxzD7ER0,https://www.google.com/maps/place/?q=place_id:ChIJP_hHpyadijkRsDRUxzD7ER0,part_390,2026-09-20 20:19:37,1466
Chotu cycle mobile reparing Center,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,,,"HGP4+2F6, Khairantoli mujahid, Tukupani Gurgurchuan, Jharkhand 835223",835223,22.5850366,84.5061436,ChIJGezQdI-dijkR_nlegG0tO2w,https://www.google.com/maps/place/?q=place_id:ChIJGezQdI-dijkR_nlegG0tO2w,part_390,2026-09-20 20:19:37,1467
Jitendra Bike Service Center,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 70702 53837,N/A,,,"Goriya Bahar, Main road, goriyabahar, Sewai, Jharkhand 835223",goriyabahar,22.6501979,84.3367751,ChIJYVOPM4GHijkRsGUqsnpuUu4,https://www.google.com/maps/place/?q=place_id:ChIJYVOPM4GHijkRsGUqsnpuUu4,part_390,2026-09-20 20:19:37,1468
Cycle Store & Repairing Centre,Bicycle Shop and Repair,Store,Store,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,5.0,,"3W2R+42H, Mahugaon, Jharkhand 835234",835223,23.050314699999998,84.9401032,ChIJP3QA0bDNijkRP_Vjm_S30y4,https://www.google.com/maps/place/?q=place_id:ChIJP3QA0bDNijkRP_Vjm_S30y4,part_390,2026-09-20 20:19:38,1469
MOON BAJAJ,Bicycle Shop and Repair,Motorcycle parts store,"Motorcycle parts store, Two Wheeler Dealer",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 79031 42285,N/A,5.0,,"Main road, Ranchi-Rourkela-Barkote Highway, near Bank of India, Kolebira, Jharkhand 835211",835223,22.6997002,84.69338139999999,ChIJZTEnOTalijkRSGM4YJ8vVPE,https://www.google.com/maps/place/?q=place_id:ChIJZTEnOTalijkRSGM4YJ8vVPE,part_390,2026-09-20 20:19:38,1470
Rajen Bike Workshop,Bicycle Shop and Repair,Electronics store,Electronics store,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 91782 28554,N/A,4.3,3.0,"932W+7RF, Talsara, Sapdagar, Odisha 770074",835223,22.3506957,84.0970353,ChIJ5UU1-1qbIDoRUaHfDrrub50,https://www.google.com/maps/place/?q=place_id:ChIJ5UU1-1qbIDoRUaHfDrrub50,part_390,2026-09-20 20:19:38,1471
Ajay Cycles,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,,,"JG62+4MH, Ghocho Toli, Simdega, Jharkhand 835223",Ghocho Toli,22.6102427,84.5017927,ChIJEZ-IiKCdijkR-M9cKzWK8Ks,https://www.google.com/maps/place/?q=place_id:ChIJEZ-IiKCdijkR-M9cKzWK8Ks,part_390,2026-09-20 20:19:39,1472
Sanjay Cycle & Pump Sets Work Shop,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle repair shop",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 98357 08506,N/A,5.0,,"Piska Nagri Chowk, Jharkhand 835303",835223,23.325642,85.1934698,ChIJ84yCE0zf9DkRXISgZMeGc_s,https://www.google.com/maps/place/?q=place_id:ChIJ84yCE0zf9DkRXISgZMeGc_s,part_390,2026-09-20 20:19:39,1473
Mahesh Cycle Stores,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",+91 6524 223 775,N/A,4.2,,"Gumla-Bero-Jariya Rd, near Tower chowk, Gumla, Jharkhand 835207",835224,23.0414069,84.54334659999999,ChIJ98KIgBjpijkR379tsxDKK6M,https://www.google.com/maps/place/?q=place_id:ChIJ98KIgBjpijkR379tsxDKK6M,part_390,2026-09-20 20:20:18,5390
Arun stores -HERO SPRINT STORE,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",+91 80841 74275,http://www.facebook.com/arunstore,4.3,,"Jharkhand State Highway 8 Cycle Dealer, Lohardaga, Road, Gumla, Jharkhand 835207",835224,23.0432599,84.54123659999999,ChIJCY1_MCLpijkREtZ9TI5G8lw,https://www.google.com/maps/place/?q=place_id:ChIJCY1_MCLpijkREtZ9TI5G8lw,part_390,2026-09-20 20:20:18,5391
