business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Medall Lab Collection Center,Diagnostic Center,Diagnostic center,Diagnostic center,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 75501 77777,https://www.medall.in/,3.0,2.0,"Sadar Hospital, NH-23, Thana Tolli, Saldega, Simdega, Jharkhand 835223","Thana Tolli, Saldega",22.6147109,84.50227129999999,ChIJl1viY3mdijkRIOmKwjBk_UM,https://www.google.com/maps/place/?q=place_id:ChIJl1viY3mdijkRIOmKwjBk_UM,part_390,2026-09-20 20:19:34,1004
"TATA.CARS Showroom - Basudeb Auto Simdega, Simdega Ranchi Road",Diagnostic Center,Car dealer,"Car dealer, Auto Accessories Store, Electric motor vehicle dealer",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 91675 35127,https://dealer-locator.cars.tatamotors.com/tata-cars-showroom-basudeb-auto-simdega-simdega-ranchi-road-car-dealer-simdega-ranchi-road-simdega-171724/Home?utm_source=locator&utm_medium=googleplaces,4.2,53.0,"Ranchi Road, near Health Plus Medical Store, Sonar Toli, Saldega, Simdega, Jharkhand 835223","Sonar Toli, Saldega",22.6243683,84.5037917,ChIJrwyjqvWbijkRDjEnN69EJlc,https://www.google.com/maps/place/?q=place_id:ChIJrwyjqvWbijkRDjEnN69EJlc,part_390,2026-09-20 20:19:36,1005
"Thyrocare Diagnostic Lab | Blood Test Centre - Gumla,Jharkhand",Diagnostic Center,Diagnostic center,Diagnostic center,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",+91 75690 42103,https://www.thyrocare.com/,5.0,2.0,"Gr floor, near Birsa Munda Park, Gokul Nagar, Gumla, Jharkhand 835207",Gokul Nagar,23.033384899999998,84.538901,ChIJmdKM7xbpijkRv2lBlVsfyqs,https://www.google.com/maps/place/?q=place_id:ChIJmdKM7xbpijkRv2lBlVsfyqs,part_390,2026-09-20 20:20:15,5045
Hamida Medical हमीदा मेडिकल,Diagnostic Center,Medical Center,Medical Center,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",N/A,N/A,5.0,1.0,"2GXW+836 Hussein nagar, Gumla, Jharkhand 835207",835224,23.0482803,84.5452207,ChIJQbwREQDpijkRChpId9-5s1A,https://www.google.com/maps/place/?q=place_id:ChIJQbwREQDpijkRChpId9-5s1A,part_390,2026-09-20 20:20:15,5046
Smart diagnostic centre,Diagnostic Center,Diagnostic center,Diagnostic center,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",N/A,N/A,5.0,3.0,"Jashpur Rd, Gokul Nagar, Gumla, Jharkhand 835207",Gokul Nagar,23.0351917,84.5388526,ChIJJ2grZiHpijkR5n7kbP36OC8,https://www.google.com/maps/place/?q=place_id:ChIJJ2grZiHpijkR5n7kbP36OC8,part_390,2026-09-20 20:20:15,5047
Swastik diagnostic centre,Diagnostic Center,Pathologist,Pathologist,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",N/A,N/A,5.0,6.0,"2GMQ+RHF, Jashpur Rd, Gokul Nagar, Gumla, Jharkhand 835207",Gokul Nagar,23.034554,84.53891,ChIJS1iIDQDpijkRo-2UNsj8hGw,https://www.google.com/maps/place/?q=place_id:ChIJS1iIDQDpijkRo-2UNsj8hGw,part_390,2026-09-20 20:20:15,5048
Maa santoshi medical,Diagnostic Center,Medical Center,Medical Center,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",N/A,N/A,5.0,1.0,"3G2R+RH8, Mission chowk, Gumla, Jharkhand 835207",835224,23.052042,84.541466,ChIJsZc_FwDpijkRHXLZCpX4Bio,https://www.google.com/maps/place/?q=place_id:ChIJsZc_FwDpijkRHXLZCpX4Bio,part_390,2026-09-20 20:20:15,5049
Thyrocare Aarogyam Center,Diagnostic Center,Diagnostic center,Diagnostic center,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",+91 97101 60650,https://www.thyrocare.com/,5.0,5.0,"C/O Kumar Medical Hall , Ss High School Road, DSP Rd, near Saraswati Sishu Mandir, Gumla, Jharkhand 835207",835224,23.0383152,84.5442312,ChIJmZGETKHpijkRBeY3vMwtP4g,https://www.google.com/maps/place/?q=place_id:ChIJmZGETKHpijkRBeY3vMwtP4g,part_390,2026-09-20 20:20:15,5050
Yashoda ultrasound dignostic center,Diagnostic Center,Hospital,Hospital,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",N/A,N/A,1.5,8.0,"2GQQ+CVR, NH 43, Gumla, Jharkhand 835207",835224,23.0386104,84.5396526,ChIJB2wHN97pijkRA55x4sUBdik,https://www.google.com/maps/place/?q=place_id:ChIJB2wHN97pijkRA55x4sUBdik,part_390,2026-09-20 20:20:15,5051
Pathkind Labs,Diagnostic Center,Diagnostic center,"Diagnostic center, Blood testing service, HIV testing center, Laboratory, Medical Center, Medical laboratory, Pathologist, STD testing service",835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",N/A,https://nearby.pathkindlabs.com/pathkind-labs-gokul-nagar-gumla-47021/home?utm_source=GBP,,,"Jashpur Rd, near Gumla Marble, Gokul Nagar, Gumla, Jharkhand 835207",Gokul Nagar,23.037599999999998,84.53929,ChIJccgenwPpijkRCqvq5W_tEY0,https://www.google.com/maps/place/?q=place_id:ChIJccgenwPpijkRCqvq5W_tEY0,part_390,2026-09-20 20:20:15,5052
