business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Anand Dhaba family restaurant,Family Restaurant,Restaurant,Restaurant,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,4.6,,"Arani, Jharkhand 835228",835223,22.672880199999998,84.57957619999999,ChIJcy0wHjeZijkRDkE39sr3HRc,https://www.google.com/maps/place/?q=place_id:ChIJcy0wHjeZijkRDkE39sr3HRc,part_390,2026-09-20 20:19:28,527
Munki Didi ‘s Kitchen,Family Restaurant,Vegetarian restaurant,Vegetarian restaurant,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,5.0,,"JGC3+CH5, Saldega Rd, Saldega, Simdega, Jharkhand 835223",Saldega,22.620068999999997,84.504226,ChIJm6I1XgCdijkR4r13kyEX2yU,https://www.google.com/maps/place/?q=place_id:ChIJm6I1XgCdijkR4r13kyEX2yU,part_390,2026-09-20 20:19:28,528
Kolkata Biryani & Food Plaza Simdega,Family Restaurant,Restaurant,Restaurant,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 93341 98822,N/A,5.0,,"bus stand ke, Main Rd, opposite Simdega, Niche Bazar, Officers Colony, Simdega, Jharkhand 835223","Niche Bazar, Officers Colony",22.6061028,84.5015561,ChIJE3s6xQycijkR4bF09mtEN_Q,https://www.google.com/maps/place/?q=place_id:ChIJE3s6xQycijkR4bF09mtEN_Q,part_390,2026-09-20 20:19:28,529
Tirkey garden restaurant,Family Restaurant,Family restaurant,Family restaurant,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,4.0,,"JGR4+RQ, Bangru, Jharkhand 835223",835223,22.6420983,84.50697,ChIJrY3ydwCbijkRf_Fl1v-5avw,https://www.google.com/maps/place/?q=place_id:ChIJrY3ydwCbijkRf_Fl1v-5avw,part_390,2026-09-20 20:19:28,530
Banshi Wala,Family Restaurant,Indian restaurant,Indian restaurant,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,5.0,,"JGC3+H86, Saldega, Simdega, Jharkhand 835223",Saldega,22.6214089,84.5034203,ChIJraZ4OwCbijkRVujt7zgoIMw,https://www.google.com/maps/place/?q=place_id:ChIJraZ4OwCbijkRVujt7zgoIMw,part_390,2026-09-20 20:19:28,531
Hotel krishn bhumi regency,Family Restaurant,Hotel,Hotel,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 70048 53096,N/A,4.9,64.0,"Nice computer gali, adarsh nagar, Prince chowk, Baraik, Simdega, Jharkhand 835223",Baraik,22.6209775,84.5013005,ChIJ1aZ9j9mdijkRoKz8CNjNvIw,https://www.google.com/maps/place/?q=place_id:ChIJ1aZ9j9mdijkRoKz8CNjNvIw,part_390,2026-09-20 20:19:29,532
Brother's Den Family Restaurant,Family Restaurant,Family restaurant,"Family restaurant, Vegetarian restaurant",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 62670 27592,N/A,4.8,14.0,"NH 43, Kandora, Kunkuri, Chhattisgarh 496225",835223,22.763651799999998,84.0117424,ChIJjcC6na8TijkRenZCelKW3cY,https://www.google.com/maps/place/?q=place_id:ChIJjcC6na8TijkRenZCelKW3cY,part_390,2026-09-20 20:19:29,533
The family hotel,Family Restaurant,Family restaurant,Family restaurant,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 88478 77979,N/A,4.7,45.0,"SH 4, Balisankara, Odisha 770015",835223,22.3574713,84.0204574,ChIJxQPwbQCbIDoRQnRDY4GslSk,https://www.google.com/maps/place/?q=place_id:ChIJxQPwbQCbIDoRQnRDY4GslSk,part_390,2026-09-20 20:19:29,534
HOTEL HUNGER HIGHWAY A/c Family restaurant,Family Restaurant,Indian restaurant,Indian restaurant,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,4.5,30.0,"74F3+M84, Subdega, Odisha 770014",835223,22.2741483,84.1033238,ChIJd8gfNwCPIDoR5EkXIVQRleM,https://www.google.com/maps/place/?q=place_id:ChIJd8gfNwCPIDoR5EkXIVQRleM,part_390,2026-09-20 20:19:29,535
Aroma’s Kitchen,Family Restaurant,Family restaurant,Family restaurant,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,4.0,,"NH 143, Khutitoli, Jharkhand 835223",835223,22.6464636,84.5095537,ChIJfxR0HQCbijkRzqTZ0MK4YC4,https://www.google.com/maps/place/?q=place_id:ChIJfxR0HQCbijkRzqTZ0MK4YC4,part_390,2026-09-20 20:19:30,536
Ekka's family restaurant gumla,Family Restaurant,Restaurant,Restaurant,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",+91 91998 45532,N/A,2.9,8.0,"2HV3+J47, Gumla, Jharkhand 835207",835224,23.0440488,84.5528099,ChIJm4ijR4rpijkRhqjRNPCeO6Q,https://www.google.com/maps/place/?q=place_id:ChIJm4ijR4rpijkRhqjRNPCeO6Q,part_390,2026-09-20 20:20:09,4449
Vyanjanwala Dhaba & Family Restaurant 🍽️🍝,Family Restaurant,Indian restaurant,Indian restaurant,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",N/A,N/A,4.3,12.0,"4PM2+RXF, Lawagain, Jharkhand 835324",835224,23.134428,84.7025081,ChIJu5346ejbijkRUKtMSdV81YY,https://www.google.com/maps/place/?q=place_id:ChIJu5346ejbijkRUKtMSdV81YY,part_390,2026-09-20 20:20:09,4450
Ayush Family Restaurant,Family Restaurant,Restaurant,Restaurant,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",+91 79704 77505,N/A,5.0,1.0,"Palkot Rd, Gumla, Armai, Jharkhand 835220",835224,23.0303437,84.5725075,ChIJfRUV_aLpijkRnzshM2ZIEzw,https://www.google.com/maps/place/?q=place_id:ChIJfRUV_aLpijkRnzshM2ZIEzw,part_390,2026-09-20 20:20:09,4451
Annprashan Family Restaurant Bharno,Family Restaurant,Restaurant,Restaurant,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",N/A,N/A,4.6,17.0,"6V9C+86M, Kumbhro, Jharkhand 835203",835224,23.2183261,84.8705593,ChIJJd58JwDVijkRSlwcj-3TDrg,https://www.google.com/maps/place/?q=place_id:ChIJJd58JwDVijkRSlwcj-3TDrg,part_390,2026-09-20 20:20:09,4452
Bhutpurv Sainik Family Restaurant and Dhaba,Family Restaurant,Family restaurant,Family restaurant,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",N/A,N/A,5.0,1.0,"Khora, Jharkhand 835207",835224,23.0804965,84.6182254,ChIJDS15PgDDijkRW_rQ-Pj-Oqg,https://www.google.com/maps/place/?q=place_id:ChIJDS15PgDDijkRW_rQ-Pj-Oqg,part_390,2026-09-20 20:20:09,4453
Food & Mood,Family Restaurant,Restaurant,"Restaurant, Family restaurant",835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",+91 82981 92731,N/A,4.7,,"Petrol Pump, 0, Jashpur Rd, Tirra, Gumla, Jharkhand 835232",835224,23.0019101,84.53035729999999,ChIJlRwCr97rijkRUVELbLekJCc,https://www.google.com/maps/place/?q=place_id:ChIJlRwCr97rijkRUVELbLekJCc,part_390,2026-09-20 20:20:10,4454
"GREEN GARDEN, FAMILY RESTAURANT",Family Restaurant,Family restaurant,Family restaurant,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",N/A,N/A,4.0,,"7HXQ+44J, Gamharia, Happamuni, Jharkhand 835208",835224,23.2978383,84.5877538,ChIJKRVApSofizkRGUlYj36sZpA,https://www.google.com/maps/place/?q=place_id:ChIJKRVApSofizkRGUlYj36sZpA,part_390,2026-09-20 20:20:10,4455
फेमेली ढाबा,Family Restaurant,Family restaurant,Family restaurant,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",N/A,N/A,4.5,,"6GHQ+WMV, Kudu-Gumla Rd, Anadhradih, Jharkhand 835208",835224,23.2298671,84.53917419999999,ChIJqTGRdQDhijkR7IetW7uThfM,https://www.google.com/maps/place/?q=place_id:ChIJqTGRdQDhijkR7IetW7uThfM,part_390,2026-09-20 20:20:10,4456
