business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Indoor stadium,Sports Academy and Turf Ground,Sports club,Sports club,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,4.5,,"Thana Tolli, Dipti Toli, Simdega, Jharkhand 835223","Thana Tolli, Dipti Toli",22.6103736,84.4985932,ChIJBTgMAdadijkR7HBkKH_liYU,https://www.google.com/maps/place/?q=place_id:ChIJBTgMAdadijkR7HBkKH_liYU,part_390,2026-09-20 20:19:50,2721
Astroturf Hockey Stadium Simdega,Sports Academy and Turf Ground,Stadium,Stadium,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,4.2,,"JF8R+8M9, Pushpur, Simdega, Jharkhand 835223",Pushpur,22.615782499999998,84.4917195,ChIJ7Su-TXecijkR3rMOlSTxFws,https://www.google.com/maps/place/?q=place_id:ChIJ7Su-TXecijkR3rMOlSTxFws,part_390,2026-09-20 20:19:50,2722
Court Ground,Sports Academy and Turf Ground,Playground,Playground,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,4.4,,"JF7X+235, Officers Colony, Simdega, Jharkhand 835223",Officers Colony,22.6125172,84.4977308,ChIJIQHDs3OcijkR-ET9dZI-fYI,https://www.google.com/maps/place/?q=place_id:ChIJIQHDs3OcijkR-ET9dZI-fYI,part_390,2026-09-20 20:19:50,2723
DIG Cricket and Football Ground,Sports Academy and Turf Ground,Playground,Playground,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,4.1,,"98PV+8RM, Sarhul Nagar, Ranchi, Jharkhand 834009",Sarhul Nagar,23.3858477,85.3445545,ChIJh8Rfs0Lh9DkRTsOQuQhmbDc,https://www.google.com/maps/place/?q=place_id:ChIJh8Rfs0Lh9DkRTsOQuQhmbDc,part_390,2026-09-20 20:19:50,2724
Ranchi Sports Academy,Sports Academy and Turf Ground,Sports school,"Sports school, Cricket club, Cricket ground, Training center",835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 94311 76226,http://ranchisportsacademy.org/,4.1,,"C924+394, Bariatu Rd, Bariatu, Ranchi, Jharkhand 834009",Bariatu,23.4001387,85.3559576,ChIJoR6Env3j9DkRRjpjh-g3UhM,https://www.google.com/maps/place/?q=place_id:ChIJoR6Env3j9DkRRjpjh-g3UhM,part_390,2026-09-20 20:19:50,2725
NEW LIFE CRICKET ACADEMY,Sports Academy and Turf Ground,Sports club,Sports club,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 80026 45935,N/A,5.0,,"Kersai Rd, Kinkel, Jharkhand 835223",835223,22.5368854,84.21136179999999,ChIJGUL_JgB_ijkRklfU_btopY4,https://www.google.com/maps/place/?q=place_id:ChIJGUL_JgB_ijkRklfU_btopY4,part_390,2026-09-20 20:19:50,2726
Birsha football ground,Sports Academy and Turf Ground,Playground,Playground,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,5.0,,"Dewalgadda, Saradhu, Jharkhand 829202",Dewalgadda,23.8361785,84.9651909,ChIJW2e0IACz9DkRYxjb7Ou2E7s,https://www.google.com/maps/place/?q=place_id:ChIJW2e0IACz9DkRYxjb7Ou2E7s,part_390,2026-09-20 20:19:50,2727
R.C. Boys School Ground,Sports Academy and Turf Ground,Playground,Playground,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,,,"HP5J+48J, Gagutoli, Jharkhand 835211",835223,22.5578316,84.73077459999999,ChIJC19XIACnijkRlJs1FGnQEoM,https://www.google.com/maps/place/?q=place_id:ChIJC19XIACnijkRlJs1FGnQEoM,part_390,2026-09-20 20:19:50,2728
Rourkela Sports Association,Sports Academy and Turf Ground,Sports club,Sports club,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",+91 94382 45945,N/A,4.2,,"B/274, Sector 6, Rourkela, Raurkela Industrialship, Odisha 769002",Sector 6,22.2457361,84.8585983,ChIJHzeVZKweIDoR-6XzrGgkYtM,https://www.google.com/maps/place/?q=place_id:ChIJHzeVZKweIDoR-6XzrGgkYtM,part_390,2026-09-20 20:19:50,2729
Khuntitoli Church Ground,Sports Academy and Turf Ground,Playground,Playground,835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO",N/A,N/A,4.5,,"Ground, Khuntitoli Church, Simdega, Jharkhand 835223",835223,22.6529264,84.5065731,ChIJp1C6rnWbijkRZR6xrCXyhrE,https://www.google.com/maps/place/?q=place_id:ChIJp1C6rnWbijkRZR6xrCXyhrE,part_390,2026-09-20 20:19:50,2730
