business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Indoor Stadium,Media and Event,Sports complex,Sports complex,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",N/A,N/A,4.1,85.0,"im front of gandhi park, Gumla, Jharkhand 835207",835224,23.0406527,84.5373343,ChIJSSTfT6bpijkRoJnWMgYk3dE,https://www.google.com/maps/place/?q=place_id:ChIJSSTfT6bpijkRoJnWMgYk3dE,part_390,2026-09-20 20:20:29
District Election Office,Media and Event,Corporate office,Corporate office,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",N/A,N/A,2.5,2.0,"2GQP+2CF, Gumla, Jharkhand 835207",835224,23.0375554,84.53603919999999,ChIJl-rDGZTpijkRPv4QLBQ05AU,https://www.google.com/maps/place/?q=place_id:ChIJl-rDGZTpijkRPv4QLBQ05AU,part_390,2026-09-20 20:20:29
"DRDA, Gumla",Media and Event,Corporate office,Corporate office,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",N/A,N/A,3.3,3.0,"2GPP+9XC, Gumla, Jharkhand 835207",835224,23.035943,84.53740409999999,ChIJb24tzdfpijkRFnH7a8-GO58,https://www.google.com/maps/place/?q=place_id:ChIJb24tzdfpijkRFnH7a8-GO58,part_390,2026-09-20 20:20:29
Office,Media and Event,Corporate office,Corporate office,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",N/A,N/A,4.0,4.0,"2HP2+P9V, Gokul Nagar, Gumla, Jharkhand 835207",Gokul Nagar,23.0368645,84.55090679999999,ChIJMcjnZADpijkRuId4pvdo7MA,https://www.google.com/maps/place/?q=place_id:ChIJMcjnZADpijkRuId4pvdo7MA,part_390,2026-09-20 20:20:29
APS Videography,Media and Event,Video production service,Video production service,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",N/A,N/A,5.0,1.0,"Karam Toli, Parsa, Jharkhand 835207",835224,23.038880199999998,84.531232,ChIJ-fmlNZLpijkRwrYYxGqQ4Wg,https://www.google.com/maps/place/?q=place_id:ChIJ-fmlNZLpijkRwrYYxGqQ4Wg,part_390,2026-09-20 20:20:29
Ashish event & decorator,Media and Event,Wedding planner,"Wedding planner, Service establishment",835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",+91 94711 55752,https://ashish-decorator.ueniweb.com/,4.6,,"Ashish event & decorator, 835224, India",835224,23.6351966,85.5134368,ChIJoRBTQ0Xz9DkRs7BUylsSW-Y,https://www.google.com/maps/place/?q=place_id:ChIJoRBTQ0Xz9DkRs7BUylsSW-Y,part_390,2026-09-20 20:20:30
The Anand Band,Media and Event,Band,"Band, DJ supply store, Musical Band and Orchestra, Wedding planner, Wedding service",835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",+91 98355 58722,N/A,4.6,,"Ratu Road aryapuri shadev enclave, shiv mandir lane, near doordarshan kendra, near trackon courier, Shadoe enclave, Ranchi, Jharkhand 834001","Shadoe enclave, Indrapuri Colony",23.3817696,85.3120443,ChIJSaWkZL3h9DkRgKHP-_Q_wU4,https://www.google.com/maps/place/?q=place_id:ChIJSaWkZL3h9DkRgKHP-_Q_wU4,part_390,2026-09-20 20:20:30
Birsa Munda Park,Media and Event,Park,"Park, Tourist attraction",835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",+91 96862 85211,N/A,4.0,,"2GMQ+9H2, Gokul Nagar, Gumla, Jharkhand 835207",Gokul Nagar,23.033384899999998,84.538901,ChIJz61bETzpijkRQk5eMTNJUu4,https://www.google.com/maps/place/?q=place_id:ChIJz61bETzpijkRQk5eMTNJUu4,part_390,2026-09-20 20:20:30
JMD VIDEO PHOTOGRAPHY EVENT PLANNER,Media and Event,Wedding service,Wedding service,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",+91 73557 30638,N/A,4.4,12.0,"Karampur, road, Bihariganj, Saidpur, Uttar Pradesh 233223",Gopalapur,25.5462457,83.16054199999999,ChIJX0JBIX_ZkTkRgtOlf3J_8hg,https://www.google.com/maps/place/?q=place_id:ChIJX0JBIX_ZkTkRgtOlf3J_8hg,part_390,2026-09-20 20:20:31
Leormedia,Media and Event,Event management company,"Event management company, Branding agency, Event planner, Event venue, Marketing agency, Stage, Stage lighting equipment supplier, Wedding planner, Wedding service",835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",+91 96666 43456,http://www.leormedia.com/,4.8,88.0,"flot no 404 , 4th Floor, Near GVK Plaza, Gurudwara, Madhuranagar, Dwaraka Nagar, Visakhapatnam, Andhra Pradesh 530016","Near GVK Plaza, Gurudwara, Madhuranagar, Dwaraka Nagar",17.7333397,83.3067291,ChIJYUkDCiZDOToRaohqEOMBUqU,https://www.google.com/maps/place/?q=place_id:ChIJYUkDCiZDOToRaohqEOMBUqU,part_390,2026-09-20 20:20:31
Events Media,Media and Event,Event management company,Event management company,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",+91 80962 66389,N/A,4.9,8.0,"15-142/1, Flat No. 205, Sahithi nest apartment, Kodandaramnagar, P & T Colony, Dilsukhnagar, Hyderabad, Telangana 500060","VV Nagar, P & T Colony, Dilsukhnagar",17.3583323,78.5278925,ChIJ44fEaLaZyzsRGqzxxuSoiOs,https://www.google.com/maps/place/?q=place_id:ChIJ44fEaLaZyzsRGqzxxuSoiOs,part_390,2026-09-20 20:20:31
Navgeet Dam,Media and Event,Farm,Farm,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",N/A,N/A,2.0,1.0,"2GVQ+M54, Gumla, Jharkhand 835207",835224,23.0441295,84.53794549999999,ChIJDw3AfwDpijkR2KYuV1mQvtQ,https://www.google.com/maps/place/?q=place_id:ChIJDw3AfwDpijkR2KYuV1mQvtQ,part_390,2026-09-20 20:20:31
MOULD MEDIA - CORPORATE EVENTS | EXHIBITIONS | CONCERTS,Media and Event,Event management company,"Event management company, Event planner, Event technology service, Exhibition planner, Media Consultant, Party planner, Stage lighting equipment supplier, Wedding planner, Wedding service",835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",+91 20 4603 4746,http://www.mouldmedia.in/,4.9,53.0,"11, Shivani, opp. Rasta Cafe, near Balewadi Phata, Baner, Pune, Maharashtra 411069","Lalit Estate, Baner",18.5623766,73.7836798,ChIJSaeNHda_wjsRTahoeh7HqPA,https://www.google.com/maps/place/?q=place_id:ChIJSaeNHda_wjsRTahoeh7HqPA,part_390,2026-09-20 20:20:31
Jus Jumpin,Media and Event,Children's party service,"Children's party service, Amusement center, Indoor playground",835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",+91 98303 59999,https://www.jusjumpin.com/ranchi-nucleus-mall/,4.8,5819.0,"2nd Floor, Jus Jumpin, S-018 & S-019, Circular Rd, Lalpur, Ranchi, Jharkhand 834001",Lalpur,23.3772342,85.3314637,ChIJtWjYawDh9DkRJ1m11RVjVCU,https://www.google.com/maps/place/?q=place_id:ChIJtWjYawDh9DkRJ1m11RVjVCU,part_390,2026-09-20 20:20:31
SILICON MEDIA EVENTS,Media and Event,Event management company,Event management company,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",+91 90521 04222,N/A,4.9,30.0,"103, Sriranga Samrajyam, NGGOS Colony, Akkayyapalem, Visakhapatnam, Andhra Pradesh 530016","NGGOS Colony, Akkayyapalem",17.7376515,83.300733,ChIJFVsIcfNDOToR4npo95XJcS8,https://www.google.com/maps/place/?q=place_id:ChIJFVsIcfNDOToR4npo95XJcS8,part_390,2026-09-20 20:20:31
Jama Masjid Sisai,Media and Event,Mosque,Mosque,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",+91 99557 85786,N/A,4.4,76.0,"5Q84+XPG, Sisai, Jharkhand 835224",835224,23.1674375,84.75682809999999,ChIJe5sOJ2naijkRowv9t7d4Ghw,https://www.google.com/maps/place/?q=place_id:ChIJe5sOJ2naijkRowv9t7d4Ghw,part_390,2026-09-20 20:20:31
Media Events and Advertising Pvt. Ltd.,Media and Event,Event management company,"Event management company, Advertising agency, Graphic designer, Internet marketing service, Marketing agency, Public relations firm, Website designer",835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",+91 253 297 0121,http://www.mediaexhibitors.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb%E2%80%9D,4.4,43.0,"Media House, Aanandi Nagar, Gangapur Rd, Nashik, Maharashtra 422013","Serene Meadows, Anandvalli",20.013550499999997,73.73878069999999,ChIJybd35ajr3TsRE86o_wvnkJk,https://www.google.com/maps/place/?q=place_id:ChIJybd35ajr3TsRE86o_wvnkJk,part_390,2026-09-20 20:20:31
Studio Sweetmemories,Media and Event,Video production service,"Video production service, Photography service, Video Conferencing Service Provider, Video editing service, Photography studio, Wedding photographer",835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",+91 99373 59917,https://www.instagram.com/rock__rup?igsh=MTVlY3ltN3pvM2EzeA==,4.3,43.0,"SH10, Bhasma, Odisha 770019",835224,21.9568975,84.0361954,ChIJNSpHI0LvIDoRYjj_LMqulJg,https://www.google.com/maps/place/?q=place_id:ChIJNSpHI0LvIDoRYjj_LMqulJg,part_390,2026-09-20 20:20:31
8th Milestone,Media and Event,Recreation center,"Recreation center, Game store, Go-karting venue, Playground, Restaurant",835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",+91 88777 79988,https://bit.ly/3N3aD2R,4.3,1520.0,"C9J6+RPM, Morabadi, Kanke - Ormanjhi Rd, Boreya, Ranchi, Jharkhand 834006",835224,23.4332696,85.364274,ChIJ6WWJi4jl9DkRiJxIJ9deM3A,https://www.google.com/maps/place/?q=place_id:ChIJ6WWJi4jl9DkRiJxIJ9deM3A,part_390,2026-09-20 20:20:31
The Great Raju Band,Media and Event,Band,Band,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",+91 70049 29031,N/A,4.9,327.0,"Marwari College Boy's, Lake Rd, Upper Bazar, Ranchi, Jharkhand 834001",Upper Bazar,23.365624399999998,85.32155709999999,ChIJFRuA-gLh9DkRwk0Pm5SgJto,https://www.google.com/maps/place/?q=place_id:ChIJFRuA-gLh9DkRwk0Pm5SgJto,part_390,2026-09-20 20:20:31
Ekatra Events and Media Pvt Ltd,Media and Event,Event management company,"Event management company, Event planner, Event technology service, Wedding planner",835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",+91 99665 76644,N/A,4.9,214.0,"opp. Oxygen Towers In-Gate, TPT Colony, Balayya Sastri Layout, Seethammadara, Visakhapatnam, Andhra Pradesh 530013","TPT Colony, Balayya Sastri Layout, Seethammadara",17.7412091,83.3136577,ChIJ73frzkpDOToRlcDuKzS-BrQ,https://www.google.com/maps/place/?q=place_id:ChIJ73frzkpDOToRlcDuKzS-BrQ,part_390,2026-09-20 20:20:31
Sharda Complex,Media and Event,Shopping mall,Shopping mall,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",N/A,N/A,3.8,,"Sharda Complex, Palkot Rd, Gumla, Jharkhand 835207",835224,23.040713,84.5450661,ChIJm1xSazrpijkRj9Jf08IJNA8,https://www.google.com/maps/place/?q=place_id:ChIJm1xSazrpijkRj9Jf08IJNA8,part_390,2026-09-20 20:20:31
FOGLA TELECOM,Media and Event,Cell phone store,Cell phone store,835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO",N/A,N/A,,,"Gumla, Jharkhand 835207",835224,23.041908199999998,84.5412085,ChIJq1p0UCLpijkRLiS_Yjp83KU,https://www.google.com/maps/place/?q=place_id:ChIJq1p0UCLpijkRLiS_Yjp83KU,part_390,2026-09-20 20:20:31
