business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Flavour Art Caterers,Caterer and Event Planner,Caterer,"Caterer, Event planner",835225,Jharkhand Circle,Ranchi Region,Ranchi Division,"Tamar SO, Amlesha BO, Arki BO",N/A,https://flavourartcaterers.in/,4.7,,"near Kumhar Toli Road, Kishore Ganj, Kumhartoli, Ranchi, Jharkhand 834001","Kishore Ganj, Kumhartoli",23.373880699999997,85.30582849999999,ChIJYZU9IvUBCWURYu1BY0cekCQ,https://www.google.com/maps/place/?q=place_id:ChIJYZU9IvUBCWURYu1BY0cekCQ,part_390,2026-09-20 20:21:13
Savory Caterers,Caterer and Event Planner,Catering food and drink supplier,Catering food and drink supplier,835225,Jharkhand Circle,Ranchi Region,Ranchi Division,"Tamar SO, Amlesha BO, Arki BO",+91 99558 85262,http://savorycaterer.com/,4.9,,"3rd floor, Anideep Complex, Ahirtoli, Ranchi, Jharkhand 834001",Ahirtoli,23.379520199999998,85.3248492,ChIJL_-XvgDh9DkRle_AP1q6yZA,https://www.google.com/maps/place/?q=place_id:ChIJL_-XvgDh9DkRle_AP1q6yZA,part_390,2026-09-20 20:21:13
Vijay Catering,Caterer and Event Planner,Caterer,"Caterer, Breakfast restaurant",835225,Jharkhand Circle,Ranchi Region,Ranchi Division,"Tamar SO, Amlesha BO, Arki BO",+91 93041 73349,N/A,4.5,,"Ratu Chatti, Ratu, Ranchi, Jharkhand 835222","Ratu Chatti, Ratu",23.418656799999997,85.21635909999999,ChIJ57PqbTvc9DkRwEdWp5k95S0,https://www.google.com/maps/place/?q=place_id:ChIJ57PqbTvc9DkRwEdWp5k95S0,part_390,2026-09-20 20:21:13
HARRY PAGDI SAFFA TYING SERVICES,Caterer and Event Planner,Wedding planner,Wedding planner,835225,Jharkhand Circle,Ranchi Region,Ranchi Division,"Tamar SO, Amlesha BO, Arki BO",N/A,N/A,5.0,,"Bahu Bazar, Upper Chutia, Kathartoli, Ranchi, Jharkhand 834001","Bahu Bazar, Upper Chutia, Kathartoli",23.357008,85.3375674,ChIJVx0SWI_h9DkRAz5pxT1Ffv4,https://www.google.com/maps/place/?q=place_id:ChIJVx0SWI_h9DkRAz5pxT1Ffv4,part_390,2026-09-20 20:21:13
The Taste Catering,Caterer and Event Planner,Caterer,"Caterer, Catering food and drink supplier, Event management company, Event planner, Party planner, Restaurant supply store, Tent House Supplier, Wedding buffet, Wedding photographer, Wedding service",835225,Jharkhand Circle,Ranchi Region,Ranchi Division,"Tamar SO, Amlesha BO, Arki BO",+91 97097 39633,https://www.thetastecatering.com/,4.9,,"Power Grid Road, Namkum, Sidroll, Ranchi, Jharkhand 834010",Namkum,23.3074959,85.3985306,ChIJh6tl-BXh9DkRqB_mQgkJztQ,https://www.google.com/maps/place/?q=place_id:ChIJh6tl-BXh9DkRqB_mQgkJztQ,part_390,2026-09-20 20:21:13
7 Season Event and Services,Caterer and Event Planner,Event planner,Event planner,835225,Jharkhand Circle,Ranchi Region,Ranchi Division,"Tamar SO, Amlesha BO, Arki BO",+91 62037 72554,https://www.instagram.com/7season_event/,5.0,,"Harmu Rd, Kishore Ganj, Bhumiartoli, Ranchi, Jharkhand 834001","Kishore Ganj, Bhumiartoli",23.369196,85.31160469999999,ChIJq7g7fLDh9DkRNWLyZp8wTdA,https://www.google.com/maps/place/?q=place_id:ChIJq7g7fLDh9DkRNWLyZp8wTdA,part_390,2026-09-20 20:21:13
RK Caterers,Caterer and Event Planner,Caterer,"Caterer, Event management company, Event planner, Party planner, Wedding planner, Wedding service",835225,Jharkhand Circle,Ranchi Region,Ranchi Division,"Tamar SO, Amlesha BO, Arki BO",+91 91994 91234,N/A,4.9,,"501, GAYATRI TOWER, PATHALKUDWA, THANA NO. 198, Lower Bazaar, Ranchi, Jharkhand 834001","Pathalkudwa, Lower Bazaar",23.3679208,85.3355607,ChIJB_4HZdfh9DkRORSKU9QdHSk,https://www.google.com/maps/place/?q=place_id:ChIJB_4HZdfh9DkRORSKU9QdHSk,part_390,2026-09-20 20:21:13
The Waves Hospitality - Best Caterers In Ranchi,Caterer and Event Planner,Caterer,Caterer,835225,Jharkhand Circle,Ranchi Region,Ranchi Division,"Tamar SO, Amlesha BO, Arki BO",+91 76738 50555,N/A,4.7,,"1st Street, Shivaji Road, Ramgarh Cantonment, Jharkhand 829122",835225,23.627941999999997,85.5174255,ChIJL3BBiEHz9DkRySfa2oPm1xU,https://www.google.com/maps/place/?q=place_id:ChIJL3BBiEHz9DkRySfa2oPm1xU,part_390,2026-09-20 20:21:13
Suvidha Caterer,Caterer and Event Planner,Caterer,"Caterer, Guest house",835225,Jharkhand Circle,Ranchi Region,Ranchi Division,"Tamar SO, Amlesha BO, Arki BO",+91 98351 62354,https://www.facebook.com/pg/Suvidha-Caterer-109377599663672,4.5,,"Lane No-5, Sarai Tand, Near Birsa Munda Football Stadium Morabadi, Ranchi, Jharkhand 834008","Tetartoli, Morabadi",23.3967064,85.3294183,ChIJL-nDUzfh9DkRpLf4NNmdC6E,https://www.google.com/maps/place/?q=place_id:ChIJL-nDUzfh9DkRpLf4NNmdC6E,part_390,2026-09-20 20:21:13
Gupta Caterers,Caterer and Event Planner,Caterer,Caterer,835225,Jharkhand Circle,Ranchi Region,Ranchi Division,"Tamar SO, Amlesha BO, Arki BO",+91 62046 12223,N/A,3.7,,"Chutia Main Rd, opp. Sani Mandir, Bahu Bazar, Upper Chutia, Kathartoli, Ranchi, Jharkhand 834011","Bahu Bazar, Upper Chutia, Kathartoli",23.3559155,85.33773169999999,ChIJheSq6Jvh9DkRkr4kDx3_GJ8,https://www.google.com/maps/place/?q=place_id:ChIJheSq6Jvh9DkRkr4kDx3_GJ8,part_390,2026-09-20 20:21:13
