business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
AAROGYA VIJAY POLYCLINIC (SINGHMORE),Polyclinic,Medical clinic,Medical clinic,835225,Jharkhand Circle,Ranchi Region,Ranchi Division,"Tamar SO, Amlesha BO, Arki BO",+91 80022 80222,N/A,5.0,1.0,"Road no-2, Latma Rd, beside Little Heart Play School, opposite Golki Restaurant, Singh More, Vikas Nagar, Ranchi, Jharkhand 834003","Singh More, Vikas Nagar, Hesag",23.3007283,85.31778489999999,ChIJ0SQSowUf9TkRLA6xHEGV-ts,https://www.google.com/maps/place/?q=place_id:ChIJ0SQSowUf9TkRLA6xHEGV-ts,part_390,2026-09-20 20:20:58
AR HEALTH CARE POLY CLINIC & DIAGNOSTIC,Polyclinic,Medical clinic,"Medical clinic, Blood testing service, Cardiologist, Dermatologist, Diagnostic center, Doctor, Gastroenterologist, Gynecologist",835225,Jharkhand Circle,Ranchi Region,Ranchi Division,"Tamar SO, Amlesha BO, Arki BO",+91 72092 33060,https://ar-health-care.grexa.site/,5.0,31.0,"daladali chowk, Shristi Complex, Kathal more road, Ranchi, Jharkhand 835222",835225,23.3689108,85.2328849,ChIJQTOJYjzh9DkRk7W1oYjAjLs,https://www.google.com/maps/place/?q=place_id:ChIJQTOJYjzh9DkRk7W1oYjAjLs,part_390,2026-09-20 20:20:58
"JIWI polyclinic, Best polyclinic gynaecologist, pulmonologist",Polyclinic,Medical Center,Medical Center,835225,Jharkhand Circle,Ranchi Region,Ranchi Division,"Tamar SO, Amlesha BO, Arki BO",+91 87891 36706,N/A,5.0,35.0,"Chowk, Kantatoli - Bahu Bazar Flyover, opposite of daily basket on, Netaji Nagar, Kathartoli, Ranchi, Jharkhand 834001","Netaji Nagar, Kathartoli",23.363779599999997,85.34650889999999,ChIJZ2orCNnh9DkRCGpy83eSed0,https://www.google.com/maps/place/?q=place_id:ChIJZ2orCNnh9DkRCGpy83eSed0,part_390,2026-09-20 20:20:58
Chandni Poly Clinic,Polyclinic,Medical clinic,Medical clinic,835225,Jharkhand Circle,Ranchi Region,Ranchi Division,"Tamar SO, Amlesha BO, Arki BO",N/A,N/A,,,"7CP6+FVF, Sidroll Rd, Rampur, Ranchi, Jharkhand 834010",Rampur,23.286184,85.4121663,ChIJ6xIWBBQd9TkRpEKMu9VD16g,https://www.google.com/maps/place/?q=place_id:ChIJ6xIWBBQd9TkRpEKMu9VD16g,part_390,2026-09-20 20:20:58
Mohan Rane Polyclinic,Polyclinic,Medical clinic,Medical clinic,835225,Jharkhand Circle,Ranchi Region,Ranchi Division,"Tamar SO, Amlesha BO, Arki BO",+91 99425 38566,N/A,5.0,1.0,"Mohan Rane Polyclinic, Bhagat Singh Chowk, Main Rd, near ICICI Bank Shyam Complex, Sonnar Colony, Khunti, Jharkhand 835210",Sonnar Colony,23.0706065,85.2805849,ChIJzcXrelgX9TkR0s36GONeFTs,https://www.google.com/maps/place/?q=place_id:ChIJzcXrelgX9TkR0s36GONeFTs,part_390,2026-09-20 20:20:58
Nirmala Polyclinic,Polyclinic,Medical clinic,Medical clinic,835225,Jharkhand Circle,Ranchi Region,Ranchi Division,"Tamar SO, Amlesha BO, Arki BO",+91 94317 86877,N/A,3.0,4.0,"78XC+RW5, Rd Number 9, Vikas Nagar, Bosco Nagar, Hatia, Ranchi, Jharkhand 834003","Vikas Nagar, Bosco Nagar, Hatia",23.299523,85.3223749,ChIJdbVJPzAe9TkRgnjrmfwcaYA,https://www.google.com/maps/place/?q=place_id:ChIJdbVJPzAe9TkRgnjrmfwcaYA,part_390,2026-09-20 20:20:58
Siddhivinayak Poly Care Bundu,Polyclinic,Hospital,Hospital,835225,Jharkhand Circle,Ranchi Region,Ranchi Division,"Tamar SO, Amlesha BO, Arki BO",+91 98019 46715,https://sidhivinayakpolycare.com/,4.3,13.0,"5HFR+34R, Tata Rd, Ashish Koiri Toli, Bundu, Jharkhand 835204",Ashish Koiri Toli,23.1728032,85.5902828,ChIJDZ0ZXU0H9TkRNjJ87DX-F24,https://www.google.com/maps/place/?q=place_id:ChIJDZ0ZXU0H9TkRNjJ87DX-F24,part_390,2026-09-20 20:20:58
Anu Poly Clinic,Polyclinic,Medical clinic,Medical clinic,835225,Jharkhand Circle,Ranchi Region,Ranchi Division,"Tamar SO, Amlesha BO, Arki BO",+91 88735 12911,N/A,,,"799J+5C4, Kharsidag Chowk, Namkum, Ranchi, Jharkhand 834010",Namkum,23.2678947,85.3810906,ChIJDfKdWbMd9TkRKiOFf3Nrm60,https://www.google.com/maps/place/?q=place_id:ChIJDfKdWbMd9TkRKiOFf3Nrm60,part_390,2026-09-20 20:20:58
EONMED SMART POLY CLINIC Ranchi,Polyclinic,Medical Center,Medical Center,835225,Jharkhand Circle,Ranchi Region,Ranchi Division,"Tamar SO, Amlesha BO, Arki BO",+91 97985 78259,https://www.eonmed.in/,5.0,4.0,"madina masjid chowk, L.A.C FACTORY ROAD, BHATTI CHOWK, Ranchi, Jharkhand 834001","Nizam Nagar, Hindpiri",23.3587106,85.31953539999999,ChIJITLMu0Xh9DkRjJXEiPbHlVE,https://www.google.com/maps/place/?q=place_id:ChIJITLMu0Xh9DkRjJXEiPbHlVE,part_390,2026-09-20 20:20:58
R.K Polyclinic & Diagnostic Centre Pvt Ltd - Best Diagnostic Centre In Bariatu Ranchi,Polyclinic,Pharmacy,Pharmacy,835225,Jharkhand Circle,Ranchi Region,Ranchi Division,"Tamar SO, Amlesha BO, Arki BO",+91 94313 57755,https://rkpolyclinicranchi.in.net/,4.3,131.0,"5th Floor, Saher Heights, Bariatu Rd, above Hdfc Bank, Bariatu, Ranchi, Jharkhand 834009",Bariatu,23.3892263,85.3399421,ChIJO9PYWFvh9DkRfZJaEtBu0zQ,https://www.google.com/maps/place/?q=place_id:ChIJO9PYWFvh9DkRfZJaEtBu0zQ,part_390,2026-09-20 20:20:58
