business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Car booking travels gumla,Taxi Service and Car Rental,Car leasing service,Car leasing service,835231,Jharkhand Circle,Ranchi Region,Ranchi Division,"Bishunpur SO, Adar BO, Banari BO",+91 90607 52392,N/A,5.0,,"Thana Rd, raza colony, Gumla, Jharkhand 835207",raza colony,23.043456799999998,84.5427705,ChIJ4Wre34LpijkRHkyFIR-G3PA,https://www.google.com/maps/place/?q=place_id:ChIJ4Wre34LpijkRHkyFIR-G3PA,part_390,2026-09-20 20:25:31
Jolly Car Travel,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service, Car rental agency, Service establishment, Carpooling location, Travel agency",835231,Jharkhand Circle,Ranchi Region,Ranchi Division,"Bishunpur SO, Adar BO, Banari BO",N/A,https://www.facebook.com/JollyCartravel,4.6,,"Jolly Car Travel, 835231, India",835231,23.7067822,84.60724979999999,ChIJ1zqt81B3jDkRlGDBbNz0RWg,https://www.google.com/maps/place/?q=place_id:ChIJ1zqt81B3jDkRlGDBbNz0RWg,part_390,2026-09-20 20:25:31
Jamtara car rental taxi service,Taxi Service and Car Rental,Taxi service,Taxi service,835231,Jharkhand Circle,Ranchi Region,Ranchi Division,"Bishunpur SO, Adar BO, Banari BO",+91 82940 29206,N/A,4.7,,"XR82+499, New Town Rd, post, Jamtara, Jharkhand 815351",post,23.9652931,86.80097549999999,ChIJgYqaJOHQ9jkR4Gcqzh-qlcA,https://www.google.com/maps/place/?q=place_id:ChIJgYqaJOHQ9jkR4Gcqzh-qlcA,part_390,2026-09-20 20:25:31
A ONE TRAVELS,Taxi Service and Car Rental,Taxi service,Taxi service,835231,Jharkhand Circle,Ranchi Region,Ranchi Division,"Bishunpur SO, Adar BO, Banari BO",+91 62035 38584,N/A,5.0,,"Cross, Road No. 14, Jawahar Nagar, Mango, Jamshedpur, Jharkhand 831012","Jawahar Nagar, Mango",22.8380358,86.2127642,ChIJtZ9PI2zj9TkRfjD8XKjtmis,https://www.google.com/maps/place/?q=place_id:ChIJtZ9PI2zj9TkRfjD8XKjtmis,part_390,2026-09-20 20:25:31
Omkara Tour and Travels,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service, Car rental agency, Travel agency",835231,Jharkhand Circle,Ranchi Region,Ranchi Division,"Bishunpur SO, Adar BO, Banari BO",+91 99395 00916,N/A,5.0,,"bus stand, 69A, kajariya colony, near jasidih, Jasidih, Jharkhand 814142",835231,24.5117619,86.6467224,ChIJySU4FSwV8TkRswWmLwECaIw,https://www.google.com/maps/place/?q=place_id:ChIJySU4FSwV8TkRswWmLwECaIw,part_390,2026-09-20 20:25:31
CAR HIRE,Taxi Service and Car Rental,Taxi service,Taxi service,835231,Jharkhand Circle,Ranchi Region,Ranchi Division,"Bishunpur SO, Adar BO, Banari BO",N/A,N/A,5.0,,"HJ4F+G62, Manikpur, Dardmara Road, Garjora, Jharkhand 814142",835231,24.5562635,86.6230078,ChIJ39H8lbQV8TkRTHhqx_SChGQ,https://www.google.com/maps/place/?q=place_id:ChIJ39H8lbQV8TkRTHhqx_SChGQ,part_390,2026-09-20 20:25:31
Ecopool Cab,Taxi Service and Car Rental,Car rental agency,"Car rental agency, Chauffeur service, Carpooling location, Taxi stand",835231,Jharkhand Circle,Ranchi Region,Ranchi Division,"Bishunpur SO, Adar BO, Banari BO",+91 88007 71705,N/A,4.6,,"Tundi Rd, Paratdih, Giridih, Jharkhand 815301",Paratdih,24.1766974,86.3139743,ChIJYcSRN4BV8TkRHnSJu55fMk4,https://www.google.com/maps/place/?q=place_id:ChIJYcSRN4BV8TkRHnSJu55fMk4,part_390,2026-09-20 20:25:31
Sneh Ganga Travels (Car Rental),Taxi Service and Car Rental,Taxi service,"Taxi service, Airport Shuttle Service Provider, Bus tour agency, Car leasing service, Car rental agency, Minibus taxi service, Travel agency",835231,Jharkhand Circle,Ranchi Region,Ranchi Division,"Bishunpur SO, Adar BO, Banari BO",+91 93044 35196,https://snehgangatravel.com/,4.9,91.0,"Mahalaxmi Nagar, Karni bagh, Jagriti Nagar, Deoghar, Jharkhand 814143","Karni bagh, Jagriti Nagar",24.4795288,86.71752359999999,ChIJ_VKji10X8TkR450TPspJ9Ec,https://www.google.com/maps/place/?q=place_id:ChIJ_VKji10X8TkR450TPspJ9Ec,part_390,2026-09-20 20:25:32
Rahul Travels,Taxi Service and Car Rental,Taxi service,Taxi service,835231,Jharkhand Circle,Ranchi Region,Ranchi Division,"Bishunpur SO, Adar BO, Banari BO",+91 96694 11411,https://www.rahultravels.com/,4.8,2578.0,"Agardeah, Bokaro Steel City, Agardih, Jharkhand 827009",Agardeah,23.6983961,86.1282634,ChIJ_V2KD9gj9DkRtFxLrk7ctvk,https://www.google.com/maps/place/?q=place_id:ChIJ_V2KD9gj9DkRtFxLrk7ctvk,part_390,2026-09-20 20:25:33
Sharma tour & travels,Taxi Service and Car Rental,Car leasing service,"Car leasing service, Service establishment",835231,Jharkhand Circle,Ranchi Region,Ranchi Division,"Bishunpur SO, Adar BO, Banari BO",+91 62047 80609,N/A,5.0,108.0,"Sharma tour & travels, 835231, India",835231,21.0680074,82.7525294,ChIJUcjqflx18zkR2yaWQ8VA2bQ,https://www.google.com/maps/place/?q=place_id:ChIJUcjqflx18zkR2yaWQ8VA2bQ,part_390,2026-09-20 20:25:33
