business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kalp Interior Design Studio in Ranchi,Interior Designers,Interior designer,"Interior designer, Architectural designer, Furniture maker, Interior architect office, Interior construction contractor, Interior Decorator, Interior plant service, Kitchen remodeler",835301,Jharkhand Circle,Ranchi Region,Ranchi Division,"Itki SO, Balsota BO, Beyasi BO",+91 92347 72288,https://kalpinteriors.com/,4.9,108.0,"KALP INTERIOR DESIGN STUDIO, Alam Chowk, ISM ROAD, opp. SRDAV, Pundag, Ranchi, Jharkhand 834001",Pundag,23.3479645,85.2641483,ChIJw1F2akLh9DkRrPEOr8oTzAg,https://www.google.com/maps/place/?q=place_id:ChIJw1F2akLh9DkRrPEOr8oTzAg,part_390,2026-09-20 20:29:54
Ace interiors,Interior Designers,Interior designer,Interior designer,835301,Jharkhand Circle,Ranchi Region,Ranchi Division,"Itki SO, Balsota BO, Beyasi BO",+91 87703 81857,N/A,5.0,13.0,"chowk, Daladili, Ranchi, Jharkhand 835303",chowk,23.369391399999998,85.2318411,ChIJvWV3anTf9DkR1YYfVob7KQQ,https://www.google.com/maps/place/?q=place_id:ChIJvWV3anTf9DkR1YYfVob7KQQ,part_390,2026-09-20 20:29:54
kazmi Home Design,Interior Designers,Architect,"Architect, Architectural designer, Civil engineer, Design engineer, Land surveyor",835301,Jharkhand Circle,Ranchi Region,Ranchi Division,"Itki SO, Balsota BO, Beyasi BO",+91 70043 64819,N/A,5.0,32.0,"state Bank of India, Near, Gulzar road itki, Itkithakurgoan, Jharkhand 835301",835301,23.3432462,85.1131321,ChIJm3SlxC3Z9DkRIosRavJ_DsM,https://www.google.com/maps/place/?q=place_id:ChIJm3SlxC3Z9DkRIosRavJ_DsM,part_390,2026-09-20 20:29:54
S P Decor (Interior Designer in Ranchi),Interior Designers,Interior designer,"Interior designer, Furniture wholesaler",835301,Jharkhand Circle,Ranchi Region,Ranchi Division,"Itki SO, Balsota BO, Beyasi BO",+91 74883 61363,N/A,4.5,11.0,"Itki Rd, mejar cothi, jojo nagar, Ranchi, Jaipur, Jharkhand 835303","mejar cothi, jojo nagar",23.340989,85.21524079999999,ChIJa7G7mqrf9DkR2YiDP0kx22M,https://www.google.com/maps/place/?q=place_id:ChIJa7G7mqrf9DkR2YiDP0kx22M,part_390,2026-09-20 20:29:54
Dewansh interior,Interior Designers,Interior designer,Interior designer,835301,Jharkhand Circle,Ranchi Region,Ranchi Division,"Itki SO, Balsota BO, Beyasi BO",+91 88737 59643,N/A,5.0,1.0,"Ranchi, Pheta, Jharkhand 835222",835301,23.4340929,85.24062409999999,ChIJeWqd3Djd9DkR1XLeid5xRFM,https://www.google.com/maps/place/?q=place_id:ChIJeWqd3Djd9DkR1XLeid5xRFM,part_390,2026-09-20 20:29:54
Interior sakhi,Interior Designers,Interior designer,Interior designer,835301,Jharkhand Circle,Ranchi Region,Ranchi Division,"Itki SO, Balsota BO, Beyasi BO",N/A,N/A,4.4,14.0,"Kathal More - Argora - Ranchi Rd, Ranchi, Jharkhand 835303",835301,23.36106,85.2559747,ChIJPekRKdTf9DkRoQ6X5Ka3Nxc,https://www.google.com/maps/place/?q=place_id:ChIJPekRKdTf9DkRoQ6X5Ka3Nxc,part_390,2026-09-20 20:29:54
Pravesho Interiors,Interior Designers,Interior designer,Interior designer,835301,Jharkhand Circle,Ranchi Region,Ranchi Division,"Itki SO, Balsota BO, Beyasi BO",+91 97099 76104,https://www.praveshointeriors.com/,5.0,3.0,"Daladili Rd, near Goverment Middle School, Lalgutwa, Ranchi, Gutuwa, Jharkhand 835303",Lalgutwa,23.3661347,85.2393493,ChIJh6l1KKLf9DkRc4Xxl2sallc,https://www.google.com/maps/place/?q=place_id:ChIJh6l1KKLf9DkRc4Xxl2sallc,part_390,2026-09-20 20:29:54
Home interior in Ranchi,Interior Designers,Architectural designer,Architectural designer,835301,Jharkhand Circle,Ranchi Region,Ranchi Division,"Itki SO, Balsota BO, Beyasi BO",+91 79707 50550,N/A,5.0,2.0,"public school, Kathal More Rd, dav, Hehal, Ranchi, Jharkhand 835303",dav,23.3683932,85.25490049999999,ChIJrVAICmzf9DkRmL4rwJyDPu4,https://www.google.com/maps/place/?q=place_id:ChIJrVAICmzf9DkRmL4rwJyDPu4,part_390,2026-09-20 20:29:54
Rana Interior Work,Interior Designers,Interior designer,Interior designer,835301,Jharkhand Circle,Ranchi Region,Ranchi Division,"Itki SO, Balsota BO, Beyasi BO",+91 98353 54485,N/A,5.0,3.0,"Kathal More - Argora - Ranchi Rd, near DAV School, Ranchi, Jharkhand 835222",835301,23.3695088,85.2538905,ChIJIYT95AXf9DkRIWoHfBt5KlM,https://www.google.com/maps/place/?q=place_id:ChIJIYT95AXf9DkRIWoHfBt5KlM,part_390,2026-09-20 20:29:54
Crafting Spaces Interio,Interior Designers,Interior designer,Interior designer,835301,Jharkhand Circle,Ranchi Region,Ranchi Division,"Itki SO, Balsota BO, Beyasi BO",+91 82109 32991,https://www.craftingspacesinterio.com/,5.0,18.0,"SHOP 02, SRIVIVASA, Aryan Nagar, Pundag, Ranchi, Jharkhand 834004","Aryan Nagar, Pundag",23.3564228,85.26698859999999,ChIJdWsj-KHShCMRfb0x_gjurQ8,https://www.google.com/maps/place/?q=place_id:ChIJdWsj-KHShCMRfb0x_gjurQ8,part_390,2026-09-20 20:29:54
